Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Austria,Austria,AT,147.99,181.37,85.35,70.19,entsoe.eu
2023-01-02 00:00:00,Austria,Austria,AT,208.51,235.14,77.68,66.08,entsoe.eu
2023-01-03 00:00:00,Austria,Austria,AT,253.21,277.85,72.89,63.84,entsoe.eu
2023-01-04 00:00:00,Austria,Austria,AT,207.19,241.56,73.85,66.05,entsoe.eu
2023-01-05 00:00:00,Austria,Austria,AT,165.58,195.26,80.38,74.20,entsoe.eu
2023-01-06 00:00:00,Austria,Austria,AT,228.67,270.95,72.49,63.38,entsoe.eu
2023-01-07 00:00:00,Austria,Austria,AT,197.81,234.23,76.92,66.25,entsoe.eu
2023-01-08 00:00:00,Austria,Austria,AT,200.58,244.51,75.56,63.22,entsoe.eu
2023-01-09 00:00:00,Austria,Austria,AT,199.60,228.25,75.78,68.67,entsoe.eu
2023-01-10 00:00:00,Austria,Austria,AT,160.09,192.08,78.67,72.87,entsoe.eu
2023-01-11 00:00:00,Austria,Austria,AT,222.40,252.02,72.99,65.20,entsoe.eu
2023-01-12 00:00:00,Austria,Austria,AT,199.22,235.02,72.45,65.63,entsoe.eu
2023-01-13 00:00:00,Austria,Austria,AT,203.27,250.41,68.01,61.01,entsoe.eu
2023-01-14 00:00:00,Austria,Austria,AT,146.97,187.20,79.95,71.17,entsoe.eu
2023-01-15 00:00:00,Austria,Austria,AT,142.62,181.30,81.53,72.64,entsoe.eu
2023-01-16 00:00:00,Austria,Austria,AT,241.50,280.82,69.12,59.97,entsoe.eu
2023-01-17 00:00:00,Austria,Austria,AT,255.18,300.55,61.11,52.85,Electricity Maps Estimation; entsoe.eu
2023-01-18 00:00:00,Austria,Austria,AT,256.26,298.22,61.92,53.29,entsoe.eu
2023-01-19 00:00:00,Austria,Austria,AT,188.25,218.76,72.72,67.54,entsoe.eu
2023-01-20 00:00:00,Austria,Austria,AT,175.08,207.12,72.50,68.19,entsoe.eu
2023-01-21 00:00:00,Austria,Austria,AT,230.29,276.77,67.38,58.76,entsoe.eu
2023-01-22 00:00:00,Austria,Austria,AT,233.51,275.97,67.68,57.32,entsoe.eu
2023-01-23 00:00:00,Austria,Austria,AT,203.61,233.83,70.33,65.00,entsoe.eu
2023-01-24 00:00:00,Austria,Austria,AT,219.79,255.25,66.88,61.41,entsoe.eu
2023-01-25 00:00:00,Austria,Austria,AT,253.24,291.97,62.29,55.78,entsoe.eu
2023-01-26 00:00:00,Austria,Austria,AT,285.28,336.26,54.99,47.88,entsoe.eu
2023-01-27 00:00:00,Austria,Austria,AT,250.30,292.74,63.15,56.26,entsoe.eu
2023-01-28 00:00:00,Austria,Austria,AT,257.71,310.43,61.99,55.17,entsoe.eu
2023-01-29 00:00:00,Austria,Austria,AT,245.74,299.48,62.43,52.60,entsoe.eu
2023-01-30 00:00:00,Austria,Austria,AT,195.02,230.91,72.36,66.70,entsoe.eu
2023-01-31 00:00:00,Austria,Austria,AT,180.42,223.59,71.41,66.59,entsoe.eu
2023-02-01 00:00:00,Austria,Austria,AT,174.78,215.61,73.23,68.37,entsoe.eu
2023-02-02 00:00:00,Austria,Austria,AT,195.05,232.44,72.61,67.81,entsoe.eu
2023-02-03 00:00:00,Austria,Austria,AT,184.22,222.78,73.71,68.55,entsoe.eu
2023-02-04 00:00:00,Austria,Austria,AT,128.68,169.69,77.62,73.66,entsoe.eu
2023-02-05 00:00:00,Austria,Austria,AT,165.82,207.85,74.88,67.42,entsoe.eu
2023-02-06 00:00:00,Austria,Austria,AT,226.51,270.70,64.11,56.94,entsoe.eu
2023-02-07 00:00:00,Austria,Austria,AT,253.87,298.61,62.20,56.57,entsoe.eu
2023-02-08 00:00:00,Austria,Austria,AT,293.96,342.94,58.46,50.94,entsoe.eu
2023-02-09 00:00:00,Austria,Austria,AT,248.64,295.40,63.34,57.34,entsoe.eu
2023-02-10 00:00:00,Austria,Austria,AT,281.38,335.43,57.44,50.80,entsoe.eu
2023-02-11 00:00:00,Austria,Austria,AT,237.80,289.58,66.20,59.04,entsoe.eu
2023-02-12 00:00:00,Austria,Austria,AT,280.30,335.02,61.22,53.32,entsoe.eu
