Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Australia,Australia,AU,410.23,461.94,42.82,42.82,
2023-01-02 00:00:00,Australia,Australia,AU,422.81,474.97,41.21,41.21,
2023-01-03 00:00:00,Australia,Australia,AU,408.77,459.90,42.77,42.77,
2023-01-04 00:00:00,Australia,Australia,AU,416.34,467.78,41.22,41.22,
2023-01-05 00:00:00,Australia,Australia,AU,421.44,473.74,40.38,40.38,
2023-01-06 00:00:00,Australia,Australia,AU,419.27,470.37,41.63,41.63,
2023-01-07 00:00:00,Australia,Australia,AU,435.47,488.17,39.66,39.66,
2023-01-08 00:00:00,Australia,Australia,AU,429.99,484.07,39.81,39.81,
2023-01-09 00:00:00,Australia,Australia,AU,417.17,469.63,41.56,41.56,
2023-01-10 00:00:00,Australia,Australia,AU,430.87,484.67,39.49,39.49,
2023-01-11 00:00:00,Australia,Australia,AU,461.55,517.88,34.81,34.81,
2023-01-12 00:00:00,Australia,Australia,AU,448.59,502.99,37.29,37.29,
2023-01-13 00:00:00,Australia,Australia,AU,426.53,478.90,40.39,40.39,
2023-01-14 00:00:00,Australia,Australia,AU,409.00,458.74,43.31,43.31,
2023-01-15 00:00:00,Australia,Australia,AU,426.71,477.62,41.03,41.03,
2023-01-16 00:00:00,Australia,Australia,AU,436.38,488.90,38.72,38.72,
2023-01-17 00:00:00,Australia,Australia,AU,427.45,480.13,39.70,39.70,
2023-01-18 00:00:00,Australia,Australia,AU,425.98,476.65,40.73,40.73,
2023-01-19 00:00:00,Australia,Australia,AU,424.74,475.77,41.26,41.26,
2023-01-20 00:00:00,Australia,Australia,AU,436.49,489.69,39.11,39.11,
2023-01-21 00:00:00,Australia,Australia,AU,423.26,475.32,41.02,41.02,
2023-01-22 00:00:00,Australia,Australia,AU,455.39,509.49,36.62,36.62,
2023-01-23 00:00:00,Australia,Australia,AU,466.58,522.54,34.63,34.63,
2023-01-24 00:00:00,Australia,Australia,AU,472.35,527.38,34.35,34.35,
2023-01-25 00:00:00,Australia,Australia,AU,439.28,492.27,39.00,39.00,
2023-01-26 00:00:00,Australia,Australia,AU,455.88,509.86,36.61,36.61,
2023-01-27 00:00:00,Australia,Australia,AU,441.99,494.21,38.86,38.86,
2023-01-28 00:00:00,Australia,Australia,AU,469.86,525.26,34.11,34.11,
2023-01-29 00:00:00,Australia,Australia,AU,491.55,548.98,30.21,30.21,
2023-01-30 00:00:00,Australia,Australia,AU,489.76,547.32,30.66,30.66,
2023-01-31 00:00:00,Australia,Australia,AU,467.62,522.63,34.84,34.84,
2023-02-01 00:00:00,Australia,Australia,AU,448.64,502.00,37.51,37.51,
2023-02-02 00:00:00,Australia,Australia,AU,401.64,451.65,43.42,43.42,
2023-02-03 00:00:00,Australia,Australia,AU,424.98,476.93,40.38,40.38,
2023-02-04 00:00:00,Australia,Australia,AU,451.65,505.54,36.82,36.82,
2023-02-05 00:00:00,Australia,Australia,AU,461.49,516.71,35.69,35.69,
2023-02-06 00:00:00,Australia,Australia,AU,454.30,507.24,37.46,37.46,
2023-02-07 00:00:00,Australia,Australia,AU,451.04,502.99,37.96,37.96,
2023-02-08 00:00:00,Australia,Australia,AU,453.68,506.31,37.47,37.47,
2023-02-09 00:00:00,Australia,Australia,AU,477.44,533.45,33.19,33.19,
2023-02-10 00:00:00,Australia,Australia,AU,438.78,490.73,39.77,39.77,
2023-02-11 00:00:00,Australia,Australia,AU,418.82,468.44,42.95,42.95,
2023-02-12 00:00:00,Australia,Australia,AU,429.54,481.17,40.75,40.75,
2023-02-13 00:00:00,Australia,Australia,AU,442.55,495.16,38.40,38.40,
2023-02-14 00:00:00,Australia,Australia,AU,457.44,510.44,36.81,36.81,
2023-02-15 00:00:00,Australia,Australia,AU,448.92,503.43,37.01,37.01,
2023-02-16 00:00:00,Australia,Australia,AU,435.43,489.49,38.51,38.51,
2023-02-17 00:00:00,Australia,Australia,AU,454.85,507.61,37.34,37.34,
2023-02-18 00:00:00,Australia,Australia,AU,457.97,511.49,36.92,36.92,
2023-02-19 00:00:00,Australia,Australia,AU,463.98,517.95,35.98,35.98,
2023-02-20 00:00:00,Australia,Australia,AU,461.83,515.88,35.25,35.25,
2023-02-21 00:00:00,Australia,Australia,AU,434.72,485.54,39.79,39.79,
2023-02-22 00:00:00,Australia,Australia,AU,429.73,481.30,39.93,39.93,
2023-02-23 00:00:00,Australia,Australia,AU,414.65,465.42,42.00,42.00,
2023-02-24 00:00:00,Australia,Australia,AU,413.23,463.52,42.57,42.57,
2023-02-25 00:00:00,Australia,Australia,AU,452.89,505.34,37.61,37.61,
2023-02-26 00:00:00,Australia,Australia,AU,457.17,510.29,36.92,36.92,
2023-02-27 00:00:00,Australia,Australia,AU,483.01,538.47,32.65,32.65,
