Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,477.45,521.38,37.43,29.07,entsoe.eu
2023-01-02 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,505.78,550.54,33.62,29.29,entsoe.eu
2023-01-03 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,501.67,545.27,34.38,31.75,entsoe.eu
2023-01-04 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,552.08,600.18,28.01,26.31,Electricity Maps Estimation; entsoe.eu
2023-01-05 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,537.37,583.03,29.60,27.82,entsoe.eu
2023-01-06 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,570.48,618.95,25.02,23.28,entsoe.eu
2023-01-07 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,551.62,599.63,27.52,23.96,entsoe.eu
2023-01-08 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,552.21,600.76,27.13,24.32,entsoe.eu
2023-01-09 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,540.87,587.12,28.77,28.35,entsoe.eu
2023-01-10 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,496.56,541.25,35.16,34.93,entsoe.eu
2023-01-11 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,511.32,557.08,33.22,32.77,entsoe.eu
2023-01-12 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,453.71,499.62,42.71,41.79,entsoe.eu
2023-01-13 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,445.39,491.56,43.74,42.14,entsoe.eu
2023-01-14 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,417.16,458.79,45.44,42.62,entsoe.eu
2023-01-15 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,484.05,528.68,35.61,33.40,entsoe.eu
2023-01-16 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,466.78,508.02,38.57,38.46,entsoe.eu
2023-01-17 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,407.96,451.02,48.79,48.58,entsoe.eu
2023-01-18 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,381.12,427.39,54.26,53.93,entsoe.eu
2023-01-19 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,369.22,421.49,59.28,59.03,entsoe.eu
2023-01-20 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,339.23,386.41,62.25,62.24,entsoe.eu
2023-01-21 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,348.97,390.96,58.15,58.11,entsoe.eu
2023-01-22 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,334.81,377.44,60.57,60.42,entsoe.eu
2023-01-23 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,319.19,367.82,66.08,66.01,entsoe.eu
2023-01-24 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,377.31,432.48,59.74,59.68,entsoe.eu
2023-01-25 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,344.14,390.65,61.12,61.11,entsoe.eu
2023-01-26 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,379.90,423.10,53.72,53.70,entsoe.eu
2023-01-27 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,313.87,350.95,61.23,61.06,entsoe.eu
2023-01-28 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,348.95,392.81,58.71,58.51,entsoe.eu
2023-01-29 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,388.98,427.83,49.59,49.29,entsoe.eu
2023-01-30 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,383.46,422.17,50.67,50.63,entsoe.eu
2023-01-31 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,418.68,462.34,47.64,47.63,entsoe.eu
2023-02-01 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,454.25,499.03,41.92,41.73,entsoe.eu
2023-02-02 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,437.40,481.67,44.58,44.44,entsoe.eu
2023-02-03 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,391.86,433.22,50.57,50.41,entsoe.eu
2023-02-04 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,394.75,436.12,50.22,50.09,entsoe.eu
2023-02-05 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,404.18,445.93,48.58,48.19,entsoe.eu
2023-02-06 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,388.14,429.03,50.80,50.35,entsoe.eu
2023-02-07 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,409.18,451.25,48.38,48.16,entsoe.eu
2023-02-08 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,405.27,447.44,48.93,48.70,entsoe.eu
2023-02-09 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,393.44,435.05,50.33,50.06,entsoe.eu
2023-02-10 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,394.80,436.84,50.09,49.59,entsoe.eu
2023-02-11 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,414.77,458.55,47.39,46.50,entsoe.eu
2023-02-12 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,431.67,475.94,44.45,43.46,entsoe.eu
2023-02-13 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,420.75,464.29,46.68,46.38,entsoe.eu
2023-02-14 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,416.56,460.04,46.99,46.47,entsoe.eu
2023-02-15 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,433.24,477.81,45.36,45.03,entsoe.eu
2023-02-16 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,365.04,405.76,54.51,54.21,entsoe.eu
2023-02-17 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,440.75,485.76,44.25,43.92,entsoe.eu
2023-02-18 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,402.25,445.44,49.19,48.13,entsoe.eu
