Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Belgium,Belgium,BE,65.98,95.83,86.62,37.65,entsoe.eu
2023-01-02 00:00:00,Belgium,Belgium,BE,109.90,151.05,78.52,27.14,entsoe.eu
2023-01-03 00:00:00,Belgium,Belgium,BE,100.15,141.15,79.41,33.84,entsoe.eu
2023-01-04 00:00:00,Belgium,Belgium,BE,75.41,109.63,85.16,45.50,entsoe.eu
2023-01-05 00:00:00,Belgium,Belgium,BE,109.45,152.26,77.15,34.77,entsoe.eu
2023-01-06 00:00:00,Belgium,Belgium,BE,101.66,140.65,80.27,36.20,entsoe.eu
2023-01-07 00:00:00,Belgium,Belgium,BE,64.58,94.87,86.69,42.53,entsoe.eu
2023-01-08 00:00:00,Belgium,Belgium,BE,66.60,96.82,86.37,39.47,entsoe.eu
2023-01-09 00:00:00,Belgium,Belgium,BE,84.89,117.46,83.36,37.88,entsoe.eu
2023-01-10 00:00:00,Belgium,Belgium,BE,95.26,130.38,81.32,38.86,entsoe.eu
2023-01-11 00:00:00,Belgium,Belgium,BE,84.37,117.53,84.13,43.76,entsoe.eu
2023-01-12 00:00:00,Belgium,Belgium,BE,74.77,108.70,85.73,45.20,entsoe.eu
2023-01-13 00:00:00,Belgium,Belgium,BE,78.65,113.94,84.69,44.75,entsoe.eu
2023-01-14 00:00:00,Belgium,Belgium,BE,71.14,104.97,85.98,43.19,entsoe.eu
2023-01-15 00:00:00,Belgium,Belgium,BE,68.79,101.90,86.61,44.07,entsoe.eu
2023-01-16 00:00:00,Belgium,Belgium,BE,104.13,143.70,80.85,38.91,entsoe.eu
2023-01-17 00:00:00,Belgium,Belgium,BE,209.28,274.98,56.56,18.83,entsoe.eu
2023-01-18 00:00:00,Belgium,Belgium,BE,187.24,247.99,60.48,26.19,entsoe.eu
2023-01-19 00:00:00,Belgium,Belgium,BE,217.48,283.53,55.09,21.34,entsoe.eu
2023-01-20 00:00:00,Belgium,Belgium,BE,195.65,259.95,56.83,21.67,entsoe.eu
2023-01-21 00:00:00,Belgium,Belgium,BE,210.65,275.12,57.87,18.05,entsoe.eu
2023-01-22 00:00:00,Belgium,Belgium,BE,219.43,283.85,56.88,17.96,entsoe.eu
2023-01-23 00:00:00,Belgium,Belgium,BE,230.09,302.63,49.52,12.23,entsoe.eu
2023-01-24 00:00:00,Belgium,Belgium,BE,232.58,306.90,48.01,10.76,entsoe.eu
2023-01-25 00:00:00,Belgium,Belgium,BE,242.22,316.84,47.16,10.40,entsoe.eu
2023-01-26 00:00:00,Belgium,Belgium,BE,201.01,266.41,55.53,21.61,entsoe.eu
2023-01-27 00:00:00,Belgium,Belgium,BE,200.25,265.34,55.87,19.84,entsoe.eu
2023-01-28 00:00:00,Belgium,Belgium,BE,227.65,299.74,50.54,11.45,entsoe.eu
2023-01-29 00:00:00,Belgium,Belgium,BE,166.67,223.31,65.04,27.27,entsoe.eu
2023-01-30 00:00:00,Belgium,Belgium,BE,139.23,190.14,70.18,33.95,entsoe.eu
2023-01-31 00:00:00,Belgium,Belgium,BE,138.32,188.65,70.73,34.66,entsoe.eu
2023-02-01 00:00:00,Belgium,Belgium,BE,110.53,154.64,77.56,46.47,entsoe.eu
2023-02-02 00:00:00,Belgium,Belgium,BE,133.95,184.16,71.76,39.36,entsoe.eu
2023-02-03 00:00:00,Belgium,Belgium,BE,145.07,196.39,70.55,38.72,entsoe.eu
2023-02-04 00:00:00,Belgium,Belgium,BE,201.30,266.24,59.07,16.37,entsoe.eu
2023-02-05 00:00:00,Belgium,Belgium,BE,127.56,175.96,74.64,36.86,entsoe.eu
2023-02-06 00:00:00,Belgium,Belgium,BE,191.18,256.59,58.13,17.34,entsoe.eu
2023-02-07 00:00:00,Belgium,Belgium,BE,229.84,305.42,48.48,15.94,entsoe.eu
2023-02-08 00:00:00,Belgium,Belgium,BE,222.80,296.08,51.10,18.55,entsoe.eu
2023-02-09 00:00:00,Belgium,Belgium,BE,220.20,291.88,51.89,20.61,entsoe.eu
2023-02-10 00:00:00,Belgium,Belgium,BE,198.40,264.72,57.37,24.09,entsoe.eu
2023-02-11 00:00:00,Belgium,Belgium,BE,213.99,283.57,54.88,18.92,entsoe.eu
2023-02-12 00:00:00,Belgium,Belgium,BE,225.85,295.15,54.79,14.06,entsoe.eu
2023-02-13 00:00:00,Belgium,Belgium,BE,230.65,306.03,48.79,16.24,entsoe.eu
2023-02-14 00:00:00,Belgium,Belgium,BE,226.48,301.77,49.48,16.40,entsoe.eu
2023-02-15 00:00:00,Belgium,Belgium,BE,197.65,264.92,56.97,23.65,entsoe.eu
2023-02-16 00:00:00,Belgium,Belgium,BE,168.93,225.05,65.97,34.69,entsoe.eu
2023-02-17 00:00:00,Belgium,Belgium,BE,98.37,140.71,79.78,45.74,entsoe.eu
2023-02-18 00:00:00,Belgium,Belgium,BE,105.13,149.31,78.68,45.80,entsoe.eu
2023-02-19 00:00:00,Belgium,Belgium,BE,134.73,184.00,73.16,33.37,entsoe.eu
2023-02-20 00:00:00,Belgium,Belgium,BE,127.60,175.12,74.23,41.68,entsoe.eu
2023-02-21 00:00:00,Belgium,Belgium,BE,221.79,293.23,52.73,16.95,entsoe.eu
2023-02-22 00:00:00,Belgium,Belgium,BE,232.27,308.11,48.20,14.01,entsoe.eu
2023-02-23 00:00:00,Belgium,Belgium,BE,242.07,319.27,46.76,14.00,entsoe.eu
2023-02-24 00:00:00,Belgium,Belgium,BE,185.36,248.11,60.82,28.23,entsoe.eu
2023-02-25 00:00:00,Belgium,Belgium,BE,134.41,184.90,73.52,40.66,entsoe.eu
2023-02-26 00:00:00,Belgium,Belgium,BE,125.64,175.36,74.79,41.30,entsoe.eu; Electricity Maps Estimation
2023-02-27 00:00:00,Belgium,Belgium,BE,179.09,243.31,60.45,30.16,entsoe.eu
2023-02-28 00:00:00,Belgium,Belgium,BE,206.55,278.26,53.45,23.73,entsoe.eu
2023-03-01 00:00:00,Belgium,Belgium,BE,193.05,261.53,56.58,27.33,entsoe.eu
2023-03-02 00:00:00,Belgium,Belgium,BE,183.89,249.47,58.63,30.39,entsoe.eu
2023-03-03 00:00:00,Belgium,Belgium,BE,221.51,293.96,50.13,20.45,entsoe.eu
2023-03-04 00:00:00,Belgium,Belgium,BE,216.07,285.62,53.13,20.16,entsoe.eu
2023-03-05 00:00:00,Belgium,Belgium,BE,225.09,296.73,52.08,17.67,entsoe.eu
2023-03-06 00:00:00,Belgium,Belgium,BE,203.11,268.48,53.96,24.20,entsoe.eu
2023-03-07 00:00:00,Belgium,Belgium,BE,225.52,293.73,50.67,19.16,entsoe.eu
2023-03-08 00:00:00,Belgium,Belgium,BE,214.72,280.77,52.40,18.91,entsoe.eu
2023-03-09 00:00:00,Belgium,Belgium,BE,154.24,205.85,66.77,23.27,entsoe.eu
2023-03-10 00:00:00,Belgium,Belgium,BE,151.73,201.05,68.81,34.23,entsoe.eu
2023-03-11 00:00:00,Belgium,Belgium,BE,171.54,226.91,66.58,27.24,entsoe.eu; Electricity Maps Estimation
2023-03-12 00:00:00,Belgium,Belgium,BE,99.95,139.11,79.89,41.74,entsoe.eu
2023-03-13 00:00:00,Belgium,Belgium,BE,79.99,114.70,84.17,50.37,entsoe.eu; Electricity Maps Estimation
2023-03-14 00:00:00,Belgium,Belgium,BE,130.77,176.60,73.25,37.46,entsoe.eu
2023-03-15 00:00:00,Belgium,Belgium,BE,197.01,261.12,57.49,24.07,entsoe.eu
2023-03-16 00:00:00,Belgium,Belgium,BE,113.68,156.68,76.85,43.85,entsoe.eu; Electricity Maps Estimation
2023-03-17 00:00:00,Belgium,Belgium,BE,141.75,190.54,71.73,32.52,entsoe.eu
2023-03-18 00:00:00,Belgium,Belgium,BE,131.17,179.33,72.94,30.73,entsoe.eu
2023-03-19 00:00:00,Belgium,Belgium,BE,159.70,214.17,67.25,25.27,entsoe.eu
2023-03-20 00:00:00,Belgium,Belgium,BE,186.86,247.80,59.61,31.25,entsoe.eu
2023-03-21 00:00:00,Belgium,Belgium,BE,167.32,223.99,63.78,33.03,entsoe.eu
