Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Bulgaria,Bulgaria,BG,402.64,442.22,56.66,13.21,eso.bg
2023-01-02 00:00:00,Bulgaria,Bulgaria,BG,425.98,465.69,55.20,16.20,Electricity Maps Estimation; eso.bg
2023-01-03 00:00:00,Bulgaria,Bulgaria,BG,496.30,537.95,49.49,12.40,eso.bg
2023-01-04 00:00:00,Bulgaria,Bulgaria,BG,517.96,560.02,48.01,12.01,eso.bg
2023-01-05 00:00:00,Bulgaria,Bulgaria,BG,464.36,505.14,52.33,16.85,eso.bg
2023-01-06 00:00:00,Bulgaria,Bulgaria,BG,468.78,509.19,51.98,15.35,eso.bg
2023-01-07 00:00:00,Bulgaria,Bulgaria,BG,533.37,576.51,46.44,9.01,eso.bg
2023-01-08 00:00:00,Bulgaria,Bulgaria,BG,498.62,541.07,49.11,11.89,eso.bg
2023-01-09 00:00:00,Bulgaria,Bulgaria,BG,512.69,553.94,48.70,15.75,eso.bg
2023-01-10 00:00:00,Bulgaria,Bulgaria,BG,527.58,568.34,47.87,14.41,eso.bg
2023-01-11 00:00:00,Bulgaria,Bulgaria,BG,530.81,572.30,47.32,12.97,eso.bg
2023-01-12 00:00:00,Bulgaria,Bulgaria,BG,557.33,599.42,45.44,11.59,eso.bg
2023-01-13 00:00:00,Bulgaria,Bulgaria,BG,565.68,608.49,44.40,8.87,eso.bg
2023-01-14 00:00:00,Bulgaria,Bulgaria,BG,563.60,606.86,44.22,7.73,eso.bg
2023-01-15 00:00:00,Bulgaria,Bulgaria,BG,529.52,572.22,46.80,9.83,eso.bg
2023-01-16 00:00:00,Bulgaria,Bulgaria,BG,524.02,565.50,47.89,14.06,eso.bg
2023-01-17 00:00:00,Bulgaria,Bulgaria,BG,505.80,545.48,49.94,14.41,eso.bg
2023-01-18 00:00:00,Bulgaria,Bulgaria,BG,459.14,496.66,54.04,16.45,eso.bg
2023-01-19 00:00:00,Bulgaria,Bulgaria,BG,425.36,462.31,56.88,18.36,eso.bg
2023-01-20 00:00:00,Bulgaria,Bulgaria,BG,441.15,479.08,55.20,17.06,eso.bg
2023-01-21 00:00:00,Bulgaria,Bulgaria,BG,474.45,514.47,51.94,14.50,eso.bg
2023-01-22 00:00:00,Bulgaria,Bulgaria,BG,478.32,518.68,51.49,15.03,eso.bg
2023-01-23 00:00:00,Bulgaria,Bulgaria,BG,515.45,556.11,48.69,14.29,eso.bg
2023-01-24 00:00:00,Bulgaria,Bulgaria,BG,511.91,552.80,48.90,14.87,eso.bg
2023-01-25 00:00:00,Bulgaria,Bulgaria,BG,534.25,575.39,47.39,14.65,eso.bg
2023-01-26 00:00:00,Bulgaria,Bulgaria,BG,555.58,597.68,45.52,13.45,eso.bg
2023-01-27 00:00:00,Bulgaria,Bulgaria,BG,526.71,568.41,47.72,16.07,eso.bg
2023-01-28 00:00:00,Bulgaria,Bulgaria,BG,499.25,540.19,49.97,17.41,eso.bg
2023-01-29 00:00:00,Bulgaria,Bulgaria,BG,494.09,535.27,50.15,17.24,eso.bg
2023-01-30 00:00:00,Bulgaria,Bulgaria,BG,562.76,605.97,44.38,11.22,eso.bg
2023-01-31 00:00:00,Bulgaria,Bulgaria,BG,538.17,580.21,46.50,12.76,eso.bg
2023-02-01 00:00:00,Bulgaria,Bulgaria,BG,532.84,574.69,47.16,12.94,eso.bg
2023-02-02 00:00:00,Bulgaria,Bulgaria,BG,526.90,568.31,47.72,13.65,eso.bg
2023-02-03 00:00:00,Bulgaria,Bulgaria,BG,517.59,558.97,48.41,13.88,eso.bg
2023-02-04 00:00:00,Bulgaria,Bulgaria,BG,513.08,554.18,48.70,13.88,eso.bg
2023-02-05 00:00:00,Bulgaria,Bulgaria,BG,448.51,487.05,54.46,21.91,eso.bg
2023-02-06 00:00:00,Bulgaria,Bulgaria,BG,492.27,531.48,51.42,21.06,eso.bg
2023-02-07 00:00:00,Bulgaria,Bulgaria,BG,512.64,552.91,49.59,18.95,eso.bg
2023-02-08 00:00:00,Bulgaria,Bulgaria,BG,518.28,558.67,49.09,18.56,eso.bg
2023-02-09 00:00:00,Bulgaria,Bulgaria,BG,515.31,555.96,49.17,17.24,eso.bg
2023-02-10 00:00:00,Bulgaria,Bulgaria,BG,507.54,548.53,49.57,16.48,eso.bg
2023-02-11 00:00:00,Bulgaria,Bulgaria,BG,513.99,556.19,48.60,14.73,eso.bg
2023-02-12 00:00:00,Bulgaria,Bulgaria,BG,505.62,546.69,49.32,16.16,eso.bg
2023-02-13 00:00:00,Bulgaria,Bulgaria,BG,531.30,572.86,47.26,12.41,eso.bg
2023-02-14 00:00:00,Bulgaria,Bulgaria,BG,514.30,554.99,48.90,15.10,eso.bg
2023-02-15 00:00:00,Bulgaria,Bulgaria,BG,512.21,553.33,49.06,15.10,eso.bg
2023-02-16 00:00:00,Bulgaria,Bulgaria,BG,538.02,579.73,46.82,11.72,eso.bg
2023-02-17 00:00:00,Bulgaria,Bulgaria,BG,524.69,565.84,48.00,12.12,eso.bg
2023-02-18 00:00:00,Bulgaria,Bulgaria,BG,475.80,514.90,52.27,16.37,eso.bg
2023-02-19 00:00:00,Bulgaria,Bulgaria,BG,441.77,480.43,54.92,17.72,eso.bg
2023-02-20 00:00:00,Bulgaria,Bulgaria,BG,438.27,476.16,55.52,17.40,eso.bg
2023-02-21 00:00:00,Bulgaria,Bulgaria,BG,410.74,447.82,57.89,20.72,eso.bg
2023-02-22 00:00:00,Bulgaria,Bulgaria,BG,471.20,510.75,52.27,12.28,eso.bg
2023-02-23 00:00:00,Bulgaria,Bulgaria,BG,450.08,488.94,54.04,15.34,eso.bg
2023-02-24 00:00:00,Bulgaria,Bulgaria,BG,469.58,509.44,52.38,15.12,eso.bg
2023-02-25 00:00:00,Bulgaria,Bulgaria,BG,451.70,490.05,54.25,16.50,eso.bg
2023-02-26 00:00:00,Bulgaria,Bulgaria,BG,420.69,457.25,57.03,17.23,eso.bg
2023-02-27 00:00:00,Bulgaria,Bulgaria,BG,460.02,498.27,53.54,13.90,eso.bg
2023-02-28 00:00:00,Bulgaria,Bulgaria,BG,507.62,547.96,49.03,9.61,eso.bg
2023-03-01 00:00:00,Bulgaria,Bulgaria,BG,491.56,531.55,50.31,9.66,eso.bg
2023-03-02 00:00:00,Bulgaria,Bulgaria,BG,493.75,534.22,50.11,9.93,eso.bg
