Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Brazil,Brazil,BR,36.04,63.99,93.73,90.15,
2023-01-02 00:00:00,Brazil,Brazil,BR,37.00,65.73,93.57,90.52,
2023-01-03 00:00:00,Brazil,Brazil,BR,39.58,69.11,93.12,90.25,
2023-01-04 00:00:00,Brazil,Brazil,BR,39.91,69.54,93.06,90.21,
2023-01-05 00:00:00,Brazil,Brazil,BR,34.55,63.13,93.99,91.10,
2023-01-06 00:00:00,Brazil,Brazil,BR,29.09,57.04,94.94,92.00,
2023-01-07 00:00:00,Brazil,Brazil,BR,32.82,60.77,94.29,91.12,
2023-01-08 00:00:00,Brazil,Brazil,BR,42.65,72.28,92.58,89.20,
2023-01-09 00:00:00,Brazil,Brazil,BR,38.13,67.19,93.37,90.42,
2023-01-10 00:00:00,Brazil,Brazil,BR,32.60,60.74,94.33,91.50,
2023-01-11 00:00:00,Brazil,Brazil,BR,30.13,58.07,94.76,91.99,
2023-01-12 00:00:00,Brazil,Brazil,BR,31.45,59.52,94.53,91.85,
2023-01-13 00:00:00,Brazil,Brazil,BR,35.23,63.97,93.87,91.23,
2023-01-14 00:00:00,Brazil,Brazil,BR,38.52,67.43,93.30,90.43,
2023-01-15 00:00:00,Brazil,Brazil,BR,41.63,70.94,92.76,89.64,
2023-01-16 00:00:00,Brazil,Brazil,BR,37.05,66.03,93.56,90.87,
2023-01-17 00:00:00,Brazil,Brazil,BR,33.74,62.15,94.13,91.55,
2023-01-18 00:00:00,Brazil,Brazil,BR,35.70,64.36,93.79,91.18,
2023-01-19 00:00:00,Brazil,Brazil,BR,38.45,67.91,93.31,90.70,
2023-01-20 00:00:00,Brazil,Brazil,BR,39.30,69.39,93.16,90.52,
2023-01-21 00:00:00,Brazil,Brazil,BR,38.54,68.41,93.30,90.44,
2023-01-22 00:00:00,Brazil,Brazil,BR,40.38,70.50,92.98,89.84,
2023-01-23 00:00:00,Brazil,Brazil,BR,34.15,63.62,94.06,91.39,
2023-01-24 00:00:00,Brazil,Brazil,BR,33.90,63.24,94.10,91.48,
2023-01-25 00:00:00,Brazil,Brazil,BR,33.81,62.96,94.12,91.52,
2023-01-26 00:00:00,Brazil,Brazil,BR,29.81,58.25,94.81,92.23,
2023-01-27 00:00:00,Brazil,Brazil,BR,27.43,55.28,95.23,92.65,
2023-01-28 00:00:00,Brazil,Brazil,BR,28.95,56.32,94.97,92.21,
2023-01-29 00:00:00,Brazil,Brazil,BR,32.97,60.72,94.27,91.20,
2023-01-30 00:00:00,Brazil,Brazil,BR,29.12,56.73,94.94,92.25,
2023-01-31 00:00:00,Brazil,Brazil,BR,27.09,54.24,95.29,92.69,
2023-02-01 00:00:00,Brazil,Brazil,BR,26.34,53.18,95.42,92.84,
2023-02-02 00:00:00,Brazil,Brazil,BR,25.13,52.09,95.63,93.09,
2023-02-03 00:00:00,Brazil,Brazil,BR,25.69,52.80,95.53,92.98,
2023-02-04 00:00:00,Brazil,Brazil,BR,28.39,55.77,95.06,92.26,
