Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Switzerland,Switzerland,CH,42.27,73.15,95.19,53.37,Electricity Maps Estimation
2023-01-02 00:00:00,Switzerland,Switzerland,CH,38.35,61.83,95.88,49.32,Electricity Maps Estimation
2023-01-03 00:00:00,Switzerland,Switzerland,CH,73.17,91.55,92.12,47.10,Electricity Maps Estimation
2023-01-04 00:00:00,Switzerland,Switzerland,CH,71.73,98.76,91.69,53.25,Electricity Maps Estimation
2023-01-05 00:00:00,Switzerland,Switzerland,CH,83.51,108.41,90.52,49.07,Electricity Maps Estimation
2023-01-06 00:00:00,Switzerland,Switzerland,CH,91.59,116.30,89.61,45.02,Electricity Maps Estimation
2023-01-07 00:00:00,Switzerland,Switzerland,CH,53.52,77.09,93.46,42.95,Electricity Maps Estimation
2023-01-08 00:00:00,Switzerland,Switzerland,CH,45.38,66.33,94.24,39.00,Electricity Maps Estimation
2023-01-09 00:00:00,Switzerland,Switzerland,CH,68.89,87.42,92.41,46.28,Electricity Maps Estimation
2023-01-10 00:00:00,Switzerland,Switzerland,CH,76.50,103.07,91.40,49.13,Electricity Maps Estimation
2023-01-11 00:00:00,Switzerland,Switzerland,CH,77.41,102.63,91.46,49.20,Electricity Maps Estimation
2023-01-12 00:00:00,Switzerland,Switzerland,CH,68.06,97.32,92.08,55.39,Electricity Maps Estimation
2023-01-13 00:00:00,Switzerland,Switzerland,CH,55.82,86.80,93.01,52.89,Electricity Maps Estimation
2023-01-14 00:00:00,Switzerland,Switzerland,CH,48.96,77.93,93.70,49.30,Electricity Maps Estimation
2023-01-15 00:00:00,Switzerland,Switzerland,CH,55.31,85.77,93.09,52.01,Electricity Maps Estimation
2023-01-16 00:00:00,Switzerland,Switzerland,CH,102.34,131.43,88.31,49.15,Electricity Maps Estimation
2023-01-17 00:00:00,Switzerland,Switzerland,CH,99.59,128.24,89.03,57.68,Electricity Maps Estimation
2023-01-18 00:00:00,Switzerland,Switzerland,CH,116.78,152.84,86.14,52.19,Electricity Maps Estimation
2023-01-19 00:00:00,Switzerland,Switzerland,CH,99.97,123.11,89.51,57.99,Electricity Maps Estimation
2023-01-20 00:00:00,Switzerland,Switzerland,CH,108.94,130.65,88.20,52.36,Electricity Maps Estimation
2023-01-21 00:00:00,Switzerland,Switzerland,CH,190.21,229.57,77.79,42.90,Electricity Maps Estimation
2023-01-22 00:00:00,Switzerland,Switzerland,CH,183.85,222.19,79.00,46.22,Electricity Maps Estimation
2023-01-23 00:00:00,Switzerland,Switzerland,CH,125.24,144.34,86.82,52.82,Electricity Maps Estimation
2023-01-24 00:00:00,Switzerland,Switzerland,CH,116.05,140.17,87.11,53.08,Electricity Maps Estimation
2023-01-25 00:00:00,Switzerland,Switzerland,CH,109.19,130.36,88.26,52.79,Electricity Maps Estimation
2023-01-26 00:00:00,Switzerland,Switzerland,CH,122.90,150.37,86.01,49.04,Electricity Maps Estimation
2023-01-27 00:00:00,Switzerland,Switzerland,CH,144.84,178.27,83.12,47.85,Electricity Maps Estimation
2023-01-28 00:00:00,Switzerland,Switzerland,CH,173.31,216.00,78.94,45.18,Electricity Maps Estimation
2023-01-29 00:00:00,Switzerland,Switzerland,CH,123.82,164.40,84.22,48.44,Electricity Maps Estimation
2023-01-30 00:00:00,Switzerland,Switzerland,CH,76.43,102.35,91.53,58.54,Electricity Maps Estimation
