Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Cyprus,Cyprus,CY,521.37,726.19,18.67,18.67,tsoc.org.cy
2023-01-02 00:00:00,Cyprus,Cyprus,CY,520.72,725.19,18.77,18.77,tsoc.org.cy
2023-01-03 00:00:00,Cyprus,Cyprus,CY,520.88,725.36,18.75,18.75,tsoc.org.cy
2023-01-04 00:00:00,Cyprus,Cyprus,CY,512.38,713.97,20.08,20.08,tsoc.org.cy
2023-01-05 00:00:00,Cyprus,Cyprus,CY,550.43,765.41,14.14,14.14,tsoc.org.cy
2023-01-06 00:00:00,Cyprus,Cyprus,CY,539.54,751.07,15.84,15.84,tsoc.org.cy
2023-01-07 00:00:00,Cyprus,Cyprus,CY,555.10,771.94,13.41,13.41,tsoc.org.cy
2023-01-08 00:00:00,Cyprus,Cyprus,CY,550.31,765.41,14.16,14.16,tsoc.org.cy
2023-01-09 00:00:00,Cyprus,Cyprus,CY,545.54,758.71,14.90,14.90,tsoc.org.cy
2023-01-10 00:00:00,Cyprus,Cyprus,CY,554.86,771.47,13.45,13.45,tsoc.org.cy
2023-01-11 00:00:00,Cyprus,Cyprus,CY,556.44,772.53,13.20,13.20,tsoc.org.cy
2023-01-12 00:00:00,Cyprus,Cyprus,CY,561.83,779.54,12.36,12.36,tsoc.org.cy
2023-01-13 00:00:00,Cyprus,Cyprus,CY,578.16,802.06,9.82,9.82,tsoc.org.cy
2023-01-14 00:00:00,Cyprus,Cyprus,CY,573.22,795.32,10.58,10.58,tsoc.org.cy
2023-01-15 00:00:00,Cyprus,Cyprus,CY,568.84,789.72,11.27,11.27,tsoc.org.cy
2023-01-16 00:00:00,Cyprus,Cyprus,CY,598.77,829.95,6.60,6.60,tsoc.org.cy
2023-01-17 00:00:00,Cyprus,Cyprus,CY,569.45,790.72,11.17,11.17,tsoc.org.cy
2023-01-18 00:00:00,Cyprus,Cyprus,CY,553.56,769.57,13.65,13.65,tsoc.org.cy
2023-01-19 00:00:00,Cyprus,Cyprus,CY,563.37,782.97,12.12,12.12,tsoc.org.cy
2023-01-20 00:00:00,Cyprus,Cyprus,CY,543.57,756.16,15.21,15.21,tsoc.org.cy
