Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Czechia,Czechia,CZ,391.65,427.49,62.03,18.18,ceps.cz
2023-01-02 00:00:00,Czechia,Czechia,CZ,472.51,511.38,54.44,16.52,ceps.cz
2023-01-03 00:00:00,Czechia,Czechia,CZ,538.28,579.00,48.46,14.02,ceps.cz
2023-01-04 00:00:00,Czechia,Czechia,CZ,484.23,523.28,53.49,19.59,ceps.cz
2023-01-05 00:00:00,Czechia,Czechia,CZ,509.78,548.53,51.31,15.48,ceps.cz
2023-01-06 00:00:00,Czechia,Czechia,CZ,528.74,570.03,49.06,13.79,ceps.cz
2023-01-07 00:00:00,Czechia,Czechia,CZ,476.57,516.32,53.99,15.26,ceps.cz
2023-01-08 00:00:00,Czechia,Czechia,CZ,459.18,498.20,55.76,17.37,ceps.cz
2023-01-09 00:00:00,Czechia,Czechia,CZ,522.87,563.47,49.65,12.30,ceps.cz
2023-01-10 00:00:00,Czechia,Czechia,CZ,518.74,557.87,50.37,11.60,ceps.cz
2023-01-11 00:00:00,Czechia,Czechia,CZ,495.30,535.64,52.13,17.39,ceps.cz
2023-01-12 00:00:00,Czechia,Czechia,CZ,467.16,505.91,55.04,20.23,ceps.cz
2023-01-13 00:00:00,Czechia,Czechia,CZ,458.80,497.22,55.90,21.53,ceps.cz
2023-01-14 00:00:00,Czechia,Czechia,CZ,406.58,443.29,60.79,22.04,ceps.cz
2023-01-15 00:00:00,Czechia,Czechia,CZ,391.99,428.62,61.93,22.83,ceps.cz
2023-01-16 00:00:00,Czechia,Czechia,CZ,540.27,581.46,48.03,12.98,ceps.cz
2023-01-17 00:00:00,Czechia,Czechia,CZ,570.99,615.08,43.49,9.63,ceps.cz
2023-01-18 00:00:00,Czechia,Czechia,CZ,575.97,621.28,42.00,6.87,ceps.cz
2023-01-19 00:00:00,Czechia,Czechia,CZ,583.84,625.25,44.38,7.77,ceps.cz
2023-01-20 00:00:00,Czechia,Czechia,CZ,580.20,625.85,41.59,7.36,ceps.cz
2023-01-21 00:00:00,Czechia,Czechia,CZ,573.28,615.96,44.67,9.82,ceps.cz
2023-01-22 00:00:00,Czechia,Czechia,CZ,595.02,638.39,42.68,6.99,ceps.cz
2023-01-23 00:00:00,Czechia,Czechia,CZ,587.91,634.90,40.16,6.63,ceps.cz
2023-01-24 00:00:00,Czechia,Czechia,CZ,606.07,653.85,38.55,5.96,ceps.cz
2023-01-25 00:00:00,Czechia,Czechia,CZ,606.28,653.91,38.57,6.24,ceps.cz
2023-01-26 00:00:00,Czechia,Czechia,CZ,605.37,652.77,38.87,6.02,ceps.cz
2023-01-27 00:00:00,Czechia,Czechia,CZ,586.17,632.95,40.60,6.80,ceps.cz
2023-01-28 00:00:00,Czechia,Czechia,CZ,566.88,613.26,42.12,5.95,ceps.cz
2023-01-29 00:00:00,Czechia,Czechia,CZ,528.97,571.22,48.41,11.40,ceps.cz
2023-01-30 00:00:00,Czechia,Czechia,CZ,513.22,554.09,50.32,16.82,ceps.cz
2023-01-31 00:00:00,Czechia,Czechia,CZ,520.11,560.76,49.77,15.43,ceps.cz
