Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Denmark,Denmark,DK,87.40,129.92,87.59,84.44,entsoe.eu
2023-01-02 00:00:00,Denmark,Denmark,DK,153.61,213.65,77.32,73.64,entsoe.eu
2023-01-03 00:00:00,Denmark,Denmark,DK,128.38,196.98,77.78,74.33,entsoe.eu
2023-01-04 00:00:00,Denmark,Denmark,DK,83.12,125.24,87.81,86.91,entsoe.eu
2023-01-05 00:00:00,Denmark,Denmark,DK,128.16,194.61,79.43,75.14,entsoe.eu
2023-01-06 00:00:00,Denmark,Denmark,DK,72.66,125.42,87.46,83.46,entsoe.eu
2023-01-07 00:00:00,Denmark,Denmark,DK,88.53,143.56,85.62,80.04,entsoe.eu
2023-01-08 00:00:00,Denmark,Denmark,DK,73.01,124.19,88.10,82.34,entsoe.eu
2023-01-09 00:00:00,Denmark,Denmark,DK,105.24,171.98,81.87,74.14,entsoe.eu
2023-01-10 00:00:00,Denmark,Denmark,DK,104.48,165.22,82.61,77.03,entsoe.eu
2023-01-11 00:00:00,Denmark,Denmark,DK,69.04,114.68,88.75,85.35,entsoe.eu
2023-01-12 00:00:00,Denmark,Denmark,DK,99.43,154.40,85.82,81.96,entsoe.eu
2023-01-13 00:00:00,Denmark,Denmark,DK,73.70,117.53,88.65,87.09,entsoe.eu
2023-01-14 00:00:00,Denmark,Denmark,DK,89.57,133.81,87.18,85.84,entsoe.eu
2023-01-15 00:00:00,Denmark,Denmark,DK,61.79,98.87,91.17,90.21,entsoe.eu
2023-01-16 00:00:00,Denmark,Denmark,DK,98.02,156.68,82.76,77.86,entsoe.eu
2023-01-17 00:00:00,Denmark,Denmark,DK,106.97,165.31,82.32,77.83,entsoe.eu
2023-01-18 00:00:00,Denmark,Denmark,DK,121.43,179.80,79.30,73.22,entsoe.eu
2023-01-19 00:00:00,Denmark,Denmark,DK,141.81,201.83,75.33,69.27,entsoe.eu
2023-01-20 00:00:00,Denmark,Denmark,DK,166.16,237.59,70.15,60.31,entsoe.eu
2023-01-21 00:00:00,Denmark,Denmark,DK,146.73,214.82,74.20,65.15,entsoe.eu
2023-01-22 00:00:00,Denmark,Denmark,DK,173.46,251.14,70.31,63.64,entsoe.eu
2023-01-23 00:00:00,Denmark,Denmark,DK,188.26,275.71,66.52,58.60,entsoe.eu
2023-01-24 00:00:00,Denmark,Denmark,DK,130.27,203.61,76.54,68.51,entsoe.eu
2023-01-25 00:00:00,Denmark,Denmark,DK,97.72,157.96,83.32,75.61,entsoe.eu
2023-01-26 00:00:00,Denmark,Denmark,DK,111.11,170.24,80.07,72.89,entsoe.eu
2023-01-27 00:00:00,Denmark,Denmark,DK,166.59,237.56,69.96,61.49,entsoe.eu
2023-01-28 00:00:00,Denmark,Denmark,DK,109.23,167.30,81.58,72.99,entsoe.eu
2023-01-29 00:00:00,Denmark,Denmark,DK,67.98,113.28,88.86,84.29,entsoe.eu
2023-01-30 00:00:00,Denmark,Denmark,DK,65.09,109.44,89.19,88.25,entsoe.eu
2023-01-31 00:00:00,Denmark,Denmark,DK,69.55,118.90,87.76,86.27,entsoe.eu
2023-02-01 00:00:00,Denmark,Denmark,DK,74.31,126.05,87.12,86.78,entsoe.eu
2023-02-02 00:00:00,Denmark,Denmark,DK,122.92,192.69,78.31,72.91,entsoe.eu
2023-02-03 00:00:00,Denmark,Denmark,DK,99.73,153.88,84.35,82.66,
2023-02-04 00:00:00,Denmark,Denmark,DK,118.70,192.04,78.63,69.89,
2023-02-05 00:00:00,Denmark,Denmark,DK,102.58,166.52,82.32,77.08,
