Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Estonia,Estonia,EE,282.47,335.96,67.34,41.15,entsoe.eu
2023-01-02 00:00:00,Estonia,Estonia,EE,541.41,605.73,43.16,31.28,entsoe.eu
2023-01-03 00:00:00,Estonia,Estonia,EE,587.49,654.37,38.34,28.88,entsoe.eu
2023-01-04 00:00:00,Estonia,Estonia,EE,447.20,508.35,51.37,34.33,entsoe.eu
2023-01-05 00:00:00,Estonia,Estonia,EE,479.88,539.94,48.65,36.24,entsoe.eu
2023-01-06 00:00:00,Estonia,Estonia,EE,431.33,492.07,52.06,31.86,entsoe.eu
2023-01-07 00:00:00,Estonia,Estonia,EE,308.34,360.61,65.20,42.31,entsoe.eu
2023-01-08 00:00:00,Estonia,Estonia,EE,280.30,330.31,68.90,45.99,entsoe.eu
2023-01-09 00:00:00,Estonia,Estonia,EE,350.90,402.30,61.87,41.50,entsoe.eu
2023-01-10 00:00:00,Estonia,Estonia,EE,409.39,464.63,55.93,38.84,entsoe.eu
2023-01-11 00:00:00,Estonia,Estonia,EE,327.48,377.01,64.07,49.60,entsoe.eu
2023-01-12 00:00:00,Estonia,Estonia,EE,314.46,363.58,65.90,51.94,entsoe.eu
2023-01-13 00:00:00,Estonia,Estonia,EE,345.28,397.93,63.18,49.15,entsoe.eu
2023-01-14 00:00:00,Estonia,Estonia,EE,411.67,468.00,56.01,47.97,entsoe.eu
2023-01-15 00:00:00,Estonia,Estonia,EE,372.15,424.16,60.19,51.03,entsoe.eu
2023-01-16 00:00:00,Estonia,Estonia,EE,332.06,382.45,64.55,50.79,entsoe.eu
2023-01-17 00:00:00,Estonia,Estonia,EE,343.85,395.94,63.11,47.71,entsoe.eu
2023-01-18 00:00:00,Estonia,Estonia,EE,365.65,418.64,60.85,45.48,entsoe.eu
2023-01-19 00:00:00,Estonia,Estonia,EE,420.09,478.61,54.44,39.97,entsoe.eu
2023-01-20 00:00:00,Estonia,Estonia,EE,428.54,485.56,54.10,39.41,entsoe.eu
2023-01-21 00:00:00,Estonia,Estonia,EE,361.24,418.78,59.64,43.02,entsoe.eu
2023-01-22 00:00:00,Estonia,Estonia,EE,314.25,367.56,65.07,45.19,entsoe.eu
2023-01-23 00:00:00,Estonia,Estonia,EE,390.88,444.99,58.96,44.16,entsoe.eu
2023-01-24 00:00:00,Estonia,Estonia,EE,403.79,459.14,56.78,42.65,entsoe.eu
2023-01-25 00:00:00,Estonia,Estonia,EE,309.41,357.79,66.92,51.73,entsoe.eu
2023-01-26 00:00:00,Estonia,Estonia,EE,326.83,381.12,63.86,47.47,entsoe.eu
2023-01-27 00:00:00,Estonia,Estonia,EE,386.08,445.40,57.23,44.80,entsoe.eu
2023-01-28 00:00:00,Estonia,Estonia,EE,208.11,259.24,75.22,63.29,entsoe.eu
2023-01-29 00:00:00,Estonia,Estonia,EE,230.24,283.16,72.63,58.84,entsoe.eu
2023-01-30 00:00:00,Estonia,Estonia,EE,235.42,285.21,73.03,56.90,entsoe.eu
2023-01-31 00:00:00,Estonia,Estonia,EE,283.39,337.51,68.00,51.06,entsoe.eu
2023-02-01 00:00:00,Estonia,Estonia,EE,372.71,434.44,57.07,40.42,entsoe.eu
2023-02-02 00:00:00,Estonia,Estonia,EE,343.11,403.53,59.55,42.56,entsoe.eu
2023-02-03 00:00:00,Estonia,Estonia,EE,373.94,434.77,57.27,40.59,entsoe.eu
2023-02-04 00:00:00,Estonia,Estonia,EE,387.30,447.45,56.56,42.09,entsoe.eu
2023-02-05 00:00:00,Estonia,Estonia,EE,344.52,401.45,61.90,46.94,entsoe.eu
2023-02-06 00:00:00,Estonia,Estonia,EE,393.78,453.19,56.09,42.47,entsoe.eu
2023-02-07 00:00:00,Estonia,Estonia,EE,352.53,406.74,61.62,47.38,entsoe.eu
2023-02-08 00:00:00,Estonia,Estonia,EE,321.14,372.80,64.61,49.59,entsoe.eu
2023-02-09 00:00:00,Estonia,Estonia,EE,201.50,245.03,76.23,61.14,entsoe.eu
2023-02-10 00:00:00,Estonia,Estonia,EE,209.86,255.15,75.15,58.71,entsoe.eu
2023-02-11 00:00:00,Estonia,Estonia,EE,174.22,222.93,77.59,58.08,entsoe.eu
2023-02-12 00:00:00,Estonia,Estonia,EE,183.13,230.83,77.26,58.88,entsoe.eu
2023-02-13 00:00:00,Estonia,Estonia,EE,258.39,305.47,70.95,56.16,entsoe.eu
2023-02-14 00:00:00,Estonia,Estonia,EE,405.28,461.57,55.59,41.30,entsoe.eu
2023-02-15 00:00:00,Estonia,Estonia,EE,397.11,454.02,56.02,40.43,entsoe.eu
2023-02-16 00:00:00,Estonia,Estonia,EE,307.51,356.94,65.62,49.18,entsoe.eu
2023-02-17 00:00:00,Estonia,Estonia,EE,293.72,342.49,67.65,49.41,entsoe.eu
2023-02-18 00:00:00,Estonia,Estonia,EE,233.41,285.40,72.64,53.61,entsoe.eu
2023-02-19 00:00:00,Estonia,Estonia,EE,259.46,313.07,69.31,50.26,entsoe.eu
2023-02-20 00:00:00,Estonia,Estonia,EE,312.83,368.00,64.04,45.84,entsoe.eu
2023-02-21 00:00:00,Estonia,Estonia,EE,446.71,508.79,49.57,37.31,entsoe.eu
2023-02-22 00:00:00,Estonia,Estonia,EE,471.16,534.65,47.06,34.28,entsoe.eu
2023-02-23 00:00:00,Estonia,Estonia,EE,353.41,406.55,60.88,46.76,entsoe.eu
2023-02-24 00:00:00,Estonia,Estonia,EE,391.76,450.19,56.24,39.14,entsoe.eu
2023-02-25 00:00:00,Estonia,Estonia,EE,298.61,350.53,65.62,46.60,entsoe.eu
2023-02-26 00:00:00,Estonia,Estonia,EE,335.58,389.89,61.93,46.26,entsoe.eu
2023-02-27 00:00:00,Estonia,Estonia,EE,351.07,403.43,61.33,45.91,entsoe.eu
2023-02-28 00:00:00,Estonia,Estonia,EE,298.35,345.70,67.28,51.53,entsoe.eu
2023-03-01 00:00:00,Estonia,Estonia,EE,313.52,362.59,65.51,49.18,entsoe.eu
2023-03-02 00:00:00,Estonia,Estonia,EE,284.76,329.78,68.87,53.85,entsoe.eu
2023-03-03 00:00:00,Estonia,Estonia,EE,317.19,367.05,64.73,48.49,entsoe.eu
2023-03-04 00:00:00,Estonia,Estonia,EE,369.11,423.02,59.55,44.85,entsoe.eu
2023-03-05 00:00:00,Estonia,Estonia,EE,518.14,584.26,44.23,31.79,entsoe.eu
2023-03-06 00:00:00,Estonia,Estonia,EE,525.27,593.06,41.06,30.52,entsoe.eu
2023-03-07 00:00:00,Estonia,Estonia,EE,524.08,586.91,40.23,32.86,entsoe.eu
2023-03-08 00:00:00,Estonia,Estonia,EE,459.99,520.91,48.69,38.03,entsoe.eu
2023-03-09 00:00:00,Estonia,Estonia,EE,449.71,509.66,50.27,39.47,entsoe.eu
2023-03-10 00:00:00,Estonia,Estonia,EE,370.19,426.06,59.45,48.05,entsoe.eu
2023-03-11 00:00:00,Estonia,Estonia,EE,432.03,497.77,52.19,41.15,entsoe.eu
2023-03-12 00:00:00,Estonia,Estonia,EE,361.22,421.74,59.95,46.46,entsoe.eu
2023-03-13 00:00:00,Estonia,Estonia,EE,311.64,366.32,64.95,52.50,entsoe.eu
2023-03-14 00:00:00,Estonia,Estonia,EE,388.25,446.86,57.55,49.48,entsoe.eu
2023-03-15 00:00:00,Estonia,Estonia,EE,322.02,378.22,64.18,45.81,entsoe.eu
2023-03-16 00:00:00,Estonia,Estonia,EE,312.41,367.88,65.26,40.63,entsoe.eu
2023-03-17 00:00:00,Estonia,Estonia,EE,233.29,281.93,72.66,47.11,entsoe.eu
2023-03-18 00:00:00,Estonia,Estonia,EE,106.97,146.64,84.74,58.94,entsoe.eu
2023-03-19 00:00:00,Estonia,Estonia,EE,160.09,209.96,78.25,43.95,entsoe.eu
2023-03-20 00:00:00,Estonia,Estonia,EE,196.18,246.55,75.06,45.54,entsoe.eu
2023-03-21 00:00:00,Estonia,Estonia,EE,195.96,244.58,75.98,47.40,entsoe.eu
2023-03-22 00:00:00,Estonia,Estonia,EE,223.17,271.02,72.32,48.67,entsoe.eu
2023-03-23 00:00:00,Estonia,Estonia,EE,216.73,261.16,73.21,48.88,entsoe.eu
2023-03-24 00:00:00,Estonia,Estonia,EE,273.34,309.10,64.87,45.20,entsoe.eu
2023-03-25 00:00:00,Estonia,Estonia,EE,278.47,312.68,63.88,46.61,entsoe.eu
2023-03-26 00:00:00,Estonia,Estonia,EE,223.74,267.36,70.15,41.91,entsoe.eu
2023-03-27 00:00:00,Estonia,Estonia,EE,158.21,204.88,79.49,52.74,entsoe.eu
2023-03-28 00:00:00,Estonia,Estonia,EE,166.97,215.83,79.02,50.85,entsoe.eu
2023-03-29 00:00:00,Estonia,Estonia,EE,237.67,291.26,71.76,45.42,entsoe.eu
2023-03-30 00:00:00,Estonia,Estonia,EE,249.74,301.67,70.15,43.27,entsoe.eu
2023-03-31 00:00:00,Estonia,Estonia,EE,189.63,238.19,76.95,49.62,entsoe.eu
2023-04-01 00:00:00,Estonia,Estonia,EE,171.03,215.83,78.94,56.37,entsoe.eu
2023-04-02 00:00:00,Estonia,Estonia,EE,192.96,236.44,75.21,57.28,entsoe.eu
2023-04-03 00:00:00,Estonia,Estonia,EE,243.27,293.61,70.48,52.42,entsoe.eu
2023-04-04 00:00:00,Estonia,Estonia,EE,247.99,302.29,70.43,44.05,entsoe.eu
2023-04-05 00:00:00,Estonia,Estonia,EE,237.97,288.64,71.45,40.80,entsoe.eu
2023-04-06 00:00:00,Estonia,Estonia,EE,197.84,247.85,75.38,46.79,entsoe.eu
2023-04-07 00:00:00,Estonia,Estonia,EE,166.70,217.25,79.27,56.81,entsoe.eu
2023-04-08 00:00:00,Estonia,Estonia,EE,199.62,253.08,74.87,53.30,entsoe.eu
2023-04-09 00:00:00,Estonia,Estonia,EE,193.89,246.79,75.81,53.10,entsoe.eu
2023-04-10 00:00:00,Estonia,Estonia,EE,185.76,227.51,74.93,55.01,entsoe.eu
2023-04-11 00:00:00,Estonia,Estonia,EE,160.75,202.12,77.90,54.37,entsoe.eu
2023-04-12 00:00:00,Estonia,Estonia,EE,169.09,215.09,78.99,55.15,entsoe.eu
2023-04-13 00:00:00,Estonia,Estonia,EE,130.00,170.14,83.93,57.04,entsoe.eu
2023-04-14 00:00:00,Estonia,Estonia,EE,144.53,186.04,82.09,58.23,entsoe.eu
2023-04-15 00:00:00,Estonia,Estonia,EE,204.12,249.32,73.54,51.81,entsoe.eu
2023-04-16 00:00:00,Estonia,Estonia,EE,242.12,298.17,70.78,46.87,entsoe.eu
2023-04-17 00:00:00,Estonia,Estonia,EE,296.14,346.70,64.74,44.48,Electricity Maps Estimation; entsoe.eu
2023-04-18 00:00:00,Estonia,Estonia,EE,226.14,279.93,73.00,56.80,entsoe.eu
2023-04-19 00:00:00,Estonia,Estonia,EE,189.15,237.63,76.69,64.43,entsoe.eu
2023-04-20 00:00:00,Estonia,Estonia,EE,195.28,241.07,75.20,63.85,entsoe.eu
2023-04-21 00:00:00,Estonia,Estonia,EE,218.65,269.86,74.25,55.90,entsoe.eu
2023-04-22 00:00:00,Estonia,Estonia,EE,196.11,240.28,74.73,59.31,entsoe.eu
2023-04-23 00:00:00,Estonia,Estonia,EE,209.51,256.75,74.24,63.51,entsoe.eu
2023-04-24 00:00:00,Estonia,Estonia,EE,229.25,281.93,71.45,54.56,entsoe.eu
2023-04-25 00:00:00,Estonia,Estonia,EE,216.64,265.73,73.46,51.95,entsoe.eu
2023-04-26 00:00:00,Estonia,Estonia,EE,250.78,303.59,69.93,47.12,entsoe.eu
2023-04-27 00:00:00,Estonia,Estonia,EE,255.47,308.41,69.63,44.01,entsoe.eu
2023-04-28 00:00:00,Estonia,Estonia,EE,272.89,325.24,68.22,44.36,entsoe.eu
2023-04-29 00:00:00,Estonia,Estonia,EE,200.53,249.57,74.89,48.62,entsoe.eu
2023-04-30 00:00:00,Estonia,Estonia,EE,166.45,213.14,78.34,53.36,entsoe.eu
2023-05-01 00:00:00,Estonia,Estonia,EE,179.12,226.33,76.99,53.16,entsoe.eu
2023-05-02 00:00:00,Estonia,Estonia,EE,211.38,255.64,74.43,58.80,entsoe.eu
2023-05-03 00:00:00,Estonia,Estonia,EE,195.84,239.56,76.56,55.34,entsoe.eu
2023-05-04 00:00:00,Estonia,Estonia,EE,188.81,233.42,77.29,54.99,entsoe.eu
2023-05-05 00:00:00,Estonia,Estonia,EE,186.19,233.04,77.07,52.31,entsoe.eu
2023-05-06 00:00:00,Estonia,Estonia,EE,160.48,207.89,79.01,53.15,entsoe.eu
2023-05-07 00:00:00,Estonia,Estonia,EE,161.64,207.60,79.59,56.63,entsoe.eu
2023-05-08 00:00:00,Estonia,Estonia,EE,175.48,220.48,78.60,54.69,entsoe.eu
2023-05-09 00:00:00,Estonia,Estonia,EE,156.76,200.66,80.66,56.38,entsoe.eu
2023-05-10 00:00:00,Estonia,Estonia,EE,158.35,199.79,81.50,56.78,entsoe.eu
2023-05-11 00:00:00,Estonia,Estonia,EE,155.03,197.37,82.21,58.87,entsoe.eu
2023-05-12 00:00:00,Estonia,Estonia,EE,177.09,220.38,79.82,54.60,entsoe.eu
2023-05-13 00:00:00,Estonia,Estonia,EE,160.94,204.95,80.43,52.72,entsoe.eu
2023-05-14 00:00:00,Estonia,Estonia,EE,127.92,168.81,83.40,53.83,entsoe.eu
2023-05-15 00:00:00,Estonia,Estonia,EE,160.08,201.50,80.58,54.12,entsoe.eu
2023-05-16 00:00:00,Estonia,Estonia,EE,183.52,223.09,78.18,51.18,entsoe.eu
2023-05-17 00:00:00,Estonia,Estonia,EE,143.23,181.21,82.42,61.65,entsoe.eu
2023-05-18 00:00:00,Estonia,Estonia,EE,148.60,190.49,81.79,59.79,entsoe.eu
2023-05-19 00:00:00,Estonia,Estonia,EE,154.81,196.78,81.13,56.12,entsoe.eu
2023-05-20 00:00:00,Estonia,Estonia,EE,144.07,186.91,82.20,57.00,entsoe.eu
2023-05-21 00:00:00,Estonia,Estonia,EE,150.43,193.86,81.36,51.82,entsoe.eu
2023-05-22 00:00:00,Estonia,Estonia,EE,164.33,204.70,80.38,47.60,entsoe.eu
2023-05-23 00:00:00,Estonia,Estonia,EE,170.90,210.31,79.81,47.37,entsoe.eu
2023-05-24 00:00:00,Estonia,Estonia,EE,153.48,193.05,81.49,54.21,entsoe.eu
2023-05-25 00:00:00,Estonia,Estonia,EE,157.74,195.03,81.48,52.93,entsoe.eu
2023-05-26 00:00:00,Estonia,Estonia,EE,138.43,172.69,83.94,55.67,entsoe.eu
2023-05-27 00:00:00,Estonia,Estonia,EE,152.82,189.32,81.81,50.54,entsoe.eu
2023-05-28 00:00:00,Estonia,Estonia,EE,128.46,164.89,84.87,59.20,entsoe.eu
2023-05-29 00:00:00,Estonia,Estonia,EE,135.37,172.14,84.01,53.08,entsoe.eu
2023-05-30 00:00:00,Estonia,Estonia,EE,155.05,192.37,82.18,52.15,entsoe.eu
2023-05-31 00:00:00,Estonia,Estonia,EE,133.15,168.82,84.29,59.02,entsoe.eu
2023-06-01 00:00:00,Estonia,Estonia,EE,147.65,181.62,82.95,59.59,entsoe.eu
2023-06-02 00:00:00,Estonia,Estonia,EE,156.79,192.93,81.98,57.85,entsoe.eu
2023-06-03 00:00:00,Estonia,Estonia,EE,133.15,170.86,83.83,54.31,entsoe.eu
