Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Spain,Spain,ES,74.16,102.97,86.08,56.58,entsoe.eu
2023-01-02 00:00:00,Spain,Spain,ES,133.09,174.80,72.97,47.50,entsoe.eu
2023-01-03 00:00:00,Spain,Spain,ES,138.18,182.74,71.58,46.13,entsoe.eu
2023-01-04 00:00:00,Spain,Spain,ES,124.46,164.94,75.24,46.69,entsoe.eu
2023-01-05 00:00:00,Spain,Spain,ES,133.62,179.11,71.07,44.13,entsoe.eu
2023-01-06 00:00:00,Spain,Spain,ES,97.99,135.39,79.18,50.44,entsoe.eu
2023-01-07 00:00:00,Spain,Spain,ES,56.96,84.69,87.79,68.68,entsoe.eu
2023-01-08 00:00:00,Spain,Spain,ES,53.18,79.86,88.79,71.96,entsoe.eu
2023-01-09 00:00:00,Spain,Spain,ES,74.07,105.22,84.62,64.57,entsoe.eu
2023-01-10 00:00:00,Spain,Spain,ES,93.09,126.35,82.11,59.07,entsoe.eu
2023-01-11 00:00:00,Spain,Spain,ES,97.35,130.94,81.35,56.77,entsoe.eu
2023-01-12 00:00:00,Spain,Spain,ES,99.46,133.20,81.04,55.54,entsoe.eu
2023-01-13 00:00:00,Spain,Spain,ES,99.62,133.29,80.86,56.07,entsoe.eu
2023-01-14 00:00:00,Spain,Spain,ES,66.04,95.53,86.56,61.47,entsoe.eu
2023-01-15 00:00:00,Spain,Spain,ES,50.26,76.20,89.89,64.93,entsoe.eu
2023-01-16 00:00:00,Spain,Spain,ES,48.09,71.75,90.58,71.73,entsoe.eu
2023-01-17 00:00:00,Spain,Spain,ES,44.42,66.70,91.66,73.01,entsoe.eu
2023-01-18 00:00:00,Spain,Spain,ES,55.38,79.76,89.34,70.53,entsoe.eu
2023-01-19 00:00:00,Spain,Spain,ES,52.20,76.01,89.97,69.46,entsoe.eu
2023-01-20 00:00:00,Spain,Spain,ES,81.58,114.06,82.95,61.59,entsoe.eu
2023-01-21 00:00:00,Spain,Spain,ES,56.92,84.32,88.38,65.28,entsoe.eu
2023-01-22 00:00:00,Spain,Spain,ES,54.28,80.43,89.00,66.24,entsoe.eu
2023-01-23 00:00:00,Spain,Spain,ES,66.84,95.05,86.53,66.02,entsoe.eu
2023-01-24 00:00:00,Spain,Spain,ES,94.75,127.64,81.05,60.46,entsoe.eu
2023-01-25 00:00:00,Spain,Spain,ES,91.30,123.80,82.19,61.19,entsoe.eu
2023-01-26 00:00:00,Spain,Spain,ES,77.28,105.97,85.34,65.09,entsoe.eu
2023-01-27 00:00:00,Spain,Spain,ES,63.33,90.08,87.61,67.63,entsoe.eu
2023-01-28 00:00:00,Spain,Spain,ES,56.40,83.02,88.53,66.57,entsoe.eu
2023-01-29 00:00:00,Spain,Spain,ES,73.69,104.54,84.60,61.36,entsoe.eu
2023-01-30 00:00:00,Spain,Spain,ES,116.30,156.00,76.08,54.65,entsoe.eu
2023-01-31 00:00:00,Spain,Spain,ES,110.31,148.98,77.65,56.86,entsoe.eu
2023-02-01 00:00:00,Spain,Spain,ES,101.88,138.32,79.55,58.50,entsoe.eu
2023-02-02 00:00:00,Spain,Spain,ES,141.48,187.27,70.98,48.81,entsoe.eu
2023-02-03 00:00:00,Spain,Spain,ES,156.30,204.95,68.09,44.75,entsoe.eu
2023-02-04 00:00:00,Spain,Spain,ES,99.56,136.93,79.92,56.48,entsoe.eu
2023-02-05 00:00:00,Spain,Spain,ES,74.97,108.49,83.68,60.94,entsoe.eu
2023-02-06 00:00:00,Spain,Spain,ES,93.59,128.97,81.16,60.19,entsoe.eu
2023-02-07 00:00:00,Spain,Spain,ES,141.61,185.74,71.31,50.50,entsoe.eu
2023-02-08 00:00:00,Spain,Spain,ES,155.05,202.45,68.68,47.78,entsoe.eu
2023-02-09 00:00:00,Spain,Spain,ES,162.29,213.53,66.54,45.22,entsoe.eu
2023-02-10 00:00:00,Spain,Spain,ES,155.66,205.82,67.58,46.27,entsoe.eu
2023-02-11 00:00:00,Spain,Spain,ES,119.35,164.20,73.92,50.39,entsoe.eu
2023-02-12 00:00:00,Spain,Spain,ES,121.72,167.59,72.96,48.92,entsoe.eu
2023-02-13 00:00:00,Spain,Spain,ES,138.93,188.18,69.22,47.43,entsoe.eu
2023-02-14 00:00:00,Spain,Spain,ES,130.96,178.64,70.54,48.96,entsoe.eu
2023-02-15 00:00:00,Spain,Spain,ES,169.26,224.61,62.88,40.28,entsoe.eu
2023-02-16 00:00:00,Spain,Spain,ES,181.04,236.86,61.96,37.81,entsoe.eu
2023-02-17 00:00:00,Spain,Spain,ES,145.50,194.10,69.40,44.54,entsoe.eu
2023-02-18 00:00:00,Spain,Spain,ES,115.55,158.96,74.93,42.49,entsoe.eu
2023-02-19 00:00:00,Spain,Spain,ES,121.27,166.88,73.05,42.66,entsoe.eu
2023-02-20 00:00:00,Spain,Spain,ES,147.96,197.75,68.09,42.34,entsoe.eu
2023-02-21 00:00:00,Spain,Spain,ES,187.18,244.92,60.09,36.28,entsoe.eu
2023-02-22 00:00:00,Spain,Spain,ES,192.44,251.08,59.38,36.40,entsoe.eu
2023-02-23 00:00:00,Spain,Spain,ES,157.57,209.76,66.29,45.49,entsoe.eu
2023-02-24 00:00:00,Spain,Spain,ES,174.99,232.05,61.83,39.66,entsoe.eu
2023-02-25 00:00:00,Spain,Spain,ES,151.44,202.34,67.65,42.30,entsoe.eu
2023-02-26 00:00:00,Spain,Spain,ES,80.97,115.12,83.43,64.28,entsoe.eu
2023-02-27 00:00:00,Spain,Spain,ES,83.65,117.19,83.45,66.85,entsoe.eu
2023-02-28 00:00:00,Spain,Spain,ES,100.31,137.61,79.79,62.41,entsoe.eu
2023-03-01 00:00:00,Spain,Spain,ES,148.57,198.84,68.06,50.14,entsoe.eu
2023-03-02 00:00:00,Spain,Spain,ES,147.16,195.82,69.27,51.87,entsoe.eu
2023-03-03 00:00:00,Spain,Spain,ES,151.47,200.91,68.51,50.63,entsoe.eu
2023-03-04 00:00:00,Spain,Spain,ES,154.59,204.80,68.01,46.14,entsoe.eu
2023-03-05 00:00:00,Spain,Spain,ES,189.71,247.82,59.49,34.46,entsoe.eu
2023-03-06 00:00:00,Spain,Spain,ES,176.23,231.50,61.88,39.87,entsoe.eu
2023-03-07 00:00:00,Spain,Spain,ES,83.70,116.83,83.45,61.83,entsoe.eu
2023-03-08 00:00:00,Spain,Spain,ES,68.09,96.50,87.22,66.01,entsoe.eu
2023-03-09 00:00:00,Spain,Spain,ES,57.53,82.92,89.79,68.44,entsoe.eu
2023-03-10 00:00:00,Spain,Spain,ES,56.61,81.75,90.15,69.15,entsoe.eu
2023-03-11 00:00:00,Spain,Spain,ES,58.22,83.85,89.57,66.84,entsoe.eu
2023-03-12 00:00:00,Spain,Spain,ES,82.95,114.93,84.24,58.21,entsoe.eu
2023-03-13 00:00:00,Spain,Spain,ES,63.98,91.34,88.36,64.24,entsoe.eu
2023-03-14 00:00:00,Spain,Spain,ES,86.93,119.85,83.16,60.87,entsoe.eu
2023-03-15 00:00:00,Spain,Spain,ES,132.55,177.87,72.35,49.61,entsoe.eu
2023-03-16 00:00:00,Spain,Spain,ES,85.61,118.83,83.53,60.71,entsoe.eu
2023-03-17 00:00:00,Spain,Spain,ES,81.31,113.08,84.46,61.84,entsoe.eu
2023-03-18 00:00:00,Spain,Spain,ES,92.51,127.74,81.87,56.03,entsoe.eu
2023-03-19 00:00:00,Spain,Spain,ES,126.81,172.25,73.16,46.59,entsoe.eu
2023-03-20 00:00:00,Spain,Spain,ES,138.88,186.13,70.77,46.11,entsoe.eu
2023-03-21 00:00:00,Spain,Spain,ES,138.15,185.56,70.75,45.14,entsoe.eu
2023-03-22 00:00:00,Spain,Spain,ES,107.06,145.31,78.87,52.53,entsoe.eu
2023-03-23 00:00:00,Spain,Spain,ES,85.04,117.91,83.73,58.89,entsoe.eu
2023-03-24 00:00:00,Spain,Spain,ES,80.60,111.88,84.65,60.01,entsoe.eu
2023-03-25 00:00:00,Spain,Spain,ES,74.60,106.01,85.76,57.43,entsoe.eu
2023-03-26 00:00:00,Spain,Spain,ES,66.31,95.36,87.39,63.78,entsoe.eu
2023-03-27 00:00:00,Spain,Spain,ES,109.11,148.86,77.51,54.32,entsoe.eu
2023-03-28 00:00:00,Spain,Spain,ES,114.51,154.64,76.78,53.07,entsoe.eu
2023-03-29 00:00:00,Spain,Spain,ES,80.12,110.97,85.03,61.47,entsoe.eu
2023-03-30 00:00:00,Spain,Spain,ES,67.13,94.68,87.74,64.76,entsoe.eu
2023-03-31 00:00:00,Spain,Spain,ES,60.78,86.81,88.81,70.80,entsoe.eu
2023-04-01 00:00:00,Spain,Spain,ES,69.58,98.38,86.88,66.67,entsoe.eu
2023-04-02 00:00:00,Spain,Spain,ES,74.49,104.24,85.90,64.39,entsoe.eu
2023-04-03 00:00:00,Spain,Spain,ES,90.88,123.11,82.63,58.43,entsoe.eu
2023-04-04 00:00:00,Spain,Spain,ES,70.83,99.10,86.91,63.41,entsoe.eu
2023-04-05 00:00:00,Spain,Spain,ES,93.39,127.50,82.29,57.36,entsoe.eu
2023-04-06 00:00:00,Spain,Spain,ES,98.78,135.28,80.59,54.84,entsoe.eu
2023-04-07 00:00:00,Spain,Spain,ES,119.29,160.25,75.97,48.75,entsoe.eu
2023-04-08 00:00:00,Spain,Spain,ES,119.19,160.62,75.74,48.52,entsoe.eu
2023-04-09 00:00:00,Spain,Spain,ES,124.20,166.77,74.72,45.59,entsoe.eu
2023-04-10 00:00:00,Spain,Spain,ES,96.89,133.99,80.22,50.31,entsoe.eu
2023-04-11 00:00:00,Spain,Spain,ES,88.21,123.71,81.98,56.57,entsoe.eu
2023-04-12 00:00:00,Spain,Spain,ES,64.07,93.13,87.20,64.80,entsoe.eu
2023-04-13 00:00:00,Spain,Spain,ES,69.75,99.18,86.49,63.41,entsoe.eu
2023-04-14 00:00:00,Spain,Spain,ES,55.41,81.97,89.19,66.48,entsoe.eu
2023-04-15 00:00:00,Spain,Spain,ES,58.81,86.41,88.17,64.65,entsoe.eu
2023-04-16 00:00:00,Spain,Spain,ES,74.25,105.14,84.85,59.93,entsoe.eu
2023-04-17 00:00:00,Spain,Spain,ES,75.51,107.49,84.74,64.23,entsoe.eu
2023-04-18 00:00:00,Spain,Spain,ES,90.75,127.53,81.24,60.39,entsoe.eu
2023-04-19 00:00:00,Spain,Spain,ES,119.62,162.57,74.91,52.19,entsoe.eu
2023-04-20 00:00:00,Spain,Spain,ES,140.79,188.70,70.03,47.45,entsoe.eu
2023-04-21 00:00:00,Spain,Spain,ES,120.95,164.23,74.39,52.82,entsoe.eu
2023-04-22 00:00:00,Spain,Spain,ES,98.72,137.24,79.44,55.34,entsoe.eu
2023-04-23 00:00:00,Spain,Spain,ES,88.27,125.45,81.20,58.13,entsoe.eu
2023-04-24 00:00:00,Spain,Spain,ES,114.23,157.17,75.75,52.63,entsoe.eu
2023-04-25 00:00:00,Spain,Spain,ES,115.77,159.98,74.73,53.22,entsoe.eu
2023-04-26 00:00:00,Spain,Spain,ES,151.52,204.92,66.18,45.31,entsoe.eu
2023-04-27 00:00:00,Spain,Spain,ES,155.80,209.96,64.53,43.11,entsoe.eu
2023-04-28 00:00:00,Spain,Spain,ES,131.63,180.56,69.91,48.86,entsoe.eu
2023-04-29 00:00:00,Spain,Spain,ES,107.16,150.20,75.89,55.91,entsoe.eu
2023-04-30 00:00:00,Spain,Spain,ES,107.44,148.94,76.84,56.87,entsoe.eu
2023-05-01 00:00:00,Spain,Spain,ES,116.01,158.02,76.41,55.27,entsoe.eu
2023-05-02 00:00:00,Spain,Spain,ES,137.60,184.71,71.14,50.80,entsoe.eu
2023-05-03 00:00:00,Spain,Spain,ES,99.57,139.28,78.73,60.11,entsoe.eu
2023-05-04 00:00:00,Spain,Spain,ES,97.00,135.69,79.72,58.95,entsoe.eu
2023-05-05 00:00:00,Spain,Spain,ES,122.81,168.61,73.43,53.06,entsoe.eu
2023-05-06 00:00:00,Spain,Spain,ES,110.17,153.94,76.15,53.88,entsoe.eu
