Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Finland,Finland,FI,64.95,97.51,90.36,48.48,entsoe.eu
2023-01-02 00:00:00,Finland,Finland,FI,94.82,132.93,86.05,48.97,entsoe.eu
2023-01-03 00:00:00,Finland,Finland,FI,131.49,173.92,80.56,42.71,entsoe.eu
2023-01-04 00:00:00,Finland,Finland,FI,114.47,155.27,83.08,48.07,entsoe.eu
2023-01-05 00:00:00,Finland,Finland,FI,118.00,158.86,82.27,46.73,entsoe.eu
2023-01-06 00:00:00,Finland,Finland,FI,121.97,163.63,81.52,40.72,entsoe.eu
2023-01-07 00:00:00,Finland,Finland,FI,101.28,137.97,85.09,48.03,entsoe.eu
2023-01-08 00:00:00,Finland,Finland,FI,83.17,118.09,87.63,50.76,entsoe.eu
2023-01-09 00:00:00,Finland,Finland,FI,86.85,121.80,87.17,50.62,entsoe.eu
2023-01-10 00:00:00,Finland,Finland,FI,95.15,132.00,86.10,53.22,Electricity Maps Estimation; entsoe.eu
2023-01-11 00:00:00,Finland,Finland,FI,68.54,102.06,89.81,61.47,Electricity Maps Estimation; entsoe.eu
2023-01-12 00:00:00,Finland,Finland,FI,54.45,87.22,91.78,65.00,entsoe.eu
2023-01-13 00:00:00,Finland,Finland,FI,57.84,93.10,91.24,62.89,entsoe.eu
2023-01-14 00:00:00,Finland,Finland,FI,66.64,105.20,90.01,55.19,Electricity Maps Estimation; entsoe.eu
2023-01-15 00:00:00,Finland,Finland,FI,66.36,103.39,90.10,58.68,Electricity Maps Estimation; entsoe.eu
2023-01-16 00:00:00,Finland,Finland,FI,71.07,106.82,89.37,61.91,entsoe.eu
2023-01-17 00:00:00,Finland,Finland,FI,72.50,108.11,89.26,61.25,entsoe.eu
2023-01-18 00:00:00,Finland,Finland,FI,74.74,110.52,88.94,62.02,entsoe.eu
2023-01-19 00:00:00,Finland,Finland,FI,123.00,164.67,81.51,53.07,entsoe.eu
2023-01-20 00:00:00,Finland,Finland,FI,106.26,145.44,83.93,58.26,entsoe.eu
2023-01-21 00:00:00,Finland,Finland,FI,99.68,141.07,84.88,56.13,entsoe.eu
2023-01-22 00:00:00,Finland,Finland,FI,87.79,126.82,86.79,58.18,entsoe.eu
2023-01-23 00:00:00,Finland,Finland,FI,75.03,111.32,88.69,63.70,entsoe.eu
2023-01-24 00:00:00,Finland,Finland,FI,87.78,126.16,86.54,58.57,entsoe.eu
2023-01-25 00:00:00,Finland,Finland,FI,55.61,87.61,91.45,64.94,entsoe.eu
2023-01-26 00:00:00,Finland,Finland,FI,85.05,122.45,87.05,59.88,entsoe.eu
2023-01-27 00:00:00,Finland,Finland,FI,92.61,131.08,85.90,63.82,entsoe.eu
2023-01-28 00:00:00,Finland,Finland,FI,57.20,92.49,91.18,72.76,entsoe.eu
2023-01-29 00:00:00,Finland,Finland,FI,57.23,94.55,91.10,67.42,entsoe.eu
2023-01-30 00:00:00,Finland,Finland,FI,70.07,107.55,89.28,60.31,entsoe.eu
2023-01-31 00:00:00,Finland,Finland,FI,84.73,124.25,87.12,56.98,entsoe.eu
2023-02-01 00:00:00,Finland,Finland,FI,118.10,161.78,82.28,50.67,entsoe.eu
2023-02-02 00:00:00,Finland,Finland,FI,138.85,183.05,78.91,50.69,entsoe.eu
2023-02-03 00:00:00,Finland,Finland,FI,127.12,171.45,80.79,53.25,entsoe.eu
2023-02-04 00:00:00,Finland,Finland,FI,125.02,168.66,81.00,54.25,entsoe.eu
2023-02-05 00:00:00,Finland,Finland,FI,84.67,123.89,87.19,60.59,entsoe.eu
