Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,365.72,474.76,19.41,16.17,Electricity Maps Estimation
2023-01-02 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,265.41,348.01,41.55,41.55,Electricity Maps Estimation
2023-01-03 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,175.23,234.05,61.41,61.41,Electricity Maps Estimation
2023-01-04 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,119.30,163.38,73.73,73.73,Electricity Maps Estimation
2023-01-05 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,177.76,237.24,60.85,60.85,Electricity Maps Estimation
2023-01-06 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,192.77,256.21,57.55,57.55,Electricity Maps Estimation
2023-01-07 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,145.75,196.80,67.90,67.90,Electricity Maps Estimation
2023-01-08 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,125.04,170.63,72.46,72.46,Electricity Maps Estimation
2023-01-09 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,179.24,239.12,60.52,60.52,Electricity Maps Estimation
2023-01-10 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,141.39,191.28,68.86,68.86,Electricity Maps Estimation
2023-01-11 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,142.50,192.69,68.62,68.62,Electricity Maps Estimation
2023-01-12 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,148.45,200.21,67.31,67.31,Electricity Maps Estimation
2023-01-13 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,184.52,245.79,59.36,59.36,Electricity Maps Estimation
2023-01-14 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,133.73,181.60,70.55,70.55,Electricity Maps Estimation
2023-01-15 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,316.18,412.16,30.37,30.37,Electricity Maps Estimation
2023-01-16 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,350.86,455.99,22.73,22.73,Electricity Maps Estimation
2023-01-17 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,330.95,430.82,27.12,27.12,Electricity Maps Estimation
2023-01-18 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,301.90,394.11,33.51,33.51,Electricity Maps Estimation
2023-01-19 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,348.13,452.53,23.33,23.33,Electricity Maps Estimation
2023-01-20 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,307.40,401.07,32.30,32.30,Electricity Maps Estimation
2023-01-21 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,168.27,225.25,62.94,62.94,Electricity Maps Estimation
2023-01-22 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,268.95,352.48,40.77,40.77,Electricity Maps Estimation
2023-01-23 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,348.24,452.68,23.30,23.30,Electricity Maps Estimation
2023-01-24 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,328.54,427.77,27.65,27.65,Electricity Maps Estimation
2023-01-25 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,277.87,363.75,38.80,38.80,Electricity Maps Estimation
2023-01-26 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,346.67,450.69,23.65,23.65,Electricity Maps Estimation
2023-01-27 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,356.13,462.64,21.57,21.57,Electricity Maps Estimation
2023-01-28 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,366.72,476.03,19.23,19.23,Electricity Maps Estimation
2023-01-29 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,173.99,232.48,61.68,61.68,Electricity Maps Estimation
2023-01-30 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,232.73,306.71,48.75,48.75,Electricity Maps Estimation
2023-01-31 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,172.88,231.08,61.93,61.93,Electricity Maps Estimation
2023-02-01 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,160.81,215.83,64.58,64.58,Electricity Maps Estimation
2023-02-02 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,174.67,233.34,61.53,61.53,Electricity Maps Estimation
2023-02-03 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,211.32,279.66,53.46,53.46,Electricity Maps Estimation
2023-02-04 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,207.02,274.22,54.41,54.41,Electricity Maps Estimation
2023-02-05 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,203.93,270.32,55.09,55.09,Electricity Maps Estimation
2023-02-06 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,242.37,318.88,46.62,46.62,Electricity Maps Estimation
2023-02-07 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,331.44,431.45,27.00,27.00,Electricity Maps Estimation
2023-02-08 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,155.32,208.89,65.79,65.79,Electricity Maps Estimation
2023-02-09 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,237.51,312.75,47.69,47.69,Electricity Maps Estimation
2023-02-10 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,194.94,258.95,57.07,57.07,Electricity Maps Estimation
2023-02-11 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,324.45,422.61,28.54,28.54,Electricity Maps Estimation
2023-02-12 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,299.07,390.54,34.13,34.13,Electricity Maps Estimation
2023-02-13 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,243.81,320.70,46.31,46.31,Electricity Maps Estimation
2023-02-14 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,165.36,221.57,63.58,63.58,Electricity Maps Estimation
2023-02-15 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,180.61,240.84,60.22,60.22,Electricity Maps Estimation
2023-02-16 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,235.37,310.04,48.16,48.16,Electricity Maps Estimation
2023-02-17 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,220.84,291.69,51.36,51.36,Electricity Maps Estimation
2023-02-18 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,152.19,204.93,66.48,66.48,Electricity Maps Estimation
2023-02-19 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,137.06,185.81,69.82,69.82,Electricity Maps Estimation
2023-02-20 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,140.59,190.28,69.04,69.04,Electricity Maps Estimation
2023-02-21 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,263.62,345.74,41.94,41.94,Electricity Maps Estimation
2023-02-22 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,251.75,330.75,44.55,44.55,Electricity Maps Estimation
2023-02-23 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,321.72,419.16,29.14,29.14,Electricity Maps Estimation
2023-02-24 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,199.58,264.82,56.04,56.04,Electricity Maps Estimation
2023-02-25 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,341.28,443.87,24.84,24.84,Electricity Maps Estimation
2023-02-26 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,336.70,438.10,25.84,25.84,Electricity Maps Estimation
2023-02-27 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,359.29,466.63,20.87,20.87,Electricity Maps Estimation
2023-02-28 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,372.71,483.60,17.92,17.92,Electricity Maps Estimation
2023-03-01 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,327.13,425.99,27.96,27.96,Electricity Maps Estimation
2023-03-02 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,357.25,464.06,21.32,21.32,Electricity Maps Estimation
2023-03-03 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,404.03,523.17,11.02,11.02,Electricity Maps Estimation
2023-03-04 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,401.51,519.99,11.57,11.57,Electricity Maps Estimation
2023-03-05 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,338.79,440.73,25.39,25.39,Electricity Maps Estimation
2023-03-06 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,316.09,412.04,30.39,30.39,Electricity Maps Estimation
2023-03-07 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,377.12,489.16,16.95,16.95,Electricity Maps Estimation
2023-03-08 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,350.35,455.34,22.84,22.84,Electricity Maps Estimation
2023-03-09 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,231.49,305.14,49.02,49.02,Electricity Maps Estimation
2023-03-10 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,369.05,478.97,18.72,18.72,Electricity Maps Estimation
2023-03-11 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,263.30,345.34,42.01,42.01,Electricity Maps Estimation
2023-03-12 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,195.03,259.07,57.05,57.05,Electricity Maps Estimation
2023-03-13 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,168.45,225.48,62.90,62.90,Electricity Maps Estimation
2023-03-14 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,316.40,412.43,30.32,30.32,Electricity Maps Estimation
2023-03-15 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,265.31,347.88,41.57,41.57,Electricity Maps Estimation
2023-03-16 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,236.10,310.97,48.00,48.00,Electricity Maps Estimation
2023-03-17 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,277.56,365.67,37.54,33.24,Electricity Maps Estimation
2023-03-18 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,193.70,260.86,55.79,48.88,Electricity Maps Estimation
2023-03-19 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,249.08,329.71,44.53,39.98,Electricity Maps Estimation
2023-03-20 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,298.64,390.24,34.11,33.80,Electricity Maps Estimation
2023-03-21 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,206.08,274.04,54.35,53.06,Electricity Maps Estimation
2023-03-22 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,150.77,204.09,66.44,63.37,Electricity Maps Estimation
2023-03-23 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,142.19,195.69,67.90,61.47,Electricity Maps Estimation
2023-03-24 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,148.53,202.24,67.07,63.56,Electricity Maps Estimation
2023-03-25 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,224.11,299.92,49.78,42.90,Electricity Maps Estimation
2023-03-26 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,255.17,339.98,42.60,35.53,Electricity Maps Estimation
2023-03-27 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,296.72,390.98,33.58,29.62,Electricity Maps Estimation
2023-03-28 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,198.85,267.54,54.94,51.10,Electricity Maps Estimation
2023-03-29 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,195.87,261.16,56.58,54.51,Electricity Maps Estimation
2023-03-30 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,208.29,278.86,53.29,47.54,Electricity Maps Estimation
2023-03-31 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,241.34,323.35,45.03,36.70,Electricity Maps Estimation
2023-04-01 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,247.49,327.91,44.93,40.19,Electricity Maps Estimation
2023-04-02 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,251.49,338.14,42.53,34.41,Electricity Maps Estimation
2023-04-03 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,173.35,232.73,61.52,60.67,Electricity Maps Estimation
2023-04-04 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,182.90,244.13,59.65,59.39,Electricity Maps Estimation
2023-04-05 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,252.76,336.50,42.48,38.82,Electricity Maps Estimation
2023-04-06 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,251.23,336.61,42.53,37.51,Electricity Maps Estimation
2023-04-07 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,266.05,353.45,40.07,36.73,Electricity Maps Estimation
2023-04-08 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,186.19,248.42,58.88,58.50,Electricity Maps Estimation
2023-04-09 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,142.28,194.15,68.18,66.53,Electricity Maps Estimation
2023-04-10 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,153.55,210.68,65.70,59.83,Electricity Maps Estimation
2023-04-11 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,154.79,211.74,65.12,60.73,Electricity Maps Estimation
2023-04-12 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,167.45,226.05,62.78,60.91,Electricity Maps Estimation
2023-04-13 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,165.32,226.28,62.36,58.18,Electricity Maps Estimation
2023-04-14 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,303.33,401.97,30.40,25.57,Electricity Maps Estimation
2023-04-15 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,232.71,312.51,46.64,39.57,Electricity Maps Estimation
2023-04-16 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,256.62,345.71,40.39,31.77,Electricity Maps Estimation
2023-04-17 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,306.12,404.35,30.59,26.90,Electricity Maps Estimation
2023-04-18 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,231.04,309.77,48.02,44.10,Electricity Maps Estimation
2023-04-19 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,168.81,228.34,62.40,59.76,Electricity Maps Estimation
2023-04-20 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,204.04,273.46,54.35,52.06,Electricity Maps Estimation
2023-04-21 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,187.86,251.23,58.21,56.71,Electricity Maps Estimation
2023-04-22 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,202.33,272.98,53.53,45.82,Electricity Maps Estimation
2023-04-23 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,196.66,267.92,54.85,43.53,Electricity Maps Estimation
2023-04-24 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,216.25,290.53,50.60,44.27,Electricity Maps Estimation
2023-04-25 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,306.05,404.27,30.65,25.69,Electricity Maps Estimation
2023-04-26 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,334.51,438.55,24.64,21.12,Electricity Maps Estimation
2023-04-27 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,267.50,353.63,39.57,36.14,Electricity Maps Estimation
2023-04-28 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,313.24,413.69,28.36,20.77,Electricity Maps Estimation
2023-04-29 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,296.44,392.74,31.86,23.65,Electricity Maps Estimation
2023-04-30 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,257.12,342.54,41.96,34.30,Electricity Maps Estimation
2023-05-01 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,249.95,333.79,43.12,36.17,Electricity Maps Estimation
2023-05-02 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,297.57,394.36,31.71,25.49,Electricity Maps Estimation
2023-05-03 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,238.36,315.67,46.81,45.05,Electricity Maps Estimation
2023-05-04 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,149.38,204.37,66.18,62.85,Electricity Maps Estimation
2023-05-05 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,203.80,274.23,53.20,48.38,Electricity Maps Estimation
2023-05-06 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,267.77,355.73,37.78,28.80,Electricity Maps Estimation
2023-05-07 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,224.78,299.25,49.25,42.00,Electricity Maps Estimation
2023-05-08 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,202.63,273.44,53.56,46.53,Electricity Maps Estimation
2023-05-09 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,299.31,394.93,32.20,26.67,Electricity Maps Estimation
2023-05-10 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,254.15,334.07,43.85,43.53,Electricity Maps Estimation
2023-05-11 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,302.13,394.69,33.28,32.91,Electricity Maps Estimation
2023-05-12 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,293.54,388.95,33.42,28.10,Electricity Maps Estimation
2023-05-13 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,222.67,300.65,48.17,36.84,Electricity Maps Estimation
2023-05-14 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,221.77,296.86,49.28,41.24,Electricity Maps Estimation
2023-05-15 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,210.07,283.50,51.74,45.09,Electricity Maps Estimation
2023-05-16 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,206.87,278.93,52.02,43.63,Electricity Maps Estimation
2023-05-17 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,276.84,367.91,35.67,27.07,Electricity Maps Estimation
2023-05-18 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,249.79,333.77,42.07,32.85,Electricity Maps Estimation
2023-05-19 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,266.38,353.84,37.79,26.60,Electricity Maps Estimation
2023-05-20 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,229.91,307.39,47.57,33.02,Electricity Maps Estimation
2023-05-21 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,210.35,282.34,51.96,37.87,Electricity Maps Estimation
2023-05-22 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,203.60,272.43,53.30,45.30,Electricity Maps Estimation
2023-05-23 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,209.50,280.24,51.35,40.05,Electricity Maps Estimation
2023-05-24 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,231.74,308.80,46.33,36.79,Electricity Maps Estimation
2023-05-25 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,248.06,330.80,42.40,30.14,Electricity Maps Estimation
2023-05-26 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,246.27,329.59,43.07,30.86,Electricity Maps Estimation
2023-05-27 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,183.00,249.84,57.90,43.72,Electricity Maps Estimation
2023-05-28 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,171.45,234.93,60.77,46.43,Electricity Maps Estimation
