Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Great Britain,Great Britain,GB,90.77,131.07,79.12,53.03, nationalgrideso.com; elexon.co.uk
2023-01-02 00:00:00,Great Britain,Great Britain,GB,132.87,190.71,68.60,42.93, nationalgrideso.com; elexon.co.uk
2023-01-03 00:00:00,Great Britain,Great Britain,GB,84.87,128.36,79.94,59.90, nationalgrideso.com; elexon.co.uk
2023-01-04 00:00:00,Great Britain,Great Britain,GB,51.72,82.84,87.27,67.34, nationalgrideso.com; elexon.co.uk
2023-01-05 00:00:00,Great Britain,Great Britain,GB,92.79,140.29,76.08,57.89, nationalgrideso.com; elexon.co.uk
2023-01-06 00:00:00,Great Britain,Great Britain,GB,76.03,112.03,81.22,62.83, nationalgrideso.com; elexon.co.uk
2023-01-07 00:00:00,Great Britain,Great Britain,GB,48.76,74.43,88.62,68.68, nationalgrideso.com; elexon.co.uk
2023-01-08 00:00:00,Great Britain,Great Britain,GB,53.95,85.38,87.16,67.60, nationalgrideso.com; elexon.co.uk
2023-01-09 00:00:00,Great Britain,Great Britain,GB,67.36,105.97,84.19,64.80, nationalgrideso.com; elexon.co.uk
2023-01-10 00:00:00,Great Britain,Great Britain,GB,63.45,100.08,85.70,67.21, nationalgrideso.com; elexon.co.uk
2023-01-11 00:00:00,Great Britain,Great Britain,GB,53.70,86.98,88.11,70.38, nationalgrideso.com; elexon.co.uk
2023-01-12 00:00:00,Great Britain,Great Britain,GB,57.21,94.21,86.60,67.25, nationalgrideso.com; elexon.co.uk
2023-01-13 00:00:00,Great Britain,Great Britain,GB,65.36,103.66,85.01,67.15, nationalgrideso.com; elexon.co.uk
2023-01-14 00:00:00,Great Britain,Great Britain,GB,47.70,74.58,88.94,68.69, nationalgrideso.com; elexon.co.uk
2023-01-15 00:00:00,Great Britain,Great Britain,GB,100.38,146.88,75.87,57.25, nationalgrideso.com; elexon.co.uk
2023-01-16 00:00:00,Great Britain,Great Britain,GB,154.36,217.94,61.93,45.16, nationalgrideso.com; elexon.co.uk
2023-01-17 00:00:00,Great Britain,Great Britain,GB,184.57,256.63,53.94,39.99, nationalgrideso.com; elexon.co.uk
2023-01-18 00:00:00,Great Britain,Great Britain,GB,145.83,207.74,63.48,52.29, nationalgrideso.com; elexon.co.uk
2023-01-19 00:00:00,Great Britain,Great Britain,GB,183.86,255.74,54.03,42.52, nationalgrideso.com; elexon.co.uk
2023-01-20 00:00:00,Great Britain,Great Britain,GB,188.11,262.27,52.50,39.39, nationalgrideso.com; elexon.co.uk
2023-01-21 00:00:00,Great Britain,Great Britain,GB,168.03,232.97,59.31,41.07, nationalgrideso.com; elexon.co.uk
2023-01-22 00:00:00,Great Britain,Great Britain,GB,171.35,240.30,58.08,39.56, nationalgrideso.com; elexon.co.uk
2023-01-23 00:00:00,Great Britain,Great Britain,GB,219.46,302.21,44.62,31.15, nationalgrideso.com; elexon.co.uk
2023-01-24 00:00:00,Great Britain,Great Britain,GB,222.66,306.07,43.48,30.53, nationalgrideso.com; elexon.co.uk
2023-01-25 00:00:00,Great Britain,Great Britain,GB,191.08,265.62,51.16,39.62, nationalgrideso.com; elexon.co.uk
2023-01-26 00:00:00,Great Britain,Great Britain,GB,187.13,260.78,52.92,39.78, nationalgrideso.com; elexon.co.uk
2023-01-27 00:00:00,Great Britain,Great Britain,GB,216.09,294.81,45.59,29.75, nationalgrideso.com; elexon.co.uk
2023-01-28 00:00:00,Great Britain,Great Britain,GB,225.63,310.70,43.16,26.28, nationalgrideso.com; elexon.co.uk
2023-01-29 00:00:00,Great Britain,Great Britain,GB,83.73,124.51,80.61,63.41, nationalgrideso.com; elexon.co.uk
2023-01-30 00:00:00,Great Britain,Great Britain,GB,127.01,181.59,68.26,55.60, nationalgrideso.com; elexon.co.uk
2023-01-31 00:00:00,Great Britain,Great Britain,GB,91.34,138.17,77.76,65.84, nationalgrideso.com; elexon.co.uk
2023-02-01 00:00:00,Great Britain,Great Britain,GB,72.66,114.07,82.88,68.11, nationalgrideso.com; elexon.co.uk
2023-02-02 00:00:00,Great Britain,Great Britain,GB,83.75,128.73,79.74,66.72, nationalgrideso.com; elexon.co.uk
2023-02-03 00:00:00,Great Britain,Great Britain,GB,99.88,150.27,75.83,57.75, nationalgrideso.com; elexon.co.uk
2023-02-04 00:00:00,Great Britain,Great Britain,GB,116.72,170.59,71.13,47.40, nationalgrideso.com; elexon.co.uk
2023-02-05 00:00:00,Great Britain,Great Britain,GB,112.84,168.57,72.14,50.11, nationalgrideso.com; elexon.co.uk
2023-02-06 00:00:00,Great Britain,Great Britain,GB,183.00,257.14,54.26,40.12, nationalgrideso.com; elexon.co.uk
2023-02-07 00:00:00,Great Britain,Great Britain,GB,217.93,300.60,45.68,31.10, nationalgrideso.com; elexon.co.uk
2023-02-08 00:00:00,Great Britain,Great Britain,GB,153.13,217.81,61.96,51.27, nationalgrideso.com; elexon.co.uk
2023-02-09 00:00:00,Great Britain,Great Britain,GB,156.68,221.83,61.59,49.77, nationalgrideso.com; elexon.co.uk
2023-02-10 00:00:00,Great Britain,Great Britain,GB,126.45,183.79,68.59,57.41, nationalgrideso.com; elexon.co.uk
2023-02-11 00:00:00,Great Britain,Great Britain,GB,158.87,223.03,61.23,44.49, nationalgrideso.com; elexon.co.uk
2023-02-12 00:00:00,Great Britain,Great Britain,GB,194.43,271.67,51.93,32.65, nationalgrideso.com; elexon.co.uk
