Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Croatia,Croatia,HR,209.33,242.66,72.77,45.65,entsoe.eu
2023-01-02 00:00:00,Croatia,Croatia,HR,234.05,265.46,70.53,48.94,entsoe.eu
2023-01-03 00:00:00,Croatia,Croatia,HR,254.53,284.13,69.38,50.15,entsoe.eu
2023-01-04 00:00:00,Croatia,Croatia,HR,245.71,274.52,70.42,54.88,entsoe.eu
2023-01-05 00:00:00,Croatia,Croatia,HR,239.97,265.07,71.99,56.00,entsoe.eu
2023-01-06 00:00:00,Croatia,Croatia,HR,271.46,307.35,65.60,45.99,entsoe.eu
2023-01-07 00:00:00,Croatia,Croatia,HR,244.47,280.49,68.55,46.56,entsoe.eu
2023-01-08 00:00:00,Croatia,Croatia,HR,217.87,256.54,70.03,50.58,entsoe.eu
2023-01-09 00:00:00,Croatia,Croatia,HR,253.04,285.10,66.27,59.74,entsoe.eu
2023-01-10 00:00:00,Croatia,Croatia,HR,238.63,274.32,65.51,63.05,Electricity Maps Estimation; entsoe.eu
2023-01-11 00:00:00,Croatia,Croatia,HR,209.58,242.08,69.55,63.13,entsoe.eu
2023-01-12 00:00:00,Croatia,Croatia,HR,200.15,227.93,73.39,64.79,entsoe.eu
2023-01-13 00:00:00,Croatia,Croatia,HR,217.26,247.91,70.88,58.97,entsoe.eu
2023-01-14 00:00:00,Croatia,Croatia,HR,190.82,223.07,73.38,59.82,entsoe.eu
2023-01-15 00:00:00,Croatia,Croatia,HR,189.61,228.01,70.66,57.45,entsoe.eu
2023-01-16 00:00:00,Croatia,Croatia,HR,227.27,257.98,67.99,66.01,entsoe.eu
2023-01-17 00:00:00,Croatia,Croatia,HR,229.02,259.51,68.33,67.73,entsoe.eu
2023-01-18 00:00:00,Croatia,Croatia,HR,251.84,284.39,66.59,66.16,entsoe.eu
2023-01-19 00:00:00,Croatia,Croatia,HR,255.38,288.06,67.49,67.08,entsoe.eu
2023-01-20 00:00:00,Croatia,Croatia,HR,221.41,250.61,71.36,71.18,entsoe.eu
2023-01-21 00:00:00,Croatia,Croatia,HR,218.03,246.18,70.86,70.35,entsoe.eu
2023-01-22 00:00:00,Croatia,Croatia,HR,236.20,268.21,68.43,67.95,entsoe.eu
2023-01-23 00:00:00,Croatia,Croatia,HR,220.26,254.07,70.06,69.70,entsoe.eu
2023-01-24 00:00:00,Croatia,Croatia,HR,229.93,268.74,67.52,67.12,entsoe.eu
2023-01-25 00:00:00,Croatia,Croatia,HR,214.12,247.22,70.44,70.31,entsoe.eu
2023-01-26 00:00:00,Croatia,Croatia,HR,222.06,253.04,69.22,68.91,entsoe.eu
2023-01-27 00:00:00,Croatia,Croatia,HR,216.78,248.98,69.19,68.46,entsoe.eu
2023-01-28 00:00:00,Croatia,Croatia,HR,210.18,248.47,68.03,64.24,entsoe.eu
2023-01-29 00:00:00,Croatia,Croatia,HR,237.35,279.09,63.35,59.27,entsoe.eu
2023-01-30 00:00:00,Croatia,Croatia,HR,268.01,308.36,61.06,55.97,entsoe.eu
