Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Hungary,Hungary,HU,216.35,249.48,74.47,18.09,entsoe.eu
2023-01-02 00:00:00,Hungary,Hungary,HU,237.84,273.76,70.29,16.14,entsoe.eu
2023-01-03 00:00:00,Hungary,Hungary,HU,257.22,295.24,67.92,16.64,entsoe.eu
2023-01-04 00:00:00,Hungary,Hungary,HU,236.00,275.41,69.56,20.38,entsoe.eu
2023-01-05 00:00:00,Hungary,Hungary,HU,220.26,256.09,71.40,22.57,entsoe.eu
2023-01-06 00:00:00,Hungary,Hungary,HU,243.21,282.21,69.02,19.02,entsoe.eu
2023-01-07 00:00:00,Hungary,Hungary,HU,228.06,266.46,70.94,19.95,entsoe.eu
2023-01-08 00:00:00,Hungary,Hungary,HU,227.69,265.12,70.62,17.07,entsoe.eu
2023-01-09 00:00:00,Hungary,Hungary,HU,245.85,281.01,68.74,18.71,entsoe.eu
2023-01-10 00:00:00,Hungary,Hungary,HU,231.88,269.00,68.77,22.19,entsoe.eu
2023-01-11 00:00:00,Hungary,Hungary,HU,266.27,308.30,64.97,19.63,entsoe.eu
2023-01-12 00:00:00,Hungary,Hungary,HU,262.89,306.45,64.11,18.48,entsoe.eu
2023-01-13 00:00:00,Hungary,Hungary,HU,267.08,313.88,62.30,18.15,entsoe.eu
2023-01-14 00:00:00,Hungary,Hungary,HU,227.14,266.15,70.05,22.07,entsoe.eu
2023-01-15 00:00:00,Hungary,Hungary,HU,225.93,263.71,70.41,20.73,entsoe.eu
2023-01-16 00:00:00,Hungary,Hungary,HU,271.81,312.38,63.30,14.18,entsoe.eu
2023-01-17 00:00:00,Hungary,Hungary,HU,254.64,295.65,64.51,17.91,entsoe.eu
2023-01-18 00:00:00,Hungary,Hungary,HU,258.41,299.39,63.39,19.17,entsoe.eu
2023-01-19 00:00:00,Hungary,Hungary,HU,257.84,301.13,62.05,21.87,entsoe.eu
2023-01-20 00:00:00,Hungary,Hungary,HU,248.27,289.88,63.46,21.25,entsoe.eu
2023-01-21 00:00:00,Hungary,Hungary,HU,253.02,290.06,66.38,16.63,entsoe.eu
2023-01-22 00:00:00,Hungary,Hungary,HU,242.37,280.45,66.94,18.27,entsoe.eu
2023-01-23 00:00:00,Hungary,Hungary,HU,237.46,282.64,62.54,17.30,entsoe.eu
2023-01-24 00:00:00,Hungary,Hungary,HU,234.52,282.29,62.01,16.38,entsoe.eu
2023-01-25 00:00:00,Hungary,Hungary,HU,250.23,300.42,59.81,13.76,entsoe.eu
2023-01-26 00:00:00,Hungary,Hungary,HU,281.82,332.41,57.58,12.06,entsoe.eu
2023-01-27 00:00:00,Hungary,Hungary,HU,276.71,325.19,58.22,14.11,entsoe.eu
2023-01-28 00:00:00,Hungary,Hungary,HU,251.32,295.30,64.30,15.90,entsoe.eu
2023-01-29 00:00:00,Hungary,Hungary,HU,257.76,301.37,64.23,13.84,entsoe.eu
2023-01-30 00:00:00,Hungary,Hungary,HU,247.99,296.88,61.35,18.36,entsoe.eu
2023-01-31 00:00:00,Hungary,Hungary,HU,224.02,269.98,65.71,23.00,entsoe.eu
2023-02-01 00:00:00,Hungary,Hungary,HU,243.62,291.31,63.68,22.83,entsoe.eu
2023-02-02 00:00:00,Hungary,Hungary,HU,246.31,293.53,64.01,21.18,entsoe.eu
2023-02-03 00:00:00,Hungary,Hungary,HU,255.70,303.35,62.77,20.47,entsoe.eu
2023-02-04 00:00:00,Hungary,Hungary,HU,224.59,266.28,68.06,23.26,entsoe.eu
2023-02-05 00:00:00,Hungary,Hungary,HU,197.88,236.96,70.16,22.41,entsoe.eu
2023-02-06 00:00:00,Hungary,Hungary,HU,254.80,301.62,61.04,19.06,entsoe.eu
2023-02-07 00:00:00,Hungary,Hungary,HU,266.43,315.79,60.17,16.87,entsoe.eu
2023-02-08 00:00:00,Hungary,Hungary,HU,273.26,322.46,59.72,15.12,entsoe.eu
