Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Ireland,Ireland,IE,425.41,514.85,30.32,27.51,Electricity Maps Estimation
2023-01-02 00:00:00,Ireland,Ireland,IE,360.69,437.82,41.32,41.12,Electricity Maps Estimation
2023-01-03 00:00:00,Ireland,Ireland,IE,173.26,216.97,71.76,71.52,Electricity Maps Estimation
2023-01-04 00:00:00,Ireland,Ireland,IE,178.00,222.64,70.97,70.37,Electricity Maps Estimation
2023-01-05 00:00:00,Ireland,Ireland,IE,190.46,237.38,68.91,68.17,Electricity Maps Estimation
2023-01-06 00:00:00,Ireland,Ireland,IE,231.03,285.18,62.27,61.63,Electricity Maps Estimation
2023-01-07 00:00:00,Ireland,Ireland,IE,173.51,217.24,71.67,71.10,Electricity Maps Estimation
2023-01-08 00:00:00,Ireland,Ireland,IE,206.75,256.54,66.28,65.65,Electricity Maps Estimation
2023-01-09 00:00:00,Ireland,Ireland,IE,213.60,264.85,65.10,64.33,Electricity Maps Estimation
2023-01-10 00:00:00,Ireland,Ireland,IE,152.16,192.15,75.21,74.82,Electricity Maps Estimation
2023-01-11 00:00:00,Ireland,Ireland,IE,159.75,201.35,73.93,73.20,Electricity Maps Estimation
2023-01-12 00:00:00,Ireland,Ireland,IE,148.73,188.06,75.78,75.50,Electricity Maps Estimation
2023-01-13 00:00:00,Ireland,Ireland,IE,216.77,268.46,64.67,64.10,Electricity Maps Estimation
2023-01-14 00:00:00,Ireland,Ireland,IE,177.92,222.42,70.96,70.23,Electricity Maps Estimation
2023-01-15 00:00:00,Ireland,Ireland,IE,359.50,436.68,41.36,40.84,Electricity Maps Estimation
2023-01-16 00:00:00,Ireland,Ireland,IE,458.20,554.59,24.36,23.03,Electricity Maps Estimation
2023-01-17 00:00:00,Ireland,Ireland,IE,443.01,535.03,27.80,27.49,Electricity Maps Estimation
2023-01-18 00:00:00,Ireland,Ireland,IE,361.01,438.38,41.13,40.93,Electricity Maps Estimation
2023-01-19 00:00:00,Ireland,Ireland,IE,499.67,603.74,17.35,16.39,Electricity Maps Estimation
2023-01-20 00:00:00,Ireland,Ireland,IE,432.07,522.13,29.59,29.36,Electricity Maps Estimation
2023-01-21 00:00:00,Ireland,Ireland,IE,293.65,358.64,52.29,52.28,Electricity Maps Estimation
2023-01-22 00:00:00,Ireland,Ireland,IE,375.53,455.23,38.91,38.83,Electricity Maps Estimation
2023-01-23 00:00:00,Ireland,Ireland,IE,514.01,618.50,16.35,16.24,Electricity Maps Estimation
2023-01-24 00:00:00,Ireland,Ireland,IE,490.95,591.55,19.96,19.73,Electricity Maps Estimation
2023-01-25 00:00:00,Ireland,Ireland,IE,394.02,477.06,35.88,35.79,Electricity Maps Estimation
2023-01-26 00:00:00,Ireland,Ireland,IE,431.22,522.70,28.70,27.77,Electricity Maps Estimation
2023-01-27 00:00:00,Ireland,Ireland,IE,496.84,600.48,17.61,16.12,Electricity Maps Estimation
2023-01-28 00:00:00,Ireland,Ireland,IE,488.19,590.94,18.78,17.12,Electricity Maps Estimation
2023-01-29 00:00:00,Ireland,Ireland,IE,275.40,337.17,55.23,55.16,Electricity Maps Estimation
2023-01-30 00:00:00,Ireland,Ireland,IE,328.95,401.08,46.10,45.37,Electricity Maps Estimation
2023-01-31 00:00:00,Ireland,Ireland,IE,201.13,249.61,67.32,67.32,Electricity Maps Estimation
2023-02-01 00:00:00,Ireland,Ireland,IE,210.33,260.51,65.42,65.39,Electricity Maps Estimation
2023-02-02 00:00:00,Ireland,Ireland,IE,177.86,222.28,70.75,70.70,Electricity Maps Estimation
