Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Israel,Israel,IL,436.91,538.60,6.27,6.27,Electricity Maps Estimation
2023-01-02 00:00:00,Israel,Israel,IL,436.87,538.55,6.29,6.29,Electricity Maps Estimation
2023-01-03 00:00:00,Israel,Israel,IL,436.82,538.49,6.30,6.30,Electricity Maps Estimation
2023-01-04 00:00:00,Israel,Israel,IL,436.76,538.43,6.31,6.31,Electricity Maps Estimation
2023-01-05 00:00:00,Israel,Israel,IL,436.71,538.37,6.32,6.32,Electricity Maps Estimation
2023-01-06 00:00:00,Israel,Israel,IL,436.65,538.31,6.33,6.33,Electricity Maps Estimation
2023-01-07 00:00:00,Israel,Israel,IL,436.60,538.24,6.34,6.34,Electricity Maps Estimation
2023-01-08 00:00:00,Israel,Israel,IL,436.54,538.17,6.36,6.36,Electricity Maps Estimation
2023-01-09 00:00:00,Israel,Israel,IL,436.47,538.10,6.37,6.37,Electricity Maps Estimation
2023-01-10 00:00:00,Israel,Israel,IL,436.41,538.03,6.38,6.38,Electricity Maps Estimation
2023-01-11 00:00:00,Israel,Israel,IL,436.34,537.96,6.40,6.40,Electricity Maps Estimation
2023-01-12 00:00:00,Israel,Israel,IL,436.27,537.88,6.41,6.41,Electricity Maps Estimation
2023-01-13 00:00:00,Israel,Israel,IL,436.20,537.80,6.43,6.43,Electricity Maps Estimation
2023-01-14 00:00:00,Israel,Israel,IL,436.13,537.72,6.44,6.44,Electricity Maps Estimation
2023-01-15 00:00:00,Israel,Israel,IL,436.06,537.64,6.46,6.46,Electricity Maps Estimation
2023-01-16 00:00:00,Israel,Israel,IL,435.98,537.55,6.47,6.47,Electricity Maps Estimation
2023-01-17 00:00:00,Israel,Israel,IL,435.91,537.47,6.49,6.49,Electricity Maps Estimation
2023-01-18 00:00:00,Israel,Israel,IL,435.83,537.38,6.51,6.51,Electricity Maps Estimation
2023-01-19 00:00:00,Israel,Israel,IL,435.75,537.29,6.52,6.52,Electricity Maps Estimation
2023-01-20 00:00:00,Israel,Israel,IL,435.67,537.20,6.54,6.54,Electricity Maps Estimation
2023-01-21 00:00:00,Israel,Israel,IL,435.59,537.11,6.56,6.56,Electricity Maps Estimation
2023-01-22 00:00:00,Israel,Israel,IL,435.51,537.01,6.58,6.58,Electricity Maps Estimation
2023-01-23 00:00:00,Israel,Israel,IL,435.42,536.92,6.59,6.59,Electricity Maps Estimation
2023-01-24 00:00:00,Israel,Israel,IL,435.34,536.82,6.61,6.61,Electricity Maps Estimation
2023-01-25 00:00:00,Israel,Israel,IL,435.25,536.72,6.63,6.63,Electricity Maps Estimation
2023-01-26 00:00:00,Israel,Israel,IL,435.16,536.62,6.65,6.65,Electricity Maps Estimation
2023-01-27 00:00:00,Israel,Israel,IL,435.06,536.51,6.67,6.67,Electricity Maps Estimation
2023-01-28 00:00:00,Israel,Israel,IL,434.96,536.40,6.69,6.69,Electricity Maps Estimation
2023-01-29 00:00:00,Israel,Israel,IL,434.86,536.28,6.72,6.72,Electricity Maps Estimation
2023-01-30 00:00:00,Israel,Israel,IL,434.75,536.15,6.74,6.74,Electricity Maps Estimation
2023-01-31 00:00:00,Israel,Israel,IL,434.63,536.02,6.76,6.76,Electricity Maps Estimation
2023-02-01 00:00:00,Israel,Israel,IL,434.51,535.88,6.79,6.79,Electricity Maps Estimation
2023-02-02 00:00:00,Israel,Israel,IL,434.38,535.74,6.82,6.82,Electricity Maps Estimation
2023-02-03 00:00:00,Israel,Israel,IL,434.25,535.59,6.85,6.85,Electricity Maps Estimation
2023-02-04 00:00:00,Israel,Israel,IL,434.12,535.44,6.87,6.87,Electricity Maps Estimation
2023-02-05 00:00:00,Israel,Israel,IL,433.98,535.29,6.90,6.90,Electricity Maps Estimation
2023-02-06 00:00:00,Israel,Israel,IL,433.84,535.13,6.93,6.93,Electricity Maps Estimation
2023-02-07 00:00:00,Israel,Israel,IL,433.70,534.98,6.96,6.96,Electricity Maps Estimation
2023-02-08 00:00:00,Israel,Israel,IL,433.57,534.82,6.99,6.99,Electricity Maps Estimation
2023-02-09 00:00:00,Israel,Israel,IL,433.43,534.66,7.02,7.02,Electricity Maps Estimation
2023-02-10 00:00:00,Israel,Israel,IL,433.29,534.51,7.05,7.05,Electricity Maps Estimation
2023-02-11 00:00:00,Israel,Israel,IL,433.15,534.35,7.08,7.08,Electricity Maps Estimation
2023-02-12 00:00:00,Israel,Israel,IL,433.02,534.20,7.11,7.11,Electricity Maps Estimation
2023-02-13 00:00:00,Israel,Israel,IL,432.89,534.05,7.14,7.14,Electricity Maps Estimation
2023-02-14 00:00:00,Israel,Israel,IL,432.76,533.91,7.17,7.17,Electricity Maps Estimation
2023-02-15 00:00:00,Israel,Israel,IL,432.63,533.76,7.19,7.19,Electricity Maps Estimation
2023-02-16 00:00:00,Israel,Israel,IL,432.50,533.62,7.22,7.22,Electricity Maps Estimation
2023-02-17 00:00:00,Israel,Israel,IL,432.38,533.48,7.25,7.25,Electricity Maps Estimation
2023-02-18 00:00:00,Israel,Israel,IL,432.26,533.35,7.27,7.27,Electricity Maps Estimation
2023-02-19 00:00:00,Israel,Israel,IL,432.15,533.22,7.30,7.30,Electricity Maps Estimation
2023-02-20 00:00:00,Israel,Israel,IL,432.03,533.09,7.32,7.32,Electricity Maps Estimation
2023-02-21 00:00:00,Israel,Israel,IL,431.92,532.97,7.34,7.34,Electricity Maps Estimation
2023-02-22 00:00:00,Israel,Israel,IL,431.82,532.85,7.37,7.37,Electricity Maps Estimation
2023-02-23 00:00:00,Israel,Israel,IL,431.72,532.73,7.39,7.39,Electricity Maps Estimation
2023-02-24 00:00:00,Israel,Israel,IL,431.62,532.62,7.41,7.41,Electricity Maps Estimation
2023-02-25 00:00:00,Israel,Israel,IL,431.52,532.51,7.43,7.43,Electricity Maps Estimation
2023-02-26 00:00:00,Israel,Israel,IL,431.43,532.41,7.45,7.45,Electricity Maps Estimation
2023-02-27 00:00:00,Israel,Israel,IL,431.34,532.31,7.47,7.47,Electricity Maps Estimation
2023-02-28 00:00:00,Israel,Israel,IL,431.26,532.21,7.49,7.49,Electricity Maps Estimation
2023-03-01 00:00:00,Israel,Israel,IL,431.18,532.12,7.51,7.51,Electricity Maps Estimation
2023-03-02 00:00:00,Israel,Israel,IL,431.10,532.03,7.52,7.52,Electricity Maps Estimation
2023-03-03 00:00:00,Israel,Israel,IL,431.03,531.95,7.54,7.54,Electricity Maps Estimation
