Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Iceland,Iceland,IS,0.00,27.14,100.00,100.00,amper.landsnet.is
2023-01-02 00:00:00,Iceland,Iceland,IS,0.00,27.02,100.00,100.00,amper.landsnet.is; Electricity Maps Estimation
2023-01-03 00:00:00,Iceland,Iceland,IS,0.00,27.04,100.00,100.00,amper.landsnet.is
2023-01-04 00:00:00,Iceland,Iceland,IS,0.00,27.13,100.00,100.00,amper.landsnet.is
2023-01-05 00:00:00,Iceland,Iceland,IS,0.00,27.15,100.00,100.00,amper.landsnet.is
2023-01-06 00:00:00,Iceland,Iceland,IS,0.00,27.19,100.00,100.00,amper.landsnet.is
2023-01-07 00:00:00,Iceland,Iceland,IS,0.00,27.23,100.00,100.00,amper.landsnet.is
2023-01-08 00:00:00,Iceland,Iceland,IS,0.00,27.27,100.00,100.00,amper.landsnet.is
2023-01-09 00:00:00,Iceland,Iceland,IS,0.00,27.21,100.00,100.00,amper.landsnet.is
2023-01-10 00:00:00,Iceland,Iceland,IS,0.00,27.05,100.00,100.00,amper.landsnet.is
2023-01-11 00:00:00,Iceland,Iceland,IS,0.00,27.05,100.00,100.00,amper.landsnet.is
2023-01-12 00:00:00,Iceland,Iceland,IS,0.00,27.05,100.00,100.00,amper.landsnet.is
2023-01-13 00:00:00,Iceland,Iceland,IS,0.00,27.05,100.00,100.00,amper.landsnet.is
2023-01-14 00:00:00,Iceland,Iceland,IS,0.00,27.07,100.00,100.00,amper.landsnet.is
2023-01-15 00:00:00,Iceland,Iceland,IS,0.00,26.97,100.00,100.00,amper.landsnet.is
2023-01-16 00:00:00,Iceland,Iceland,IS,0.00,26.99,100.00,100.00,amper.landsnet.is
2023-01-17 00:00:00,Iceland,Iceland,IS,0.00,27.08,100.00,100.00,amper.landsnet.is
2023-01-18 00:00:00,Iceland,Iceland,IS,0.00,27.02,100.00,100.00,amper.landsnet.is
2023-01-19 00:00:00,Iceland,Iceland,IS,0.00,27.01,100.00,100.00,amper.landsnet.is
2023-01-20 00:00:00,Iceland,Iceland,IS,0.00,27.07,100.00,100.00,amper.landsnet.is
2023-01-21 00:00:00,Iceland,Iceland,IS,0.00,27.18,100.00,100.00,amper.landsnet.is; Electricity Maps Estimation
2023-01-22 00:00:00,Iceland,Iceland,IS,0.00,27.14,100.00,100.00,amper.landsnet.is
2023-01-23 00:00:00,Iceland,Iceland,IS,0.00,27.09,100.00,100.00,amper.landsnet.is
2023-01-24 00:00:00,Iceland,Iceland,IS,0.00,27.14,100.00,100.00,amper.landsnet.is
2023-01-25 00:00:00,Iceland,Iceland,IS,0.00,27.16,100.00,100.00,amper.landsnet.is
2023-01-26 00:00:00,Iceland,Iceland,IS,0.00,27.17,100.00,100.00,amper.landsnet.is
2023-01-27 00:00:00,Iceland,Iceland,IS,0.00,27.15,100.00,100.00,amper.landsnet.is
2023-01-28 00:00:00,Iceland,Iceland,IS,0.00,27.14,100.00,100.00,amper.landsnet.is
2023-01-29 00:00:00,Iceland,Iceland,IS,0.00,27.21,100.00,100.00,amper.landsnet.is
2023-01-30 00:00:00,Iceland,Iceland,IS,0.00,26.80,100.00,100.00,amper.landsnet.is
2023-01-31 00:00:00,Iceland,Iceland,IS,0.00,26.67,100.00,100.00,amper.landsnet.is
2023-02-01 00:00:00,Iceland,Iceland,IS,0.00,26.75,100.00,100.00,amper.landsnet.is
2023-02-02 00:00:00,Iceland,Iceland,IS,0.00,26.98,100.00,100.00,amper.landsnet.is
2023-02-03 00:00:00,Iceland,Iceland,IS,0.00,27.18,100.00,100.00,amper.landsnet.is
2023-02-04 00:00:00,Iceland,Iceland,IS,0.00,27.19,100.00,100.00,amper.landsnet.is
2023-02-05 00:00:00,Iceland,Iceland,IS,0.00,27.25,100.00,100.00,amper.landsnet.is
2023-02-06 00:00:00,Iceland,Iceland,IS,0.00,27.25,100.00,100.00,amper.landsnet.is
2023-02-07 00:00:00,Iceland,Iceland,IS,0.00,27.25,100.00,100.00,amper.landsnet.is
2023-02-08 00:00:00,Iceland,Iceland,IS,0.00,27.21,100.00,100.00,amper.landsnet.is
2023-02-09 00:00:00,Iceland,Iceland,IS,0.00,27.11,100.00,100.00,amper.landsnet.is
2023-02-10 00:00:00,Iceland,Iceland,IS,0.00,27.11,100.00,100.00,amper.landsnet.is
2023-02-11 00:00:00,Iceland,Iceland,IS,0.00,27.25,100.00,100.00,amper.landsnet.is
2023-02-12 00:00:00,Iceland,Iceland,IS,0.00,27.23,100.00,100.00,amper.landsnet.is
2023-02-13 00:00:00,Iceland,Iceland,IS,0.00,27.17,100.00,100.00,amper.landsnet.is
2023-02-14 00:00:00,Iceland,Iceland,IS,0.00,27.18,100.00,100.00,amper.landsnet.is
2023-02-15 00:00:00,Iceland,Iceland,IS,0.00,27.25,100.00,100.00,amper.landsnet.is
2023-02-16 00:00:00,Iceland,Iceland,IS,0.00,27.19,100.00,100.00,amper.landsnet.is
2023-02-17 00:00:00,Iceland,Iceland,IS,0.00,27.16,100.00,100.00,amper.landsnet.is
2023-02-18 00:00:00,Iceland,Iceland,IS,0.00,27.24,100.00,100.00,amper.landsnet.is
2023-02-19 00:00:00,Iceland,Iceland,IS,0.00,27.19,100.00,100.00,amper.landsnet.is
2023-02-20 00:00:00,Iceland,Iceland,IS,0.00,27.15,100.00,100.00,amper.landsnet.is; Electricity Maps Estimation
2023-02-21 00:00:00,Iceland,Iceland,IS,0.00,27.13,100.00,100.00,amper.landsnet.is
2023-02-22 00:00:00,Iceland,Iceland,IS,0.00,27.13,100.00,100.00,amper.landsnet.is
2023-02-23 00:00:00,Iceland,Iceland,IS,0.00,27.14,100.00,100.00,amper.landsnet.is
2023-02-24 00:00:00,Iceland,Iceland,IS,0.00,27.13,100.00,100.00,amper.landsnet.is
2023-02-25 00:00:00,Iceland,Iceland,IS,0.00,27.22,100.00,100.00,amper.landsnet.is
2023-02-26 00:00:00,Iceland,Iceland,IS,0.00,27.09,100.00,100.00,amper.landsnet.is
2023-02-27 00:00:00,Iceland,Iceland,IS,0.00,27.13,100.00,100.00,amper.landsnet.is
2023-02-28 00:00:00,Iceland,Iceland,IS,0.00,27.25,100.00,100.00,amper.landsnet.is
2023-03-01 00:00:00,Iceland,Iceland,IS,0.00,27.23,100.00,100.00,amper.landsnet.is
2023-03-02 00:00:00,Iceland,Iceland,IS,0.00,27.22,100.00,100.00,amper.landsnet.is
2023-03-03 00:00:00,Iceland,Iceland,IS,0.00,27.22,100.00,100.00,amper.landsnet.is; Electricity Maps Estimation
2023-03-04 00:00:00,Iceland,Iceland,IS,0.00,27.26,100.00,100.00,amper.landsnet.is
2023-03-05 00:00:00,Iceland,Iceland,IS,0.00,27.24,100.00,100.00,amper.landsnet.is
2023-03-06 00:00:00,Iceland,Iceland,IS,0.00,27.24,100.00,100.00,amper.landsnet.is
2023-03-07 00:00:00,Iceland,Iceland,IS,0.00,27.19,100.00,100.00,amper.landsnet.is
2023-03-08 00:00:00,Iceland,Iceland,IS,0.00,27.21,100.00,100.00,amper.landsnet.is
2023-03-09 00:00:00,Iceland,Iceland,IS,0.00,27.21,100.00,100.00,amper.landsnet.is
2023-03-10 00:00:00,Iceland,Iceland,IS,0.00,27.14,100.00,100.00,amper.landsnet.is
2023-03-11 00:00:00,Iceland,Iceland,IS,0.00,27.15,100.00,100.00,amper.landsnet.is
2023-03-12 00:00:00,Iceland,Iceland,IS,0.00,27.21,100.00,100.00,amper.landsnet.is
2023-03-13 00:00:00,Iceland,Iceland,IS,0.00,27.16,100.00,100.00,amper.landsnet.is
2023-03-14 00:00:00,Iceland,Iceland,IS,0.00,27.23,100.00,100.00,amper.landsnet.is
2023-03-15 00:00:00,Iceland,Iceland,IS,0.00,27.22,100.00,100.00,amper.landsnet.is
2023-03-16 00:00:00,Iceland,Iceland,IS,0.00,27.25,100.00,100.00,amper.landsnet.is
2023-03-17 00:00:00,Iceland,Iceland,IS,0.00,27.19,100.00,100.00,amper.landsnet.is
2023-03-18 00:00:00,Iceland,Iceland,IS,0.00,27.20,100.00,100.00,amper.landsnet.is
2023-03-19 00:00:00,Iceland,Iceland,IS,0.00,27.24,100.00,100.00,amper.landsnet.is
