Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Italy,Italy,IT,370.58,456.50,36.90,30.15,
2023-01-02 00:00:00,Italy,Italy,IT,372.86,460.32,32.86,26.00,
2023-01-03 00:00:00,Italy,Italy,IT,345.94,424.73,39.17,27.97,
2023-01-04 00:00:00,Italy,Italy,IT,314.10,386.10,46.43,34.76,
2023-01-05 00:00:00,Italy,Italy,IT,325.93,401.36,43.18,31.90,
2023-01-06 00:00:00,Italy,Italy,IT,310.16,381.02,47.49,31.61,
2023-01-07 00:00:00,Italy,Italy,IT,309.84,383.29,45.99,29.93,
2023-01-08 00:00:00,Italy,Italy,IT,282.88,349.69,52.44,38.12,
2023-01-09 00:00:00,Italy,Italy,IT,262.92,326.31,53.61,43.55,
2023-01-10 00:00:00,Italy,Italy,IT,263.81,325.29,54.62,44.84,
2023-01-11 00:00:00,Italy,Italy,IT,299.41,369.17,46.81,37.18,
2023-01-12 00:00:00,Italy,Italy,IT,310.80,384.70,43.79,34.25,
2023-01-13 00:00:00,Italy,Italy,IT,320.26,396.98,41.46,31.10,
2023-01-14 00:00:00,Italy,Italy,IT,292.45,361.34,49.67,37.49,
2023-01-15 00:00:00,Italy,Italy,IT,293.75,359.10,52.60,41.05,
2023-01-16 00:00:00,Italy,Italy,IT,298.22,366.62,48.09,39.50,
2023-01-17 00:00:00,Italy,Italy,IT,298.48,369.44,45.68,38.84,
2023-01-18 00:00:00,Italy,Italy,IT,309.61,383.74,43.47,37.23,
2023-01-19 00:00:00,Italy,Italy,IT,335.75,411.70,39.66,35.08,
2023-01-20 00:00:00,Italy,Italy,IT,323.88,399.65,40.90,35.29,
2023-01-21 00:00:00,Italy,Italy,IT,301.05,366.84,50.47,41.54,
2023-01-22 00:00:00,Italy,Italy,IT,344.46,415.54,44.29,35.51,
2023-01-23 00:00:00,Italy,Italy,IT,369.42,454.43,31.59,26.98,
2023-01-24 00:00:00,Italy,Italy,IT,373.50,461.45,29.58,25.45,
2023-01-25 00:00:00,Italy,Italy,IT,366.83,453.05,31.13,27.02,
2023-01-26 00:00:00,Italy,Italy,IT,357.77,441.09,33.96,28.82,
2023-01-27 00:00:00,Italy,Italy,IT,335.75,412.02,40.02,33.06,
2023-01-28 00:00:00,Italy,Italy,IT,338.74,413.88,42.80,33.10,
2023-01-29 00:00:00,Italy,Italy,IT,331.17,401.14,46.58,38.77,
2023-01-30 00:00:00,Italy,Italy,IT,340.69,418.17,38.42,32.29,
2023-01-31 00:00:00,Italy,Italy,IT,324.97,401.38,41.14,34.51,
2023-02-01 00:00:00,Italy,Italy,IT,310.51,386.27,42.87,34.70,
2023-02-02 00:00:00,Italy,Italy,IT,332.77,412.00,39.16,30.47,
2023-02-03 00:00:00,Italy,Italy,IT,308.01,383.61,43.80,35.44,
2023-02-04 00:00:00,Italy,Italy,IT,285.48,353.18,51.77,42.90,
2023-02-05 00:00:00,Italy,Italy,IT,249.20,308.82,59.38,50.41,
2023-02-06 00:00:00,Italy,Italy,IT,314.77,391.00,42.31,36.29,
2023-02-07 00:00:00,Italy,Italy,IT,323.57,402.68,39.78,34.00,
2023-02-08 00:00:00,Italy,Italy,IT,332.51,411.72,39.54,32.38,
2023-02-09 00:00:00,Italy,Italy,IT,338.93,420.46,37.35,31.76,
2023-02-10 00:00:00,Italy,Italy,IT,299.38,373.92,45.09,38.04,
2023-02-11 00:00:00,Italy,Italy,IT,312.47,389.92,44.19,35.44,
2023-02-12 00:00:00,Italy,Italy,IT,298.20,368.65,50.86,42.57,
2023-02-13 00:00:00,Italy,Italy,IT,336.70,420.00,37.39,29.94,
2023-02-14 00:00:00,Italy,Italy,IT,328.86,407.55,40.51,32.24,
2023-02-15 00:00:00,Italy,Italy,IT,336.53,415.67,38.83,30.05,
2023-02-16 00:00:00,Italy,Italy,IT,344.97,427.09,37.03,28.32,
2023-02-17 00:00:00,Italy,Italy,IT,338.93,420.96,37.92,28.75,
2023-02-18 00:00:00,Italy,Italy,IT,307.62,375.90,50.69,39.79,
2023-02-19 00:00:00,Italy,Italy,IT,306.47,374.71,51.54,40.62,
2023-02-20 00:00:00,Italy,Italy,IT,349.72,433.36,36.56,28.22,
2023-02-21 00:00:00,Italy,Italy,IT,353.15,438.84,34.44,27.49,
2023-02-22 00:00:00,Italy,Italy,IT,368.65,458.02,30.80,23.46,
2023-02-23 00:00:00,Italy,Italy,IT,364.57,453.46,31.70,24.10,
2023-02-24 00:00:00,Italy,Italy,IT,333.32,414.83,38.27,30.43,
2023-02-25 00:00:00,Italy,Italy,IT,304.71,376.28,48.39,40.73,
2023-02-26 00:00:00,Italy,Italy,IT,291.38,360.18,51.86,43.43,
2023-02-27 00:00:00,Italy,Italy,IT,345.57,429.15,35.75,29.67,
2023-02-28 00:00:00,Italy,Italy,IT,350.80,436.04,33.39,28.80,
2023-03-01 00:00:00,Italy,Italy,IT,351.90,438.79,31.83,27.20,
2023-03-02 00:00:00,Italy,Italy,IT,356.89,446.29,29.80,25.67,
2023-03-03 00:00:00,Italy,Italy,IT,346.23,433.03,32.70,28.51,
2023-03-04 00:00:00,Italy,Italy,IT,315.86,392.25,43.82,39.23,
2023-03-05 00:00:00,Italy,Italy,IT,337.21,415.16,42.35,39.76,
2023-03-06 00:00:00,Italy,Italy,IT,341.58,422.12,37.52,34.81,
2023-03-07 00:00:00,Italy,Italy,IT,334.36,415.50,38.10,34.98,
