Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Japan,Japan,JP,376.43,447.90,31.39,21.45,
2023-01-02 00:00:00,Japan,Japan,JP,386.27,459.02,29.59,20.30,
2023-01-03 00:00:00,Japan,Japan,JP,385.29,458.46,29.76,20.80,
2023-01-04 00:00:00,Japan,Japan,JP,396.82,471.21,27.65,19.60,
2023-01-05 00:00:00,Japan,Japan,JP,403.58,479.49,26.40,19.04,
2023-01-06 00:00:00,Japan,Japan,JP,411.35,488.00,24.99,17.62,
2023-01-07 00:00:00,Japan,Japan,JP,407.61,482.94,25.69,17.76,
2023-01-08 00:00:00,Japan,Japan,JP,392.92,467.42,28.36,19.90,
2023-01-09 00:00:00,Japan,Japan,JP,395.86,470.87,27.82,19.90,
2023-01-10 00:00:00,Japan,Japan,JP,407.22,483.80,25.73,18.83,
2023-01-11 00:00:00,Japan,Japan,JP,404.14,480.76,26.29,19.27,
2023-01-12 00:00:00,Japan,Japan,JP,405.73,482.17,26.01,18.80,
2023-01-13 00:00:00,Japan,Japan,JP,413.15,489.55,24.67,16.92,
2023-01-14 00:00:00,Japan,Japan,JP,422.13,498.94,23.03,14.29,
2023-01-15 00:00:00,Japan,Japan,JP,418.77,495.30,23.65,14.96,
2023-01-16 00:00:00,Japan,Japan,JP,424.67,502.73,22.58,15.57,
2023-01-17 00:00:00,Japan,Japan,JP,415.69,493.39,24.22,17.27,
2023-01-18 00:00:00,Japan,Japan,JP,415.52,492.82,24.26,17.25,
2023-01-19 00:00:00,Japan,Japan,JP,412.82,489.91,24.75,17.72,
2023-01-20 00:00:00,Japan,Japan,JP,401.52,477.38,26.81,19.51,
2023-01-21 00:00:00,Japan,Japan,JP,395.41,471.18,27.88,20.10,
2023-01-22 00:00:00,Japan,Japan,JP,408.19,484.77,25.56,17.71,
2023-01-23 00:00:00,Japan,Japan,JP,429.35,507.95,21.70,14.91,
2023-01-24 00:00:00,Japan,Japan,JP,422.54,500.19,22.95,16.74,
2023-01-25 00:00:00,Japan,Japan,JP,420.73,499.44,23.26,17.28,
2023-01-26 00:00:00,Japan,Japan,JP,416.06,493.83,24.12,17.77,
2023-01-27 00:00:00,Japan,Japan,JP,432.00,510.55,21.22,14.84,
2023-01-28 00:00:00,Japan,Japan,JP,405.82,481.75,26.00,18.81,
2023-01-29 00:00:00,Japan,Japan,JP,406.76,483.26,25.82,18.45,
2023-01-30 00:00:00,Japan,Japan,JP,412.76,490.87,24.74,18.84,
2023-01-31 00:00:00,Japan,Japan,JP,415.33,493.98,24.27,19.15,
2023-02-01 00:00:00,Japan,Japan,JP,412.91,490.31,24.73,18.60,
2023-02-02 00:00:00,Japan,Japan,JP,415.80,494.27,24.53,18.75,
2023-02-03 00:00:00,Japan,Japan,JP,410.28,488.37,25.72,20.03,
2023-02-04 00:00:00,Japan,Japan,JP,407.31,484.38,26.34,19.85,
2023-02-05 00:00:00,Japan,Japan,JP,407.60,484.71,26.30,19.72,
2023-02-06 00:00:00,Japan,Japan,JP,409.01,486.87,25.97,20.08,
2023-02-07 00:00:00,Japan,Japan,JP,407.97,485.65,26.16,20.21,
2023-02-08 00:00:00,Japan,Japan,JP,404.85,481.96,26.74,20.72,
2023-02-09 00:00:00,Japan,Japan,JP,404.51,481.56,26.80,20.72,
2023-02-10 00:00:00,Japan,Japan,JP,405.07,482.22,26.71,20.55,
2023-02-11 00:00:00,Japan,Japan,JP,403.12,479.40,27.16,20.07,
2023-02-12 00:00:00,Japan,Japan,JP,401.88,477.92,27.39,20.21,
2023-02-13 00:00:00,Japan,Japan,JP,400.70,477.07,27.52,21.15,
2023-02-14 00:00:00,Japan,Japan,JP,398.18,474.09,27.99,21.54,
2023-02-15 00:00:00,Japan,Japan,JP,399.10,475.17,27.83,21.30,
2023-02-16 00:00:00,Japan,Japan,JP,402.01,478.51,27.05,20.53,
2023-02-17 00:00:00,Japan,Japan,JP,395.82,471.42,27.93,21.13,
2023-02-18 00:00:00,Japan,Japan,JP,401.17,475.79,26.87,18.80,
2023-02-19 00:00:00,Japan,Japan,JP,410.55,485.55,25.16,17.01,
2023-02-20 00:00:00,Japan,Japan,JP,392.54,467.68,28.41,21.66,
2023-02-21 00:00:00,Japan,Japan,JP,400.36,476.60,26.98,20.69,
2023-02-22 00:00:00,Japan,Japan,JP,396.77,473.27,27.66,20.95,
2023-02-23 00:00:00,Japan,Japan,JP,406.97,484.26,25.77,18.56,
2023-02-24 00:00:00,Japan,Japan,JP,418.95,497.39,23.58,16.56,
2023-02-25 00:00:00,Japan,Japan,JP,384.84,459.63,29.81,22.21,
2023-02-26 00:00:00,Japan,Japan,JP,377.26,451.92,31.18,23.62,
2023-02-27 00:00:00,Japan,Japan,JP,377.07,451.81,31.22,24.42,
2023-02-28 00:00:00,Japan,Japan,JP,368.69,442.21,32.75,25.27,
2023-03-01 00:00:00,Japan,Japan,JP,385.76,461.01,29.64,21.95,
2023-03-02 00:00:00,Japan,Japan,JP,395.34,470.46,27.91,20.95,
2023-03-03 00:00:00,Japan,Japan,JP,379.40,454.17,30.80,23.45,
2023-03-04 00:00:00,Japan,Japan,JP,365.22,437.53,33.41,24.91,
2023-03-05 00:00:00,Japan,Japan,JP,375.13,449.58,31.57,23.15,
2023-03-06 00:00:00,Japan,Japan,JP,382.63,457.75,30.24,22.80,
2023-03-07 00:00:00,Japan,Japan,JP,369.53,443.14,32.60,24.88,
2023-03-08 00:00:00,Japan,Japan,JP,368.26,441.97,32.83,24.87,
2023-03-09 00:00:00,Japan,Japan,JP,380.45,455.67,30.63,22.56,
2023-03-10 00:00:00,Japan,Japan,JP,370.02,444.01,32.50,24.09,
2023-03-11 00:00:00,Japan,Japan,JP,347.51,418.95,36.62,27.01,
2023-03-12 00:00:00,Japan,Japan,JP,367.24,440.59,33.00,23.43,
2023-03-13 00:00:00,Japan,Japan,JP,401.42,478.82,26.79,19.18,
2023-03-14 00:00:00,Japan,Japan,JP,371.54,446.35,32.25,24.59,
2023-03-15 00:00:00,Japan,Japan,JP,364.52,438.34,33.54,25.49,
2023-03-16 00:00:00,Japan,Japan,JP,379.21,453.82,30.87,22.72,
2023-03-17 00:00:00,Japan,Japan,JP,401.12,477.66,26.87,18.76,
2023-03-18 00:00:00,Japan,Japan,JP,402.77,478.77,26.54,17.93,
2023-03-19 00:00:00,Japan,Japan,JP,347.42,419.27,36.62,27.50,
2023-03-20 00:00:00,Japan,Japan,JP,363.55,437.14,33.68,25.32,
2023-03-21 00:00:00,Japan,Japan,JP,395.52,470.99,27.87,19.33,
2023-03-22 00:00:00,Japan,Japan,JP,363.19,435.96,33.76,25.29,
2023-03-23 00:00:00,Japan,Japan,JP,415.48,493.35,24.21,15.86,
2023-03-24 00:00:00,Japan,Japan,JP,396.74,472.76,27.63,19.04,
2023-03-25 00:00:00,Japan,Japan,JP,397.79,473.15,27.45,17.96,
2023-03-26 00:00:00,Japan,Japan,JP,403.90,479.45,26.34,16.45,
2023-03-27 00:00:00,Japan,Japan,JP,368.45,442.35,32.78,23.66,
2023-03-28 00:00:00,Japan,Japan,JP,361.04,434.34,34.13,25.09,
2023-03-29 00:00:00,Japan,Japan,JP,352.65,425.17,35.66,26.39,
2023-03-30 00:00:00,Japan,Japan,JP,357.48,429.92,34.79,25.27,
2023-03-31 00:00:00,Japan,Japan,JP,354.34,425.87,35.39,25.45,
2023-04-01 00:00:00,Japan,Japan,JP,331.48,400.27,39.60,28.49,
2023-04-02 00:00:00,Japan,Japan,JP,343.21,413.54,37.40,26.35,
2023-04-03 00:00:00,Japan,Japan,JP,342.36,413.72,37.54,28.03,
2023-04-04 00:00:00,Japan,Japan,JP,349.85,422.10,36.17,26.61,
2023-04-05 00:00:00,Japan,Japan,JP,385.94,460.42,29.61,20.04,
2023-04-06 00:00:00,Japan,Japan,JP,395.19,470.42,27.91,18.36,
2023-04-07 00:00:00,Japan,Japan,JP,401.40,476.89,26.79,17.12,
2023-04-08 00:00:00,Japan,Japan,JP,354.55,426.02,35.32,24.66,
2023-04-09 00:00:00,Japan,Japan,JP,329.41,398.44,39.92,29.27,
