Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,South Korea,South Korea,KR,393.08,452.43,34.58,1.99,Electricity Maps Estimation; new.kpx.or.kr
2023-01-02 00:00:00,South Korea,South Korea,KR,413.07,479.41,28.67,2.32,Electricity Maps Estimation; new.kpx.or.kr
2023-01-03 00:00:00,South Korea,South Korea,KR,412.08,479.51,28.04,2.14,Electricity Maps Estimation; new.kpx.or.kr
2023-01-04 00:00:00,South Korea,South Korea,KR,414.27,481.41,27.98,1.93,Electricity Maps Estimation; new.kpx.or.kr
2023-01-05 00:00:00,South Korea,South Korea,KR,414.01,481.54,27.75,1.69,new.kpx.or.kr
2023-01-06 00:00:00,South Korea,South Korea,KR,404.33,470.59,29.44,1.99,Electricity Maps Estimation; new.kpx.or.kr
2023-01-07 00:00:00,South Korea,South Korea,KR,363.01,427.26,34.46,2.21,Electricity Maps Estimation; new.kpx.or.kr
2023-01-08 00:00:00,South Korea,South Korea,KR,372.18,433.73,35.62,2.12,new.kpx.or.kr
2023-01-09 00:00:00,South Korea,South Korea,KR,411.44,476.29,29.89,1.55,new.kpx.or.kr
2023-01-10 00:00:00,South Korea,South Korea,KR,401.42,466.42,30.92,2.21,new.kpx.or.kr
2023-01-11 00:00:00,South Korea,South Korea,KR,399.62,464.45,31.21,2.25,new.kpx.or.kr
2023-01-12 00:00:00,South Korea,South Korea,KR,399.76,463.12,31.80,2.06,new.kpx.or.kr
2023-01-13 00:00:00,South Korea,South Korea,KR,408.35,470.18,31.81,1.58,new.kpx.or.kr
2023-01-14 00:00:00,South Korea,South Korea,KR,393.77,453.40,34.17,0.89,new.kpx.or.kr
2023-01-15 00:00:00,South Korea,South Korea,KR,392.30,453.92,33.14,0.95,new.kpx.or.kr
2023-01-16 00:00:00,South Korea,South Korea,KR,408.26,473.41,29.88,2.09,new.kpx.or.kr
2023-01-17 00:00:00,South Korea,South Korea,KR,408.98,475.03,29.27,1.84,new.kpx.or.kr
2023-01-18 00:00:00,South Korea,South Korea,KR,414.09,480.52,28.55,1.71,new.kpx.or.kr
2023-01-19 00:00:00,South Korea,South Korea,KR,407.88,473.26,29.90,2.32,new.kpx.or.kr
2023-01-20 00:00:00,South Korea,South Korea,KR,392.34,456.51,32.05,2.53,new.kpx.or.kr
2023-01-21 00:00:00,South Korea,South Korea,KR,346.77,407.58,38.52,3.14,new.kpx.or.kr
2023-01-22 00:00:00,South Korea,South Korea,KR,349.59,409.53,38.52,1.85,new.kpx.or.kr
2023-01-23 00:00:00,South Korea,South Korea,KR,356.65,416.02,38.11,2.46,new.kpx.or.kr
2023-01-24 00:00:00,South Korea,South Korea,KR,386.03,450.05,32.56,1.84,new.kpx.or.kr
2023-01-25 00:00:00,South Korea,South Korea,KR,404.52,472.55,28.61,2.26,new.kpx.or.kr
2023-01-26 00:00:00,South Korea,South Korea,KR,410.97,480.86,26.66,1.17,new.kpx.or.kr
2023-01-27 00:00:00,South Korea,South Korea,KR,407.94,475.11,28.70,2.08,new.kpx.or.kr
2023-01-28 00:00:00,South Korea,South Korea,KR,387.02,451.15,32.34,1.83,new.kpx.or.kr
2023-01-29 00:00:00,South Korea,South Korea,KR,386.74,448.58,33.90,2.36,new.kpx.or.kr
2023-01-30 00:00:00,South Korea,South Korea,KR,397.92,464.65,30.08,2.68,new.kpx.or.kr
2023-01-31 00:00:00,South Korea,South Korea,KR,402.12,467.30,30.59,2.45,new.kpx.or.kr
2023-02-01 00:00:00,South Korea,South Korea,KR,405.18,470.15,30.30,2.11,new.kpx.or.kr
2023-02-02 00:00:00,South Korea,South Korea,KR,403.72,469.79,29.90,2.31,new.kpx.or.kr
2023-02-03 00:00:00,South Korea,South Korea,KR,401.25,465.76,31.09,2.49,new.kpx.or.kr
2023-02-04 00:00:00,South Korea,South Korea,KR,356.00,420.37,35.44,2.78,new.kpx.or.kr
2023-02-05 00:00:00,South Korea,South Korea,KR,374.89,435.29,36.17,3.03,new.kpx.or.kr
2023-02-06 00:00:00,South Korea,South Korea,KR,400.53,466.42,30.35,2.06,new.kpx.or.kr
2023-02-07 00:00:00,South Korea,South Korea,KR,395.53,461.39,30.85,2.40,new.kpx.or.kr
2023-02-08 00:00:00,South Korea,South Korea,KR,394.68,459.73,31.46,2.76,new.kpx.or.kr
2023-02-09 00:00:00,South Korea,South Korea,KR,401.47,466.86,30.37,1.80,new.kpx.or.kr
2023-02-10 00:00:00,South Korea,South Korea,KR,402.27,466.25,31.33,2.20,new.kpx.or.kr
2023-02-11 00:00:00,South Korea,South Korea,KR,358.70,423.61,34.69,1.69,new.kpx.or.kr
