Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Lithuania,Lithuania,LT,131.80,186.22,75.65,72.38,entsoe.eu
2023-01-02 00:00:00,Lithuania,Lithuania,LT,124.72,172.06,80.47,69.73,entsoe.eu
2023-01-03 00:00:00,Lithuania,Lithuania,LT,68.36,105.45,89.63,81.70,entsoe.eu
2023-01-04 00:00:00,Lithuania,Lithuania,LT,93.04,138.42,84.75,79.48,entsoe.eu
2023-01-05 00:00:00,Lithuania,Lithuania,LT,75.93,116.19,86.22,79.34,entsoe.eu
2023-01-06 00:00:00,Lithuania,Lithuania,LT,77.12,123.46,82.35,73.76,entsoe.eu
2023-01-07 00:00:00,Lithuania,Lithuania,LT,85.09,132.79,81.82,69.39,entsoe.eu
2023-01-08 00:00:00,Lithuania,Lithuania,LT,114.64,166.30,74.66,68.20,entsoe.eu
2023-01-09 00:00:00,Lithuania,Lithuania,LT,119.73,164.98,78.69,67.80,entsoe.eu
2023-01-10 00:00:00,Lithuania,Lithuania,LT,121.72,171.54,76.88,66.22,entsoe.eu
2023-01-11 00:00:00,Lithuania,Lithuania,LT,112.80,158.33,79.64,72.41,entsoe.eu
2023-01-12 00:00:00,Lithuania,Lithuania,LT,96.25,144.40,78.70,70.91,entsoe.eu
2023-01-13 00:00:00,Lithuania,Lithuania,LT,90.49,134.82,82.27,77.20,entsoe.eu
2023-01-14 00:00:00,Lithuania,Lithuania,LT,66.63,109.61,86.52,84.35,entsoe.eu
2023-01-15 00:00:00,Lithuania,Lithuania,LT,86.79,133.35,81.65,80.96,entsoe.eu
2023-01-16 00:00:00,Lithuania,Lithuania,LT,107.24,154.29,77.05,71.00,entsoe.eu
2023-01-17 00:00:00,Lithuania,Lithuania,LT,83.39,129.61,80.73,71.92,entsoe.eu
2023-01-18 00:00:00,Lithuania,Lithuania,LT,125.02,171.00,76.12,67.39,entsoe.eu
2023-01-19 00:00:00,Lithuania,Lithuania,LT,118.10,163.49,78.21,68.35,entsoe.eu
2023-01-20 00:00:00,Lithuania,Lithuania,LT,202.89,264.18,58.78,54.23,entsoe.eu
2023-01-21 00:00:00,Lithuania,Lithuania,LT,83.84,131.87,79.94,73.12,entsoe.eu
2023-01-22 00:00:00,Lithuania,Lithuania,LT,109.75,164.51,74.56,65.38,entsoe.eu
2023-01-23 00:00:00,Lithuania,Lithuania,LT,205.13,271.64,55.83,52.00,entsoe.eu
2023-01-24 00:00:00,Lithuania,Lithuania,LT,143.63,203.37,67.50,60.61,entsoe.eu
2023-01-25 00:00:00,Lithuania,Lithuania,LT,117.67,166.45,75.48,67.62,entsoe.eu
2023-01-26 00:00:00,Lithuania,Lithuania,LT,127.85,173.68,77.06,68.52,entsoe.eu
2023-01-27 00:00:00,Lithuania,Lithuania,LT,178.41,246.85,57.89,53.46,entsoe.eu
2023-01-28 00:00:00,Lithuania,Lithuania,LT,86.42,137.24,79.59,68.29,entsoe.eu
2023-01-29 00:00:00,Lithuania,Lithuania,LT,67.91,113.75,83.18,74.57,entsoe.eu
2023-01-30 00:00:00,Lithuania,Lithuania,LT,86.12,128.90,81.21,75.12,entsoe.eu
2023-01-31 00:00:00,Lithuania,Lithuania,LT,87.83,134.03,80.81,73.62,entsoe.eu
2023-02-01 00:00:00,Lithuania,Lithuania,LT,116.74,161.45,81.09,73.70,entsoe.eu
2023-02-02 00:00:00,Lithuania,Lithuania,LT,127.48,183.32,74.24,65.23,entsoe.eu
