Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Luxembourg,Luxembourg,LU,75.59,129.33,87.89,67.83,entsoe.eu
2023-01-02 00:00:00,Luxembourg,Luxembourg,LU,195.47,251.06,77.30,69.11,entsoe.eu
2023-01-03 00:00:00,Luxembourg,Luxembourg,LU,213.53,265.92,72.52,53.33,entsoe.eu
2023-01-04 00:00:00,Luxembourg,Luxembourg,LU,90.94,135.87,86.95,74.08,entsoe.eu
2023-01-05 00:00:00,Luxembourg,Luxembourg,LU,198.42,252.31,74.84,61.44,entsoe.eu
2023-01-06 00:00:00,Luxembourg,Luxembourg,LU,166.74,220.03,77.93,62.05,entsoe.eu
2023-01-07 00:00:00,Luxembourg,Luxembourg,LU,109.40,158.33,84.48,66.91,entsoe.eu
2023-01-08 00:00:00,Luxembourg,Luxembourg,LU,112.52,162.27,84.82,69.19,entsoe.eu
2023-01-09 00:00:00,Luxembourg,Luxembourg,LU,211.06,258.63,74.57,60.27,entsoe.eu
2023-01-10 00:00:00,Luxembourg,Luxembourg,LU,210.27,261.59,74.14,60.03,entsoe.eu
2023-01-11 00:00:00,Luxembourg,Luxembourg,LU,166.87,215.39,79.55,68.17,entsoe.eu
2023-01-12 00:00:00,Luxembourg,Luxembourg,LU,108.28,151.31,85.60,73.15,entsoe.eu
2023-01-13 00:00:00,Luxembourg,Luxembourg,LU,104.89,149.34,85.61,74.02,entsoe.eu
2023-01-14 00:00:00,Luxembourg,Luxembourg,LU,82.85,129.34,87.74,74.99,entsoe.eu
2023-01-15 00:00:00,Luxembourg,Luxembourg,LU,84.13,132.00,87.60,74.37,entsoe.eu
2023-01-16 00:00:00,Luxembourg,Luxembourg,LU,201.29,254.07,75.66,65.80,entsoe.eu
2023-01-17 00:00:00,Luxembourg,Luxembourg,LU,322.11,390.75,59.18,49.01,entsoe.eu
2023-01-18 00:00:00,Luxembourg,Luxembourg,LU,326.41,396.23,57.61,47.01,entsoe.eu
2023-01-19 00:00:00,Luxembourg,Luxembourg,LU,347.02,416.66,55.93,46.72,entsoe.eu
2023-01-20 00:00:00,Luxembourg,Luxembourg,LU,412.41,487.25,47.54,35.79,entsoe.eu
2023-01-21 00:00:00,Luxembourg,Luxembourg,LU,343.28,412.04,58.09,49.20,entsoe.eu
2023-01-22 00:00:00,Luxembourg,Luxembourg,LU,362.29,435.54,53.76,40.72,entsoe.eu
2023-01-23 00:00:00,Luxembourg,Luxembourg,LU,410.06,487.38,46.03,32.88,entsoe.eu
2023-01-24 00:00:00,Luxembourg,Luxembourg,LU,461.49,541.35,41.92,31.10,entsoe.eu
2023-01-25 00:00:00,Luxembourg,Luxembourg,LU,445.53,526.40,41.31,28.32,entsoe.eu
2023-01-26 00:00:00,Luxembourg,Luxembourg,LU,402.87,480.69,46.08,33.71,entsoe.eu
2023-01-27 00:00:00,Luxembourg,Luxembourg,LU,408.72,483.54,48.58,39.31,entsoe.eu
2023-01-28 00:00:00,Luxembourg,Luxembourg,LU,413.46,495.37,46.44,34.39,entsoe.eu
2023-01-29 00:00:00,Luxembourg,Luxembourg,LU,239.19,308.05,66.20,52.12,entsoe.eu
2023-01-30 00:00:00,Luxembourg,Luxembourg,LU,181.87,238.67,75.22,66.18,entsoe.eu
2023-01-31 00:00:00,Luxembourg,Luxembourg,LU,170.89,227.48,75.06,63.95,entsoe.eu
2023-02-01 00:00:00,Luxembourg,Luxembourg,LU,138.45,190.71,79.57,70.36,entsoe.eu
2023-02-02 00:00:00,Luxembourg,Luxembourg,LU,232.69,292.15,68.91,60.08,entsoe.eu
2023-02-03 00:00:00,Luxembourg,Luxembourg,LU,180.25,234.33,75.52,68.62,entsoe.eu
2023-02-04 00:00:00,Luxembourg,Luxembourg,LU,330.38,405.57,56.25,40.16,entsoe.eu
2023-02-05 00:00:00,Luxembourg,Luxembourg,LU,231.89,295.45,69.25,55.34,entsoe.eu
2023-02-06 00:00:00,Luxembourg,Luxembourg,LU,349.74,423.51,53.33,41.23,entsoe.eu
2023-02-07 00:00:00,Luxembourg,Luxembourg,LU,375.83,451.63,51.27,43.77,entsoe.eu
2023-02-08 00:00:00,Luxembourg,Luxembourg,LU,348.49,419.86,56.03,50.08,entsoe.eu
2023-02-09 00:00:00,Luxembourg,Luxembourg,LU,338.78,408.71,56.83,50.79,entsoe.eu
2023-02-10 00:00:00,Luxembourg,Luxembourg,LU,293.69,362.75,59.73,49.37,entsoe.eu
2023-02-11 00:00:00,Luxembourg,Luxembourg,LU,290.31,359.47,61.98,52.32,entsoe.eu
2023-02-12 00:00:00,Luxembourg,Luxembourg,LU,412.81,492.12,49.52,39.46,entsoe.eu
2023-02-13 00:00:00,Luxembourg,Luxembourg,LU,373.73,451.22,47.60,35.02,entsoe.eu
2023-02-14 00:00:00,Luxembourg,Luxembourg,LU,395.37,475.42,45.68,34.08,entsoe.eu
2023-02-15 00:00:00,Luxembourg,Luxembourg,LU,381.45,451.81,50.16,39.68,entsoe.eu
2023-02-16 00:00:00,Luxembourg,Luxembourg,LU,288.41,348.63,63.40,54.13,entsoe.eu
2023-02-17 00:00:00,Luxembourg,Luxembourg,LU,132.31,178.79,81.44,71.15,entsoe.eu
2023-02-18 00:00:00,Luxembourg,Luxembourg,LU,119.96,169.37,82.06,70.32,entsoe.eu
2023-02-19 00:00:00,Luxembourg,Luxembourg,LU,162.61,221.36,76.01,58.88,entsoe.eu
2023-02-20 00:00:00,Luxembourg,Luxembourg,LU,150.25,203.68,78.83,69.16,entsoe.eu
2023-02-21 00:00:00,Luxembourg,Luxembourg,LU,302.68,374.51,58.45,46.25,entsoe.eu
2023-02-22 00:00:00,Luxembourg,Luxembourg,LU,368.37,443.45,50.19,38.53,entsoe.eu
2023-02-23 00:00:00,Luxembourg,Luxembourg,LU,396.81,477.48,46.36,34.65,entsoe.eu
2023-02-24 00:00:00,Luxembourg,Luxembourg,LU,261.13,324.06,63.93,53.75,entsoe.eu
2023-02-25 00:00:00,Luxembourg,Luxembourg,LU,181.81,240.03,75.30,65.26,entsoe.eu
2023-02-26 00:00:00,Luxembourg,Luxembourg,LU,177.56,236.55,75.54,64.71,entsoe.eu
2023-02-27 00:00:00,Luxembourg,Luxembourg,LU,272.79,340.67,61.32,50.45,entsoe.eu
2023-02-28 00:00:00,Luxembourg,Luxembourg,LU,308.29,380.19,56.76,46.65,entsoe.eu
2023-03-01 00:00:00,Luxembourg,Luxembourg,LU,293.71,365.82,58.38,48.81,entsoe.eu
2023-03-02 00:00:00,Luxembourg,Luxembourg,LU,320.34,392.21,56.98,48.67,entsoe.eu
2023-03-03 00:00:00,Luxembourg,Luxembourg,LU,328.80,403.45,54.74,45.63,entsoe.eu
2023-03-04 00:00:00,Luxembourg,Luxembourg,LU,278.09,348.01,62.73,53.73,entsoe.eu
2023-03-05 00:00:00,Luxembourg,Luxembourg,LU,361.43,438.35,54.29,46.22,entsoe.eu
2023-03-06 00:00:00,Luxembourg,Luxembourg,LU,367.63,440.10,51.62,43.67,entsoe.eu
2023-03-07 00:00:00,Luxembourg,Luxembourg,LU,238.56,297.47,65.82,56.69,entsoe.eu
2023-03-08 00:00:00,Luxembourg,Luxembourg,LU,335.29,405.41,52.76,40.78,entsoe.eu
2023-03-09 00:00:00,Luxembourg,Luxembourg,LU,239.26,299.50,66.76,53.71,entsoe.eu
2023-03-10 00:00:00,Luxembourg,Luxembourg,LU,183.51,239.15,73.92,63.71,entsoe.eu
2023-03-11 00:00:00,Luxembourg,Luxembourg,LU,227.02,291.34,69.16,55.60,entsoe.eu
2023-03-12 00:00:00,Luxembourg,Luxembourg,LU,135.88,190.92,80.23,66.33,entsoe.eu
2023-03-13 00:00:00,Luxembourg,Luxembourg,LU,100.12,144.37,85.71,75.29,entsoe.eu
2023-03-14 00:00:00,Luxembourg,Luxembourg,LU,148.18,199.00,79.55,69.36,entsoe.eu
2023-03-15 00:00:00,Luxembourg,Luxembourg,LU,267.49,333.77,63.38,52.79,entsoe.eu
2023-03-16 00:00:00,Luxembourg,Luxembourg,LU,171.73,227.30,75.94,65.49,entsoe.eu
2023-03-17 00:00:00,Luxembourg,Luxembourg,LU,206.02,264.55,73.79,63.45,entsoe.eu
2023-03-18 00:00:00,Luxembourg,Luxembourg,LU,203.53,267.99,72.67,56.75,entsoe.eu
