Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Latvia,Latvia,LV,105.76,137.24,85.54,76.84,entsoe.eu
2023-01-02 00:00:00,Latvia,Latvia,LV,68.42,93.16,91.39,88.49,entsoe.eu
2023-01-03 00:00:00,Latvia,Latvia,LV,51.46,77.24,91.37,90.61,entsoe.eu
2023-01-04 00:00:00,Latvia,Latvia,LV,87.16,113.42,86.22,83.34,entsoe.eu
2023-01-05 00:00:00,Latvia,Latvia,LV,74.08,105.96,82.77,81.94,entsoe.eu
2023-01-06 00:00:00,Latvia,Latvia,LV,117.05,159.99,72.19,70.89,entsoe.eu
2023-01-07 00:00:00,Latvia,Latvia,LV,132.41,169.59,74.81,69.79,entsoe.eu
2023-01-08 00:00:00,Latvia,Latvia,LV,145.84,189.42,69.25,64.97,entsoe.eu
2023-01-09 00:00:00,Latvia,Latvia,LV,177.80,220.67,68.75,62.43,entsoe.eu
2023-01-10 00:00:00,Latvia,Latvia,LV,160.59,200.20,72.01,67.57,entsoe.eu
2023-01-11 00:00:00,Latvia,Latvia,LV,143.54,183.41,72.24,68.77,entsoe.eu
2023-01-12 00:00:00,Latvia,Latvia,LV,143.64,182.06,73.48,69.62,entsoe.eu
2023-01-13 00:00:00,Latvia,Latvia,LV,118.73,155.72,77.74,74.78,entsoe.eu
2023-01-14 00:00:00,Latvia,Latvia,LV,68.53,102.51,84.08,83.65,entsoe.eu
2023-01-15 00:00:00,Latvia,Latvia,LV,78.71,112.05,82.58,81.61,entsoe.eu
2023-01-16 00:00:00,Latvia,Latvia,LV,110.48,144.77,79.93,77.19,entsoe.eu
2023-01-17 00:00:00,Latvia,Latvia,LV,98.03,133.04,81.52,79.30,entsoe.eu
2023-01-18 00:00:00,Latvia,Latvia,LV,145.95,190.18,71.15,68.23,entsoe.eu
2023-01-19 00:00:00,Latvia,Latvia,LV,156.25,203.20,67.96,65.22,entsoe.eu
2023-01-20 00:00:00,Latvia,Latvia,LV,187.04,229.37,67.93,63.37,entsoe.eu
2023-01-21 00:00:00,Latvia,Latvia,LV,112.16,155.97,74.17,72.74,entsoe.eu
2023-01-22 00:00:00,Latvia,Latvia,LV,127.41,169.51,72.89,70.02,entsoe.eu
2023-01-23 00:00:00,Latvia,Latvia,LV,164.43,212.87,66.67,63.95,entsoe.eu
2023-01-24 00:00:00,Latvia,Latvia,LV,164.20,217.11,62.85,60.73,entsoe.eu
2023-01-25 00:00:00,Latvia,Latvia,LV,142.60,181.70,73.46,69.71,entsoe.eu
2023-01-26 00:00:00,Latvia,Latvia,LV,139.92,182.44,72.23,69.02,entsoe.eu
2023-01-27 00:00:00,Latvia,Latvia,LV,165.14,217.26,63.49,61.47,entsoe.eu
2023-01-28 00:00:00,Latvia,Latvia,LV,103.65,142.21,78.58,76.24,entsoe.eu
2023-01-29 00:00:00,Latvia,Latvia,LV,77.72,112.58,83.00,81.66,entsoe.eu
2023-01-30 00:00:00,Latvia,Latvia,LV,70.13,106.02,83.88,82.99,entsoe.eu
2023-01-31 00:00:00,Latvia,Latvia,LV,84.67,124.39,80.24,79.50,entsoe.eu
2023-02-01 00:00:00,Latvia,Latvia,LV,110.01,157.60,72.80,72.34,entsoe.eu
2023-02-02 00:00:00,Latvia,Latvia,LV,137.20,189.43,68.09,66.54,entsoe.eu
2023-02-03 00:00:00,Latvia,Latvia,LV,163.45,221.36,62.73,60.95,entsoe.eu
2023-02-04 00:00:00,Latvia,Latvia,LV,180.77,233.80,65.68,62.27,entsoe.eu
2023-02-05 00:00:00,Latvia,Latvia,LV,184.00,240.41,63.03,59.62,entsoe.eu
2023-02-06 00:00:00,Latvia,Latvia,LV,219.85,290.95,48.17,46.20,entsoe.eu
2023-02-07 00:00:00,Latvia,Latvia,LV,211.60,277.47,52.76,50.15,entsoe.eu
2023-02-08 00:00:00,Latvia,Latvia,LV,182.48,239.42,60.90,57.92,entsoe.eu
2023-02-09 00:00:00,Latvia,Latvia,LV,135.83,183.55,70.67,67.48,entsoe.eu
2023-02-10 00:00:00,Latvia,Latvia,LV,114.95,159.99,75.72,72.77,entsoe.eu
2023-02-11 00:00:00,Latvia,Latvia,LV,113.38,162.31,73.15,71.22,entsoe.eu
2023-02-12 00:00:00,Latvia,Latvia,LV,154.64,207.64,66.17,61.57,entsoe.eu
2023-02-13 00:00:00,Latvia,Latvia,LV,183.48,231.47,65.70,60.06,entsoe.eu
2023-02-14 00:00:00,Latvia,Latvia,LV,245.57,309.60,49.89,45.51,entsoe.eu
2023-02-15 00:00:00,Latvia,Latvia,LV,232.10,296.84,49.59,45.85,entsoe.eu
2023-02-16 00:00:00,Latvia,Latvia,LV,198.15,252.16,62.25,56.84,entsoe.eu
2023-02-17 00:00:00,Latvia,Latvia,LV,158.23,199.22,74.04,67.54,entsoe.eu
2023-02-18 00:00:00,Latvia,Latvia,LV,67.85,97.96,90.73,86.02,entsoe.eu
2023-02-19 00:00:00,Latvia,Latvia,LV,67.72,98.81,90.46,85.77,entsoe.eu
2023-02-20 00:00:00,Latvia,Latvia,LV,83.66,116.17,88.70,84.46,entsoe.eu
2023-02-21 00:00:00,Latvia,Latvia,LV,153.07,211.12,63.24,62.08,entsoe.eu
2023-02-22 00:00:00,Latvia,Latvia,LV,228.74,303.10,44.86,43.29,entsoe.eu
2023-02-23 00:00:00,Latvia,Latvia,LV,228.75,293.79,50.28,46.91,entsoe.eu
2023-02-24 00:00:00,Latvia,Latvia,LV,247.25,311.16,48.94,43.89,entsoe.eu
2023-02-25 00:00:00,Latvia,Latvia,LV,172.04,216.87,70.00,63.16,entsoe.eu
2023-02-26 00:00:00,Latvia,Latvia,LV,182.39,238.01,61.60,57.69,entsoe.eu
2023-02-27 00:00:00,Latvia,Latvia,LV,250.67,320.08,45.05,41.09,entsoe.eu
2023-02-28 00:00:00,Latvia,Latvia,LV,237.65,299.24,50.22,45.05,entsoe.eu
2023-03-01 00:00:00,Latvia,Latvia,LV,250.89,313.33,48.77,42.95,entsoe.eu
2023-03-02 00:00:00,Latvia,Latvia,LV,231.04,283.63,55.64,49.27,entsoe.eu
2023-03-03 00:00:00,Latvia,Latvia,LV,210.82,262.12,58.77,53.25,entsoe.eu
2023-03-04 00:00:00,Latvia,Latvia,LV,130.20,159.20,82.05,76.20,entsoe.eu
2023-03-05 00:00:00,Latvia,Latvia,LV,199.53,258.16,56.76,54.39,entsoe.eu
2023-03-06 00:00:00,Latvia,Latvia,LV,235.24,309.72,43.15,41.49,entsoe.eu
2023-03-07 00:00:00,Latvia,Latvia,LV,181.63,246.09,56.96,55.80,entsoe.eu
2023-03-08 00:00:00,Latvia,Latvia,LV,214.25,281.56,49.04,47.42,entsoe.eu
2023-03-09 00:00:00,Latvia,Latvia,LV,256.19,327.90,42.41,39.46,entsoe.eu
2023-03-10 00:00:00,Latvia,Latvia,LV,231.11,293.87,51.00,47.67,entsoe.eu
2023-03-11 00:00:00,Latvia,Latvia,LV,182.44,246.10,58.42,56.64,entsoe.eu
2023-03-12 00:00:00,Latvia,Latvia,LV,187.23,251.99,58.63,56.09,entsoe.eu
2023-03-13 00:00:00,Latvia,Latvia,LV,163.28,218.63,66.76,63.54,entsoe.eu
2023-03-14 00:00:00,Latvia,Latvia,LV,130.94,180.22,74.02,71.91,entsoe.eu
2023-03-15 00:00:00,Latvia,Latvia,LV,168.04,215.25,70.14,64.18,entsoe.eu
2023-03-16 00:00:00,Latvia,Latvia,LV,161.29,199.79,71.67,64.01,entsoe.eu
2023-03-17 00:00:00,Latvia,Latvia,LV,137.92,174.09,73.90,66.62,entsoe.eu
2023-03-18 00:00:00,Latvia,Latvia,LV,95.28,125.70,80.33,73.77,entsoe.eu
2023-03-19 00:00:00,Latvia,Latvia,LV,98.47,131.79,78.85,73.27,entsoe.eu
2023-03-20 00:00:00,Latvia,Latvia,LV,111.57,151.24,74.80,71.18,entsoe.eu
2023-03-21 00:00:00,Latvia,Latvia,LV,122.55,160.55,73.81,68.53,entsoe.eu
2023-03-22 00:00:00,Latvia,Latvia,LV,76.60,109.31,81.53,80.40,entsoe.eu
2023-03-23 00:00:00,Latvia,Latvia,LV,64.22,92.61,85.74,83.68,entsoe.eu
2023-03-24 00:00:00,Latvia,Latvia,LV,44.15,68.64,90.29,89.20,entsoe.eu
2023-03-25 00:00:00,Latvia,Latvia,LV,26.48,44.62,96.10,94.34,entsoe.eu
2023-03-26 00:00:00,Latvia,Latvia,LV,36.30,55.67,94.66,90.94,entsoe.eu
2023-03-27 00:00:00,Latvia,Latvia,LV,32.42,50.42,95.09,91.75,entsoe.eu
2023-03-28 00:00:00,Latvia,Latvia,LV,51.07,71.97,90.80,87.18,entsoe.eu
2023-03-29 00:00:00,Latvia,Latvia,LV,59.95,80.81,89.83,85.90,entsoe.eu
2023-03-30 00:00:00,Latvia,Latvia,LV,48.04,67.16,91.63,88.64,entsoe.eu
2023-03-31 00:00:00,Latvia,Latvia,LV,55.57,74.85,90.43,86.36,entsoe.eu
2023-04-01 00:00:00,Latvia,Latvia,LV,27.49,45.69,94.62,93.23,entsoe.eu
2023-04-02 00:00:00,Latvia,Latvia,LV,24.64,44.17,94.98,94.09,entsoe.eu
2023-04-03 00:00:00,Latvia,Latvia,LV,30.07,52.37,93.73,92.97,entsoe.eu
2023-04-04 00:00:00,Latvia,Latvia,LV,40.87,62.69,92.21,90.09,entsoe.eu
2023-04-05 00:00:00,Latvia,Latvia,LV,46.67,68.43,91.46,88.50,entsoe.eu
2023-04-06 00:00:00,Latvia,Latvia,LV,41.51,62.82,92.24,89.30,entsoe.eu
2023-04-07 00:00:00,Latvia,Latvia,LV,20.88,38.25,96.89,94.98,entsoe.eu
2023-04-08 00:00:00,Latvia,Latvia,LV,16.65,34.39,96.81,96.31,entsoe.eu
2023-04-09 00:00:00,Latvia,Latvia,LV,17.45,35.60,97.06,96.04,entsoe.eu
2023-04-10 00:00:00,Latvia,Latvia,LV,10.25,26.64,98.33,97.91,entsoe.eu
2023-04-11 00:00:00,Latvia,Latvia,LV,19.34,37.28,96.96,95.11,entsoe.eu
2023-04-12 00:00:00,Latvia,Latvia,LV,18.03,36.47,96.92,95.95,entsoe.eu
2023-04-13 00:00:00,Latvia,Latvia,LV,27.02,46.44,95.79,92.33,entsoe.eu
2023-04-14 00:00:00,Latvia,Latvia,LV,29.01,48.22,96.14,92.22,entsoe.eu
2023-04-15 00:00:00,Latvia,Latvia,LV,23.59,41.50,96.61,94.82,entsoe.eu
2023-04-16 00:00:00,Latvia,Latvia,LV,25.01,43.34,96.57,94.68,entsoe.eu
2023-04-17 00:00:00,Latvia,Latvia,LV,44.10,67.20,92.32,90.63,entsoe.eu
2023-04-18 00:00:00,Latvia,Latvia,LV,28.48,48.38,94.18,93.57,entsoe.eu
2023-04-19 00:00:00,Latvia,Latvia,LV,10.83,27.60,98.17,98.07,entsoe.eu
2023-04-20 00:00:00,Latvia,Latvia,LV,8.24,23.94,98.56,98.56,entsoe.eu
2023-04-21 00:00:00,Latvia,Latvia,LV,22.62,39.87,96.74,95.05,entsoe.eu
2023-04-22 00:00:00,Latvia,Latvia,LV,12.54,28.87,98.01,97.14,entsoe.eu
2023-04-23 00:00:00,Latvia,Latvia,LV,9.08,25.45,98.43,98.41,entsoe.eu
2023-04-24 00:00:00,Latvia,Latvia,LV,17.38,34.76,97.41,96.57,entsoe.eu
2023-04-25 00:00:00,Latvia,Latvia,LV,44.72,67.16,94.07,90.67,entsoe.eu
2023-04-26 00:00:00,Latvia,Latvia,LV,39.19,60.48,94.76,92.10,entsoe.eu
2023-04-27 00:00:00,Latvia,Latvia,LV,43.20,64.54,94.43,91.02,entsoe.eu
2023-04-28 00:00:00,Latvia,Latvia,LV,64.74,90.58,91.66,86.84,entsoe.eu
2023-04-29 00:00:00,Latvia,Latvia,LV,44.53,67.26,94.15,89.32,entsoe.eu
2023-04-30 00:00:00,Latvia,Latvia,LV,47.96,73.64,93.36,87.31,entsoe.eu
2023-05-01 00:00:00,Latvia,Latvia,LV,50.03,76.28,92.97,86.92,entsoe.eu
2023-05-02 00:00:00,Latvia,Latvia,LV,63.84,91.97,91.48,86.25,entsoe.eu
2023-05-03 00:00:00,Latvia,Latvia,LV,81.16,110.53,89.74,81.83,entsoe.eu
2023-05-04 00:00:00,Latvia,Latvia,LV,88.46,119.45,88.81,79.38,entsoe.eu
2023-05-05 00:00:00,Latvia,Latvia,LV,68.25,96.97,91.02,83.33,entsoe.eu
2023-05-06 00:00:00,Latvia,Latvia,LV,63.40,93.78,91.13,82.92,entsoe.eu
2023-05-07 00:00:00,Latvia,Latvia,LV,70.14,101.31,90.50,82.15,entsoe.eu
2023-05-08 00:00:00,Latvia,Latvia,LV,92.58,126.00,88.14,77.10,entsoe.eu
2023-05-09 00:00:00,Latvia,Latvia,LV,85.39,118.44,88.94,77.49,entsoe.eu
2023-05-10 00:00:00,Latvia,Latvia,LV,96.35,130.11,88.14,74.81,entsoe.eu
2023-05-11 00:00:00,Latvia,Latvia,LV,93.41,129.14,88.60,76.04,entsoe.eu
2023-05-12 00:00:00,Latvia,Latvia,LV,116.06,150.73,85.53,71.39,entsoe.eu
2023-05-13 00:00:00,Latvia,Latvia,LV,117.91,149.94,83.78,67.81,entsoe.eu
2023-05-14 00:00:00,Latvia,Latvia,LV,97.07,127.54,85.87,69.79,entsoe.eu
2023-05-15 00:00:00,Latvia,Latvia,LV,112.08,144.24,84.42,70.13,entsoe.eu
2023-05-16 00:00:00,Latvia,Latvia,LV,107.75,136.04,85.19,72.88,entsoe.eu
2023-05-17 00:00:00,Latvia,Latvia,LV,93.65,122.31,86.82,76.55,entsoe.eu
2023-05-18 00:00:00,Latvia,Latvia,LV,96.64,130.96,86.12,75.85,entsoe.eu
2023-05-19 00:00:00,Latvia,Latvia,LV,95.84,128.49,86.21,74.97,entsoe.eu
2023-05-20 00:00:00,Latvia,Latvia,LV,109.63,148.62,83.58,71.34,entsoe.eu
2023-05-21 00:00:00,Latvia,Latvia,LV,112.06,152.14,83.35,69.87,entsoe.eu
2023-05-22 00:00:00,Latvia,Latvia,LV,107.06,143.68,84.16,69.13,entsoe.eu
2023-05-23 00:00:00,Latvia,Latvia,LV,123.46,158.36,82.08,64.68,entsoe.eu
2023-05-24 00:00:00,Latvia,Latvia,LV,112.60,145.97,83.70,69.07,entsoe.eu
2023-05-25 00:00:00,Latvia,Latvia,LV,134.86,163.79,80.81,63.31,entsoe.eu
2023-05-26 00:00:00,Latvia,Latvia,LV,127.57,154.26,81.62,63.84,entsoe.eu
2023-05-27 00:00:00,Latvia,Latvia,LV,142.97,170.04,79.68,58.47,entsoe.eu
2023-05-28 00:00:00,Latvia,Latvia,LV,130.25,157.49,81.34,63.90,entsoe.eu
2023-05-29 00:00:00,Latvia,Latvia,LV,136.34,165.30,80.03,62.72,entsoe.eu
2023-05-30 00:00:00,Latvia,Latvia,LV,151.01,178.73,77.94,59.30,entsoe.eu
2023-05-31 00:00:00,Latvia,Latvia,LV,133.34,166.10,80.47,64.03,entsoe.eu
2023-06-01 00:00:00,Latvia,Latvia,LV,138.17,168.78,81.43,63.72,entsoe.eu
2023-06-02 00:00:00,Latvia,Latvia,LV,127.71,160.01,83.17,66.96,entsoe.eu
2023-06-03 00:00:00,Latvia,Latvia,LV,117.28,152.37,83.57,64.07,entsoe.eu
2023-06-04 00:00:00,Latvia,Latvia,LV,135.35,173.03,81.70,64.20,entsoe.eu
2023-06-05 00:00:00,Latvia,Latvia,LV,182.19,233.72,71.67,62.70,entsoe.eu
2023-06-06 00:00:00,Latvia,Latvia,LV,233.86,304.12,56.28,47.32,entsoe.eu
2023-06-07 00:00:00,Latvia,Latvia,LV,217.55,286.47,57.59,49.09,entsoe.eu
2023-06-08 00:00:00,Latvia,Latvia,LV,180.39,227.31,76.21,66.96,entsoe.eu
2023-06-09 00:00:00,Latvia,Latvia,LV,140.65,186.89,77.77,68.94,entsoe.eu
2023-06-10 00:00:00,Latvia,Latvia,LV,100.47,142.64,82.99,75.22,entsoe.eu
2023-06-11 00:00:00,Latvia,Latvia,LV,112.95,157.98,81.75,71.95,entsoe.eu
2023-06-12 00:00:00,Latvia,Latvia,LV,165.99,209.42,77.76,66.49,entsoe.eu
2023-06-13 00:00:00,Latvia,Latvia,LV,207.03,251.53,74.48,62.25,entsoe.eu
2023-06-14 00:00:00,Latvia,Latvia,LV,232.59,278.19,68.72,54.61,entsoe.eu
2023-06-15 00:00:00,Latvia,Latvia,LV,244.22,291.73,67.59,53.35,entsoe.eu
2023-06-16 00:00:00,Latvia,Latvia,LV,207.82,251.90,72.19,49.50,entsoe.eu
2023-06-17 00:00:00,Latvia,Latvia,LV,118.64,153.69,81.71,54.95,entsoe.eu
2023-06-18 00:00:00,Latvia,Latvia,LV,122.98,155.92,81.22,52.25,entsoe.eu
2023-06-19 00:00:00,Latvia,Latvia,LV,188.43,246.37,60.14,40.42,entsoe.eu
2023-06-20 00:00:00,Latvia,Latvia,LV,234.03,307.08,45.04,30.40,entsoe.eu
2023-06-21 00:00:00,Latvia,Latvia,LV,236.08,304.46,46.28,29.52,entsoe.eu
2023-06-22 00:00:00,Latvia,Latvia,LV,176.35,225.81,66.30,42.67,entsoe.eu
2023-06-23 00:00:00,Latvia,Latvia,LV,135.07,171.70,79.09,50.02,entsoe.eu
2023-06-24 00:00:00,Latvia,Latvia,LV,127.30,164.96,80.14,51.38,entsoe.eu
2023-06-25 00:00:00,Latvia,Latvia,LV,130.10,170.34,80.82,55.00,entsoe.eu
2023-06-26 00:00:00,Latvia,Latvia,LV,152.08,208.28,66.09,45.15,entsoe.eu
2023-06-27 00:00:00,Latvia,Latvia,LV,192.52,246.82,62.70,41.05,entsoe.eu
2023-06-28 00:00:00,Latvia,Latvia,LV,217.07,275.31,58.75,39.62,entsoe.eu
2023-06-29 00:00:00,Latvia,Latvia,LV,219.78,276.46,59.56,40.93,entsoe.eu
2023-06-30 00:00:00,Latvia,Latvia,LV,193.14,242.21,64.30,44.27,entsoe.eu
2023-07-01 00:00:00,Latvia,Latvia,LV,153.60,183.11,77.72,51.15,entsoe.eu
2023-07-02 00:00:00,Latvia,Latvia,LV,110.43,137.13,82.51,58.32,entsoe.eu
2023-07-03 00:00:00,Latvia,Latvia,LV,70.77,98.16,87.32,69.82,entsoe.eu
2023-07-04 00:00:00,Latvia,Latvia,LV,115.14,141.99,82.55,59.43,entsoe.eu
2023-07-05 00:00:00,Latvia,Latvia,LV,169.71,196.55,76.37,51.27,entsoe.eu
2023-07-06 00:00:00,Latvia,Latvia,LV,191.69,219.20,73.02,44.57,entsoe.eu
2023-07-07 00:00:00,Latvia,Latvia,LV,191.72,220.63,72.72,45.67,entsoe.eu
2023-07-08 00:00:00,Latvia,Latvia,LV,191.44,220.54,73.17,43.47,entsoe.eu
2023-07-09 00:00:00,Latvia,Latvia,LV,193.65,222.05,73.67,43.27,entsoe.eu
2023-07-10 00:00:00,Latvia,Latvia,LV,187.26,217.77,74.53,43.90,entsoe.eu
2023-07-11 00:00:00,Latvia,Latvia,LV,160.88,196.50,78.15,48.78,entsoe.eu
2023-07-12 00:00:00,Latvia,Latvia,LV,94.98,128.37,84.68,54.12,entsoe.eu
2023-07-13 00:00:00,Latvia,Latvia,LV,128.47,177.14,71.38,47.05,entsoe.eu
2023-07-14 00:00:00,Latvia,Latvia,LV,84.12,119.34,85.16,56.02,entsoe.eu
2023-07-15 00:00:00,Latvia,Latvia,LV,86.41,120.20,85.86,58.09,entsoe.eu
2023-07-16 00:00:00,Latvia,Latvia,LV,81.65,116.13,85.88,61.41,entsoe.eu
2023-07-17 00:00:00,Latvia,Latvia,LV,139.51,188.47,69.14,47.42,entsoe.eu
2023-07-18 00:00:00,Latvia,Latvia,LV,78.81,115.22,85.28,60.45,entsoe.eu
2023-07-19 00:00:00,Latvia,Latvia,LV,147.07,200.52,66.23,45.24,entsoe.eu
2023-07-20 00:00:00,Latvia,Latvia,LV,92.26,128.72,82.90,56.79,entsoe.eu
2023-07-21 00:00:00,Latvia,Latvia,LV,81.64,114.92,85.67,57.46,entsoe.eu
2023-07-22 00:00:00,Latvia,Latvia,LV,115.18,142.74,80.03,46.31,entsoe.eu
2023-07-23 00:00:00,Latvia,Latvia,LV,124.14,156.19,79.41,47.16,entsoe.eu
2023-07-24 00:00:00,Latvia,Latvia,LV,131.72,158.95,78.21,44.17,entsoe.eu
2023-07-25 00:00:00,Latvia,Latvia,LV,147.56,176.10,76.81,43.10,entsoe.eu
2023-07-26 00:00:00,Latvia,Latvia,LV,144.15,177.06,77.21,45.46,entsoe.eu
2023-07-27 00:00:00,Latvia,Latvia,LV,142.87,176.76,77.80,47.65,entsoe.eu
2023-07-28 00:00:00,Latvia,Latvia,LV,118.06,153.98,80.65,51.93,entsoe.eu
2023-07-29 00:00:00,Latvia,Latvia,LV,108.18,136.36,81.42,51.85,entsoe.eu
2023-07-30 00:00:00,Latvia,Latvia,LV,111.50,142.82,80.98,49.16,entsoe.eu
2023-07-31 00:00:00,Latvia,Latvia,LV,109.92,142.69,81.51,53.78,entsoe.eu
2023-08-01 00:00:00,Latvia,Latvia,LV,128.55,160.16,77.48,51.50,entsoe.eu
2023-08-02 00:00:00,Latvia,Latvia,LV,115.05,142.59,80.71,56.58,entsoe.eu
2023-08-03 00:00:00,Latvia,Latvia,LV,105.74,137.10,81.73,58.21,entsoe.eu
2023-08-04 00:00:00,Latvia,Latvia,LV,117.20,141.63,79.45,53.54,entsoe.eu
2023-08-05 00:00:00,Latvia,Latvia,LV,127.79,153.14,77.78,47.34,entsoe.eu
2023-08-06 00:00:00,Latvia,Latvia,LV,126.30,150.01,78.08,48.91,entsoe.eu
2023-08-07 00:00:00,Latvia,Latvia,LV,113.73,138.30,80.43,58.53,entsoe.eu
2023-08-08 00:00:00,Latvia,Latvia,LV,120.10,141.67,79.22,56.66,entsoe.eu
2023-08-09 00:00:00,Latvia,Latvia,LV,107.70,130.04,81.27,57.67,entsoe.eu
2023-08-10 00:00:00,Latvia,Latvia,LV,148.92,174.28,77.41,58.19,entsoe.eu
2023-08-11 00:00:00,Latvia,Latvia,LV,132.07,158.41,79.93,60.98,entsoe.eu
2023-08-12 00:00:00,Latvia,Latvia,LV,163.39,190.60,75.70,49.28,entsoe.eu
2023-08-13 00:00:00,Latvia,Latvia,LV,172.78,200.98,75.06,50.08,entsoe.eu
2023-08-14 00:00:00,Latvia,Latvia,LV,150.12,185.27,80.23,60.32,entsoe.eu
2023-08-15 00:00:00,Latvia,Latvia,LV,138.91,176.18,81.74,60.27,entsoe.eu
2023-08-16 00:00:00,Latvia,Latvia,LV,152.83,193.31,80.10,57.62,entsoe.eu
2023-08-17 00:00:00,Latvia,Latvia,LV,151.97,193.54,78.96,55.65,entsoe.eu
2023-08-18 00:00:00,Latvia,Latvia,LV,200.95,236.88,69.49,51.33,entsoe.eu
2023-08-19 00:00:00,Latvia,Latvia,LV,180.00,204.52,68.75,40.05,entsoe.eu
2023-08-20 00:00:00,Latvia,Latvia,LV,198.36,223.88,66.85,43.02,entsoe.eu
2023-08-21 00:00:00,Latvia,Latvia,LV,308.00,388.66,28.04,22.22,entsoe.eu
2023-08-22 00:00:00,Latvia,Latvia,LV,309.20,393.79,26.58,20.87,entsoe.eu
2023-08-23 00:00:00,Latvia,Latvia,LV,296.81,378.34,29.27,23.00,entsoe.eu
