Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Malaysia,Malaysia,MY,423.44,501.52,23.60,23.60,
2023-01-02 00:00:00,Malaysia,Malaysia,MY,432.10,510.95,22.05,22.05,
2023-01-03 00:00:00,Malaysia,Malaysia,MY,448.61,526.55,20.86,20.86,
2023-01-04 00:00:00,Malaysia,Malaysia,MY,451.34,529.00,20.75,20.75,
2023-01-05 00:00:00,Malaysia,Malaysia,MY,452.94,531.18,21.91,21.91,
2023-01-06 00:00:00,Malaysia,Malaysia,MY,454.57,533.13,20.68,20.68,
2023-01-07 00:00:00,Malaysia,Malaysia,MY,459.77,538.50,19.23,19.23,
2023-01-08 00:00:00,Malaysia,Malaysia,MY,450.56,529.25,20.27,20.27,
2023-01-09 00:00:00,Malaysia,Malaysia,MY,461.98,540.15,19.30,19.30,
2023-01-10 00:00:00,Malaysia,Malaysia,MY,464.83,540.71,20.48,20.48,
2023-01-11 00:00:00,Malaysia,Malaysia,MY,467.66,544.48,19.59,19.59,
2023-01-12 00:00:00,Malaysia,Malaysia,MY,457.84,536.60,19.32,19.32,
2023-01-13 00:00:00,Malaysia,Malaysia,MY,452.21,531.15,19.79,19.79,
2023-01-14 00:00:00,Malaysia,Malaysia,MY,444.05,523.56,20.35,20.35,
2023-01-15 00:00:00,Malaysia,Malaysia,MY,445.48,524.25,20.76,20.76,
2023-01-16 00:00:00,Malaysia,Malaysia,MY,462.03,538.97,20.09,20.09,
2023-01-17 00:00:00,Malaysia,Malaysia,MY,460.36,538.92,19.20,19.20,
2023-01-18 00:00:00,Malaysia,Malaysia,MY,457.47,536.59,19.09,19.09,
2023-01-19 00:00:00,Malaysia,Malaysia,MY,453.44,533.35,19.02,19.02,
2023-01-20 00:00:00,Malaysia,Malaysia,MY,440.69,521.99,19.42,19.42,
2023-01-21 00:00:00,Malaysia,Malaysia,MY,425.42,507.00,20.88,20.88,
