Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Nicaragua,Nicaragua,NI,151.58,239.69,67.24,67.24,cndc.org.ni; Electricity Maps Estimation
2023-01-02 00:00:00,Nicaragua,Nicaragua,NI,143.82,232.65,68.79,68.79,cndc.org.ni; Electricity Maps Estimation
2023-01-03 00:00:00,Nicaragua,Nicaragua,NI,164.22,275.23,62.59,62.59,cndc.org.ni
2023-01-04 00:00:00,Nicaragua,Nicaragua,NI,153.50,261.72,64.96,64.96,cndc.org.ni
2023-01-05 00:00:00,Nicaragua,Nicaragua,NI,149.63,218.10,68.74,68.74,cndc.org.ni
2023-01-06 00:00:00,Nicaragua,Nicaragua,NI,132.65,199.77,72.41,72.41,cndc.org.ni
2023-01-07 00:00:00,Nicaragua,Nicaragua,NI,157.41,223.11,67.39,67.39,cndc.org.ni
2023-01-08 00:00:00,Nicaragua,Nicaragua,NI,177.25,252.26,62.75,62.75,cndc.org.ni
2023-01-09 00:00:00,Nicaragua,Nicaragua,NI,200.93,259.71,58.65,58.65,cndc.org.ni
2023-01-10 00:00:00,Nicaragua,Nicaragua,NI,203.58,266.40,57.64,57.64,cndc.org.ni
2023-01-11 00:00:00,Nicaragua,Nicaragua,NI,169.25,249.78,63.52,63.52,cndc.org.ni
2023-01-12 00:00:00,Nicaragua,Nicaragua,NI,151.63,243.22,66.61,66.61,cndc.org.ni
2023-01-13 00:00:00,Nicaragua,Nicaragua,NI,124.99,220.08,72.21,72.21,cndc.org.ni
2023-01-14 00:00:00,Nicaragua,Nicaragua,NI,72.71,163.55,83.44,83.44,cndc.org.ni
2023-01-15 00:00:00,Nicaragua,Nicaragua,NI,60.47,146.22,86.22,86.22,cndc.org.ni
2023-01-16 00:00:00,Nicaragua,Nicaragua,NI,109.35,199.60,75.88,75.88,cndc.org.ni
2023-01-17 00:00:00,Nicaragua,Nicaragua,NI,152.76,259.59,65.71,65.71,cndc.org.ni
2023-01-18 00:00:00,Nicaragua,Nicaragua,NI,164.48,266.37,63.60,63.60,cndc.org.ni
2023-01-19 00:00:00,Nicaragua,Nicaragua,NI,193.10,309.96,56.65,56.65,cndc.org.ni
2023-01-20 00:00:00,Nicaragua,Nicaragua,NI,124.73,207.92,73.14,73.14,cndc.org.ni
2023-01-21 00:00:00,Nicaragua,Nicaragua,NI,108.41,190.55,76.86,76.86,cndc.org.ni
2023-01-22 00:00:00,Nicaragua,Nicaragua,NI,96.47,191.74,78.53,78.53,cndc.org.ni
2023-01-23 00:00:00,Nicaragua,Nicaragua,NI,141.21,247.07,68.39,68.39,cndc.org.ni
2023-01-24 00:00:00,Nicaragua,Nicaragua,NI,130.33,209.64,71.77,71.77,cndc.org.ni; Electricity Maps Estimation
2023-01-25 00:00:00,Nicaragua,Nicaragua,NI,132.50,234.83,69.98,69.98,cndc.org.ni
2023-01-26 00:00:00,Nicaragua,Nicaragua,NI,131.06,243.89,69.67,69.67,cndc.org.ni
2023-01-27 00:00:00,Nicaragua,Nicaragua,NI,97.10,188.74,78.13,78.13,cndc.org.ni
2023-01-28 00:00:00,Nicaragua,Nicaragua,NI,87.30,192.56,79.26,79.26,cndc.org.ni
2023-01-29 00:00:00,Nicaragua,Nicaragua,NI,66.63,166.85,84.02,84.02,cndc.org.ni
2023-01-30 00:00:00,Nicaragua,Nicaragua,NI,113.71,211.40,74.44,74.44,cndc.org.ni
2023-01-31 00:00:00,Nicaragua,Nicaragua,NI,96.82,193.07,77.88,77.88,cndc.org.ni
2023-02-01 00:00:00,Nicaragua,Nicaragua,NI,64.79,168.70,84.09,84.09,cndc.org.ni
2023-02-02 00:00:00,Nicaragua,Nicaragua,NI,65.14,170.93,83.98,83.98,cndc.org.ni
2023-02-03 00:00:00,Nicaragua,Nicaragua,NI,73.82,186.91,81.82,81.82,cndc.org.ni
2023-02-04 00:00:00,Nicaragua,Nicaragua,NI,72.32,183.47,82.19,82.19,cndc.org.ni
2023-02-05 00:00:00,Nicaragua,Nicaragua,NI,68.93,178.70,83.04,83.04,cndc.org.ni
2023-02-06 00:00:00,Nicaragua,Nicaragua,NI,67.68,177.10,83.37,83.37,cndc.org.ni
2023-02-07 00:00:00,Nicaragua,Nicaragua,NI,83.34,198.34,79.51,79.51,cndc.org.ni
2023-02-08 00:00:00,Nicaragua,Nicaragua,NI,82.11,194.85,79.84,79.84,cndc.org.ni
2023-02-09 00:00:00,Nicaragua,Nicaragua,NI,81.13,194.56,80.07,80.07,cndc.org.ni
2023-02-10 00:00:00,Nicaragua,Nicaragua,NI,88.41,204.39,78.53,78.53,cndc.org.ni
2023-02-11 00:00:00,Nicaragua,Nicaragua,NI,106.00,228.68,74.36,74.36,cndc.org.ni
2023-02-12 00:00:00,Nicaragua,Nicaragua,NI,64.41,165.60,84.50,84.50,cndc.org.ni
2023-02-13 00:00:00,Nicaragua,Nicaragua,NI,85.44,191.01,79.23,79.23,cndc.org.ni
2023-02-14 00:00:00,Nicaragua,Nicaragua,NI,84.37,193.66,79.64,79.64,cndc.org.ni
2023-02-15 00:00:00,Nicaragua,Nicaragua,NI,90.59,205.30,78.11,78.11,cndc.org.ni
2023-02-16 00:00:00,Nicaragua,Nicaragua,NI,108.23,230.93,73.66,73.66,cndc.org.ni
2023-02-17 00:00:00,Nicaragua,Nicaragua,NI,105.13,226.94,74.41,74.41,cndc.org.ni
2023-02-18 00:00:00,Nicaragua,Nicaragua,NI,80.57,189.97,80.65,80.65,cndc.org.ni
2023-02-19 00:00:00,Nicaragua,Nicaragua,NI,78.31,186.72,81.84,81.84,cndc.org.ni
2023-02-20 00:00:00,Nicaragua,Nicaragua,NI,91.98,205.46,78.22,78.22,cndc.org.ni
2023-02-21 00:00:00,Nicaragua,Nicaragua,NI,85.64,196.06,79.71,79.71,cndc.org.ni
2023-02-22 00:00:00,Nicaragua,Nicaragua,NI,95.98,213.03,76.99,76.99,cndc.org.ni
2023-02-23 00:00:00,Nicaragua,Nicaragua,NI,130.33,264.24,68.70,68.70,cndc.org.ni
2023-02-24 00:00:00,Nicaragua,Nicaragua,NI,89.11,203.02,78.31,78.31,cndc.org.ni
2023-02-25 00:00:00,Nicaragua,Nicaragua,NI,81.95,192.52,80.32,80.32,cndc.org.ni
2023-02-26 00:00:00,Nicaragua,Nicaragua,NI,76.05,187.31,81.72,81.72,cndc.org.ni
2023-02-27 00:00:00,Nicaragua,Nicaragua,NI,94.74,212.97,76.96,76.96,cndc.org.ni
2023-02-28 00:00:00,Nicaragua,Nicaragua,NI,110.92,234.51,72.89,72.89,cndc.org.ni
2023-03-01 00:00:00,Nicaragua,Nicaragua,NI,112.32,237.66,72.42,72.42,cndc.org.ni
2023-03-02 00:00:00,Nicaragua,Nicaragua,NI,116.34,243.16,71.48,71.48,cndc.org.ni
2023-03-03 00:00:00,Nicaragua,Nicaragua,NI,149.06,296.64,63.63,63.63,cndc.org.ni
2023-03-04 00:00:00,Nicaragua,Nicaragua,NI,150.56,298.60,63.62,63.62,cndc.org.ni
2023-03-05 00:00:00,Nicaragua,Nicaragua,NI,90.06,204.00,78.14,78.14,cndc.org.ni
2023-03-06 00:00:00,Nicaragua,Nicaragua,NI,99.62,216.39,75.96,75.96,cndc.org.ni
2023-03-07 00:00:00,Nicaragua,Nicaragua,NI,129.15,260.85,68.79,68.79,cndc.org.ni
2023-03-08 00:00:00,Nicaragua,Nicaragua,NI,122.25,252.06,70.83,70.83,cndc.org.ni
2023-03-09 00:00:00,Nicaragua,Nicaragua,NI,137.92,277.39,66.83,66.83,cndc.org.ni
2023-03-10 00:00:00,Nicaragua,Nicaragua,NI,126.18,260.38,69.59,69.59,cndc.org.ni
2023-03-11 00:00:00,Nicaragua,Nicaragua,NI,122.36,257.89,70.79,70.79,cndc.org.ni
2023-03-12 00:00:00,Nicaragua,Nicaragua,NI,139.11,284.67,67.06,67.06,cndc.org.ni
2023-03-13 00:00:00,Nicaragua,Nicaragua,NI,178.13,340.62,57.43,57.43,cndc.org.ni
2023-03-14 00:00:00,Nicaragua,Nicaragua,NI,189.49,354.50,54.47,54.47,cndc.org.ni
2023-03-15 00:00:00,Nicaragua,Nicaragua,NI,169.36,326.67,59.20,59.20,cndc.org.ni
2023-03-16 00:00:00,Nicaragua,Nicaragua,NI,133.43,276.08,67.74,67.74,cndc.org.ni
2023-03-17 00:00:00,Nicaragua,Nicaragua,NI,129.42,268.71,68.55,68.55,cndc.org.ni
2023-03-18 00:00:00,Nicaragua,Nicaragua,NI,138.18,284.73,66.50,66.50,cndc.org.ni
2023-03-19 00:00:00,Nicaragua,Nicaragua,NI,105.39,229.33,74.92,74.92,cndc.org.ni
2023-03-20 00:00:00,Nicaragua,Nicaragua,NI,93.52,208.44,77.80,77.80,cndc.org.ni
2023-03-21 00:00:00,Nicaragua,Nicaragua,NI,78.33,184.51,81.45,81.45,cndc.org.ni
2023-03-22 00:00:00,Nicaragua,Nicaragua,NI,66.30,165.44,84.32,84.32,cndc.org.ni
2023-03-23 00:00:00,Nicaragua,Nicaragua,NI,73.60,175.12,82.58,82.58,cndc.org.ni
2023-03-24 00:00:00,Nicaragua,Nicaragua,NI,93.31,210.22,77.67,77.67,cndc.org.ni
2023-03-25 00:00:00,Nicaragua,Nicaragua,NI,126.74,256.43,70.03,70.03,cndc.org.ni
2023-03-26 00:00:00,Nicaragua,Nicaragua,NI,113.64,240.07,73.34,73.34,cndc.org.ni
2023-03-27 00:00:00,Nicaragua,Nicaragua,NI,136.52,269.74,67.61,67.61,cndc.org.ni
2023-03-28 00:00:00,Nicaragua,Nicaragua,NI,141.54,279.84,66.33,66.33,cndc.org.ni; Electricity Maps Estimation
2023-03-29 00:00:00,Nicaragua,Nicaragua,NI,107.72,229.55,74.25,74.25,cndc.org.ni
2023-03-30 00:00:00,Nicaragua,Nicaragua,NI,97.71,214.89,76.67,76.67,cndc.org.ni
2023-03-31 00:00:00,Nicaragua,Nicaragua,NI,94.14,209.48,77.54,77.54,cndc.org.ni
2023-04-01 00:00:00,Nicaragua,Nicaragua,NI,98.03,213.55,76.16,76.16,cndc.org.ni
2023-04-02 00:00:00,Nicaragua,Nicaragua,NI,75.31,184.72,81.90,81.90,cndc.org.ni
2023-04-03 00:00:00,Nicaragua,Nicaragua,NI,110.67,234.40,73.40,73.40,cndc.org.ni
2023-04-04 00:00:00,Nicaragua,Nicaragua,NI,124.49,251.21,69.66,69.66,cndc.org.ni
2023-04-05 00:00:00,Nicaragua,Nicaragua,NI,108.81,231.71,73.55,73.55,cndc.org.ni
2023-04-06 00:00:00,Nicaragua,Nicaragua,NI,98.48,217.68,75.95,75.95,cndc.org.ni
2023-04-07 00:00:00,Nicaragua,Nicaragua,NI,64.15,165.64,84.27,84.27,cndc.org.ni
2023-04-08 00:00:00,Nicaragua,Nicaragua,NI,61.89,164.87,84.78,84.78,cndc.org.ni
2023-04-09 00:00:00,Nicaragua,Nicaragua,NI,60.80,163.75,85.03,85.03,cndc.org.ni
2023-04-10 00:00:00,Nicaragua,Nicaragua,NI,96.32,213.12,76.47,76.47,cndc.org.ni
2023-04-11 00:00:00,Nicaragua,Nicaragua,NI,120.92,250.72,70.44,70.44,cndc.org.ni
2023-04-12 00:00:00,Nicaragua,Nicaragua,NI,120.44,249.87,70.54,70.54,cndc.org.ni
2023-04-13 00:00:00,Nicaragua,Nicaragua,NI,114.72,240.52,72.20,72.20,cndc.org.ni
2023-04-14 00:00:00,Nicaragua,Nicaragua,NI,117.26,246.47,71.57,71.57,cndc.org.ni
2023-04-15 00:00:00,Nicaragua,Nicaragua,NI,112.67,238.98,72.56,72.56,cndc.org.ni
2023-04-16 00:00:00,Nicaragua,Nicaragua,NI,119.86,253.37,71.06,71.06,cndc.org.ni
2023-04-17 00:00:00,Nicaragua,Nicaragua,NI,192.92,350.21,53.29,53.29,cndc.org.ni
2023-04-18 00:00:00,Nicaragua,Nicaragua,NI,195.36,350.07,52.74,52.74,cndc.org.ni
2023-04-19 00:00:00,Nicaragua,Nicaragua,NI,186.38,334.95,55.09,55.09,cndc.org.ni
2023-04-20 00:00:00,Nicaragua,Nicaragua,NI,190.62,342.17,54.09,54.09,cndc.org.ni
2023-04-21 00:00:00,Nicaragua,Nicaragua,NI,218.91,388.14,46.80,46.80,cndc.org.ni
2023-04-22 00:00:00,Nicaragua,Nicaragua,NI,207.94,381.04,49.82,49.82,cndc.org.ni
2023-04-23 00:00:00,Nicaragua,Nicaragua,NI,206.72,380.08,50.29,50.29,cndc.org.ni; Electricity Maps Estimation
2023-04-24 00:00:00,Nicaragua,Nicaragua,NI,206.65,379.36,50.17,50.17,cndc.org.ni; Electricity Maps Estimation
2023-04-25 00:00:00,Nicaragua,Nicaragua,NI,191.25,355.51,53.89,53.89,cndc.org.ni; Electricity Maps Estimation
2023-04-26 00:00:00,Nicaragua,Nicaragua,NI,207.66,378.18,49.78,49.78,cndc.org.ni
2023-04-27 00:00:00,Nicaragua,Nicaragua,NI,204.43,372.02,50.70,50.70,cndc.org.ni
2023-04-28 00:00:00,Nicaragua,Nicaragua,NI,217.73,391.82,47.46,47.46,cndc.org.ni
2023-04-29 00:00:00,Nicaragua,Nicaragua,NI,222.75,401.77,45.96,45.96,cndc.org.ni
2023-04-30 00:00:00,Nicaragua,Nicaragua,NI,206.38,374.79,50.83,50.83,cndc.org.ni
2023-05-01 00:00:00,Nicaragua,Nicaragua,NI,152.31,291.08,64.21,64.21,cndc.org.ni
2023-05-02 00:00:00,Nicaragua,Nicaragua,NI,182.83,336.17,56.50,56.50,cndc.org.ni
2023-05-03 00:00:00,Nicaragua,Nicaragua,NI,164.61,310.16,60.76,60.76,cndc.org.ni
2023-05-04 00:00:00,Nicaragua,Nicaragua,NI,158.61,299.46,62.21,62.21,cndc.org.ni
2023-05-05 00:00:00,Nicaragua,Nicaragua,NI,157.45,295.23,62.42,62.42,cndc.org.ni; Electricity Maps Estimation
2023-05-06 00:00:00,Nicaragua,Nicaragua,NI,136.07,264.49,67.89,67.89,cndc.org.ni
2023-05-07 00:00:00,Nicaragua,Nicaragua,NI,129.36,254.60,69.47,69.47,cndc.org.ni
2023-05-08 00:00:00,Nicaragua,Nicaragua,NI,157.49,296.54,62.49,62.49,cndc.org.ni
2023-05-09 00:00:00,Nicaragua,Nicaragua,NI,179.37,329.44,57.08,57.08,cndc.org.ni
2023-05-10 00:00:00,Nicaragua,Nicaragua,NI,203.84,367.45,50.78,50.78,cndc.org.ni
2023-05-11 00:00:00,Nicaragua,Nicaragua,NI,216.14,386.13,47.85,47.85,cndc.org.ni
2023-05-12 00:00:00,Nicaragua,Nicaragua,NI,204.85,375.59,49.55,49.55,cndc.org.ni
2023-05-13 00:00:00,Nicaragua,Nicaragua,NI,204.56,362.61,50.62,50.62,cndc.org.ni
2023-05-14 00:00:00,Nicaragua,Nicaragua,NI,193.68,341.29,53.44,53.44,cndc.org.ni
2023-05-15 00:00:00,Nicaragua,Nicaragua,NI,199.63,354.83,52.27,52.27,cndc.org.ni
2023-05-16 00:00:00,Nicaragua,Nicaragua,NI,242.71,424.08,41.38,41.38,cndc.org.ni
2023-05-17 00:00:00,Nicaragua,Nicaragua,NI,232.04,410.86,43.92,43.92,cndc.org.ni
2023-05-18 00:00:00,Nicaragua,Nicaragua,NI,231.54,408.07,44.01,44.01,cndc.org.ni
2023-05-19 00:00:00,Nicaragua,Nicaragua,NI,216.39,382.82,47.75,47.75,cndc.org.ni
2023-05-20 00:00:00,Nicaragua,Nicaragua,NI,212.43,366.41,48.72,48.72,cndc.org.ni
2023-05-21 00:00:00,Nicaragua,Nicaragua,NI,206.50,359.95,50.52,50.52,cndc.org.ni
2023-05-22 00:00:00,Nicaragua,Nicaragua,NI,223.18,392.85,46.12,46.12,cndc.org.ni
2023-05-23 00:00:00,Nicaragua,Nicaragua,NI,225.05,399.05,45.22,45.22,cndc.org.ni
2023-05-24 00:00:00,Nicaragua,Nicaragua,NI,235.48,417.38,42.84,42.84,cndc.org.ni
2023-05-25 00:00:00,Nicaragua,Nicaragua,NI,235.79,419.55,43.01,43.01,cndc.org.ni
2023-05-26 00:00:00,Nicaragua,Nicaragua,NI,243.03,429.45,40.97,40.97,cndc.org.ni
2023-05-27 00:00:00,Nicaragua,Nicaragua,NI,229.70,408.12,44.35,44.35,cndc.org.ni
2023-05-28 00:00:00,Nicaragua,Nicaragua,NI,196.88,359.71,52.60,52.60,cndc.org.ni
2023-05-29 00:00:00,Nicaragua,Nicaragua,NI,227.29,405.23,44.79,44.79,cndc.org.ni
2023-05-30 00:00:00,Nicaragua,Nicaragua,NI,210.15,376.87,49.65,49.65,cndc.org.ni
2023-05-31 00:00:00,Nicaragua,Nicaragua,NI,227.21,400.65,45.47,45.47,cndc.org.ni
2023-06-01 00:00:00,Nicaragua,Nicaragua,NI,223.48,399.06,45.97,45.97,cndc.org.ni
2023-06-02 00:00:00,Nicaragua,Nicaragua,NI,229.99,409.31,44.08,44.08,cndc.org.ni
2023-06-03 00:00:00,Nicaragua,Nicaragua,NI,229.49,407.69,44.19,44.19,cndc.org.ni
2023-06-04 00:00:00,Nicaragua,Nicaragua,NI,220.67,393.32,46.71,46.71,cndc.org.ni
2023-06-05 00:00:00,Nicaragua,Nicaragua,NI,233.02,410.73,43.78,43.78,cndc.org.ni
2023-06-06 00:00:00,Nicaragua,Nicaragua,NI,246.56,429.68,40.51,40.51,cndc.org.ni
2023-06-07 00:00:00,Nicaragua,Nicaragua,NI,242.13,420.95,41.71,41.71,cndc.org.ni
2023-06-08 00:00:00,Nicaragua,Nicaragua,NI,241.49,423.21,41.81,41.81,cndc.org.ni; Electricity Maps Estimation
2023-06-09 00:00:00,Nicaragua,Nicaragua,NI,250.13,436.87,39.57,39.57,cndc.org.ni; Electricity Maps Estimation
2023-06-10 00:00:00,Nicaragua,Nicaragua,NI,240.25,427.98,41.38,41.38,cndc.org.ni
2023-06-11 00:00:00,Nicaragua,Nicaragua,NI,208.79,384.97,48.79,48.79,cndc.org.ni
2023-06-12 00:00:00,Nicaragua,Nicaragua,NI,234.80,417.97,42.33,42.33,cndc.org.ni
2023-06-13 00:00:00,Nicaragua,Nicaragua,NI,215.21,386.39,47.15,47.15,cndc.org.ni
2023-06-14 00:00:00,Nicaragua,Nicaragua,NI,207.98,375.26,48.84,48.84,cndc.org.ni
2023-06-15 00:00:00,Nicaragua,Nicaragua,NI,227.40,407.74,44.08,44.08,cndc.org.ni
2023-06-16 00:00:00,Nicaragua,Nicaragua,NI,209.63,380.61,48.44,48.44,cndc.org.ni
2023-06-17 00:00:00,Nicaragua,Nicaragua,NI,202.19,366.84,50.30,50.30,cndc.org.ni
2023-06-18 00:00:00,Nicaragua,Nicaragua,NI,211.24,373.27,48.27,48.27,cndc.org.ni
2023-06-19 00:00:00,Nicaragua,Nicaragua,NI,202.40,366.99,50.47,50.47,cndc.org.ni
2023-06-20 00:00:00,Nicaragua,Nicaragua,NI,210.50,378.60,48.28,48.28,cndc.org.ni
2023-06-21 00:00:00,Nicaragua,Nicaragua,NI,229.88,409.03,43.48,43.48,cndc.org.ni
2023-06-22 00:00:00,Nicaragua,Nicaragua,NI,247.54,439.91,39.17,39.17,cndc.org.ni
2023-06-23 00:00:00,Nicaragua,Nicaragua,NI,217.05,391.35,46.56,46.56,cndc.org.ni
2023-06-24 00:00:00,Nicaragua,Nicaragua,NI,186.63,350.02,54.17,54.17,cndc.org.ni
2023-06-25 00:00:00,Nicaragua,Nicaragua,NI,136.05,269.99,66.83,66.83,cndc.org.ni
2023-06-26 00:00:00,Nicaragua,Nicaragua,NI,241.19,428.09,40.87,40.87,cndc.org.ni
2023-06-27 00:00:00,Nicaragua,Nicaragua,NI,255.18,447.33,37.36,37.36,cndc.org.ni
2023-06-28 00:00:00,Nicaragua,Nicaragua,NI,211.09,377.58,48.22,48.22,cndc.org.ni
2023-06-29 00:00:00,Nicaragua,Nicaragua,NI,188.05,339.12,53.91,53.91,cndc.org.ni
2023-06-30 00:00:00,Nicaragua,Nicaragua,NI,209.94,373.94,48.53,48.53,cndc.org.ni
2023-07-01 00:00:00,Nicaragua,Nicaragua,NI,216.80,385.29,46.90,46.90,cndc.org.ni
2023-07-02 00:00:00,Nicaragua,Nicaragua,NI,225.02,401.10,44.93,44.93,cndc.org.ni
2023-07-03 00:00:00,Nicaragua,Nicaragua,NI,226.63,402.01,44.42,44.42,cndc.org.ni
2023-07-04 00:00:00,Nicaragua,Nicaragua,NI,206.43,372.02,49.32,49.32,cndc.org.ni
2023-07-05 00:00:00,Nicaragua,Nicaragua,NI,175.10,321.80,57.18,57.18,cndc.org.ni
2023-07-06 00:00:00,Nicaragua,Nicaragua,NI,217.77,387.03,47.16,47.16,cndc.org.ni
2023-07-07 00:00:00,Nicaragua,Nicaragua,NI,213.11,378.45,48.72,48.72,cndc.org.ni
2023-07-08 00:00:00,Nicaragua,Nicaragua,NI,216.91,383.60,47.90,47.90,cndc.org.ni
2023-07-09 00:00:00,Nicaragua,Nicaragua,NI,168.00,309.10,60.41,60.41,cndc.org.ni; Electricity Maps Estimation
2023-07-10 00:00:00,Nicaragua,Nicaragua,NI,197.83,349.28,52.87,52.87,cndc.org.ni; Electricity Maps Estimation
2023-07-11 00:00:00,Nicaragua,Nicaragua,NI,177.05,316.46,57.39,57.39,cndc.org.ni
2023-07-12 00:00:00,Nicaragua,Nicaragua,NI,200.18,352.62,51.56,51.56,cndc.org.ni
2023-07-13 00:00:00,Nicaragua,Nicaragua,NI,219.19,384.16,46.60,46.60,cndc.org.ni
2023-07-14 00:00:00,Nicaragua,Nicaragua,NI,187.81,335.20,54.46,54.46,cndc.org.ni
2023-07-15 00:00:00,Nicaragua,Nicaragua,NI,164.99,298.45,60.70,60.70,cndc.org.ni
2023-07-16 00:00:00,Nicaragua,Nicaragua,NI,151.77,277.41,64.46,64.46,cndc.org.ni
2023-07-17 00:00:00,Nicaragua,Nicaragua,NI,185.57,331.30,55.56,55.56,cndc.org.ni
2023-07-18 00:00:00,Nicaragua,Nicaragua,NI,156.27,285.69,62.74,62.74,cndc.org.ni
2023-07-19 00:00:00,Nicaragua,Nicaragua,NI,138.61,259.74,66.97,66.97,cndc.org.ni
2023-07-20 00:00:00,Nicaragua,Nicaragua,NI,172.32,309.76,58.54,58.54,cndc.org.ni
2023-07-21 00:00:00,Nicaragua,Nicaragua,NI,213.11,374.62,48.14,48.14,cndc.org.ni
2023-07-22 00:00:00,Nicaragua,Nicaragua,NI,239.05,417.25,41.83,41.83,cndc.org.ni
2023-07-23 00:00:00,Nicaragua,Nicaragua,NI,187.06,338.37,54.77,54.77,cndc.org.ni
2023-07-24 00:00:00,Nicaragua,Nicaragua,NI,186.01,333.93,54.90,54.90,cndc.org.ni
2023-07-25 00:00:00,Nicaragua,Nicaragua,NI,185.00,331.70,55.04,55.04,cndc.org.ni
2023-07-26 00:00:00,Nicaragua,Nicaragua,NI,181.69,325.53,56.23,56.23,cndc.org.ni
2023-07-27 00:00:00,Nicaragua,Nicaragua,NI,236.91,400.41,42.70,42.70,cndc.org.ni; Electricity Maps Estimation
2023-07-28 00:00:00,Nicaragua,Nicaragua,NI,246.92,421.78,40.12,40.12,cndc.org.ni
2023-07-29 00:00:00,Nicaragua,Nicaragua,NI,228.31,398.35,45.01,45.01,cndc.org.ni
2023-07-30 00:00:00,Nicaragua,Nicaragua,NI,176.99,319.52,57.88,57.88,cndc.org.ni
2023-07-31 00:00:00,Nicaragua,Nicaragua,NI,226.70,394.24,45.44,45.44,cndc.org.ni
2023-08-01 00:00:00,Nicaragua,Nicaragua,NI,248.30,425.55,40.26,40.26,cndc.org.ni
2023-08-02 00:00:00,Nicaragua,Nicaragua,NI,209.37,364.80,50.07,50.07,cndc.org.ni
2023-08-03 00:00:00,Nicaragua,Nicaragua,NI,208.00,362.55,50.45,50.45,cndc.org.ni
2023-08-04 00:00:00,Nicaragua,Nicaragua,NI,183.42,321.66,56.35,56.35,cndc.org.ni
