Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Netherlands,Netherlands,NL,164.98,213.93,69.39,60.13,ned.nl
2023-01-02 00:00:00,Netherlands,Netherlands,NL,261.36,325.76,55.21,45.95,ned.nl
2023-01-03 00:00:00,Netherlands,Netherlands,NL,265.22,331.69,53.17,45.82,ned.nl
2023-01-04 00:00:00,Netherlands,Netherlands,NL,163.88,209.74,71.15,66.89,ned.nl
2023-01-05 00:00:00,Netherlands,Netherlands,NL,235.51,298.20,56.73,50.41,ned.nl
2023-01-06 00:00:00,Netherlands,Netherlands,NL,216.53,273.62,62.39,57.45,ned.nl
2023-01-07 00:00:00,Netherlands,Netherlands,NL,140.56,185.09,72.77,63.57,ned.nl
2023-01-08 00:00:00,Netherlands,Netherlands,NL,163.77,212.11,69.98,60.73,ned.nl
2023-01-09 00:00:00,Netherlands,Netherlands,NL,243.90,307.10,55.45,49.78,ned.nl
2023-01-10 00:00:00,Netherlands,Netherlands,NL,231.76,290.71,59.24,55.33,ned.nl
2023-01-11 00:00:00,Netherlands,Netherlands,NL,183.99,234.02,67.42,63.28,ned.nl
2023-01-12 00:00:00,Netherlands,Netherlands,NL,163.80,210.11,70.34,66.13,ned.nl
2023-01-13 00:00:00,Netherlands,Netherlands,NL,157.06,202.66,70.88,65.51,ned.nl
2023-01-14 00:00:00,Netherlands,Netherlands,NL,137.92,180.34,73.05,65.63,ned.nl
2023-01-15 00:00:00,Netherlands,Netherlands,NL,148.20,194.42,69.82,64.86,ned.nl
2023-01-16 00:00:00,Netherlands,Netherlands,NL,271.16,336.72,52.11,47.11,ned.nl
2023-01-17 00:00:00,Netherlands,Netherlands,NL,314.10,392.41,41.55,38.10,ned.nl
2023-01-18 00:00:00,Netherlands,Netherlands,NL,285.16,361.11,43.34,40.49,ned.nl
2023-01-19 00:00:00,Netherlands,Netherlands,NL,318.14,397.92,39.25,36.05,ned.nl
2023-01-20 00:00:00,Netherlands,Netherlands,NL,341.30,431.18,29.05,26.18,ned.nl
2023-01-21 00:00:00,Netherlands,Netherlands,NL,372.18,460.93,31.71,27.72,ned.nl
2023-01-22 00:00:00,Netherlands,Netherlands,NL,380.48,465.56,33.37,29.36,ned.nl
2023-01-23 00:00:00,Netherlands,Netherlands,NL,390.42,489.31,20.23,16.95,ned.nl
2023-01-24 00:00:00,Netherlands,Netherlands,NL,390.04,490.29,19.69,16.61,ned.nl
2023-01-25 00:00:00,Netherlands,Netherlands,NL,365.81,459.69,26.18,22.87,ned.nl
2023-01-26 00:00:00,Netherlands,Netherlands,NL,311.58,395.43,36.15,33.35,ned.nl
2023-01-27 00:00:00,Netherlands,Netherlands,NL,337.81,427.62,30.07,27.19,ned.nl
2023-01-28 00:00:00,Netherlands,Netherlands,NL,364.02,458.69,27.38,23.84,ned.nl
2023-01-29 00:00:00,Netherlands,Netherlands,NL,234.90,297.95,55.58,51.69,ned.nl
2023-01-30 00:00:00,Netherlands,Netherlands,NL,187.14,243.31,62.37,59.19,ned.nl
2023-01-31 00:00:00,Netherlands,Netherlands,NL,203.25,262.37,59.80,56.48,ned.nl
2023-02-01 00:00:00,Netherlands,Netherlands,NL,168.70,219.05,67.27,64.04,ned.nl
2023-02-02 00:00:00,Netherlands,Netherlands,NL,251.19,321.84,48.76,45.45,ned.nl
2023-02-03 00:00:00,Netherlands,Netherlands,NL,219.23,279.77,58.47,55.30,ned.nl
2023-02-04 00:00:00,Netherlands,Netherlands,NL,357.39,448.41,32.24,28.04,ned.nl
2023-02-05 00:00:00,Netherlands,Netherlands,NL,243.05,308.12,55.75,52.00,ned.nl
2023-02-06 00:00:00,Netherlands,Netherlands,NL,371.50,470.11,24.03,20.35,ned.nl
2023-02-07 00:00:00,Netherlands,Netherlands,NL,348.39,444.50,26.79,23.77,ned.nl
2023-02-08 00:00:00,Netherlands,Netherlands,NL,327.35,416.80,33.23,30.11,ned.nl
2023-02-09 00:00:00,Netherlands,Netherlands,NL,317.79,401.88,36.75,33.51,ned.nl
2023-02-10 00:00:00,Netherlands,Netherlands,NL,262.04,334.58,48.78,45.52,ned.nl
2023-02-11 00:00:00,Netherlands,Netherlands,NL,302.32,382.22,41.89,38.14,ned.nl
2023-02-12 00:00:00,Netherlands,Netherlands,NL,377.74,471.88,28.20,23.87,ned.nl
2023-02-13 00:00:00,Netherlands,Netherlands,NL,357.46,454.33,26.64,23.38,ned.nl
2023-02-14 00:00:00,Netherlands,Netherlands,NL,363.25,461.56,25.63,22.81,ned.nl
2023-02-15 00:00:00,Netherlands,Netherlands,NL,337.95,429.45,32.01,29.10,ned.nl
2023-02-16 00:00:00,Netherlands,Netherlands,NL,284.63,358.78,47.35,44.03,ned.nl
2023-02-17 00:00:00,Netherlands,Netherlands,NL,184.22,236.71,66.57,63.07,ned.nl
2023-02-18 00:00:00,Netherlands,Netherlands,NL,184.29,238.56,65.31,61.24,ned.nl
2023-02-19 00:00:00,Netherlands,Netherlands,NL,246.41,315.60,52.79,47.94,ned.nl
2023-02-20 00:00:00,Netherlands,Netherlands,NL,169.43,219.54,67.93,64.62,ned.nl
2023-02-21 00:00:00,Netherlands,Netherlands,NL,335.41,422.53,34.26,30.68,ned.nl
2023-02-22 00:00:00,Netherlands,Netherlands,NL,365.31,462.32,25.29,22.15,ned.nl
2023-02-23 00:00:00,Netherlands,Netherlands,NL,353.71,447.42,27.76,24.64,ned.nl
2023-02-24 00:00:00,Netherlands,Netherlands,NL,245.62,310.17,55.84,52.55,ned.nl
2023-02-25 00:00:00,Netherlands,Netherlands,NL,182.71,238.04,65.78,62.14,ned.nl
2023-02-26 00:00:00,Netherlands,Netherlands,NL,208.56,270.92,60.60,56.54,ned.nl
2023-02-27 00:00:00,Netherlands,Netherlands,NL,305.58,391.41,37.15,34.25,ned.nl
2023-02-28 00:00:00,Netherlands,Netherlands,NL,332.17,425.24,30.32,27.60,ned.nl
2023-03-01 00:00:00,Netherlands,Netherlands,NL,309.73,396.55,34.90,32.39,ned.nl
2023-03-02 00:00:00,Netherlands,Netherlands,NL,285.46,367.02,39.32,36.77,ned.nl
2023-03-03 00:00:00,Netherlands,Netherlands,NL,318.80,405.36,33.48,30.58,ned.nl
