Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Norway,Norway,NO,31.98,59.43,94.97,88.75,entsoe.eu
2023-01-02 00:00:00,Norway,Norway,NO,21.41,48.46,96.68,93.29,entsoe.eu
2023-01-03 00:00:00,Norway,Norway,NO,16.60,42.71,97.25,96.01,entsoe.eu
2023-01-04 00:00:00,Norway,Norway,NO,23.77,48.85,96.40,93.62,entsoe.eu
2023-01-05 00:00:00,Norway,Norway,NO,15.01,39.71,97.56,96.27,entsoe.eu
2023-01-06 00:00:00,Norway,Norway,NO,13.24,37.56,97.57,96.07,entsoe.eu
2023-01-07 00:00:00,Norway,Norway,NO,24.34,50.54,95.90,93.06,entsoe.eu
2023-01-08 00:00:00,Norway,Norway,NO,19.08,44.38,96.53,94.07,entsoe.eu
2023-01-09 00:00:00,Norway,Norway,NO,12.47,37.26,97.77,97.01,entsoe.eu
2023-01-10 00:00:00,Norway,Norway,NO,17.07,42.52,97.28,96.26,entsoe.eu
2023-01-11 00:00:00,Norway,Norway,NO,17.62,42.00,96.97,94.55,entsoe.eu
2023-01-12 00:00:00,Norway,Norway,NO,19.80,45.46,96.83,93.70,entsoe.eu
2023-01-13 00:00:00,Norway,Norway,NO,21.88,48.64,96.48,92.66,entsoe.eu
2023-01-14 00:00:00,Norway,Norway,NO,24.16,50.72,96.30,91.02,entsoe.eu
2023-01-15 00:00:00,Norway,Norway,NO,25.30,51.52,95.91,90.58,entsoe.eu
2023-01-16 00:00:00,Norway,Norway,NO,11.10,36.80,97.98,96.21,entsoe.eu
2023-01-17 00:00:00,Norway,Norway,NO,10.23,34.92,98.18,96.64,entsoe.eu
2023-01-18 00:00:00,Norway,Norway,NO,6.83,31.65,98.54,97.85,entsoe.eu
2023-01-19 00:00:00,Norway,Norway,NO,6.16,31.13,98.73,98.27,entsoe.eu
2023-01-20 00:00:00,Norway,Norway,NO,5.38,30.34,98.80,98.71,entsoe.eu
2023-01-21 00:00:00,Norway,Norway,NO,5.38,29.95,98.81,98.69,entsoe.eu
2023-01-22 00:00:00,Norway,Norway,NO,5.76,30.09,98.74,98.58,entsoe.eu
