Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,New Zealand,New Zealand,NZ,17.82,47.60,96.61,96.61,transpower.co.nz
2023-01-02 00:00:00,New Zealand,New Zealand,NZ,18.90,48.94,96.41,96.41,Electricity Maps Estimation; transpower.co.nz
2023-01-03 00:00:00,New Zealand,New Zealand,NZ,19.92,49.06,96.55,96.55,transpower.co.nz
2023-01-04 00:00:00,New Zealand,New Zealand,NZ,19.31,47.73,96.93,96.93,transpower.co.nz
2023-01-05 00:00:00,New Zealand,New Zealand,NZ,21.71,50.54,96.58,96.58,transpower.co.nz
2023-01-06 00:00:00,New Zealand,New Zealand,NZ,22.12,51.11,96.37,96.37,transpower.co.nz
2023-01-07 00:00:00,New Zealand,New Zealand,NZ,18.13,46.24,96.62,96.62,transpower.co.nz
2023-01-08 00:00:00,New Zealand,New Zealand,NZ,22.01,49.91,96.38,96.38,transpower.co.nz
2023-01-09 00:00:00,New Zealand,New Zealand,NZ,28.61,56.79,95.62,95.62,Electricity Maps Estimation; transpower.co.nz
2023-01-10 00:00:00,New Zealand,New Zealand,NZ,30.11,58.31,95.31,95.31,transpower.co.nz
2023-01-11 00:00:00,New Zealand,New Zealand,NZ,31.66,59.87,95.13,95.13,transpower.co.nz
2023-01-12 00:00:00,New Zealand,New Zealand,NZ,38.61,68.53,94.13,94.13,transpower.co.nz
2023-01-13 00:00:00,New Zealand,New Zealand,NZ,40.67,71.27,93.85,93.85,transpower.co.nz
2023-01-14 00:00:00,New Zealand,New Zealand,NZ,39.66,70.15,94.10,94.10,transpower.co.nz
2023-01-15 00:00:00,New Zealand,New Zealand,NZ,46.59,79.92,91.58,91.58,transpower.co.nz
2023-01-16 00:00:00,New Zealand,New Zealand,NZ,55.89,95.29,86.45,86.45,transpower.co.nz
2023-01-17 00:00:00,New Zealand,New Zealand,NZ,59.95,100.74,85.25,85.25,transpower.co.nz
2023-01-18 00:00:00,New Zealand,New Zealand,NZ,57.97,97.30,86.09,86.09,transpower.co.nz
2023-01-19 00:00:00,New Zealand,New Zealand,NZ,63.96,104.57,84.73,84.73,transpower.co.nz
2023-01-20 00:00:00,New Zealand,New Zealand,NZ,54.44,92.72,86.82,86.82,transpower.co.nz
2023-01-21 00:00:00,New Zealand,New Zealand,NZ,60.01,100.35,85.50,85.50,transpower.co.nz
2023-01-22 00:00:00,New Zealand,New Zealand,NZ,63.36,103.15,85.42,85.42,transpower.co.nz
2023-01-23 00:00:00,New Zealand,New Zealand,NZ,78.52,120.66,82.48,82.48,transpower.co.nz
2023-01-24 00:00:00,New Zealand,New Zealand,NZ,73.05,113.41,84.04,84.04,transpower.co.nz
2023-01-25 00:00:00,New Zealand,New Zealand,NZ,75.55,117.12,83.01,83.01,transpower.co.nz
2023-01-26 00:00:00,New Zealand,New Zealand,NZ,82.87,125.31,81.66,81.66,transpower.co.nz
2023-01-27 00:00:00,New Zealand,New Zealand,NZ,64.51,104.44,84.93,84.93,transpower.co.nz
2023-01-28 00:00:00,New Zealand,New Zealand,NZ,46.70,82.93,88.96,88.96,transpower.co.nz
2023-01-29 00:00:00,New Zealand,New Zealand,NZ,57.78,97.27,86.21,86.21,transpower.co.nz
2023-01-30 00:00:00,New Zealand,New Zealand,NZ,62.00,101.31,85.88,85.88,transpower.co.nz
2023-01-31 00:00:00,New Zealand,New Zealand,NZ,68.26,108.03,84.61,84.61,transpower.co.nz
2023-02-01 00:00:00,New Zealand,New Zealand,NZ,73.93,114.34,83.57,83.57,transpower.co.nz
2023-02-02 00:00:00,New Zealand,New Zealand,NZ,69.96,109.42,84.75,84.75,transpower.co.nz
2023-02-03 00:00:00,New Zealand,New Zealand,NZ,51.68,88.58,88.23,88.23,transpower.co.nz
2023-02-04 00:00:00,New Zealand,New Zealand,NZ,39.91,75.38,90.38,90.38,transpower.co.nz
2023-02-05 00:00:00,New Zealand,New Zealand,NZ,32.18,64.99,92.42,92.42,transpower.co.nz
2023-02-06 00:00:00,New Zealand,New Zealand,NZ,34.49,68.03,91.83,91.83,transpower.co.nz
2023-02-07 00:00:00,New Zealand,New Zealand,NZ,36.59,69.64,91.62,91.62,transpower.co.nz
2023-02-08 00:00:00,New Zealand,New Zealand,NZ,37.05,70.10,91.55,91.55,transpower.co.nz
2023-02-09 00:00:00,New Zealand,New Zealand,NZ,48.09,83.93,89.22,89.22,transpower.co.nz
2023-02-10 00:00:00,New Zealand,New Zealand,NZ,43.69,79.83,89.70,89.70,transpower.co.nz
2023-02-11 00:00:00,New Zealand,New Zealand,NZ,36.31,70.59,91.39,91.39,transpower.co.nz
2023-02-12 00:00:00,New Zealand,New Zealand,NZ,42.59,76.93,90.42,90.42,transpower.co.nz
2023-02-13 00:00:00,New Zealand,New Zealand,NZ,44.66,78.38,90.06,90.06,Electricity Maps Estimation; transpower.co.nz
2023-02-14 00:00:00,New Zealand,New Zealand,NZ,55.47,91.38,87.99,87.99,Electricity Maps Estimation; transpower.co.nz
2023-02-15 00:00:00,New Zealand,New Zealand,NZ,71.25,109.95,84.81,84.81,Electricity Maps Estimation; transpower.co.nz
2023-02-16 00:00:00,New Zealand,New Zealand,NZ,73.91,113.27,84.09,84.09,Electricity Maps Estimation; transpower.co.nz
