Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Panama,Panama,PA,276.98,356.78,48.73,48.73,https://www.cnd.com.pa/
2023-01-02 00:00:00,Panama,Panama,PA,303.62,395.82,42.28,42.28,https://www.cnd.com.pa/; Electricity Maps Estimation
2023-01-03 00:00:00,Panama,Panama,PA,271.16,358.20,47.84,47.84,https://www.cnd.com.pa/
2023-01-04 00:00:00,Panama,Panama,PA,278.98,366.28,46.85,46.85,https://www.cnd.com.pa/
2023-01-05 00:00:00,Panama,Panama,PA,263.14,350.26,48.60,48.60,https://www.cnd.com.pa/
2023-01-06 00:00:00,Panama,Panama,PA,211.26,295.48,55.44,55.44,https://www.cnd.com.pa/
2023-01-07 00:00:00,Panama,Panama,PA,244.44,314.77,52.08,52.08,https://www.cnd.com.pa/
2023-01-08 00:00:00,Panama,Panama,PA,277.39,350.53,47.21,47.21,https://www.cnd.com.pa/
2023-01-09 00:00:00,Panama,Panama,PA,263.13,334.60,49.53,49.53,https://www.cnd.com.pa/
2023-01-10 00:00:00,Panama,Panama,PA,258.46,330.69,50.31,50.31,https://www.cnd.com.pa/
2023-01-11 00:00:00,Panama,Panama,PA,251.32,322.85,51.84,51.84,https://www.cnd.com.pa/
2023-01-12 00:00:00,Panama,Panama,PA,268.38,347.90,47.73,47.73,https://www.cnd.com.pa/
2023-01-13 00:00:00,Panama,Panama,PA,243.27,311.65,54.53,54.53,https://www.cnd.com.pa/
2023-01-14 00:00:00,Panama,Panama,PA,245.59,310.32,55.18,55.18,https://www.cnd.com.pa/
2023-01-15 00:00:00,Panama,Panama,PA,251.68,313.55,54.50,54.50,https://www.cnd.com.pa/
2023-01-16 00:00:00,Panama,Panama,PA,256.92,328.37,51.30,51.30,https://www.cnd.com.pa/
2023-01-17 00:00:00,Panama,Panama,PA,267.81,347.34,48.44,48.44,https://www.cnd.com.pa/
2023-01-18 00:00:00,Panama,Panama,PA,273.82,355.46,46.70,46.70,https://www.cnd.com.pa/
2023-01-19 00:00:00,Panama,Panama,PA,269.59,350.40,47.84,47.84,https://www.cnd.com.pa/
2023-01-20 00:00:00,Panama,Panama,PA,266.57,347.51,48.37,48.37,https://www.cnd.com.pa/
2023-01-21 00:00:00,Panama,Panama,PA,247.28,313.14,54.01,54.01,https://www.cnd.com.pa/
2023-01-22 00:00:00,Panama,Panama,PA,257.25,322.03,52.30,52.30,https://www.cnd.com.pa/
2023-01-23 00:00:00,Panama,Panama,PA,246.50,312.90,53.45,53.45,https://www.cnd.com.pa/
2023-01-24 00:00:00,Panama,Panama,PA,233.49,297.53,56.14,56.14,https://www.cnd.com.pa/
2023-01-25 00:00:00,Panama,Panama,PA,238.75,306.61,54.57,54.57,https://www.cnd.com.pa/
2023-01-26 00:00:00,Panama,Panama,PA,237.17,303.33,54.84,54.84,https://www.cnd.com.pa/
2023-01-27 00:00:00,Panama,Panama,PA,227.01,287.69,57.60,57.60,https://www.cnd.com.pa/
2023-01-28 00:00:00,Panama,Panama,PA,229.93,287.51,58.34,58.34,https://www.cnd.com.pa/
2023-01-29 00:00:00,Panama,Panama,PA,250.45,315.90,54.71,54.71,https://www.cnd.com.pa/
2023-01-30 00:00:00,Panama,Panama,PA,247.51,318.25,54.04,54.04,https://www.cnd.com.pa/
2023-01-31 00:00:00,Panama,Panama,PA,262.38,337.04,49.58,49.58,https://www.cnd.com.pa/
2023-02-01 00:00:00,Panama,Panama,PA,257.28,330.87,50.61,50.61,https://www.cnd.com.pa/
2023-02-02 00:00:00,Panama,Panama,PA,258.72,332.19,50.33,50.33,https://www.cnd.com.pa/
2023-02-03 00:00:00,Panama,Panama,PA,264.53,339.36,49.30,49.30,https://www.cnd.com.pa/
2023-02-04 00:00:00,Panama,Panama,PA,259.84,326.55,51.44,51.44,https://www.cnd.com.pa/
2023-02-05 00:00:00,Panama,Panama,PA,246.68,305.94,55.63,55.63,https://www.cnd.com.pa/
2023-02-06 00:00:00,Panama,Panama,PA,251.93,322.15,52.08,52.08,https://www.cnd.com.pa/
2023-02-07 00:00:00,Panama,Panama,PA,249.80,321.73,52.20,52.20,https://www.cnd.com.pa/; Electricity Maps Estimation
2023-02-08 00:00:00,Panama,Panama,PA,245.38,315.10,52.95,52.95,https://www.cnd.com.pa/
2023-02-09 00:00:00,Panama,Panama,PA,240.44,307.27,54.23,54.23,https://www.cnd.com.pa/
2023-02-10 00:00:00,Panama,Panama,PA,234.46,300.27,55.18,55.18,https://www.cnd.com.pa/
2023-02-11 00:00:00,Panama,Panama,PA,234.22,301.14,54.84,54.84,https://www.cnd.com.pa/
2023-02-12 00:00:00,Panama,Panama,PA,243.46,305.95,54.73,54.73,https://www.cnd.com.pa/
2023-02-13 00:00:00,Panama,Panama,PA,239.11,304.43,54.79,54.79,https://www.cnd.com.pa/
2023-02-14 00:00:00,Panama,Panama,PA,229.36,294.71,56.53,56.53,https://www.cnd.com.pa/
2023-02-15 00:00:00,Panama,Panama,PA,224.94,289.69,57.22,57.22,https://www.cnd.com.pa/
2023-02-16 00:00:00,Panama,Panama,PA,228.37,296.56,56.29,56.29,https://www.cnd.com.pa/
2023-02-17 00:00:00,Panama,Panama,PA,227.19,292.95,56.75,56.75,https://www.cnd.com.pa/
2023-02-18 00:00:00,Panama,Panama,PA,242.50,306.84,54.50,54.50,https://www.cnd.com.pa/
2023-02-19 00:00:00,Panama,Panama,PA,251.54,311.37,54.49,54.49,https://www.cnd.com.pa/
2023-02-20 00:00:00,Panama,Panama,PA,246.19,305.86,55.32,55.32,https://www.cnd.com.pa/
2023-02-21 00:00:00,Panama,Panama,PA,244.83,308.58,54.08,54.08,https://www.cnd.com.pa/
2023-02-22 00:00:00,Panama,Panama,PA,218.49,280.78,57.26,57.26,https://www.cnd.com.pa/
2023-02-23 00:00:00,Panama,Panama,PA,183.80,248.44,62.85,62.85,https://www.cnd.com.pa/
2023-02-24 00:00:00,Panama,Panama,PA,140.77,206.37,68.21,68.21,https://www.cnd.com.pa/
2023-02-25 00:00:00,Panama,Panama,PA,156.02,218.82,64.20,64.20,https://www.cnd.com.pa/
