Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Peru,Peru,PE,88.10,135.78,76.19,76.19,coes.org.pe
2023-01-02 00:00:00,Peru,Peru,PE,82.19,128.03,77.79,77.79,coes.org.pe
2023-01-03 00:00:00,Peru,Peru,PE,95.50,145.48,74.19,74.19,coes.org.pe
2023-01-04 00:00:00,Peru,Peru,PE,109.16,162.81,70.50,70.50,coes.org.pe
2023-01-05 00:00:00,Peru,Peru,PE,115.02,170.19,68.91,68.91,coes.org.pe
2023-01-06 00:00:00,Peru,Peru,PE,111.77,166.36,69.79,69.79,coes.org.pe
2023-01-07 00:00:00,Peru,Peru,PE,116.90,172.80,68.41,68.41,coes.org.pe
2023-01-08 00:00:00,Peru,Peru,PE,114.47,170.29,69.09,69.09,coes.org.pe
2023-01-09 00:00:00,Peru,Peru,PE,121.65,178.55,67.12,67.12,coes.org.pe
2023-01-10 00:00:00,Peru,Peru,PE,124.55,182.09,66.34,66.34,coes.org.pe
2023-01-11 00:00:00,Peru,Peru,PE,127.15,185.35,65.63,65.63,coes.org.pe
2023-01-12 00:00:00,Peru,Peru,PE,132.86,192.49,64.09,64.09,coes.org.pe
2023-01-13 00:00:00,Peru,Peru,PE,136.22,196.66,63.18,63.18,coes.org.pe
2023-01-14 00:00:00,Peru,Peru,PE,144.14,207.17,61.07,61.07,coes.org.pe
2023-01-15 00:00:00,Peru,Peru,PE,158.65,225.79,57.18,57.18,coes.org.pe
2023-01-16 00:00:00,Peru,Peru,PE,157.75,224.01,57.36,57.36,coes.org.pe
2023-01-17 00:00:00,Peru,Peru,PE,159.45,225.79,56.91,56.91,coes.org.pe
2023-01-18 00:00:00,Peru,Peru,PE,176.98,247.88,52.17,52.17,coes.org.pe
2023-01-19 00:00:00,Peru,Peru,PE,150.28,214.03,59.39,59.39,coes.org.pe
2023-01-20 00:00:00,Peru,Peru,PE,119.55,175.79,67.69,67.69,coes.org.pe
2023-01-21 00:00:00,Peru,Peru,PE,103.00,154.82,72.16,72.16,coes.org.pe
2023-01-22 00:00:00,Peru,Peru,PE,96.40,146.94,73.97,73.97,coes.org.pe
2023-01-23 00:00:00,Peru,Peru,PE,109.74,163.22,70.34,70.34,coes.org.pe
2023-01-24 00:00:00,Peru,Peru,PE,121.05,177.36,67.28,67.28,coes.org.pe
2023-01-25 00:00:00,Peru,Peru,PE,134.34,194.06,63.69,63.69,coes.org.pe
2023-01-26 00:00:00,Peru,Peru,PE,144.08,206.30,61.06,61.06,coes.org.pe
2023-01-27 00:00:00,Peru,Peru,PE,134.36,194.11,63.69,63.69,coes.org.pe
2023-01-28 00:00:00,Peru,Peru,PE,114.27,168.87,69.12,69.12,coes.org.pe
2023-01-29 00:00:00,Peru,Peru,PE,97.22,147.25,73.73,73.73,coes.org.pe
2023-01-30 00:00:00,Peru,Peru,PE,103.54,155.16,72.02,72.02,coes.org.pe
