Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-02 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-03 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-04 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-05 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-06 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-07 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-08 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-09 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-10 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-11 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-12 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-13 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-14 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-15 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-16 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-17 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-18 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-19 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-20 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-21 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-22 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-23 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-24 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-25 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-26 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-27 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-28 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-29 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-30 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-01-31 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-01 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-02 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-03 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-04 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-05 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-06 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-07 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-08 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-09 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-10 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-11 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-12 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-13 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-14 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-15 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-16 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-17 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-18 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-19 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-20 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-21 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-22 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-23 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-24 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-25 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-26 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-27 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-02-28 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-03-01 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-03-02 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-03-03 00:00:00,Philippines,Philippines,PH,545.52,617.83,18.99,18.99,
2023-03-04 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-05 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-06 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-07 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-08 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-09 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-10 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-11 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-12 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-13 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-14 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-15 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-16 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-17 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-18 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-19 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-20 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-21 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-22 00:00:00,Philippines,Philippines,PH,545.52,617.83,19.00,19.00,
2023-03-23 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-03-24 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-03-25 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-03-26 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-03-27 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-03-28 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-03-29 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-03-30 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-03-31 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-01 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-02 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-03 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-04 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-05 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-06 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-07 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-08 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-09 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-10 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
2023-04-11 00:00:00,Philippines,Philippines,PH,545.52,617.82,19.00,19.00,
