Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Poland,Poland,PL,563.72,615.10,44.25,43.39,entsoe.eu
2023-01-02 00:00:00,Poland,Poland,PL,624.38,678.31,38.06,37.03,entsoe.eu
2023-01-03 00:00:00,Poland,Poland,PL,675.16,731.65,32.48,31.39,entsoe.eu
2023-01-04 00:00:00,Poland,Poland,PL,613.83,667.10,38.36,37.86,entsoe.eu
2023-01-05 00:00:00,Poland,Poland,PL,608.73,660.80,38.93,38.24,entsoe.eu
2023-01-06 00:00:00,Poland,Poland,PL,732.44,793.13,26.46,25.14,entsoe.eu
2023-01-07 00:00:00,Poland,Poland,PL,737.31,799.23,26.30,24.43,entsoe.eu
2023-01-08 00:00:00,Poland,Poland,PL,634.99,691.19,36.07,34.47,entsoe.eu
2023-01-09 00:00:00,Poland,Poland,PL,777.03,839.45,22.22,20.82,entsoe.eu
2023-01-10 00:00:00,Poland,Poland,PL,833.40,898.38,16.60,15.37,entsoe.eu
2023-01-11 00:00:00,Poland,Poland,PL,677.60,734.63,31.90,31.04,entsoe.eu
2023-01-12 00:00:00,Poland,Poland,PL,588.84,641.17,40.83,39.80,entsoe.eu
2023-01-13 00:00:00,Poland,Poland,PL,615.67,668.55,38.33,37.56,entsoe.eu
2023-01-14 00:00:00,Poland,Poland,PL,560.05,611.43,43.31,42.80,entsoe.eu
2023-01-15 00:00:00,Poland,Poland,PL,539.02,590.03,44.94,44.57,entsoe.eu
2023-01-16 00:00:00,Poland,Poland,PL,672.03,728.88,32.62,31.66,entsoe.eu
2023-01-17 00:00:00,Poland,Poland,PL,727.70,787.11,26.86,25.88,entsoe.eu
2023-01-18 00:00:00,Poland,Poland,PL,837.02,902.42,15.94,14.81,entsoe.eu
2023-01-19 00:00:00,Poland,Poland,PL,854.79,921.00,14.47,13.51,entsoe.eu
2023-01-20 00:00:00,Poland,Poland,PL,885.25,951.82,12.15,11.18,entsoe.eu
2023-01-21 00:00:00,Poland,Poland,PL,681.74,737.85,31.91,31.19,entsoe.eu
2023-01-22 00:00:00,Poland,Poland,PL,826.38,891.60,17.32,16.28,entsoe.eu
2023-01-23 00:00:00,Poland,Poland,PL,911.15,979.26,9.38,8.50,entsoe.eu
2023-01-24 00:00:00,Poland,Poland,PL,909.25,977.32,9.50,8.57,entsoe.eu
2023-01-25 00:00:00,Poland,Poland,PL,897.91,965.42,10.44,9.43,entsoe.eu
2023-01-26 00:00:00,Poland,Poland,PL,903.08,971.56,9.80,8.70,entsoe.eu
2023-01-27 00:00:00,Poland,Poland,PL,841.83,907.33,15.56,14.58,entsoe.eu
2023-01-28 00:00:00,Poland,Poland,PL,847.39,914.69,14.62,13.32,entsoe.eu
2023-01-29 00:00:00,Poland,Poland,PL,669.86,726.73,32.87,32.05,entsoe.eu
2023-01-30 00:00:00,Poland,Poland,PL,592.34,644.04,40.43,40.00,entsoe.eu
2023-01-31 00:00:00,Poland,Poland,PL,623.97,676.80,37.91,37.38,entsoe.eu
2023-02-01 00:00:00,Poland,Poland,PL,604.10,655.91,39.83,39.35,entsoe.eu
2023-02-02 00:00:00,Poland,Poland,PL,686.36,743.47,31.37,30.42,entsoe.eu
2023-02-03 00:00:00,Poland,Poland,PL,678.86,735.54,32.15,31.46,entsoe.eu
2023-02-04 00:00:00,Poland,Poland,PL,702.13,760.67,29.22,28.31,entsoe.eu
2023-02-05 00:00:00,Poland,Poland,PL,819.39,886.40,17.35,15.74,entsoe.eu
2023-02-06 00:00:00,Poland,Poland,PL,855.53,922.46,14.31,13.04,entsoe.eu
2023-02-07 00:00:00,Poland,Poland,PL,866.84,933.89,13.28,12.19,entsoe.eu
2023-02-08 00:00:00,Poland,Poland,PL,778.73,842.02,21.73,20.63,entsoe.eu
2023-02-09 00:00:00,Poland,Poland,PL,655.75,712.67,33.87,32.92,entsoe.eu
2023-02-10 00:00:00,Poland,Poland,PL,660.43,716.79,33.50,32.63,entsoe.eu
2023-02-11 00:00:00,Poland,Poland,PL,611.47,665.12,38.03,37.15,entsoe.eu
2023-02-12 00:00:00,Poland,Poland,PL,760.84,823.96,23.06,21.78,entsoe.eu
2023-02-13 00:00:00,Poland,Poland,PL,710.88,769.55,28.30,27.16,entsoe.eu
2023-02-14 00:00:00,Poland,Poland,PL,818.57,884.40,17.56,16.23,entsoe.eu
2023-02-15 00:00:00,Poland,Poland,PL,812.72,877.76,18.85,17.49,entsoe.eu
2023-02-16 00:00:00,Poland,Poland,PL,747.79,808.58,26.09,24.82,entsoe.eu
2023-02-17 00:00:00,Poland,Poland,PL,653.90,708.38,35.46,34.65,entsoe.eu
2023-02-18 00:00:00,Poland,Poland,PL,572.71,624.89,42.46,41.79,entsoe.eu
2023-02-19 00:00:00,Poland,Poland,PL,597.43,650.81,40.15,39.19,entsoe.eu
2023-02-20 00:00:00,Poland,Poland,PL,554.78,604.72,44.57,44.22,entsoe.eu
2023-02-21 00:00:00,Poland,Poland,PL,630.04,683.18,37.58,37.03,entsoe.eu
2023-02-22 00:00:00,Poland,Poland,PL,810.41,875.82,18.62,17.27,entsoe.eu
2023-02-23 00:00:00,Poland,Poland,PL,725.79,786.97,26.92,25.80,entsoe.eu
2023-02-24 00:00:00,Poland,Poland,PL,721.85,780.99,28.20,27.04,entsoe.eu
2023-02-25 00:00:00,Poland,Poland,PL,658.44,713.76,34.96,34.34,entsoe.eu
2023-02-26 00:00:00,Poland,Poland,PL,728.16,787.82,27.68,26.63,entsoe.eu
2023-02-27 00:00:00,Poland,Poland,PL,841.48,908.25,15.62,14.43,entsoe.eu
2023-02-28 00:00:00,Poland,Poland,PL,781.85,847.38,20.76,19.57,entsoe.eu
2023-03-01 00:00:00,Poland,Poland,PL,784.36,850.26,20.31,19.09,entsoe.eu
2023-03-02 00:00:00,Poland,Poland,PL,817.07,884.58,16.94,15.68,entsoe.eu
2023-03-03 00:00:00,Poland,Poland,PL,744.40,806.06,24.87,23.96,entsoe.eu
2023-03-04 00:00:00,Poland,Poland,PL,607.52,662.69,38.06,37.32,entsoe.eu
2023-03-05 00:00:00,Poland,Poland,PL,721.64,783.91,26.43,25.79,entsoe.eu
2023-03-06 00:00:00,Poland,Poland,PL,793.44,859.44,19.28,18.47,entsoe.eu
2023-03-07 00:00:00,Poland,Poland,PL,641.73,698.11,35.02,34.55,entsoe.eu
2023-03-08 00:00:00,Poland,Poland,PL,717.37,779.51,26.53,25.51,entsoe.eu
2023-03-09 00:00:00,Poland,Poland,PL,789.68,855.53,19.34,17.54,entsoe.eu
2023-03-10 00:00:00,Poland,Poland,PL,726.85,789.38,26.07,25.16,entsoe.eu
2023-03-11 00:00:00,Poland,Poland,PL,627.63,683.38,35.72,34.79,entsoe.eu
2023-03-12 00:00:00,Poland,Poland,PL,588.81,643.87,39.94,39.31,entsoe.eu
2023-03-13 00:00:00,Poland,Poland,PL,545.97,597.55,44.09,43.60,entsoe.eu
2023-03-14 00:00:00,Poland,Poland,PL,575.44,628.05,41.69,41.02,entsoe.eu
2023-03-15 00:00:00,Poland,Poland,PL,703.35,762.87,29.36,28.39,entsoe.eu
2023-03-16 00:00:00,Poland,Poland,PL,705.63,767.34,28.74,27.48,entsoe.eu
2023-03-17 00:00:00,Poland,Poland,PL,572.30,625.96,41.87,41.04,entsoe.eu
2023-03-18 00:00:00,Poland,Poland,PL,576.52,631.32,41.36,40.21,entsoe.eu
2023-03-19 00:00:00,Poland,Poland,PL,728.96,793.13,25.88,24.31,entsoe.eu
2023-03-20 00:00:00,Poland,Poland,PL,740.54,804.87,23.87,22.37,entsoe.eu
2023-03-21 00:00:00,Poland,Poland,PL,776.37,842.67,20.25,18.06,entsoe.eu
2023-03-22 00:00:00,Poland,Poland,PL,670.47,729.91,31.98,30.85,entsoe.eu
2023-03-23 00:00:00,Poland,Poland,PL,625.81,682.41,35.93,34.92,entsoe.eu
2023-03-24 00:00:00,Poland,Poland,PL,616.58,672.92,36.54,35.67,entsoe.eu
2023-03-25 00:00:00,Poland,Poland,PL,595.33,652.90,38.65,37.83,entsoe.eu
2023-03-26 00:00:00,Poland,Poland,PL,612.92,670.22,37.13,36.03,entsoe.eu
2023-03-27 00:00:00,Poland,Poland,PL,665.91,724.47,32.57,31.59,entsoe.eu
2023-03-28 00:00:00,Poland,Poland,PL,642.18,698.79,34.95,34.36,Electricity Maps Estimation; entsoe.eu
2023-03-29 00:00:00,Poland,Poland,PL,679.31,739.87,31.20,30.25,entsoe.eu
2023-03-30 00:00:00,Poland,Poland,PL,674.25,733.62,31.66,30.52,entsoe.eu
2023-03-31 00:00:00,Poland,Poland,PL,718.71,779.84,27.49,26.18,entsoe.eu
2023-04-01 00:00:00,Poland,Poland,PL,636.76,693.23,36.49,35.23,entsoe.eu
2023-04-02 00:00:00,Poland,Poland,PL,576.06,628.32,42.29,41.67,entsoe.eu
2023-04-03 00:00:00,Poland,Poland,PL,633.80,690.07,36.39,35.42,entsoe.eu
2023-04-04 00:00:00,Poland,Poland,PL,744.44,807.21,25.62,23.40,entsoe.eu
2023-04-05 00:00:00,Poland,Poland,PL,772.88,837.64,22.28,19.64,entsoe.eu
2023-04-06 00:00:00,Poland,Poland,PL,715.10,777.34,27.51,25.46,entsoe.eu
2023-04-07 00:00:00,Poland,Poland,PL,755.01,818.16,23.92,22.29,entsoe.eu
2023-04-08 00:00:00,Poland,Poland,PL,716.30,780.07,28.06,26.04,entsoe.eu
2023-04-09 00:00:00,Poland,Poland,PL,724.01,788.85,26.98,24.76,entsoe.eu
2023-04-10 00:00:00,Poland,Poland,PL,638.98,700.52,35.25,33.92,entsoe.eu
2023-04-11 00:00:00,Poland,Poland,PL,640.44,697.31,35.83,34.54,entsoe.eu
2023-04-12 00:00:00,Poland,Poland,PL,720.07,782.31,27.05,25.30,entsoe.eu
2023-04-13 00:00:00,Poland,Poland,PL,717.64,780.43,26.98,25.23,entsoe.eu
2023-04-14 00:00:00,Poland,Poland,PL,682.10,741.14,30.87,29.53,entsoe.eu
2023-04-15 00:00:00,Poland,Poland,PL,650.91,708.69,34.10,32.58,entsoe.eu
2023-04-16 00:00:00,Poland,Poland,PL,728.75,791.67,26.35,24.47,entsoe.eu
2023-04-17 00:00:00,Poland,Poland,PL,742.91,805.65,24.30,22.89,entsoe.eu
2023-04-18 00:00:00,Poland,Poland,PL,642.80,700.11,34.81,33.49,entsoe.eu
2023-04-19 00:00:00,Poland,Poland,PL,689.42,748.38,30.54,29.83,entsoe.eu
2023-04-20 00:00:00,Poland,Poland,PL,693.56,753.76,30.12,30.08,entsoe.eu
2023-04-21 00:00:00,Poland,Poland,PL,650.07,709.88,34.08,34.05,entsoe.eu
2023-04-22 00:00:00,Poland,Poland,PL,650.21,711.48,33.89,33.13,entsoe.eu
2023-04-23 00:00:00,Poland,Poland,PL,598.48,654.66,39.28,37.65,entsoe.eu
2023-04-24 00:00:00,Poland,Poland,PL,676.33,736.09,31.70,30.27,entsoe.eu
2023-04-25 00:00:00,Poland,Poland,PL,699.59,759.20,29.78,28.70,entsoe.eu
2023-04-26 00:00:00,Poland,Poland,PL,622.89,678.51,37.10,36.68,entsoe.eu
2023-04-27 00:00:00,Poland,Poland,PL,683.98,744.38,30.74,29.41,entsoe.eu
2023-04-28 00:00:00,Poland,Poland,PL,676.07,737.17,31.19,28.96,entsoe.eu
2023-04-29 00:00:00,Poland,Poland,PL,636.28,695.55,35.29,32.59,entsoe.eu
2023-04-30 00:00:00,Poland,Poland,PL,587.67,644.31,40.85,38.41,entsoe.eu
2023-05-01 00:00:00,Poland,Poland,PL,593.99,650.87,40.79,38.10,entsoe.eu
2023-05-02 00:00:00,Poland,Poland,PL,628.01,684.21,38.09,34.76,entsoe.eu
2023-05-03 00:00:00,Poland,Poland,PL,681.07,741.74,32.26,28.77,entsoe.eu
2023-05-04 00:00:00,Poland,Poland,PL,667.78,727.79,33.78,31.38,entsoe.eu
2023-05-05 00:00:00,Poland,Poland,PL,554.89,608.86,44.20,41.74,entsoe.eu
2023-05-06 00:00:00,Poland,Poland,PL,608.53,663.51,38.89,36.14,entsoe.eu
2023-05-07 00:00:00,Poland,Poland,PL,639.35,697.36,36.21,33.16,entsoe.eu
2023-05-08 00:00:00,Poland,Poland,PL,650.02,708.26,35.01,32.17,entsoe.eu
2023-05-09 00:00:00,Poland,Poland,PL,552.97,605.59,44.46,42.84,entsoe.eu
2023-05-10 00:00:00,Poland,Poland,PL,538.40,586.82,46.67,45.84,entsoe.eu
2023-05-11 00:00:00,Poland,Poland,PL,616.76,669.32,38.86,37.83,entsoe.eu
2023-05-12 00:00:00,Poland,Poland,PL,596.93,649.04,40.78,39.71,entsoe.eu
2023-05-13 00:00:00,Poland,Poland,PL,623.67,679.83,37.14,35.65,entsoe.eu
2023-05-14 00:00:00,Poland,Poland,PL,647.20,703.91,35.02,33.79,entsoe.eu
2023-05-15 00:00:00,Poland,Poland,PL,724.03,780.17,28.83,27.28,entsoe.eu
2023-05-16 00:00:00,Poland,Poland,PL,681.19,736.09,32.78,31.54,entsoe.eu
2023-05-17 00:00:00,Poland,Poland,PL,714.65,770.47,29.39,28.61,entsoe.eu
2023-05-18 00:00:00,Poland,Poland,PL,741.60,799.93,26.93,25.60,entsoe.eu
2023-05-19 00:00:00,Poland,Poland,PL,764.99,823.43,25.06,22.86,entsoe.eu
2023-05-20 00:00:00,Poland,Poland,PL,667.96,723.18,34.40,32.25,entsoe.eu
2023-05-21 00:00:00,Poland,Poland,PL,563.35,614.98,44.22,42.75,entsoe.eu
2023-05-22 00:00:00,Poland,Poland,PL,674.52,729.99,33.59,32.02,entsoe.eu
2023-05-23 00:00:00,Poland,Poland,PL,724.28,780.84,29.19,27.90,entsoe.eu
2023-05-24 00:00:00,Poland,Poland,PL,762.28,819.19,25.46,23.34,entsoe.eu
2023-05-25 00:00:00,Poland,Poland,PL,739.10,795.68,27.99,26.26,entsoe.eu
2023-05-26 00:00:00,Poland,Poland,PL,642.13,696.05,36.80,34.89,entsoe.eu
2023-05-27 00:00:00,Poland,Poland,PL,619.58,675.61,39.33,36.51,entsoe.eu
2023-05-28 00:00:00,Poland,Poland,PL,601.98,658.92,40.77,39.26,entsoe.eu
2023-05-29 00:00:00,Poland,Poland,PL,675.48,734.53,33.56,32.44,entsoe.eu
2023-05-30 00:00:00,Poland,Poland,PL,646.38,703.51,36.35,34.42,entsoe.eu
2023-05-31 00:00:00,Poland,Poland,PL,645.69,703.18,36.52,35.16,entsoe.eu
2023-06-01 00:00:00,Poland,Poland,PL,613.70,669.02,39.39,38.21,entsoe.eu
2023-06-02 00:00:00,Poland,Poland,PL,609.52,663.97,39.78,38.13,entsoe.eu
2023-06-03 00:00:00,Poland,Poland,PL,597.31,654.99,40.76,38.53,entsoe.eu
2023-06-04 00:00:00,Poland,Poland,PL,608.04,667.45,38.71,36.83,entsoe.eu
2023-06-05 00:00:00,Poland,Poland,PL,653.00,712.24,34.56,31.84,entsoe.eu
2023-06-06 00:00:00,Poland,Poland,PL,704.23,764.43,30.12,27.37,entsoe.eu
2023-06-07 00:00:00,Poland,Poland,PL,698.95,758.89,30.74,27.89,entsoe.eu
2023-06-08 00:00:00,Poland,Poland,PL,679.29,739.88,31.97,29.71,entsoe.eu
2023-06-09 00:00:00,Poland,Poland,PL,640.20,697.69,36.42,35.08,entsoe.eu
2023-06-10 00:00:00,Poland,Poland,PL,513.41,565.00,49.10,48.12,entsoe.eu
2023-06-11 00:00:00,Poland,Poland,PL,542.61,595.83,45.85,44.66,entsoe.eu
2023-06-12 00:00:00,Poland,Poland,PL,628.66,684.45,37.90,35.53,entsoe.eu
2023-06-13 00:00:00,Poland,Poland,PL,693.37,752.76,30.51,27.60,entsoe.eu
2023-06-14 00:00:00,Poland,Poland,PL,703.27,764.29,28.88,24.39,entsoe.eu
