Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Portugal,Portugal,PT,25.23,50.25,96.99,96.99,entsoe.eu
2023-01-02 00:00:00,Portugal,Portugal,PT,96.97,132.70,82.00,81.97,entsoe.eu
2023-01-03 00:00:00,Portugal,Portugal,PT,118.31,166.33,72.77,72.58,entsoe.eu
2023-01-04 00:00:00,Portugal,Portugal,PT,107.03,147.41,77.99,77.31,entsoe.eu
2023-01-05 00:00:00,Portugal,Portugal,PT,127.11,174.24,71.67,71.63,entsoe.eu
2023-01-06 00:00:00,Portugal,Portugal,PT,76.93,105.73,87.48,86.61,entsoe.eu
2023-01-07 00:00:00,Portugal,Portugal,PT,30.34,52.52,96.10,96.10,entsoe.eu
2023-01-08 00:00:00,Portugal,Portugal,PT,14.40,39.66,97.26,97.26,entsoe.eu
2023-01-09 00:00:00,Portugal,Portugal,PT,73.04,101.70,88.35,87.40,entsoe.eu
2023-01-10 00:00:00,Portugal,Portugal,PT,85.52,124.95,81.32,80.52,entsoe.eu
2023-01-11 00:00:00,Portugal,Portugal,PT,66.43,101.37,86.28,84.65,entsoe.eu
2023-01-12 00:00:00,Portugal,Portugal,PT,72.39,103.82,87.42,85.19,entsoe.eu
2023-01-13 00:00:00,Portugal,Portugal,PT,80.96,111.91,86.30,84.73,entsoe.eu
2023-01-14 00:00:00,Portugal,Portugal,PT,43.11,67.01,94.97,94.64,entsoe.eu
2023-01-15 00:00:00,Portugal,Portugal,PT,27.00,54.49,95.48,93.68,entsoe.eu
2023-01-16 00:00:00,Portugal,Portugal,PT,17.28,41.15,97.07,97.02,entsoe.eu
2023-01-17 00:00:00,Portugal,Portugal,PT,29.57,50.03,96.45,96.45,entsoe.eu
2023-01-18 00:00:00,Portugal,Portugal,PT,69.68,95.68,88.77,88.77,entsoe.eu
2023-01-19 00:00:00,Portugal,Portugal,PT,51.38,78.92,90.94,89.78,entsoe.eu
2023-01-20 00:00:00,Portugal,Portugal,PT,57.92,89.02,88.32,87.69,entsoe.eu
2023-01-21 00:00:00,Portugal,Portugal,PT,36.48,62.63,94.45,93.48,entsoe.eu
2023-01-22 00:00:00,Portugal,Portugal,PT,34.63,63.32,94.01,89.51,entsoe.eu
2023-01-23 00:00:00,Portugal,Portugal,PT,41.00,67.45,93.25,90.56,entsoe.eu
2023-01-24 00:00:00,Portugal,Portugal,PT,64.37,94.53,87.84,87.35,entsoe.eu
2023-01-25 00:00:00,Portugal,Portugal,PT,72.57,104.78,86.10,84.95,entsoe.eu
2023-01-26 00:00:00,Portugal,Portugal,PT,42.52,68.22,93.26,91.00,entsoe.eu
2023-01-27 00:00:00,Portugal,Portugal,PT,33.62,60.47,94.10,91.49,entsoe.eu
2023-01-28 00:00:00,Portugal,Portugal,PT,35.10,62.11,94.70,91.91,entsoe.eu
2023-01-29 00:00:00,Portugal,Portugal,PT,40.10,69.88,92.44,90.50,entsoe.eu
2023-01-30 00:00:00,Portugal,Portugal,PT,117.21,164.61,72.94,72.66,entsoe.eu
2023-01-31 00:00:00,Portugal,Portugal,PT,136.26,190.77,67.49,66.09,entsoe.eu
2023-02-01 00:00:00,Portugal,Portugal,PT,110.83,157.41,74.41,73.49,entsoe.eu
2023-02-02 00:00:00,Portugal,Portugal,PT,136.71,190.65,67.37,67.02,entsoe.eu
2023-02-03 00:00:00,Portugal,Portugal,PT,152.47,210.01,63.90,63.06,entsoe.eu
2023-02-04 00:00:00,Portugal,Portugal,PT,107.78,152.73,76.85,74.30,entsoe.eu
2023-02-05 00:00:00,Portugal,Portugal,PT,41.31,72.42,92.45,87.47,entsoe.eu
2023-02-06 00:00:00,Portugal,Portugal,PT,95.31,139.93,77.40,76.00,entsoe.eu
2023-02-07 00:00:00,Portugal,Portugal,PT,127.43,179.63,69.04,68.96,entsoe.eu
2023-02-08 00:00:00,Portugal,Portugal,PT,114.15,162.70,72.23,72.23,entsoe.eu
2023-02-09 00:00:00,Portugal,Portugal,PT,124.92,179.36,68.96,68.76,entsoe.eu
2023-02-10 00:00:00,Portugal,Portugal,PT,115.26,166.94,71.15,71.15,entsoe.eu
2023-02-11 00:00:00,Portugal,Portugal,PT,88.51,131.69,79.02,78.88,entsoe.eu
2023-02-12 00:00:00,Portugal,Portugal,PT,89.35,135.74,78.36,77.19,entsoe.eu
2023-02-13 00:00:00,Portugal,Portugal,PT,120.74,175.34,69.42,69.35,entsoe.eu
2023-02-14 00:00:00,Portugal,Portugal,PT,130.11,188.74,66.40,66.11,entsoe.eu
2023-02-15 00:00:00,Portugal,Portugal,PT,163.32,227.41,59.97,58.38,entsoe.eu
2023-02-16 00:00:00,Portugal,Portugal,PT,168.10,233.02,58.77,57.33,entsoe.eu
2023-02-17 00:00:00,Portugal,Portugal,PT,135.89,193.15,66.52,65.30,entsoe.eu
2023-02-18 00:00:00,Portugal,Portugal,PT,109.43,162.17,74.52,67.44,entsoe.eu
2023-02-19 00:00:00,Portugal,Portugal,PT,126.40,184.69,70.45,60.28,entsoe.eu
2023-02-20 00:00:00,Portugal,Portugal,PT,162.25,225.48,62.11,56.65,entsoe.eu
2023-02-21 00:00:00,Portugal,Portugal,PT,196.27,269.88,52.55,49.86,entsoe.eu
2023-02-22 00:00:00,Portugal,Portugal,PT,174.41,241.15,57.75,55.50,entsoe.eu
2023-02-23 00:00:00,Portugal,Portugal,PT,141.68,201.04,64.95,63.65,entsoe.eu
2023-02-24 00:00:00,Portugal,Portugal,PT,191.90,265.76,52.88,48.44,entsoe.eu
2023-02-25 00:00:00,Portugal,Portugal,PT,145.05,205.26,66.18,58.00,entsoe.eu
2023-02-26 00:00:00,Portugal,Portugal,PT,77.42,120.97,84.01,73.26,entsoe.eu; Electricity Maps Estimation
2023-02-27 00:00:00,Portugal,Portugal,PT,100.68,146.40,78.33,71.98,entsoe.eu
2023-02-28 00:00:00,Portugal,Portugal,PT,108.24,155.46,75.87,71.16,entsoe.eu
2023-03-01 00:00:00,Portugal,Portugal,PT,168.01,234.84,58.74,55.29,entsoe.eu
2023-03-02 00:00:00,Portugal,Portugal,PT,183.21,253.54,55.64,51.09,entsoe.eu
2023-03-03 00:00:00,Portugal,Portugal,PT,185.59,257.35,54.83,50.43,entsoe.eu
2023-03-04 00:00:00,Portugal,Portugal,PT,164.95,232.19,59.61,55.78,entsoe.eu
2023-03-05 00:00:00,Portugal,Portugal,PT,133.28,191.99,68.03,63.07,entsoe.eu
2023-03-06 00:00:00,Portugal,Portugal,PT,147.31,206.46,64.48,61.03,entsoe.eu
2023-03-07 00:00:00,Portugal,Portugal,PT,114.00,165.17,72.41,69.01,entsoe.eu
2023-03-08 00:00:00,Portugal,Portugal,PT,39.27,67.75,93.02,88.64,entsoe.eu
2023-03-09 00:00:00,Portugal,Portugal,PT,30.90,58.58,94.54,90.37,entsoe.eu
2023-03-10 00:00:00,Portugal,Portugal,PT,42.25,72.99,92.90,84.93,entsoe.eu
2023-03-11 00:00:00,Portugal,Portugal,PT,36.38,68.62,92.82,84.06,entsoe.eu
2023-03-12 00:00:00,Portugal,Portugal,PT,62.66,101.36,88.79,76.09,entsoe.eu
2023-03-13 00:00:00,Portugal,Portugal,PT,32.61,64.72,93.20,86.24,entsoe.eu
2023-03-14 00:00:00,Portugal,Portugal,PT,72.77,112.12,85.67,76.78,entsoe.eu
2023-03-15 00:00:00,Portugal,Portugal,PT,118.19,171.92,72.67,66.78,entsoe.eu
2023-03-16 00:00:00,Portugal,Portugal,PT,51.05,85.91,89.99,83.94,entsoe.eu
2023-03-17 00:00:00,Portugal,Portugal,PT,41.75,72.46,92.57,87.99,entsoe.eu
2023-03-18 00:00:00,Portugal,Portugal,PT,74.61,117.02,83.87,79.85,entsoe.eu
2023-03-19 00:00:00,Portugal,Portugal,PT,85.10,130.79,82.66,73.77,entsoe.eu
2023-03-20 00:00:00,Portugal,Portugal,PT,127.79,185.66,69.89,63.31,entsoe.eu
2023-03-21 00:00:00,Portugal,Portugal,PT,141.23,201.71,66.27,62.72,entsoe.eu
2023-03-22 00:00:00,Portugal,Portugal,PT,74.41,114.73,86.14,75.90,entsoe.eu
2023-03-23 00:00:00,Portugal,Portugal,PT,52.46,88.77,90.26,80.57,entsoe.eu
2023-03-24 00:00:00,Portugal,Portugal,PT,58.57,91.61,90.99,81.46,entsoe.eu
2023-03-25 00:00:00,Portugal,Portugal,PT,53.37,90.24,90.89,80.25,entsoe.eu
2023-03-26 00:00:00,Portugal,Portugal,PT,48.05,83.83,91.70,83.35,entsoe.eu
2023-03-27 00:00:00,Portugal,Portugal,PT,106.34,157.71,76.89,68.33,entsoe.eu
2023-03-28 00:00:00,Portugal,Portugal,PT,115.93,170.45,73.49,66.03,entsoe.eu
2023-03-29 00:00:00,Portugal,Portugal,PT,48.08,82.93,91.07,84.88,entsoe.eu
2023-03-30 00:00:00,Portugal,Portugal,PT,42.83,76.25,92.28,86.09,entsoe.eu
2023-03-31 00:00:00,Portugal,Portugal,PT,43.81,74.29,93.47,89.31,entsoe.eu
2023-04-01 00:00:00,Portugal,Portugal,PT,53.81,89.79,90.93,82.97,entsoe.eu
2023-04-02 00:00:00,Portugal,Portugal,PT,61.76,101.27,89.05,78.56,entsoe.eu
2023-04-03 00:00:00,Portugal,Portugal,PT,76.26,112.67,87.66,77.06,entsoe.eu
2023-04-04 00:00:00,Portugal,Portugal,PT,46.71,81.50,91.35,82.80,entsoe.eu
2023-04-05 00:00:00,Portugal,Portugal,PT,66.06,103.59,88.32,81.67,entsoe.eu
2023-04-06 00:00:00,Portugal,Portugal,PT,68.22,109.25,87.19,75.20,entsoe.eu
2023-04-07 00:00:00,Portugal,Portugal,PT,98.61,146.58,80.67,68.96,entsoe.eu
2023-04-08 00:00:00,Portugal,Portugal,PT,100.11,147.65,80.97,69.00,entsoe.eu
2023-04-09 00:00:00,Portugal,Portugal,PT,93.38,142.00,82.12,70.26,entsoe.eu; Electricity Maps Estimation
2023-04-10 00:00:00,Portugal,Portugal,PT,59.81,100.88,87.93,75.38,entsoe.eu
2023-04-11 00:00:00,Portugal,Portugal,PT,57.67,92.53,90.92,83.26,entsoe.eu
2023-04-12 00:00:00,Portugal,Portugal,PT,39.97,74.13,92.54,85.31,entsoe.eu
2023-04-13 00:00:00,Portugal,Portugal,PT,50.47,82.85,92.42,85.80,entsoe.eu
