Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Qatar,Qatar,QA,348.53,464.56,5.80,5.80,Electricity Maps Estimation
2023-01-02 00:00:00,Qatar,Qatar,QA,348.39,464.39,5.84,5.84,Electricity Maps Estimation
2023-01-03 00:00:00,Qatar,Qatar,QA,347.87,463.76,5.98,5.98,Electricity Maps Estimation
2023-01-04 00:00:00,Qatar,Qatar,QA,348.28,464.26,5.87,5.87,Electricity Maps Estimation
2023-01-05 00:00:00,Qatar,Qatar,QA,348.43,464.44,5.83,5.83,Electricity Maps Estimation
2023-01-06 00:00:00,Qatar,Qatar,QA,347.27,463.05,6.14,6.14,Electricity Maps Estimation
2023-01-07 00:00:00,Qatar,Qatar,QA,347.49,463.31,6.08,6.08,Electricity Maps Estimation
2023-01-08 00:00:00,Qatar,Qatar,QA,347.88,463.78,5.98,5.98,Electricity Maps Estimation
2023-01-09 00:00:00,Qatar,Qatar,QA,347.83,463.72,5.99,5.99,Electricity Maps Estimation
2023-01-10 00:00:00,Qatar,Qatar,QA,347.89,463.79,5.98,5.98,Electricity Maps Estimation
2023-01-11 00:00:00,Qatar,Qatar,QA,347.68,463.54,6.03,6.03,Electricity Maps Estimation
2023-01-12 00:00:00,Qatar,Qatar,QA,347.53,463.36,6.07,6.07,Electricity Maps Estimation
2023-01-13 00:00:00,Qatar,Qatar,QA,346.89,462.59,6.24,6.24,Electricity Maps Estimation
2023-01-14 00:00:00,Qatar,Qatar,QA,347.62,463.47,6.05,6.05,Electricity Maps Estimation
2023-01-15 00:00:00,Qatar,Qatar,QA,347.92,463.82,5.97,5.97,Electricity Maps Estimation
2023-01-16 00:00:00,Qatar,Qatar,QA,347.91,463.81,5.97,5.97,Electricity Maps Estimation
2023-01-17 00:00:00,Qatar,Qatar,QA,348.42,464.43,5.83,5.83,Electricity Maps Estimation
2023-01-18 00:00:00,Qatar,Qatar,QA,347.77,463.64,6.01,6.01,Electricity Maps Estimation
2023-01-19 00:00:00,Qatar,Qatar,QA,347.57,463.41,6.06,6.06,Electricity Maps Estimation
2023-01-20 00:00:00,Qatar,Qatar,QA,346.79,462.47,6.27,6.27,Electricity Maps Estimation
2023-01-21 00:00:00,Qatar,Qatar,QA,347.40,463.20,6.11,6.11,Electricity Maps Estimation
2023-01-22 00:00:00,Qatar,Qatar,QA,347.67,463.53,6.04,6.04,Electricity Maps Estimation
2023-01-23 00:00:00,Qatar,Qatar,QA,347.28,463.06,6.14,6.14,Electricity Maps Estimation
2023-01-24 00:00:00,Qatar,Qatar,QA,346.75,462.41,6.28,6.28,Electricity Maps Estimation
2023-01-25 00:00:00,Qatar,Qatar,QA,346.75,462.42,6.28,6.28,Electricity Maps Estimation
2023-01-26 00:00:00,Qatar,Qatar,QA,346.52,462.15,6.34,6.34,Electricity Maps Estimation
2023-01-27 00:00:00,Qatar,Qatar,QA,345.29,460.67,6.68,6.68,Electricity Maps Estimation
2023-01-28 00:00:00,Qatar,Qatar,QA,345.85,461.34,6.53,6.53,Electricity Maps Estimation
2023-01-29 00:00:00,Qatar,Qatar,QA,345.80,461.27,6.54,6.54,Electricity Maps Estimation
2023-01-30 00:00:00,Qatar,Qatar,QA,346.22,461.78,6.43,6.43,Electricity Maps Estimation
2023-01-31 00:00:00,Qatar,Qatar,QA,346.57,462.20,6.33,6.33,Electricity Maps Estimation
2023-02-01 00:00:00,Qatar,Qatar,QA,346.99,462.71,6.22,6.22,Electricity Maps Estimation
2023-02-02 00:00:00,Qatar,Qatar,QA,347.04,462.76,6.21,6.21,Electricity Maps Estimation
2023-02-03 00:00:00,Qatar,Qatar,QA,345.89,461.38,6.52,6.52,Electricity Maps Estimation
2023-02-04 00:00:00,Qatar,Qatar,QA,346.06,461.58,6.47,6.47,Electricity Maps Estimation
2023-02-05 00:00:00,Qatar,Qatar,QA,346.20,461.76,6.43,6.43,Electricity Maps Estimation
2023-02-06 00:00:00,Qatar,Qatar,QA,346.62,462.26,6.32,6.32,Electricity Maps Estimation
2023-02-07 00:00:00,Qatar,Qatar,QA,347.39,463.19,6.11,6.11,Electricity Maps Estimation
2023-02-08 00:00:00,Qatar,Qatar,QA,346.91,462.61,6.24,6.24,Electricity Maps Estimation
2023-02-09 00:00:00,Qatar,Qatar,QA,346.07,461.60,6.47,6.47,Electricity Maps Estimation
2023-02-10 00:00:00,Qatar,Qatar,QA,344.75,460.01,6.83,6.83,Electricity Maps Estimation
2023-02-11 00:00:00,Qatar,Qatar,QA,345.70,461.15,6.57,6.57,Electricity Maps Estimation
2023-02-12 00:00:00,Qatar,Qatar,QA,346.47,462.08,6.36,6.36,Electricity Maps Estimation
2023-02-13 00:00:00,Qatar,Qatar,QA,346.89,462.58,6.25,6.25,Electricity Maps Estimation
2023-02-14 00:00:00,Qatar,Qatar,QA,346.68,462.33,6.30,6.30,Electricity Maps Estimation
2023-02-15 00:00:00,Qatar,Qatar,QA,347.59,463.44,6.06,6.06,Electricity Maps Estimation
2023-02-16 00:00:00,Qatar,Qatar,QA,346.46,462.07,6.36,6.36,Electricity Maps Estimation
2023-02-17 00:00:00,Qatar,Qatar,QA,344.81,460.08,6.81,6.81,Electricity Maps Estimation
2023-02-18 00:00:00,Qatar,Qatar,QA,345.20,460.55,6.70,6.70,Electricity Maps Estimation
2023-02-19 00:00:00,Qatar,Qatar,QA,345.47,460.88,6.63,6.63,Electricity Maps Estimation
2023-02-20 00:00:00,Qatar,Qatar,QA,345.30,460.67,6.68,6.68,Electricity Maps Estimation
2023-02-21 00:00:00,Qatar,Qatar,QA,345.35,460.73,6.66,6.66,Electricity Maps Estimation
2023-02-22 00:00:00,Qatar,Qatar,QA,345.82,461.30,6.54,6.54,Electricity Maps Estimation
2023-02-23 00:00:00,Qatar,Qatar,QA,346.31,461.89,6.40,6.40,Electricity Maps Estimation
2023-02-24 00:00:00,Qatar,Qatar,QA,346.16,461.71,6.44,6.44,Electricity Maps Estimation
2023-02-25 00:00:00,Qatar,Qatar,QA,347.32,463.11,6.13,6.13,Electricity Maps Estimation
2023-02-26 00:00:00,Qatar,Qatar,QA,348.15,464.10,5.91,5.91,Electricity Maps Estimation
2023-02-27 00:00:00,Qatar,Qatar,QA,348.19,464.15,5.89,5.89,Electricity Maps Estimation
2023-02-28 00:00:00,Qatar,Qatar,QA,348.04,463.97,5.93,5.93,Electricity Maps Estimation
2023-03-01 00:00:00,Qatar,Qatar,QA,347.46,463.28,6.09,6.09,Electricity Maps Estimation
2023-03-02 00:00:00,Qatar,Qatar,QA,347.19,462.94,6.17,6.17,Electricity Maps Estimation
2023-03-03 00:00:00,Qatar,Qatar,QA,346.21,461.76,6.43,6.43,Electricity Maps Estimation
2023-03-04 00:00:00,Qatar,Qatar,QA,347.19,462.94,6.17,6.17,Electricity Maps Estimation
2023-03-05 00:00:00,Qatar,Qatar,QA,348.08,464.02,5.93,5.93,Electricity Maps Estimation
2023-03-06 00:00:00,Qatar,Qatar,QA,348.71,464.78,5.76,5.76,Electricity Maps Estimation
2023-03-07 00:00:00,Qatar,Qatar,QA,349.35,465.55,5.58,5.58,Electricity Maps Estimation
2023-03-08 00:00:00,Qatar,Qatar,QA,349.53,465.76,5.53,5.53,Electricity Maps Estimation
2023-03-09 00:00:00,Qatar,Qatar,QA,349.90,466.21,5.43,5.43,Electricity Maps Estimation
2023-03-10 00:00:00,Qatar,Qatar,QA,348.90,465.01,5.70,5.70,Electricity Maps Estimation
2023-03-11 00:00:00,Qatar,Qatar,QA,349.08,465.22,5.65,5.65,Electricity Maps Estimation
2023-03-12 00:00:00,Qatar,Qatar,QA,349.44,465.66,5.56,5.56,Electricity Maps Estimation
2023-03-13 00:00:00,Qatar,Qatar,QA,348.27,464.25,5.87,5.87,Electricity Maps Estimation
2023-03-14 00:00:00,Qatar,Qatar,QA,348.75,464.82,5.74,5.74,Electricity Maps Estimation
2023-03-15 00:00:00,Qatar,Qatar,QA,349.03,465.17,5.67,5.67,Electricity Maps Estimation
2023-03-16 00:00:00,Qatar,Qatar,QA,348.96,465.08,5.69,5.69,Electricity Maps Estimation
2023-03-17 00:00:00,Qatar,Qatar,QA,347.52,463.34,6.08,6.08,Electricity Maps Estimation
2023-03-18 00:00:00,Qatar,Qatar,QA,348.41,464.42,5.84,5.84,Electricity Maps Estimation
2023-03-19 00:00:00,Qatar,Qatar,QA,348.92,465.03,5.70,5.70,Electricity Maps Estimation
2023-03-20 00:00:00,Qatar,Qatar,QA,349.63,465.89,5.51,5.51,Electricity Maps Estimation
2023-03-21 00:00:00,Qatar,Qatar,QA,348.63,464.68,5.78,5.78,Electricity Maps Estimation
2023-03-22 00:00:00,Qatar,Qatar,QA,348.10,464.05,5.92,5.92,Electricity Maps Estimation
2023-03-23 00:00:00,Qatar,Qatar,QA,347.74,463.61,6.02,6.02,Electricity Maps Estimation
2023-03-24 00:00:00,Qatar,Qatar,QA,347.09,462.83,6.19,6.19,Electricity Maps Estimation
2023-03-25 00:00:00,Qatar,Qatar,QA,347.94,463.85,5.96,5.96,Electricity Maps Estimation
2023-03-26 00:00:00,Qatar,Qatar,QA,348.42,464.43,5.83,5.83,Electricity Maps Estimation
2023-03-27 00:00:00,Qatar,Qatar,QA,349.23,465.41,5.61,5.61,Electricity Maps Estimation
2023-03-28 00:00:00,Qatar,Qatar,QA,349.09,465.23,5.65,5.65,Electricity Maps Estimation
2023-03-29 00:00:00,Qatar,Qatar,QA,348.61,464.65,5.78,5.78,Electricity Maps Estimation
2023-03-30 00:00:00,Qatar,Qatar,QA,348.60,464.64,5.78,5.78,Electricity Maps Estimation
2023-03-31 00:00:00,Qatar,Qatar,QA,348.33,464.32,5.86,5.86,Electricity Maps Estimation
2023-04-01 00:00:00,Qatar,Qatar,QA,348.12,464.06,5.91,5.91,Electricity Maps Estimation
2023-04-02 00:00:00,Qatar,Qatar,QA,346.57,462.20,6.33,6.33,Electricity Maps Estimation
2023-04-03 00:00:00,Qatar,Qatar,QA,346.68,462.34,6.30,6.30,Electricity Maps Estimation
2023-04-04 00:00:00,Qatar,Qatar,QA,347.33,463.12,6.13,6.13,Electricity Maps Estimation
2023-04-05 00:00:00,Qatar,Qatar,QA,347.88,463.77,5.98,5.98,Electricity Maps Estimation
2023-04-06 00:00:00,Qatar,Qatar,QA,348.23,464.20,5.88,5.88,Electricity Maps Estimation
2023-04-07 00:00:00,Qatar,Qatar,QA,347.92,463.82,5.97,5.97,Electricity Maps Estimation
