Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Romania,Romania,RO,321.36,364.21,60.87,33.10,entsoe.eu
2023-01-02 00:00:00,Romania,Romania,RO,321.17,366.34,59.85,35.70,entsoe.eu
2023-01-03 00:00:00,Romania,Romania,RO,303.20,344.91,62.78,39.23,entsoe.eu
2023-01-04 00:00:00,Romania,Romania,RO,317.35,360.97,60.71,36.69,entsoe.eu
2023-01-05 00:00:00,Romania,Romania,RO,283.83,324.10,65.30,46.12,entsoe.eu
2023-01-06 00:00:00,Romania,Romania,RO,301.91,345.31,62.21,40.13,entsoe.eu
2023-01-07 00:00:00,Romania,Romania,RO,330.77,375.94,58.71,30.88,entsoe.eu
2023-01-08 00:00:00,Romania,Romania,RO,319.55,365.02,59.88,35.74,entsoe.eu
2023-01-09 00:00:00,Romania,Romania,RO,253.28,291.99,68.73,50.83,entsoe.eu
2023-01-10 00:00:00,Romania,Romania,RO,275.77,316.69,66.38,49.01,entsoe.eu
2023-01-11 00:00:00,Romania,Romania,RO,268.91,306.97,67.77,47.61,entsoe.eu
2023-01-12 00:00:00,Romania,Romania,RO,305.07,345.36,63.61,40.35,entsoe.eu
2023-01-13 00:00:00,Romania,Romania,RO,352.40,396.09,57.97,31.54,entsoe.eu
2023-01-14 00:00:00,Romania,Romania,RO,363.96,412.86,54.66,27.97,entsoe.eu
2023-01-15 00:00:00,Romania,Romania,RO,334.34,381.15,58.23,32.87,entsoe.eu
2023-01-16 00:00:00,Romania,Romania,RO,271.41,312.08,66.76,49.52,entsoe.eu
2023-01-17 00:00:00,Romania,Romania,RO,278.76,320.15,65.91,48.19,entsoe.eu
2023-01-18 00:00:00,Romania,Romania,RO,272.32,312.86,66.96,49.55,entsoe.eu
2023-01-19 00:00:00,Romania,Romania,RO,266.78,306.50,67.83,50.53,entsoe.eu
2023-01-20 00:00:00,Romania,Romania,RO,260.48,300.36,67.99,51.19,entsoe.eu
2023-01-21 00:00:00,Romania,Romania,RO,258.08,297.26,68.50,50.81,entsoe.eu
2023-01-22 00:00:00,Romania,Romania,RO,238.24,275.16,70.98,54.44,entsoe.eu
2023-01-23 00:00:00,Romania,Romania,RO,278.46,320.21,65.62,47.96,entsoe.eu
2023-01-24 00:00:00,Romania,Romania,RO,280.03,322.45,65.14,47.74,entsoe.eu
2023-01-25 00:00:00,Romania,Romania,RO,303.43,346.07,63.23,45.14,entsoe.eu
2023-01-26 00:00:00,Romania,Romania,RO,277.07,317.38,66.41,49.57,entsoe.eu
2023-01-27 00:00:00,Romania,Romania,RO,241.05,279.38,69.94,55.19,entsoe.eu
2023-01-28 00:00:00,Romania,Romania,RO,269.08,310.05,66.67,50.35,entsoe.eu
2023-01-29 00:00:00,Romania,Romania,RO,276.86,318.90,65.54,48.40,entsoe.eu
2023-01-30 00:00:00,Romania,Romania,RO,303.00,347.79,61.88,42.15,entsoe.eu
2023-01-31 00:00:00,Romania,Romania,RO,305.52,349.47,62.28,43.31,entsoe.eu
2023-02-01 00:00:00,Romania,Romania,RO,301.02,344.09,63.29,43.62,entsoe.eu
2023-02-02 00:00:00,Romania,Romania,RO,303.05,346.81,62.63,42.38,entsoe.eu
2023-02-03 00:00:00,Romania,Romania,RO,313.07,357.14,61.60,40.73,entsoe.eu
2023-02-04 00:00:00,Romania,Romania,RO,299.86,343.52,63.03,43.21,entsoe.eu
2023-02-05 00:00:00,Romania,Romania,RO,235.93,273.19,71.06,55.43,entsoe.eu
2023-02-06 00:00:00,Romania,Romania,RO,248.56,286.90,69.65,54.35,entsoe.eu
2023-02-07 00:00:00,Romania,Romania,RO,280.06,321.69,65.75,48.95,entsoe.eu
2023-02-08 00:00:00,Romania,Romania,RO,253.56,293.13,68.56,51.74,entsoe.eu
2023-02-09 00:00:00,Romania,Romania,RO,309.72,353.29,61.77,40.55,entsoe.eu
2023-02-10 00:00:00,Romania,Romania,RO,325.41,371.75,59.01,36.84,entsoe.eu
2023-02-11 00:00:00,Romania,Romania,RO,309.87,354.12,61.40,38.17,entsoe.eu
2023-02-12 00:00:00,Romania,Romania,RO,289.67,332.79,63.72,42.63,entsoe.eu
2023-02-13 00:00:00,Romania,Romania,RO,342.01,388.41,57.96,34.61,entsoe.eu
2023-02-14 00:00:00,Romania,Romania,RO,294.97,337.26,63.81,43.72,entsoe.eu
2023-02-15 00:00:00,Romania,Romania,RO,293.24,336.02,63.39,42.30,entsoe.eu
2023-02-16 00:00:00,Romania,Romania,RO,328.50,374.30,59.04,34.51,entsoe.eu
2023-02-17 00:00:00,Romania,Romania,RO,333.48,379.17,59.13,36.33,entsoe.eu
2023-02-18 00:00:00,Romania,Romania,RO,279.95,320.98,65.70,46.36,entsoe.eu
2023-02-19 00:00:00,Romania,Romania,RO,289.89,332.64,64.35,44.16,entsoe.eu
2023-02-20 00:00:00,Romania,Romania,RO,290.22,331.53,64.83,45.02,entsoe.eu
2023-02-21 00:00:00,Romania,Romania,RO,270.32,310.05,67.38,50.04,entsoe.eu
2023-02-22 00:00:00,Romania,Romania,RO,328.43,373.15,60.20,38.36,entsoe.eu
2023-02-23 00:00:00,Romania,Romania,RO,276.52,317.29,65.90,47.19,entsoe.eu
2023-02-24 00:00:00,Romania,Romania,RO,266.96,306.41,67.38,50.37,entsoe.eu
2023-02-25 00:00:00,Romania,Romania,RO,278.55,319.37,65.98,47.95,entsoe.eu
2023-02-26 00:00:00,Romania,Romania,RO,277.50,318.33,66.11,47.79,entsoe.eu
2023-02-27 00:00:00,Romania,Romania,RO,302.83,344.95,63.57,44.89,entsoe.eu
2023-02-28 00:00:00,Romania,Romania,RO,321.11,363.89,61.52,41.29,entsoe.eu
2023-03-01 00:00:00,Romania,Romania,RO,305.26,342.09,65.91,43.74,entsoe.eu
2023-03-02 00:00:00,Romania,Romania,RO,284.29,320.39,67.73,45.94,entsoe.eu
2023-03-03 00:00:00,Romania,Romania,RO,290.70,327.36,66.75,43.67,entsoe.eu
2023-03-04 00:00:00,Romania,Romania,RO,244.39,278.41,72.23,51.35,entsoe.eu
2023-03-05 00:00:00,Romania,Romania,RO,259.72,294.76,70.69,48.80,entsoe.eu
2023-03-06 00:00:00,Romania,Romania,RO,294.66,330.86,67.63,45.80,entsoe.eu
2023-03-07 00:00:00,Romania,Romania,RO,283.16,318.46,69.16,48.96,entsoe.eu
2023-03-08 00:00:00,Romania,Romania,RO,264.44,299.42,70.37,49.92,entsoe.eu
2023-03-09 00:00:00,Romania,Romania,RO,252.51,286.39,71.89,52.35,entsoe.eu
2023-03-10 00:00:00,Romania,Romania,RO,239.47,273.07,72.88,52.84,entsoe.eu
2023-03-11 00:00:00,Romania,Romania,RO,235.80,268.21,73.90,54.16,entsoe.eu
2023-03-12 00:00:00,Romania,Romania,RO,250.92,285.17,71.83,50.49,entsoe.eu
2023-03-13 00:00:00,Romania,Romania,RO,262.81,296.80,71.14,49.16,entsoe.eu
2023-03-14 00:00:00,Romania,Romania,RO,242.68,274.86,73.65,54.28,entsoe.eu
2023-03-15 00:00:00,Romania,Romania,RO,237.38,268.96,74.21,55.30,entsoe.eu
2023-03-16 00:00:00,Romania,Romania,RO,243.67,275.51,73.14,52.93,entsoe.eu
2023-03-17 00:00:00,Romania,Romania,RO,231.66,263.12,74.74,56.04,entsoe.eu
2023-03-18 00:00:00,Romania,Romania,RO,246.98,280.25,72.49,50.03,entsoe.eu
2023-03-19 00:00:00,Romania,Romania,RO,282.76,318.56,68.49,42.17,entsoe.eu
2023-03-20 00:00:00,Romania,Romania,RO,286.25,321.21,68.56,45.05,entsoe.eu
2023-03-21 00:00:00,Romania,Romania,RO,285.83,320.85,68.32,44.47,entsoe.eu
2023-03-22 00:00:00,Romania,Romania,RO,289.24,324.00,67.48,41.30,entsoe.eu
2023-03-23 00:00:00,Romania,Romania,RO,279.89,314.59,68.35,42.87,entsoe.eu
2023-03-24 00:00:00,Romania,Romania,RO,252.70,286.48,71.39,47.94,entsoe.eu
2023-03-25 00:00:00,Romania,Romania,RO,254.70,288.68,71.73,47.89,entsoe.eu
2023-03-26 00:00:00,Romania,Romania,RO,269.61,305.21,70.07,44.45,entsoe.eu
2023-03-27 00:00:00,Romania,Romania,RO,257.68,290.73,72.07,51.94,entsoe.eu
2023-03-28 00:00:00,Romania,Romania,RO,240.58,272.34,73.92,55.28,entsoe.eu
2023-03-29 00:00:00,Romania,Romania,RO,271.01,305.42,70.02,47.59,entsoe.eu
2023-03-30 00:00:00,Romania,Romania,RO,254.96,288.66,71.29,48.29,entsoe.eu
2023-03-31 00:00:00,Romania,Romania,RO,276.41,310.86,69.10,45.38,entsoe.eu
2023-04-01 00:00:00,Romania,Romania,RO,267.81,298.82,72.25,49.24,entsoe.eu
2023-04-02 00:00:00,Romania,Romania,RO,242.54,272.13,74.91,53.79,entsoe.eu
2023-04-03 00:00:00,Romania,Romania,RO,250.78,281.88,73.35,52.92,entsoe.eu
2023-04-04 00:00:00,Romania,Romania,RO,228.15,256.10,76.88,60.55,entsoe.eu
