Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Serbia,Serbia,RS,408.40,453.80,44.47,34.80,entsoe.eu
2023-01-02 00:00:00,Serbia,Serbia,RS,425.93,472.39,43.14,35.99,entsoe.eu
2023-01-03 00:00:00,Serbia,Serbia,RS,454.60,502.34,39.82,34.66,entsoe.eu
2023-01-04 00:00:00,Serbia,Serbia,RS,444.84,491.81,39.78,35.46,entsoe.eu
2023-01-05 00:00:00,Serbia,Serbia,RS,423.78,469.33,42.83,37.27,entsoe.eu
2023-01-06 00:00:00,Serbia,Serbia,RS,453.03,500.36,39.00,33.76,entsoe.eu
2023-01-07 00:00:00,Serbia,Serbia,RS,464.19,512.94,36.71,30.94,entsoe.eu
2023-01-08 00:00:00,Serbia,Serbia,RS,437.72,484.60,40.33,34.78,entsoe.eu
2023-01-09 00:00:00,Serbia,Serbia,RS,454.23,500.73,38.71,35.81,entsoe.eu
2023-01-10 00:00:00,Serbia,Serbia,RS,480.60,528.77,37.29,34.58,entsoe.eu
2023-01-11 00:00:00,Serbia,Serbia,RS,498.85,548.43,34.76,32.46,entsoe.eu
2023-01-12 00:00:00,Serbia,Serbia,RS,511.17,561.38,32.35,30.47,entsoe.eu
2023-01-13 00:00:00,Serbia,Serbia,RS,505.95,556.07,31.02,29.17,entsoe.eu
2023-01-14 00:00:00,Serbia,Serbia,RS,482.51,531.48,34.22,30.97,entsoe.eu
2023-01-15 00:00:00,Serbia,Serbia,RS,440.73,487.50,39.68,35.62,entsoe.eu
2023-01-16 00:00:00,Serbia,Serbia,RS,439.29,484.97,42.15,39.81,entsoe.eu
2023-01-17 00:00:00,Serbia,Serbia,RS,442.23,488.29,40.79,38.12,entsoe.eu
2023-01-18 00:00:00,Serbia,Serbia,RS,415.90,460.50,44.10,41.01,entsoe.eu
2023-01-19 00:00:00,Serbia,Serbia,RS,411.08,455.06,44.83,41.66,entsoe.eu
2023-01-20 00:00:00,Serbia,Serbia,RS,413.11,457.12,43.62,41.61,entsoe.eu
2023-01-21 00:00:00,Serbia,Serbia,RS,413.00,456.75,43.74,42.26,entsoe.eu
2023-01-22 00:00:00,Serbia,Serbia,RS,402.32,445.63,45.76,41.93,entsoe.eu
2023-01-23 00:00:00,Serbia,Serbia,RS,404.49,447.33,45.28,42.90,entsoe.eu
2023-01-24 00:00:00,Serbia,Serbia,RS,424.12,468.18,43.23,41.39,entsoe.eu
2023-01-25 00:00:00,Serbia,Serbia,RS,429.43,474.53,44.07,43.11,entsoe.eu
2023-01-26 00:00:00,Serbia,Serbia,RS,439.62,484.46,41.46,40.31,entsoe.eu
2023-01-27 00:00:00,Serbia,Serbia,RS,453.48,498.92,39.41,37.39,entsoe.eu
2023-01-28 00:00:00,Serbia,Serbia,RS,437.38,482.34,41.23,38.64,entsoe.eu
2023-01-29 00:00:00,Serbia,Serbia,RS,429.17,474.04,42.10,39.21,entsoe.eu
2023-01-30 00:00:00,Serbia,Serbia,RS,457.40,504.32,39.54,38.26,entsoe.eu
2023-01-31 00:00:00,Serbia,Serbia,RS,415.43,459.61,44.91,43.85,entsoe.eu
2023-02-01 00:00:00,Serbia,Serbia,RS,443.83,489.55,40.94,39.63,entsoe.eu
2023-02-02 00:00:00,Serbia,Serbia,RS,440.13,485.10,41.54,40.16,entsoe.eu
2023-02-03 00:00:00,Serbia,Serbia,RS,467.45,514.35,37.92,36.74,entsoe.eu
2023-02-04 00:00:00,Serbia,Serbia,RS,449.16,494.91,39.63,38.09,entsoe.eu
2023-02-05 00:00:00,Serbia,Serbia,RS,433.74,478.22,41.79,38.61,entsoe.eu
2023-02-06 00:00:00,Serbia,Serbia,RS,455.61,501.07,41.75,39.27,entsoe.eu
2023-02-07 00:00:00,Serbia,Serbia,RS,469.46,516.04,40.34,38.37,entsoe.eu
2023-02-08 00:00:00,Serbia,Serbia,RS,485.15,532.57,36.80,34.68,entsoe.eu
2023-02-09 00:00:00,Serbia,Serbia,RS,480.42,527.51,36.30,35.20,entsoe.eu
2023-02-10 00:00:00,Serbia,Serbia,RS,500.61,549.25,33.54,32.56,entsoe.eu
2023-02-11 00:00:00,Serbia,Serbia,RS,493.17,541.82,35.44,33.12,entsoe.eu
2023-02-12 00:00:00,Serbia,Serbia,RS,482.94,531.00,35.42,32.00,entsoe.eu
2023-02-13 00:00:00,Serbia,Serbia,RS,500.15,548.78,32.55,31.02,entsoe.eu
2023-02-14 00:00:00,Serbia,Serbia,RS,496.32,544.80,33.13,30.98,entsoe.eu
2023-02-15 00:00:00,Serbia,Serbia,RS,508.52,557.01,32.15,29.70,entsoe.eu
2023-02-16 00:00:00,Serbia,Serbia,RS,505.77,554.33,32.40,30.51,entsoe.eu
2023-02-17 00:00:00,Serbia,Serbia,RS,535.46,586.06,28.38,26.02,entsoe.eu
2023-02-18 00:00:00,Serbia,Serbia,RS,499.09,547.55,33.83,29.33,entsoe.eu
2023-02-19 00:00:00,Serbia,Serbia,RS,517.61,567.45,31.36,26.46,entsoe.eu
