Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Sweden,Sweden,SE,12.58,34.96,98.46,64.66,entsoe.eu
2023-01-02 00:00:00,Sweden,Sweden,SE,9.17,32.87,98.89,70.24,entsoe.eu
2023-01-03 00:00:00,Sweden,Sweden,SE,4.32,29.15,99.48,72.58,entsoe.eu
2023-01-04 00:00:00,Sweden,Sweden,SE,9.77,35.72,98.72,72.63,entsoe.eu
2023-01-05 00:00:00,Sweden,Sweden,SE,6.35,31.68,99.21,72.69,entsoe.eu
2023-01-06 00:00:00,Sweden,Sweden,SE,3.37,26.41,99.58,73.34,entsoe.eu
2023-01-07 00:00:00,Sweden,Sweden,SE,4.87,28.41,99.36,71.16,entsoe.eu
2023-01-08 00:00:00,Sweden,Sweden,SE,6.26,29.67,99.14,67.80,entsoe.eu
2023-01-09 00:00:00,Sweden,Sweden,SE,3.75,27.32,99.53,71.46,entsoe.eu
2023-01-10 00:00:00,Sweden,Sweden,SE,4.44,28.15,99.46,71.90,entsoe.eu
2023-01-11 00:00:00,Sweden,Sweden,SE,4.79,27.70,99.47,71.70,entsoe.eu
2023-01-12 00:00:00,Sweden,Sweden,SE,3.47,25.42,99.64,70.56,entsoe.eu
2023-01-13 00:00:00,Sweden,Sweden,SE,5.58,29.42,99.32,69.49,entsoe.eu
2023-01-14 00:00:00,Sweden,Sweden,SE,11.29,36.86,98.56,69.32,entsoe.eu
2023-01-15 00:00:00,Sweden,Sweden,SE,12.15,36.09,98.48,68.36,entsoe.eu
2023-01-16 00:00:00,Sweden,Sweden,SE,3.38,25.93,99.60,71.47,entsoe.eu
2023-01-17 00:00:00,Sweden,Sweden,SE,2.22,23.74,99.77,72.54,entsoe.eu
2023-01-18 00:00:00,Sweden,Sweden,SE,2.33,24.29,99.76,72.44,entsoe.eu
2023-01-19 00:00:00,Sweden,Sweden,SE,2.94,26.70,99.66,73.13,entsoe.eu
2023-01-20 00:00:00,Sweden,Sweden,SE,2.60,26.96,99.74,71.97,entsoe.eu
2023-01-21 00:00:00,Sweden,Sweden,SE,2.25,25.70,99.78,72.08,entsoe.eu
2023-01-22 00:00:00,Sweden,Sweden,SE,2.00,25.28,99.83,72.98,entsoe.eu
2023-01-23 00:00:00,Sweden,Sweden,SE,2.54,28.08,99.76,73.82,entsoe.eu
2023-01-24 00:00:00,Sweden,Sweden,SE,2.01,25.88,99.84,73.47,entsoe.eu
2023-01-25 00:00:00,Sweden,Sweden,SE,1.70,23.57,99.86,72.83,entsoe.eu
2023-01-26 00:00:00,Sweden,Sweden,SE,1.79,24.42,99.87,73.43,entsoe.eu
2023-01-27 00:00:00,Sweden,Sweden,SE,2.14,26.03,99.81,72.96,entsoe.eu
2023-01-28 00:00:00,Sweden,Sweden,SE,1.81,22.87,99.83,71.72,entsoe.eu
2023-01-29 00:00:00,Sweden,Sweden,SE,2.39,23.29,99.75,71.48,entsoe.eu
2023-01-30 00:00:00,Sweden,Sweden,SE,2.80,23.89,99.68,72.79,entsoe.eu
2023-01-31 00:00:00,Sweden,Sweden,SE,3.66,26.89,99.53,73.56,entsoe.eu
2023-02-01 00:00:00,Sweden,Sweden,SE,4.07,28.12,99.48,72.81,entsoe.eu
2023-02-02 00:00:00,Sweden,Sweden,SE,2.86,27.63,99.70,73.82,entsoe.eu
2023-02-03 00:00:00,Sweden,Sweden,SE,5.78,30.01,99.23,73.72,entsoe.eu
2023-02-04 00:00:00,Sweden,Sweden,SE,2.14,25.86,99.80,73.40,entsoe.eu
2023-02-05 00:00:00,Sweden,Sweden,SE,2.40,25.02,99.75,72.71,entsoe.eu
2023-02-06 00:00:00,Sweden,Sweden,SE,2.33,27.48,99.80,73.90,entsoe.eu
2023-02-07 00:00:00,Sweden,Sweden,SE,2.10,24.81,99.81,73.22,entsoe.eu
2023-02-08 00:00:00,Sweden,Sweden,SE,2.20,24.60,99.78,73.70,entsoe.eu
2023-02-09 00:00:00,Sweden,Sweden,SE,3.13,24.40,99.62,72.89,entsoe.eu
2023-02-10 00:00:00,Sweden,Sweden,SE,2.76,24.08,99.68,73.29,entsoe.eu
2023-02-11 00:00:00,Sweden,Sweden,SE,2.56,23.16,99.69,72.12,entsoe.eu
2023-02-12 00:00:00,Sweden,Sweden,SE,1.71,21.53,99.81,71.27,entsoe.eu
2023-02-13 00:00:00,Sweden,Sweden,SE,1.98,23.51,99.81,71.52,entsoe.eu
2023-02-14 00:00:00,Sweden,Sweden,SE,2.37,26.71,99.77,72.41,entsoe.eu
2023-02-15 00:00:00,Sweden,Sweden,SE,2.43,26.74,99.75,73.10,entsoe.eu
2023-02-16 00:00:00,Sweden,Sweden,SE,2.30,25.22,99.75,72.67,entsoe.eu
2023-02-17 00:00:00,Sweden,Sweden,SE,3.63,26.45,99.57,72.41,entsoe.eu
2023-02-18 00:00:00,Sweden,Sweden,SE,2.39,23.87,99.73,74.50,entsoe.eu
2023-02-19 00:00:00,Sweden,Sweden,SE,2.21,23.73,99.75,74.43,entsoe.eu
2023-02-20 00:00:00,Sweden,Sweden,SE,4.37,27.29,99.44,73.15,entsoe.eu
2023-02-21 00:00:00,Sweden,Sweden,SE,2.62,26.28,99.72,73.21,entsoe.eu
2023-02-22 00:00:00,Sweden,Sweden,SE,2.40,26.73,99.74,74.09,entsoe.eu
2023-02-23 00:00:00,Sweden,Sweden,SE,2.47,26.19,99.75,72.79,entsoe.eu
2023-02-24 00:00:00,Sweden,Sweden,SE,3.58,26.21,99.54,72.72,entsoe.eu
2023-02-25 00:00:00,Sweden,Sweden,SE,3.46,25.25,99.54,72.60,entsoe.eu
2023-02-26 00:00:00,Sweden,Sweden,SE,2.45,25.34,99.73,72.56,entsoe.eu
2023-02-27 00:00:00,Sweden,Sweden,SE,2.00,25.91,99.85,71.63,entsoe.eu
2023-02-28 00:00:00,Sweden,Sweden,SE,1.83,24.39,99.87,71.05,entsoe.eu
2023-03-01 00:00:00,Sweden,Sweden,SE,2.12,25.20,99.80,70.96,entsoe.eu
2023-03-02 00:00:00,Sweden,Sweden,SE,1.97,23.44,99.82,70.65,entsoe.eu
2023-03-03 00:00:00,Sweden,Sweden,SE,2.82,24.29,99.65,73.65,entsoe.eu
2023-03-04 00:00:00,Sweden,Sweden,SE,4.48,27.76,99.43,77.93,entsoe.eu
2023-03-05 00:00:00,Sweden,Sweden,SE,2.53,28.86,99.78,77.48,entsoe.eu
2023-03-06 00:00:00,Sweden,Sweden,SE,8.78,39.54,98.77,76.78,entsoe.eu
2023-03-07 00:00:00,Sweden,Sweden,SE,10.52,39.46,98.59,78.16,entsoe.eu
2023-03-08 00:00:00,Sweden,Sweden,SE,3.62,32.43,99.65,77.91,entsoe.eu
2023-03-09 00:00:00,Sweden,Sweden,SE,6.52,35.11,99.22,78.12,entsoe.eu
2023-03-10 00:00:00,Sweden,Sweden,SE,9.89,40.37,98.76,76.16,entsoe.eu
2023-03-11 00:00:00,Sweden,Sweden,SE,11.76,38.98,98.70,72.47,entsoe.eu
2023-03-12 00:00:00,Sweden,Sweden,SE,8.37,34.76,98.83,72.82,entsoe.eu
2023-03-13 00:00:00,Sweden,Sweden,SE,6.76,31.35,99.13,74.11,entsoe.eu
2023-03-14 00:00:00,Sweden,Sweden,SE,5.93,29.93,99.23,72.47,entsoe.eu
2023-03-15 00:00:00,Sweden,Sweden,SE,2.42,26.21,99.77,73.26,entsoe.eu
