Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Singapore,Singapore,SG,371.82,490.94,4.47,4.47, ema.gov.sg; emcsg.com
2023-01-02 00:00:00,Singapore,Singapore,SG,369.84,488.53,4.80,4.80,Electricity Maps Estimation;  ema.gov.sg; emcsg.com
2023-01-03 00:00:00,Singapore,Singapore,SG,371.36,490.42,4.07,4.07, ema.gov.sg; emcsg.com
2023-01-04 00:00:00,Singapore,Singapore,SG,373.52,492.84,3.59,3.59, ema.gov.sg; emcsg.com
2023-01-05 00:00:00,Singapore,Singapore,SG,372.64,491.62,3.91,3.91, ema.gov.sg; emcsg.com
2023-01-06 00:00:00,Singapore,Singapore,SG,370.63,488.96,4.70,4.70, ema.gov.sg; emcsg.com
2023-01-07 00:00:00,Singapore,Singapore,SG,372.10,490.81,4.58,4.58, ema.gov.sg; emcsg.com
2023-01-08 00:00:00,Singapore,Singapore,SG,369.23,487.50,5.29,5.29, ema.gov.sg; emcsg.com
2023-01-09 00:00:00,Singapore,Singapore,SG,371.98,490.52,4.23,4.23, ema.gov.sg; emcsg.com
2023-01-10 00:00:00,Singapore,Singapore,SG,372.92,491.67,3.99,3.99, ema.gov.sg; emcsg.com
2023-01-11 00:00:00,Singapore,Singapore,SG,374.61,493.85,3.50,3.50,Electricity Maps Estimation;  ema.gov.sg; emcsg.com
2023-01-12 00:00:00,Singapore,Singapore,SG,371.08,489.64,4.45,4.45, ema.gov.sg; emcsg.com
2023-01-13 00:00:00,Singapore,Singapore,SG,373.37,492.58,3.79,3.79, ema.gov.sg; emcsg.com
2023-01-14 00:00:00,Singapore,Singapore,SG,371.11,490.06,4.49,4.49, ema.gov.sg; emcsg.com
2023-01-15 00:00:00,Singapore,Singapore,SG,371.08,489.91,4.66,4.66, ema.gov.sg; emcsg.com
