Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Slovenia,Slovenia,SI,104.97,127.86,87.31,36.84,entsoe.eu
2023-01-02 00:00:00,Slovenia,Slovenia,SI,105.74,125.45,87.14,38.66,entsoe.eu
2023-01-03 00:00:00,Slovenia,Slovenia,SI,134.96,154.98,84.54,42.74,entsoe.eu
2023-01-04 00:00:00,Slovenia,Slovenia,SI,121.85,144.66,85.13,45.15,entsoe.eu
2023-01-05 00:00:00,Slovenia,Slovenia,SI,112.40,133.46,86.57,42.37,entsoe.eu
2023-01-06 00:00:00,Slovenia,Slovenia,SI,148.94,177.36,81.48,40.52,entsoe.eu
2023-01-07 00:00:00,Slovenia,Slovenia,SI,128.46,154.65,84.22,41.50,entsoe.eu
2023-01-08 00:00:00,Slovenia,Slovenia,SI,120.06,147.01,84.27,35.84,entsoe.eu
2023-01-09 00:00:00,Slovenia,Slovenia,SI,181.54,205.31,78.61,44.10,entsoe.eu
2023-01-10 00:00:00,Slovenia,Slovenia,SI,210.02,237.91,74.35,43.96,entsoe.eu
2023-01-11 00:00:00,Slovenia,Slovenia,SI,217.56,243.77,75.14,43.00,entsoe.eu
2023-01-12 00:00:00,Slovenia,Slovenia,SI,236.79,264.48,73.57,39.72,entsoe.eu
2023-01-13 00:00:00,Slovenia,Slovenia,SI,238.72,271.94,71.03,37.82,entsoe.eu
2023-01-14 00:00:00,Slovenia,Slovenia,SI,210.51,239.89,75.85,36.41,entsoe.eu
2023-01-15 00:00:00,Slovenia,Slovenia,SI,211.12,241.09,75.33,35.92,entsoe.eu
2023-01-16 00:00:00,Slovenia,Slovenia,SI,249.36,278.08,70.66,40.51,entsoe.eu
2023-01-17 00:00:00,Slovenia,Slovenia,SI,257.05,285.13,70.48,44.82,entsoe.eu
2023-01-18 00:00:00,Slovenia,Slovenia,SI,256.68,286.04,69.86,45.73,entsoe.eu
2023-01-19 00:00:00,Slovenia,Slovenia,SI,270.58,298.65,70.17,45.70,entsoe.eu
2023-01-20 00:00:00,Slovenia,Slovenia,SI,254.52,282.53,71.10,46.25,entsoe.eu
2023-01-21 00:00:00,Slovenia,Slovenia,SI,218.41,245.72,73.28,46.34,entsoe.eu
2023-01-22 00:00:00,Slovenia,Slovenia,SI,246.93,277.60,69.90,43.69,entsoe.eu
2023-01-23 00:00:00,Slovenia,Slovenia,SI,259.80,289.76,70.24,43.31,entsoe.eu
2023-01-24 00:00:00,Slovenia,Slovenia,SI,262.98,294.91,69.40,42.46,entsoe.eu
2023-01-25 00:00:00,Slovenia,Slovenia,SI,268.96,297.82,70.04,43.48,entsoe.eu
2023-01-26 00:00:00,Slovenia,Slovenia,SI,258.46,288.26,69.77,41.39,entsoe.eu
2023-01-27 00:00:00,Slovenia,Slovenia,SI,263.24,293.91,68.85,41.64,entsoe.eu
2023-01-28 00:00:00,Slovenia,Slovenia,SI,232.87,265.45,70.77,38.32,entsoe.eu
2023-01-29 00:00:00,Slovenia,Slovenia,SI,240.65,274.35,69.25,34.69,entsoe.eu
2023-01-30 00:00:00,Slovenia,Slovenia,SI,288.41,322.50,65.77,31.75,entsoe.eu
2023-01-31 00:00:00,Slovenia,Slovenia,SI,263.94,298.19,68.11,34.52,entsoe.eu
2023-02-01 00:00:00,Slovenia,Slovenia,SI,259.77,294.17,68.24,34.27,entsoe.eu
2023-02-02 00:00:00,Slovenia,Slovenia,SI,264.17,298.26,68.03,33.89,entsoe.eu
2023-02-03 00:00:00,Slovenia,Slovenia,SI,262.61,296.21,68.56,35.56,entsoe.eu
2023-02-04 00:00:00,Slovenia,Slovenia,SI,248.60,282.12,69.29,35.68,entsoe.eu
2023-02-05 00:00:00,Slovenia,Slovenia,SI,246.63,280.81,68.38,37.34,entsoe.eu
2023-02-06 00:00:00,Slovenia,Slovenia,SI,276.03,308.61,67.00,39.16,entsoe.eu
2023-02-07 00:00:00,Slovenia,Slovenia,SI,267.00,299.44,68.07,37.68,entsoe.eu
2023-02-08 00:00:00,Slovenia,Slovenia,SI,271.03,304.72,67.29,35.38,entsoe.eu
2023-02-09 00:00:00,Slovenia,Slovenia,SI,263.90,299.95,67.69,35.75,entsoe.eu
2023-02-10 00:00:00,Slovenia,Slovenia,SI,277.88,314.28,66.73,34.18,entsoe.eu
2023-02-11 00:00:00,Slovenia,Slovenia,SI,258.23,295.53,68.65,31.26,entsoe.eu
2023-02-12 00:00:00,Slovenia,Slovenia,SI,242.10,277.54,69.98,28.97,entsoe.eu
2023-02-13 00:00:00,Slovenia,Slovenia,SI,289.14,325.00,65.64,30.46,entsoe.eu
2023-02-14 00:00:00,Slovenia,Slovenia,SI,282.47,319.61,65.57,31.73,entsoe.eu
2023-02-15 00:00:00,Slovenia,Slovenia,SI,289.50,326.03,64.79,32.21,entsoe.eu
2023-02-16 00:00:00,Slovenia,Slovenia,SI,282.45,317.44,66.56,32.21,entsoe.eu
2023-02-17 00:00:00,Slovenia,Slovenia,SI,263.08,298.70,67.74,34.61,entsoe.eu
2023-02-18 00:00:00,Slovenia,Slovenia,SI,219.11,252.46,72.68,35.27,entsoe.eu
2023-02-19 00:00:00,Slovenia,Slovenia,SI,229.59,262.62,70.99,32.47,entsoe.eu
2023-02-20 00:00:00,Slovenia,Slovenia,SI,260.11,292.62,69.56,35.41,entsoe.eu
2023-02-21 00:00:00,Slovenia,Slovenia,SI,261.07,293.09,69.07,36.99,entsoe.eu
2023-02-22 00:00:00,Slovenia,Slovenia,SI,285.86,316.42,68.18,36.40,entsoe.eu
2023-02-23 00:00:00,Slovenia,Slovenia,SI,278.81,311.63,67.20,35.99,entsoe.eu
2023-02-24 00:00:00,Slovenia,Slovenia,SI,269.02,301.99,68.09,36.36,entsoe.eu
2023-02-25 00:00:00,Slovenia,Slovenia,SI,232.18,265.34,70.64,37.58,entsoe.eu
2023-02-26 00:00:00,Slovenia,Slovenia,SI,242.61,277.01,68.53,39.28,entsoe.eu
2023-02-27 00:00:00,Slovenia,Slovenia,SI,275.78,308.87,66.98,39.69,entsoe.eu
2023-02-28 00:00:00,Slovenia,Slovenia,SI,272.52,305.45,67.77,38.13,entsoe.eu
2023-03-01 00:00:00,Slovenia,Slovenia,SI,271.08,302.70,68.28,38.56,entsoe.eu
2023-03-02 00:00:00,Slovenia,Slovenia,SI,275.93,307.75,68.14,37.95,entsoe.eu
2023-03-03 00:00:00,Slovenia,Slovenia,SI,268.36,301.17,68.05,37.22,entsoe.eu
2023-03-04 00:00:00,Slovenia,Slovenia,SI,240.53,274.65,69.88,37.27,entsoe.eu
2023-03-05 00:00:00,Slovenia,Slovenia,SI,241.16,274.63,69.51,36.15,entsoe.eu
2023-03-06 00:00:00,Slovenia,Slovenia,SI,282.19,315.40,66.84,37.75,entsoe.eu
2023-03-07 00:00:00,Slovenia,Slovenia,SI,279.62,312.98,66.33,37.18,entsoe.eu
2023-03-08 00:00:00,Slovenia,Slovenia,SI,286.27,318.30,66.46,39.00,entsoe.eu
2023-03-09 00:00:00,Slovenia,Slovenia,SI,273.15,305.29,67.40,39.49,entsoe.eu
2023-03-10 00:00:00,Slovenia,Slovenia,SI,269.06,300.17,68.27,41.88,entsoe.eu
2023-03-11 00:00:00,Slovenia,Slovenia,SI,206.21,234.05,73.68,46.32,entsoe.eu
2023-03-12 00:00:00,Slovenia,Slovenia,SI,206.94,234.07,74.14,43.33,entsoe.eu
2023-03-13 00:00:00,Slovenia,Slovenia,SI,200.77,229.17,74.92,43.91,Electricity Maps Estimation; entsoe.eu
2023-03-14 00:00:00,Slovenia,Slovenia,SI,194.09,220.01,76.21,48.16,entsoe.eu
2023-03-15 00:00:00,Slovenia,Slovenia,SI,217.04,245.23,73.73,47.10,entsoe.eu
2023-03-16 00:00:00,Slovenia,Slovenia,SI,218.42,248.02,73.25,43.86,Electricity Maps Estimation; entsoe.eu
2023-03-17 00:00:00,Slovenia,Slovenia,SI,249.83,280.60,69.95,39.51,entsoe.eu
2023-03-18 00:00:00,Slovenia,Slovenia,SI,235.34,265.50,72.09,36.20,entsoe.eu
2023-03-19 00:00:00,Slovenia,Slovenia,SI,236.49,267.01,71.09,35.70,entsoe.eu
2023-03-20 00:00:00,Slovenia,Slovenia,SI,265.62,295.52,69.76,36.76,entsoe.eu
2023-03-21 00:00:00,Slovenia,Slovenia,SI,259.66,290.45,70.51,37.42,entsoe.eu
2023-03-22 00:00:00,Slovenia,Slovenia,SI,242.79,274.45,71.89,38.46,entsoe.eu
2023-03-23 00:00:00,Slovenia,Slovenia,SI,246.52,277.74,71.48,38.81,entsoe.eu
2023-03-24 00:00:00,Slovenia,Slovenia,SI,252.12,284.39,70.34,38.67,entsoe.eu
2023-03-25 00:00:00,Slovenia,Slovenia,SI,222.50,254.29,73.22,35.79,entsoe.eu
2023-03-26 00:00:00,Slovenia,Slovenia,SI,227.88,259.30,72.34,38.65,Electricity Maps Estimation; entsoe.eu
2023-03-27 00:00:00,Slovenia,Slovenia,SI,238.25,267.75,72.11,46.69,entsoe.eu
2023-03-28 00:00:00,Slovenia,Slovenia,SI,246.08,276.87,70.72,45.73,entsoe.eu
2023-03-29 00:00:00,Slovenia,Slovenia,SI,254.60,284.34,70.82,42.37,entsoe.eu
2023-03-30 00:00:00,Slovenia,Slovenia,SI,238.37,268.95,72.14,40.52,entsoe.eu
2023-03-31 00:00:00,Slovenia,Slovenia,SI,256.48,287.05,70.52,40.54,entsoe.eu
2023-04-01 00:00:00,Slovenia,Slovenia,SI,194.06,222.92,77.33,40.11,entsoe.eu
2023-04-02 00:00:00,Slovenia,Slovenia,SI,212.19,242.43,74.35,35.50,entsoe.eu
2023-04-03 00:00:00,Slovenia,Slovenia,SI,239.84,269.67,72.57,43.30,entsoe.eu
2023-04-04 00:00:00,Slovenia,Slovenia,SI,246.66,277.27,71.42,42.84,entsoe.eu
2023-04-05 00:00:00,Slovenia,Slovenia,SI,264.35,295.85,69.40,40.10,entsoe.eu
2023-04-06 00:00:00,Slovenia,Slovenia,SI,230.43,260.04,73.52,40.86,entsoe.eu
2023-04-07 00:00:00,Slovenia,Slovenia,SI,139.89,168.34,80.86,42.50,entsoe.eu
2023-04-08 00:00:00,Slovenia,Slovenia,SI,125.46,152.11,82.63,40.69,entsoe.eu
2023-04-09 00:00:00,Slovenia,Slovenia,SI,93.82,119.96,85.86,37.34,entsoe.eu
2023-04-10 00:00:00,Slovenia,Slovenia,SI,79.30,103.59,89.06,39.89,entsoe.eu
2023-04-11 00:00:00,Slovenia,Slovenia,SI,201.27,229.21,76.31,38.94,entsoe.eu
2023-04-12 00:00:00,Slovenia,Slovenia,SI,243.02,271.19,73.18,37.64,entsoe.eu
2023-04-13 00:00:00,Slovenia,Slovenia,SI,236.73,265.26,72.61,41.45,entsoe.eu
