Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Turkey,Turkey,TR,465.02,530.66,31.05,30.06,epias.com.tr
2023-01-02 00:00:00,Turkey,Turkey,TR,468.64,545.06,22.60,21.85,epias.com.tr
2023-01-03 00:00:00,Turkey,Turkey,TR,464.87,543.18,21.45,20.86,epias.com.tr
2023-01-04 00:00:00,Turkey,Turkey,TR,440.89,516.30,25.48,24.90,epias.com.tr
2023-01-05 00:00:00,Turkey,Turkey,TR,450.38,528.71,22.81,22.05,epias.com.tr
2023-01-06 00:00:00,Turkey,Turkey,TR,456.82,535.57,21.91,21.20,epias.com.tr
2023-01-07 00:00:00,Turkey,Turkey,TR,457.87,534.06,23.89,23.18,epias.com.tr
2023-01-08 00:00:00,Turkey,Turkey,TR,455.67,526.75,27.89,27.10,epias.com.tr
2023-01-09 00:00:00,Turkey,Turkey,TR,434.21,507.37,27.66,26.95,epias.com.tr
2023-01-10 00:00:00,Turkey,Turkey,TR,383.61,444.18,39.68,39.17,epias.com.tr
2023-01-11 00:00:00,Turkey,Turkey,TR,426.06,497.66,28.98,28.41,epias.com.tr
2023-01-12 00:00:00,Turkey,Turkey,TR,442.05,518.26,24.71,24.28,epias.com.tr
2023-01-13 00:00:00,Turkey,Turkey,TR,427.43,500.11,28.13,27.83,epias.com.tr
2023-01-14 00:00:00,Turkey,Turkey,TR,449.18,522.62,26.07,25.56,epias.com.tr
2023-01-15 00:00:00,Turkey,Turkey,TR,471.45,542.21,26.24,25.48,epias.com.tr
2023-01-16 00:00:00,Turkey,Turkey,TR,433.99,506.23,28.10,27.50,epias.com.tr
2023-01-17 00:00:00,Turkey,Turkey,TR,380.77,438.45,41.68,41.21,epias.com.tr
2023-01-18 00:00:00,Turkey,Turkey,TR,379.30,435.59,42.83,42.30,epias.com.tr
2023-01-19 00:00:00,Turkey,Turkey,TR,392.19,450.56,40.51,39.91,epias.com.tr
2023-01-20 00:00:00,Turkey,Turkey,TR,385.72,442.93,41.80,41.27,epias.com.tr
2023-01-21 00:00:00,Turkey,Turkey,TR,407.45,470.99,36.51,35.89,epias.com.tr
2023-01-22 00:00:00,Turkey,Turkey,TR,472.49,543.74,26.37,25.58,epias.com.tr
2023-01-23 00:00:00,Turkey,Turkey,TR,448.17,524.68,24.17,23.70,epias.com.tr
