Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Taiwan,Taiwan,TW,437.12,521.19,17.98,9.11,taipower.com.tw; Electricity Maps Estimation
2023-01-02 00:00:00,Taiwan,Taiwan,TW,410.57,494.52,21.41,12.25,Electricity Maps Estimation
2023-01-03 00:00:00,Taiwan,Taiwan,TW,411.37,495.67,21.01,11.96,Electricity Maps Estimation
2023-01-04 00:00:00,Taiwan,Taiwan,TW,412.18,496.82,20.62,11.67,Electricity Maps Estimation
2023-01-05 00:00:00,Taiwan,Taiwan,TW,412.90,497.89,20.23,11.40,Electricity Maps Estimation
2023-01-06 00:00:00,Taiwan,Taiwan,TW,413.63,498.95,19.85,11.13,Electricity Maps Estimation
2023-01-07 00:00:00,Taiwan,Taiwan,TW,426.88,512.72,18.26,10.10,taipower.com.tw; Electricity Maps Estimation
2023-01-08 00:00:00,Taiwan,Taiwan,TW,435.09,520.40,17.52,8.47,taipower.com.tw; Electricity Maps Estimation
2023-01-09 00:00:00,Taiwan,Taiwan,TW,423.43,508.96,18.73,9.73,Electricity Maps Estimation
2023-01-10 00:00:00,Taiwan,Taiwan,TW,423.09,508.59,18.81,9.80,Electricity Maps Estimation
2023-01-11 00:00:00,Taiwan,Taiwan,TW,422.76,508.21,18.89,9.88,Electricity Maps Estimation
2023-01-12 00:00:00,Taiwan,Taiwan,TW,422.42,507.83,18.96,9.95,Electricity Maps Estimation
2023-01-13 00:00:00,Taiwan,Taiwan,TW,422.08,507.46,19.04,10.03,Electricity Maps Estimation
2023-01-14 00:00:00,Taiwan,Taiwan,TW,421.74,507.08,19.12,10.11,Electricity Maps Estimation
2023-01-15 00:00:00,Taiwan,Taiwan,TW,421.40,506.71,19.20,10.18,Electricity Maps Estimation
2023-01-16 00:00:00,Taiwan,Taiwan,TW,421.06,506.33,19.27,10.26,Electricity Maps Estimation
2023-01-17 00:00:00,Taiwan,Taiwan,TW,420.72,505.95,19.35,10.33,Electricity Maps Estimation
2023-01-18 00:00:00,Taiwan,Taiwan,TW,420.38,505.57,19.43,10.41,Electricity Maps Estimation
2023-01-19 00:00:00,Taiwan,Taiwan,TW,420.04,505.19,19.51,10.49,Electricity Maps Estimation
2023-01-20 00:00:00,Taiwan,Taiwan,TW,419.69,504.81,19.58,10.56,Electricity Maps Estimation
2023-01-21 00:00:00,Taiwan,Taiwan,TW,419.35,504.43,19.66,10.64,Electricity Maps Estimation
2023-01-22 00:00:00,Taiwan,Taiwan,TW,419.01,504.05,19.74,10.72,Electricity Maps Estimation
2023-01-23 00:00:00,Taiwan,Taiwan,TW,418.67,503.67,19.82,10.80,Electricity Maps Estimation
2023-01-24 00:00:00,Taiwan,Taiwan,TW,418.32,503.29,19.90,10.87,Electricity Maps Estimation
2023-01-25 00:00:00,Taiwan,Taiwan,TW,417.98,502.91,19.98,10.95,Electricity Maps Estimation
2023-01-26 00:00:00,Taiwan,Taiwan,TW,417.63,502.52,20.06,11.03,Electricity Maps Estimation
2023-01-27 00:00:00,Taiwan,Taiwan,TW,417.29,502.14,20.14,11.11,Electricity Maps Estimation
2023-01-28 00:00:00,Taiwan,Taiwan,TW,416.94,501.75,20.21,11.18,Electricity Maps Estimation
2023-01-29 00:00:00,Taiwan,Taiwan,TW,416.60,501.37,20.29,11.26,Electricity Maps Estimation
2023-01-30 00:00:00,Taiwan,Taiwan,TW,416.25,500.98,20.37,11.34,Electricity Maps Estimation
2023-01-31 00:00:00,Taiwan,Taiwan,TW,415.90,500.60,20.45,11.42,Electricity Maps Estimation
2023-02-01 00:00:00,Taiwan,Taiwan,TW,420.88,505.63,20.00,11.34,Electricity Maps Estimation
2023-02-02 00:00:00,Taiwan,Taiwan,TW,420.54,505.25,20.08,11.41,Electricity Maps Estimation
2023-02-03 00:00:00,Taiwan,Taiwan,TW,420.21,504.88,20.16,11.49,Electricity Maps Estimation
2023-02-04 00:00:00,Taiwan,Taiwan,TW,419.87,504.50,20.23,11.57,Electricity Maps Estimation
2023-02-05 00:00:00,Taiwan,Taiwan,TW,419.53,504.12,20.31,11.64,Electricity Maps Estimation
2023-02-06 00:00:00,Taiwan,Taiwan,TW,419.19,503.75,20.39,11.72,Electricity Maps Estimation
2023-02-07 00:00:00,Taiwan,Taiwan,TW,418.85,503.37,20.47,11.80,Electricity Maps Estimation
2023-02-08 00:00:00,Taiwan,Taiwan,TW,418.51,502.99,20.54,11.87,Electricity Maps Estimation
2023-02-09 00:00:00,Taiwan,Taiwan,TW,418.17,502.61,20.62,11.95,Electricity Maps Estimation
2023-02-10 00:00:00,Taiwan,Taiwan,TW,417.83,502.23,20.70,12.03,Electricity Maps Estimation
2023-02-11 00:00:00,Taiwan,Taiwan,TW,417.49,501.85,20.78,12.11,Electricity Maps Estimation
2023-02-12 00:00:00,Taiwan,Taiwan,TW,417.15,501.47,20.86,12.19,Electricity Maps Estimation
2023-02-13 00:00:00,Taiwan,Taiwan,TW,416.81,501.09,20.94,12.27,Electricity Maps Estimation
2023-02-14 00:00:00,Taiwan,Taiwan,TW,416.47,500.71,21.02,12.34,Electricity Maps Estimation
2023-02-15 00:00:00,Taiwan,Taiwan,TW,416.13,500.33,21.10,12.42,Electricity Maps Estimation
2023-02-16 00:00:00,Taiwan,Taiwan,TW,415.78,499.95,21.18,12.50,Electricity Maps Estimation
2023-02-17 00:00:00,Taiwan,Taiwan,TW,415.44,499.57,21.26,12.58,Electricity Maps Estimation
2023-02-18 00:00:00,Taiwan,Taiwan,TW,415.10,499.19,21.34,12.66,Electricity Maps Estimation
2023-02-19 00:00:00,Taiwan,Taiwan,TW,414.76,498.80,21.42,12.74,Electricity Maps Estimation
2023-02-20 00:00:00,Taiwan,Taiwan,TW,414.41,498.42,21.50,12.82,Electricity Maps Estimation
2023-02-21 00:00:00,Taiwan,Taiwan,TW,414.07,498.04,21.58,12.90,Electricity Maps Estimation
2023-02-22 00:00:00,Taiwan,Taiwan,TW,413.73,497.65,21.67,12.98,Electricity Maps Estimation
2023-02-23 00:00:00,Taiwan,Taiwan,TW,413.38,497.27,21.75,13.06,Electricity Maps Estimation
2023-02-24 00:00:00,Taiwan,Taiwan,TW,413.04,496.88,21.83,13.14,Electricity Maps Estimation
2023-02-25 00:00:00,Taiwan,Taiwan,TW,413.77,497.63,21.71,13.05,taipower.com.tw; Electricity Maps Estimation
2023-02-26 00:00:00,Taiwan,Taiwan,TW,419.23,500.56,22.56,13.93,taipower.com.tw; Electricity Maps Estimation
2023-02-27 00:00:00,Taiwan,Taiwan,TW,414.67,496.43,23.17,14.21,Electricity Maps Estimation
2023-02-28 00:00:00,Taiwan,Taiwan,TW,415.44,497.27,23.03,14.14,Electricity Maps Estimation
2023-03-01 00:00:00,Taiwan,Taiwan,TW,416.20,498.10,22.90,14.07,Electricity Maps Estimation
2023-03-02 00:00:00,Taiwan,Taiwan,TW,416.95,498.93,22.76,13.99,Electricity Maps Estimation
2023-03-03 00:00:00,Taiwan,Taiwan,TW,417.71,499.76,22.63,13.92,Electricity Maps Estimation
2023-03-04 00:00:00,Taiwan,Taiwan,TW,418.46,500.58,22.50,13.85,Electricity Maps Estimation
2023-03-05 00:00:00,Taiwan,Taiwan,TW,419.20,501.40,22.37,13.77,Electricity Maps Estimation
2023-03-06 00:00:00,Taiwan,Taiwan,TW,419.95,502.21,22.23,13.70,Electricity Maps Estimation
2023-03-07 00:00:00,Taiwan,Taiwan,TW,420.69,503.02,22.10,13.63,Electricity Maps Estimation
2023-03-08 00:00:00,Taiwan,Taiwan,TW,421.42,503.83,21.97,13.56,Electricity Maps Estimation
2023-03-09 00:00:00,Taiwan,Taiwan,TW,422.16,504.64,21.84,13.49,Electricity Maps Estimation
2023-03-10 00:00:00,Taiwan,Taiwan,TW,422.89,505.44,21.71,13.42,Electricity Maps Estimation
2023-03-11 00:00:00,Taiwan,Taiwan,TW,423.62,506.24,21.58,13.35,Electricity Maps Estimation
2023-03-12 00:00:00,Taiwan,Taiwan,TW,424.34,507.03,21.45,13.28,Electricity Maps Estimation
2023-03-13 00:00:00,Taiwan,Taiwan,TW,425.06,507.82,21.32,13.21,Electricity Maps Estimation
2023-03-14 00:00:00,Taiwan,Taiwan,TW,425.78,508.61,21.19,13.14,Electricity Maps Estimation
2023-03-15 00:00:00,Taiwan,Taiwan,TW,426.50,509.39,21.07,13.07,Electricity Maps Estimation
2023-03-16 00:00:00,Taiwan,Taiwan,TW,427.21,510.17,20.94,13.00,Electricity Maps Estimation
