Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,USA,USA,US,329.64,389.11,46.62,22.01,
2023-01-02 00:00:00,USA,USA,US,333.32,394.79,45.22,21.85,
2023-01-03 00:00:00,USA,USA,US,325.21,385.83,46.29,23.67,
2023-01-04 00:00:00,USA,USA,US,327.93,389.90,45.00,22.47,
2023-01-05 00:00:00,USA,USA,US,338.80,403.93,42.16,20.40,
2023-01-06 00:00:00,USA,USA,US,337.52,401.68,43.23,22.37,
2023-01-07 00:00:00,USA,USA,US,349.84,415.54,41.38,20.24,
2023-01-08 00:00:00,USA,USA,US,356.44,424.63,39.43,16.92,
2023-01-09 00:00:00,USA,USA,US,326.15,389.24,44.91,23.61,
2023-01-10 00:00:00,USA,USA,US,348.23,412.68,42.43,21.66,
2023-01-11 00:00:00,USA,USA,US,346.26,410.34,42.71,21.66,
2023-01-12 00:00:00,USA,USA,US,311.87,371.63,47.87,26.48,
2023-01-13 00:00:00,USA,USA,US,356.87,422.67,40.48,19.47,
2023-01-14 00:00:00,USA,USA,US,329.58,393.03,44.42,23.72,
2023-01-15 00:00:00,USA,USA,US,315.19,375.44,47.44,26.61,
2023-01-16 00:00:00,USA,USA,US,320.05,381.37,46.20,25.34,
2023-01-17 00:00:00,USA,USA,US,344.44,408.17,42.79,21.47,
2023-01-18 00:00:00,USA,USA,US,338.21,399.92,44.72,23.17,
2023-01-19 00:00:00,USA,USA,US,322.96,383.87,46.20,24.53,
2023-01-20 00:00:00,USA,USA,US,346.18,411.09,41.88,21.20,
2023-01-21 00:00:00,USA,USA,US,345.61,410.74,41.80,20.10,
2023-01-22 00:00:00,USA,USA,US,354.81,421.22,40.52,18.70,
2023-01-23 00:00:00,USA,USA,US,353.12,418.42,41.27,20.45,
2023-01-24 00:00:00,USA,USA,US,365.76,432.45,39.37,19.99,
2023-01-25 00:00:00,USA,USA,US,346.19,410.67,42.30,22.65,
2023-01-26 00:00:00,USA,USA,US,344.84,408.14,43.05,22.56,
2023-01-27 00:00:00,USA,USA,US,329.38,391.09,45.25,25.05,
2023-01-28 00:00:00,USA,USA,US,323.82,383.28,47.22,25.75,
2023-01-29 00:00:00,USA,USA,US,331.36,391.38,46.29,24.93,
2023-01-30 00:00:00,USA,USA,US,379.49,446.55,38.06,18.42,
2023-01-31 00:00:00,USA,USA,US,391.38,461.33,35.34,16.28,
2023-02-01 00:00:00,USA,USA,US,397.31,467.83,34.51,15.94,
2023-02-02 00:00:00,USA,USA,US,376.27,445.24,37.27,18.90,
2023-02-03 00:00:00,USA,USA,US,375.85,444.26,38.12,19.52,
2023-02-04 00:00:00,USA,USA,US,344.34,409.68,43.39,24.45,
2023-02-05 00:00:00,USA,USA,US,331.56,394.54,44.74,23.48,
2023-02-06 00:00:00,USA,USA,US,299.60,357.70,49.98,28.80,
2023-02-07 00:00:00,USA,USA,US,301.58,361.00,48.84,28.20,
2023-02-08 00:00:00,USA,USA,US,325.76,389.24,44.20,22.46,
2023-02-09 00:00:00,USA,USA,US,307.57,369.11,46.91,25.85,
2023-02-10 00:00:00,USA,USA,US,300.80,361.24,48.14,26.84,
2023-02-11 00:00:00,USA,USA,US,323.64,390.48,42.47,20.57,
2023-02-12 00:00:00,USA,USA,US,309.79,373.02,45.64,23.68,
