Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Uruguay,Uruguay,UY,14.57,57.91,96.41,96.41,pronos.adme.com.uy
2023-01-02 00:00:00,Uruguay,Uruguay,UY,28.92,78.65,92.97,92.95,pronos.adme.com.uy
2023-01-03 00:00:00,Uruguay,Uruguay,UY,91.45,180.24,77.48,77.48,pronos.adme.com.uy
2023-01-04 00:00:00,Uruguay,Uruguay,UY,85.08,167.91,79.04,79.04,pronos.adme.com.uy
2023-01-05 00:00:00,Uruguay,Uruguay,UY,94.27,181.56,76.80,76.79,pronos.adme.com.uy
2023-01-06 00:00:00,Uruguay,Uruguay,UY,66.06,134.97,83.87,83.85,pronos.adme.com.uy
2023-01-07 00:00:00,Uruguay,Uruguay,UY,17.69,58.13,95.87,95.83,pronos.adme.com.uy
2023-01-08 00:00:00,Uruguay,Uruguay,UY,18.43,60.67,95.47,95.47,pronos.adme.com.uy
2023-01-09 00:00:00,Uruguay,Uruguay,UY,91.85,176.68,77.40,77.40,pronos.adme.com.uy
2023-01-10 00:00:00,Uruguay,Uruguay,UY,125.57,228.48,69.19,69.17,pronos.adme.com.uy
2023-01-11 00:00:00,Uruguay,Uruguay,UY,140.43,249.39,65.41,65.41,pronos.adme.com.uy
2023-01-12 00:00:00,Uruguay,Uruguay,UY,152.04,271.58,62.55,62.55,pronos.adme.com.uy
2023-01-13 00:00:00,Uruguay,Uruguay,UY,161.02,286.01,60.34,60.34,pronos.adme.com.uy
2023-01-14 00:00:00,Uruguay,Uruguay,UY,114.85,219.10,71.71,71.71,pronos.adme.com.uy
2023-01-15 00:00:00,Uruguay,Uruguay,UY,133.73,244.52,67.06,67.06,pronos.adme.com.uy
2023-01-16 00:00:00,Uruguay,Uruguay,UY,130.67,236.48,67.82,67.82,pronos.adme.com.uy
2023-01-17 00:00:00,Uruguay,Uruguay,UY,112.43,206.43,72.31,72.31,pronos.adme.com.uy
2023-01-18 00:00:00,Uruguay,Uruguay,UY,69.80,138.93,82.81,82.81,pronos.adme.com.uy
2023-01-19 00:00:00,Uruguay,Uruguay,UY,103.59,193.75,74.49,74.49,pronos.adme.com.uy
2023-01-20 00:00:00,Uruguay,Uruguay,UY,121.39,218.53,70.10,70.10,pronos.adme.com.uy
2023-01-21 00:00:00,Uruguay,Uruguay,UY,138.16,239.20,65.97,65.97,pronos.adme.com.uy
2023-01-22 00:00:00,Uruguay,Uruguay,UY,154.34,277.15,61.99,61.99,pronos.adme.com.uy
2023-01-23 00:00:00,Uruguay,Uruguay,UY,140.61,254.32,65.37,65.37,pronos.adme.com.uy
2023-01-24 00:00:00,Uruguay,Uruguay,UY,132.87,241.52,67.27,67.27,pronos.adme.com.uy
2023-01-25 00:00:00,Uruguay,Uruguay,UY,144.00,257.54,64.53,64.53,pronos.adme.com.uy
2023-01-26 00:00:00,Uruguay,Uruguay,UY,104.52,194.53,74.25,74.25,pronos.adme.com.uy
2023-01-27 00:00:00,Uruguay,Uruguay,UY,167.36,293.50,58.78,58.78,pronos.adme.com.uy
2023-01-28 00:00:00,Uruguay,Uruguay,UY,178.65,311.82,56.00,56.00,pronos.adme.com.uy
2023-01-29 00:00:00,Uruguay,Uruguay,UY,120.71,222.51,70.27,70.27,pronos.adme.com.uy
2023-01-30 00:00:00,Uruguay,Uruguay,UY,145.30,258.64,64.21,64.21,pronos.adme.com.uy
2023-01-31 00:00:00,Uruguay,Uruguay,UY,197.96,334.35,51.24,51.24,pronos.adme.com.uy
2023-02-01 00:00:00,Uruguay,Uruguay,UY,186.72,317.66,54.01,54.01,pronos.adme.com.uy
2023-02-02 00:00:00,Uruguay,Uruguay,UY,112.07,197.94,72.40,72.40,pronos.adme.com.uy
2023-02-03 00:00:00,Uruguay,Uruguay,UY,122.29,221.59,69.88,69.88,pronos.adme.com.uy
2023-02-04 00:00:00,Uruguay,Uruguay,UY,69.05,140.08,82.99,82.99,pronos.adme.com.uy
2023-02-05 00:00:00,Uruguay,Uruguay,UY,74.92,151.08,82.42,81.86,pronos.adme.com.uy
2023-02-06 00:00:00,Uruguay,Uruguay,UY,109.08,204.90,73.48,73.17,pronos.adme.com.uy
2023-02-07 00:00:00,Uruguay,Uruguay,UY,106.41,196.80,74.39,73.87,pronos.adme.com.uy
2023-02-08 00:00:00,Uruguay,Uruguay,UY,65.24,128.06,84.42,83.98,pronos.adme.com.uy
2023-02-09 00:00:00,Uruguay,Uruguay,UY,107.14,198.40,74.21,73.69,pronos.adme.com.uy
2023-02-10 00:00:00,Uruguay,Uruguay,UY,106.08,190.26,74.40,73.93,pronos.adme.com.uy
2023-02-11 00:00:00,Uruguay,Uruguay,UY,94.00,174.05,77.48,76.92,pronos.adme.com.uy
2023-02-12 00:00:00,Uruguay,Uruguay,UY,72.53,139.81,82.76,82.18,pronos.adme.com.uy
2023-02-13 00:00:00,Uruguay,Uruguay,UY,58.00,115.35,86.20,85.79,pronos.adme.com.uy
2023-02-14 00:00:00,Uruguay,Uruguay,UY,141.86,250.53,65.58,65.10,pronos.adme.com.uy
2023-02-15 00:00:00,Uruguay,Uruguay,UY,101.05,183.33,75.62,75.18,pronos.adme.com.uy
2023-02-16 00:00:00,Uruguay,Uruguay,UY,43.34,91.36,89.91,89.46,pronos.adme.com.uy
2023-02-17 00:00:00,Uruguay,Uruguay,UY,0.12,29.92,99.98,99.97,pronos.adme.com.uy
2023-02-18 00:00:00,Uruguay,Uruguay,UY,5.51,41.09,99.04,98.93,pronos.adme.com.uy
2023-02-19 00:00:00,Uruguay,Uruguay,UY,24.72,74.68,95.70,95.32,pronos.adme.com.uy
2023-02-20 00:00:00,Uruguay,Uruguay,UY,17.16,57.93,96.98,96.67,pronos.adme.com.uy
2023-02-21 00:00:00,Uruguay,Uruguay,UY,62.00,122.10,86.94,86.38,pronos.adme.com.uy
2023-02-22 00:00:00,Uruguay,Uruguay,UY,79.10,151.72,81.03,80.95,pronos.adme.com.uy
2023-02-23 00:00:00,Uruguay,Uruguay,UY,100.39,183.65,75.96,75.86,pronos.adme.com.uy
2023-02-24 00:00:00,Uruguay,Uruguay,UY,143.14,252.81,65.53,65.24,pronos.adme.com.uy
2023-02-25 00:00:00,Uruguay,Uruguay,UY,95.03,167.11,80.05,78.97,pronos.adme.com.uy
2023-02-26 00:00:00,Uruguay,Uruguay,UY,57.72,120.97,86.96,86.58,pronos.adme.com.uy
2023-02-27 00:00:00,Uruguay,Uruguay,UY,74.75,148.21,82.18,81.91,pronos.adme.com.uy
2023-02-28 00:00:00,Uruguay,Uruguay,UY,110.30,201.48,73.51,73.19,pronos.adme.com.uy
2023-03-01 00:00:00,Uruguay,Uruguay,UY,112.64,202.48,72.79,72.49,pronos.adme.com.uy
2023-03-02 00:00:00,Uruguay,Uruguay,UY,141.20,243.07,65.88,65.57,pronos.adme.com.uy
2023-03-03 00:00:00,Uruguay,Uruguay,UY,149.81,259.72,63.70,63.37,pronos.adme.com.uy
2023-03-04 00:00:00,Uruguay,Uruguay,UY,117.87,212.51,71.80,71.37,pronos.adme.com.uy
2023-03-05 00:00:00,Uruguay,Uruguay,UY,124.65,217.38,70.91,70.34,pronos.adme.com.uy
2023-03-06 00:00:00,Uruguay,Uruguay,UY,82.06,154.16,80.41,80.17,pronos.adme.com.uy
2023-03-07 00:00:00,Uruguay,Uruguay,UY,139.11,245.35,66.37,66.09,pronos.adme.com.uy
2023-03-08 00:00:00,Uruguay,Uruguay,UY,178.71,308.95,56.72,56.36,pronos.adme.com.uy
2023-03-09 00:00:00,Uruguay,Uruguay,UY,166.90,287.11,59.66,59.34,pronos.adme.com.uy
2023-03-10 00:00:00,Uruguay,Uruguay,UY,103.45,188.57,75.12,74.97,pronos.adme.com.uy
2023-03-11 00:00:00,Uruguay,Uruguay,UY,55.84,116.12,87.22,87.10,pronos.adme.com.uy
2023-03-12 00:00:00,Uruguay,Uruguay,UY,22.73,62.30,95.57,95.45,pronos.adme.com.uy
2023-03-13 00:00:00,Uruguay,Uruguay,UY,78.89,150.07,81.33,81.24,pronos.adme.com.uy
2023-03-14 00:00:00,Uruguay,Uruguay,UY,102.89,187.50,75.32,75.23,pronos.adme.com.uy
2023-03-15 00:00:00,Uruguay,Uruguay,UY,116.39,210.20,72.12,72.02,pronos.adme.com.uy
2023-03-16 00:00:00,Uruguay,Uruguay,UY,144.34,255.09,65.37,65.18,pronos.adme.com.uy
2023-03-17 00:00:00,Uruguay,Uruguay,UY,144.61,256.07,65.31,64.90,pronos.adme.com.uy
2023-03-18 00:00:00,Uruguay,Uruguay,UY,113.13,209.14,73.30,72.85,pronos.adme.com.uy
2023-03-19 00:00:00,Uruguay,Uruguay,UY,88.49,169.17,79.72,79.10,pronos.adme.com.uy
2023-03-20 00:00:00,Uruguay,Uruguay,UY,74.35,147.83,82.79,82.30,pronos.adme.com.uy
2023-03-21 00:00:00,Uruguay,Uruguay,UY,19.75,62.02,96.14,95.64,pronos.adme.com.uy
2023-03-22 00:00:00,Uruguay,Uruguay,UY,15.17,54.78,97.02,96.62,pronos.adme.com.uy
2023-03-23 00:00:00,Uruguay,Uruguay,UY,52.67,115.17,87.77,87.37,pronos.adme.com.uy
2023-03-24 00:00:00,Uruguay,Uruguay,UY,44.37,99.43,90.52,89.83,pronos.adme.com.uy
2023-03-25 00:00:00,Uruguay,Uruguay,UY,17.48,54.52,96.81,96.34,pronos.adme.com.uy
2023-03-26 00:00:00,Uruguay,Uruguay,UY,11.38,52.68,97.81,97.60,pronos.adme.com.uy
2023-03-27 00:00:00,Uruguay,Uruguay,UY,79.99,158.13,81.75,81.08,pronos.adme.com.uy
2023-03-28 00:00:00,Uruguay,Uruguay,UY,68.53,138.71,83.86,83.53,pronos.adme.com.uy
2023-03-29 00:00:00,Uruguay,Uruguay,UY,62.62,127.19,85.27,84.95,pronos.adme.com.uy
