Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,South Africa,South Africa,ZA,625.98,676.59,22.59,18.20,eskom.co.za
2023-01-02 00:00:00,South Africa,South Africa,ZA,614.25,665.64,21.37,16.73,eskom.co.za
2023-01-03 00:00:00,South Africa,South Africa,ZA,609.66,660.58,22.53,18.10,eskom.co.za
2023-01-04 00:00:00,South Africa,South Africa,ZA,608.12,664.29,20.83,16.55,eskom.co.za
2023-01-05 00:00:00,South Africa,South Africa,ZA,593.83,649.24,22.77,18.51,eskom.co.za
2023-01-06 00:00:00,South Africa,South Africa,ZA,590.57,647.44,22.87,18.54,eskom.co.za
2023-01-07 00:00:00,South Africa,South Africa,ZA,621.43,673.59,21.10,16.73,eskom.co.za
2023-01-08 00:00:00,South Africa,South Africa,ZA,630.84,685.18,19.22,14.79,eskom.co.za
2023-01-09 00:00:00,South Africa,South Africa,ZA,624.99,684.12,18.25,14.07,eskom.co.za
2023-01-10 00:00:00,South Africa,South Africa,ZA,635.14,693.98,17.73,13.66,eskom.co.za
2023-01-11 00:00:00,South Africa,South Africa,ZA,638.59,703.58,15.47,11.26,eskom.co.za
2023-01-12 00:00:00,South Africa,South Africa,ZA,625.39,679.75,19.88,15.72,eskom.co.za
2023-01-13 00:00:00,South Africa,South Africa,ZA,630.26,683.28,18.77,14.46,eskom.co.za
2023-01-14 00:00:00,South Africa,South Africa,ZA,627.76,680.53,19.29,14.85,eskom.co.za
2023-01-15 00:00:00,South Africa,South Africa,ZA,615.61,667.42,21.74,17.33,eskom.co.za
2023-01-16 00:00:00,South Africa,South Africa,ZA,613.40,667.82,20.78,16.55,eskom.co.za
2023-01-17 00:00:00,South Africa,South Africa,ZA,625.18,684.62,17.88,13.81,eskom.co.za
2023-01-18 00:00:00,South Africa,South Africa,ZA,634.47,692.89,16.96,12.90,eskom.co.za
2023-01-19 00:00:00,South Africa,South Africa,ZA,629.75,689.49,17.40,13.45,eskom.co.za
2023-01-20 00:00:00,South Africa,South Africa,ZA,644.45,705.96,14.92,10.85,eskom.co.za
2023-01-21 00:00:00,South Africa,South Africa,ZA,654.45,712.58,15.53,11.48,eskom.co.za
2023-01-22 00:00:00,South Africa,South Africa,ZA,648.48,704.12,16.95,12.95,eskom.co.za
2023-01-23 00:00:00,South Africa,South Africa,ZA,631.63,694.82,16.64,12.76,eskom.co.za
2023-01-24 00:00:00,South Africa,South Africa,ZA,624.01,682.08,18.41,14.45,eskom.co.za
2023-01-25 00:00:00,South Africa,South Africa,ZA,628.96,690.37,17.39,13.43,eskom.co.za
2023-01-26 00:00:00,South Africa,South Africa,ZA,648.52,702.87,16.58,12.50,eskom.co.za
2023-01-27 00:00:00,South Africa,South Africa,ZA,638.71,697.72,16.37,12.27,eskom.co.za
2023-01-28 00:00:00,South Africa,South Africa,ZA,620.59,675.54,19.84,15.74,eskom.co.za
2023-01-29 00:00:00,South Africa,South Africa,ZA,605.63,661.98,21.46,17.32,eskom.co.za
2023-01-30 00:00:00,South Africa,South Africa,ZA,608.03,668.22,19.05,14.86,eskom.co.za
2023-01-31 00:00:00,South Africa,South Africa,ZA,618.85,682.96,17.24,13.05,eskom.co.za
2023-02-01 00:00:00,South Africa,South Africa,ZA,625.49,680.27,19.26,15.15,eskom.co.za
2023-02-02 00:00:00,South Africa,South Africa,ZA,639.96,694.36,17.83,13.69,eskom.co.za
2023-02-03 00:00:00,South Africa,South Africa,ZA,643.87,697.41,17.79,13.78,eskom.co.za
2023-02-04 00:00:00,South Africa,South Africa,ZA,637.64,689.87,19.17,15.13,eskom.co.za
2023-02-05 00:00:00,South Africa,South Africa,ZA,640.12,692.66,18.29,14.24,eskom.co.za
2023-02-06 00:00:00,South Africa,South Africa,ZA,645.57,704.10,15.32,11.23,eskom.co.za
2023-02-07 00:00:00,South Africa,South Africa,ZA,648.95,708.93,15.11,11.10,eskom.co.za
2023-02-08 00:00:00,South Africa,South Africa,ZA,648.38,703.78,16.74,12.81,eskom.co.za
2023-02-09 00:00:00,South Africa,South Africa,ZA,647.13,701.96,16.94,13.01,eskom.co.za
2023-02-10 00:00:00,South Africa,South Africa,ZA,626.97,684.52,18.54,14.62,eskom.co.za
2023-02-11 00:00:00,South Africa,South Africa,ZA,639.09,697.22,17.25,13.17,eskom.co.za
2023-02-12 00:00:00,South Africa,South Africa,ZA,643.01,697.79,17.45,13.29,eskom.co.za
2023-02-13 00:00:00,South Africa,South Africa,ZA,633.11,694.22,16.51,12.51,eskom.co.za
2023-02-14 00:00:00,South Africa,South Africa,ZA,637.19,698.38,15.72,11.70,eskom.co.za
2023-02-15 00:00:00,South Africa,South Africa,ZA,636.50,694.39,16.89,12.89,eskom.co.za
2023-02-16 00:00:00,South Africa,South Africa,ZA,625.11,677.50,19.76,15.79,eskom.co.za
2023-02-17 00:00:00,South Africa,South Africa,ZA,628.05,687.60,17.01,13.42,eskom.co.za; Electricity Maps Estimation
2023-02-18 00:00:00,South Africa,South Africa,ZA,624.64,688.47,17.46,14.44,eskom.co.za; Electricity Maps Estimation
2023-02-19 00:00:00,South Africa,South Africa,ZA,606.69,669.94,19.89,15.61,eskom.co.za
2023-02-20 00:00:00,South Africa,South Africa,ZA,576.07,636.15,23.13,18.84,eskom.co.za
2023-02-21 00:00:00,South Africa,South Africa,ZA,607.11,674.08,17.33,12.83,eskom.co.za; Electricity Maps Estimation
2023-02-22 00:00:00,South Africa,South Africa,ZA,644.27,703.72,16.13,11.93,eskom.co.za; Electricity Maps Estimation
2023-02-23 00:00:00,South Africa,South Africa,ZA,636.81,697.11,16.66,12.54,eskom.co.za
2023-02-24 00:00:00,South Africa,South Africa,ZA,630.08,682.92,19.69,15.67,eskom.co.za
2023-02-25 00:00:00,South Africa,South Africa,ZA,619.41,670.44,22.08,17.94,eskom.co.za
2023-02-26 00:00:00,South Africa,South Africa,ZA,619.09,670.79,20.92,16.73,eskom.co.za
2023-02-27 00:00:00,South Africa,South Africa,ZA,627.46,684.40,18.70,14.67,eskom.co.za
2023-02-28 00:00:00,South Africa,South Africa,ZA,626.44,689.46,17.62,13.70,eskom.co.za
2023-03-01 00:00:00,South Africa,South Africa,ZA,636.15,690.90,18.14,14.13,eskom.co.za
2023-03-02 00:00:00,South Africa,South Africa,ZA,639.46,697.38,17.39,13.48,eskom.co.za
2023-03-03 00:00:00,South Africa,South Africa,ZA,651.16,707.22,15.61,11.63,eskom.co.za
2023-03-04 00:00:00,South Africa,South Africa,ZA,652.47,708.54,15.68,11.61,eskom.co.za
2023-03-05 00:00:00,South Africa,South Africa,ZA,627.60,683.57,18.91,14.88,eskom.co.za
2023-03-06 00:00:00,South Africa,South Africa,ZA,618.79,677.81,18.94,14.92,eskom.co.za
2023-03-07 00:00:00,South Africa,South Africa,ZA,621.30,676.21,20.00,16.01,eskom.co.za
2023-03-08 00:00:00,South Africa,South Africa,ZA,620.77,674.48,19.62,15.63,eskom.co.za
2023-03-09 00:00:00,South Africa,South Africa,ZA,641.65,701.49,15.09,11.11,eskom.co.za
2023-03-10 00:00:00,South Africa,South Africa,ZA,637.41,697.82,16.08,12.26,eskom.co.za
2023-03-11 00:00:00,South Africa,South Africa,ZA,626.77,683.60,18.96,15.13,eskom.co.za
2023-03-12 00:00:00,South Africa,South Africa,ZA,630.53,687.07,19.37,15.53,eskom.co.za
2023-03-13 00:00:00,South Africa,South Africa,ZA,644.16,697.67,17.48,13.56,eskom.co.za
2023-03-14 00:00:00,South Africa,South Africa,ZA,659.63,714.67,15.19,11.27,eskom.co.za
2023-03-15 00:00:00,South Africa,South Africa,ZA,656.74,709.87,16.26,12.51,eskom.co.za
2023-03-16 00:00:00,South Africa,South Africa,ZA,642.10,694.86,17.72,13.89,eskom.co.za
2023-03-17 00:00:00,South Africa,South Africa,ZA,639.64,692.41,17.51,13.66,eskom.co.za
