Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Germany,Germany,DE,455.06,533.41,49.34,28.95,entsoe.eu,false,
2021-01-01 01:00:00,Germany,Germany,DE,461.21,540.23,48.92,28.29,entsoe.eu,false,
2021-01-01 02:00:00,Germany,Germany,DE,471.32,550.8,48.0,27.05,entsoe.eu,false,
2021-01-01 03:00:00,Germany,Germany,DE,471.82,551.23,48.03,26.38,entsoe.eu,false,
2021-01-01 04:00:00,Germany,Germany,DE,482.1,562.54,46.98,25.85,entsoe.eu,false,
2021-01-01 05:00:00,Germany,Germany,DE,489.41,570.04,46.3,25.38,entsoe.eu,false,
2021-01-01 06:00:00,Germany,Germany,DE,484.89,565.75,46.5,25.27,entsoe.eu,false,
2021-01-01 07:00:00,Germany,Germany,DE,482.92,563.69,46.31,25.38,entsoe.eu,false,
2021-01-01 08:00:00,Germany,Germany,DE,467.69,547.74,47.37,27.12,entsoe.eu,false,
2021-01-01 09:00:00,Germany,Germany,DE,445.05,524.05,49.21,29.61,entsoe.eu,false,
2021-01-01 10:00:00,Germany,Germany,DE,431.04,509.53,50.05,30.96,entsoe.eu,false,
2021-01-01 11:00:00,Germany,Germany,DE,424.76,502.96,50.48,31.67,entsoe.eu,false,
2021-01-01 12:00:00,Germany,Germany,DE,429.28,508.33,49.86,30.79,entsoe.eu,false,
2021-01-01 13:00:00,Germany,Germany,DE,441.97,522.87,48.17,28.58,entsoe.eu,false,
2021-01-01 14:00:00,Germany,Germany,DE,456.57,538.54,46.21,25.64,entsoe.eu,false,
2021-01-01 15:00:00,Germany,Germany,DE,456.76,537.17,46.64,26.07,entsoe.eu,false,
2021-01-01 16:00:00,Germany,Germany,DE,460.97,537.92,48.13,29.59,entsoe.eu,false,
2021-01-01 17:00:00,Germany,Germany,DE,459.17,535.15,48.73,31.06,entsoe.eu,false,
2021-01-01 18:00:00,Germany,Germany,DE,457.77,533.46,49.06,31.69,entsoe.eu,false,
2021-01-01 19:00:00,Germany,Germany,DE,453.48,532.42,47.51,29.38,entsoe.eu,false,
2021-01-01 20:00:00,Germany,Germany,DE,445.41,524.66,47.83,29.42,entsoe.eu,false,
2021-01-01 21:00:00,Germany,Germany,DE,437.22,515.66,48.99,30.64,entsoe.eu,false,
2021-01-01 22:00:00,Germany,Germany,DE,435.42,514.21,49.21,29.93,entsoe.eu,false,
2021-01-01 23:00:00,Germany,Germany,DE,441.29,518.7,49.82,29.75,entsoe.eu,false,
2021-01-02 00:00:00,Germany,Germany,DE,441.51,518.38,50.15,29.66,entsoe.eu,false,
2021-01-02 01:00:00,Germany,Germany,DE,437.42,514.43,50.73,29.89,entsoe.eu,false,
2021-01-02 02:00:00,Germany,Germany,DE,437.13,514.48,50.78,29.75,entsoe.eu,false,
2021-01-02 03:00:00,Germany,Germany,DE,444.7,522.46,50.05,29.04,entsoe.eu,false,
2021-01-02 04:00:00,Germany,Germany,DE,456.33,534.57,48.84,27.92,entsoe.eu,false,
2021-01-02 05:00:00,Germany,Germany,DE,467.35,546.0,47.61,27.04,entsoe.eu,false,
2021-01-02 06:00:00,Germany,Germany,DE,480.67,559.85,45.93,25.82,entsoe.eu,false,
2021-01-02 07:00:00,Germany,Germany,DE,492.06,572.99,43.78,24.37,entsoe.eu,false,
2021-01-02 08:00:00,Germany,Germany,DE,492.28,572.62,43.63,25.08,entsoe.eu,false,
2021-01-02 09:00:00,Germany,Germany,DE,489.87,568.95,44.72,27.03,entsoe.eu,false,
2021-01-02 10:00:00,Germany,Germany,DE,485.49,564.36,45.19,27.88,entsoe.eu,false,
2021-01-02 11:00:00,Germany,Germany,DE,484.51,564.2,44.77,27.26,entsoe.eu,false,
2021-01-02 12:00:00,Germany,Germany,DE,491.93,572.72,43.7,25.93,entsoe.eu,false,
2021-01-02 13:00:00,Germany,Germany,DE,502.93,583.89,43.03,25.09,entsoe.eu,false,
2021-01-02 14:00:00,Germany,Germany,DE,510.77,593.8,41.04,22.43,entsoe.eu,false,
2021-01-02 15:00:00,Germany,Germany,DE,512.02,593.19,41.65,23.2,entsoe.eu,false,
2021-01-02 16:00:00,Germany,Germany,DE,507.35,582.68,45.51,28.83,entsoe.eu,false,
2021-01-02 17:00:00,Germany,Germany,DE,498.02,572.37,46.48,30.11,entsoe.eu,false,
2021-01-02 18:00:00,Germany,Germany,DE,491.5,566.85,46.21,29.7,entsoe.eu,false,
2021-01-02 19:00:00,Germany,Germany,DE,487.38,564.11,45.75,28.86,entsoe.eu,false,
2021-01-02 20:00:00,Germany,Germany,DE,478.32,556.34,45.41,28.04,entsoe.eu,false,
2021-01-02 21:00:00,Germany,Germany,DE,462.47,539.46,47.01,29.37,entsoe.eu,false,
2021-01-02 22:00:00,Germany,Germany,DE,438.63,512.58,50.39,32.41,entsoe.eu,false,
2021-01-02 23:00:00,Germany,Germany,DE,410.84,481.82,54.33,35.94,entsoe.eu,false,
2021-01-03 00:00:00,Germany,Germany,DE,392.45,462.29,56.59,38.48,entsoe.eu,false,
2021-01-03 01:00:00,Germany,Germany,DE,368.08,436.56,59.03,41.34,entsoe.eu,false,
2021-01-03 02:00:00,Germany,Germany,DE,347.38,414.01,61.06,43.28,entsoe.eu,false,
2021-01-03 03:00:00,Germany,Germany,DE,323.98,389.18,63.26,45.59,entsoe.eu,false,
2021-01-03 04:00:00,Germany,Germany,DE,306.74,369.97,65.01,47.88,entsoe.eu,false,
2021-01-03 05:00:00,Germany,Germany,DE,299.39,361.07,65.86,49.3,entsoe.eu,false,
2021-01-03 06:00:00,Germany,Germany,DE,302.69,364.12,65.67,49.65,entsoe.eu,false,
2021-01-03 07:00:00,Germany,Germany,DE,318.19,379.87,64.38,49.25,entsoe.eu,false,
2021-01-03 08:00:00,Germany,Germany,DE,327.03,388.29,63.6,49.01,entsoe.eu,false,
2021-01-03 09:00:00,Germany,Germany,DE,326.7,387.76,63.79,49.86,entsoe.eu,false,
2021-01-03 10:00:00,Germany,Germany,DE,331.29,391.59,63.77,50.38,entsoe.eu,false,
2021-01-03 11:00:00,Germany,Germany,DE,333.5,392.95,64.1,50.94,entsoe.eu,false,
2021-01-03 12:00:00,Germany,Germany,DE,329.92,390.59,63.66,50.13,entsoe.eu,false,
2021-01-03 13:00:00,Germany,Germany,DE,325.37,384.88,64.86,51.49,entsoe.eu,false,
2021-01-03 14:00:00,Germany,Germany,DE,330.92,391.8,63.57,49.73,entsoe.eu,false,
2021-01-03 15:00:00,Germany,Germany,DE,333.1,392.89,64.23,51.0,entsoe.eu,false,
2021-01-03 16:00:00,Germany,Germany,DE,345.9,403.67,64.61,51.9,entsoe.eu,false,
2021-01-03 17:00:00,Germany,Germany,DE,350.42,407.75,64.61,52.03,entsoe.eu,false,
2021-01-03 18:00:00,Germany,Germany,DE,354.33,414.05,63.03,50.0,entsoe.eu,false,
2021-01-03 19:00:00,Germany,Germany,DE,344.63,406.15,62.55,49.02,entsoe.eu,false,
2021-01-03 20:00:00,Germany,Germany,DE,345.09,408.25,61.87,47.62,entsoe.eu,false,
2021-01-03 21:00:00,Germany,Germany,DE,347.38,410.8,61.64,46.81,entsoe.eu,false,
2021-01-03 22:00:00,Germany,Germany,DE,343.74,407.61,61.83,46.67,entsoe.eu,false,
2021-01-03 23:00:00,Germany,Germany,DE,346.43,410.87,61.59,46.16,entsoe.eu,false,
2021-01-04 00:00:00,Germany,Germany,DE,360.79,426.03,60.29,45.42,entsoe.eu,false,
2021-01-04 01:00:00,Germany,Germany,DE,370.49,436.31,59.41,44.81,entsoe.eu,false,
2021-01-04 02:00:00,Germany,Germany,DE,373.54,439.8,58.89,44.28,entsoe.eu,false,
2021-01-04 03:00:00,Germany,Germany,DE,376.0,442.58,58.5,43.87,entsoe.eu,false,
2021-01-04 04:00:00,Germany,Germany,DE,381.82,449.25,57.12,42.48,entsoe.eu,false,
2021-01-04 05:00:00,Germany,Germany,DE,420.57,489.75,52.8,39.61,entsoe.eu,false,
2021-01-04 06:00:00,Germany,Germany,DE,442.71,513.02,50.22,38.0,entsoe.eu,false,
2021-01-04 07:00:00,Germany,Germany,DE,445.28,514.49,50.6,38.94,entsoe.eu,false,
2021-01-04 08:00:00,Germany,Germany,DE,448.43,517.42,50.67,39.35,entsoe.eu,false,
2021-01-04 09:00:00,Germany,Germany,DE,449.72,517.93,50.98,40.02,entsoe.eu,false,
2021-01-04 10:00:00,Germany,Germany,DE,451.1,521.14,49.53,38.47,entsoe.eu,false,
