Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO¸Z£Æq/kWh (direct),Carbon Intensity gCO¸Z£Æq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023/1/1 0:00,Ireland,Ireland,IE,341.81,418.91,38.6,34.74,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 1:00,Ireland,Ireland,IE,323.63,397.33,41.91,37.81,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 2:00,Ireland,Ireland,IE,317.2,389.79,43.03,38.55,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 3:00,Ireland,Ireland,IE,320.69,394,42.38,37.57,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 4:00,Ireland,Ireland,IE,333.07,408.74,40.12,35.07,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 5:00,Ireland,Ireland,IE,332.89,408.5,40.19,34.99,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 6:00,Ireland,Ireland,IE,293.59,361.9,47.19,42.07,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 7:00,Ireland,Ireland,IE,305.49,375.9,44.9,39.81,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 8:00,Ireland,Ireland,IE,325.48,399.59,41.36,36.4,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 9:00,Ireland,Ireland,IE,346.71,424.48,37.65,33.51,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 10:00,Ireland,Ireland,IE,415.46,505.76,25.51,23.59,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 11:00,Ireland,Ireland,IE,426.05,518.58,23.59,21.48,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 12:00,Ireland,Ireland,IE,437.48,532.22,21.53,19.76,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 13:00,Ireland,Ireland,IE,446.89,543.33,19.8,17.96,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 14:00,Ireland,Ireland,IE,446.6,543.5,19.68,17.32,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 15:00,Ireland,Ireland,IE,423.76,517.21,23.31,19.96,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 16:00,Ireland,Ireland,IE,424.15,517.32,23.36,20.89,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 17:00,Ireland,Ireland,IE,406.74,496.85,26.38,23.88,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 18:00,Ireland,Ireland,IE,408.34,498.06,26.42,24.72,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 19:00,Ireland,Ireland,IE,405.43,494.66,26.9,25.04,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 20:00,Ireland,Ireland,IE,418.84,509.86,24.83,23.95,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 21:00,Ireland,Ireland,IE,421.59,512.7,24.54,24.29,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 22:00,Ireland,Ireland,IE,428.18,520.49,23.38,23.15,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/1 23:00,Ireland,Ireland,IE,435.98,529.9,21.92,21.32,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/2 0:00,Ireland,Ireland,IE,449.9,546.13,19.53,19.53,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/2 1:00,Ireland,Ireland,IE,454.27,551.32,18.75,18.75,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/2 2:00,Ireland,Ireland,IE,453.57,550.48,18.87,18.87,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/2 3:00,Ireland,Ireland,IE,463.05,561.72,17.18,17.18,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/2 4:00,Ireland,Ireland,IE,474.35,575.13,15.15,15.15,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/2 5:00,Ireland,Ireland,IE,477.25,578.57,14.64,14.64,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
2023/1/2 6:00,Ireland,Ireland,IE,484.63,587.32,13.32,13.32,Electricity Maps Estimation,TRUE,ESTIMATED_MODE_BREAKDOWN
