Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Italy,Italy,IT,413.46,508.61,31.35,25.1,,false,
2023-01-01 01:00:00,Italy,Italy,IT,415.36,509.79,32.28,25.69,,false,
2023-01-01 02:00:00,Italy,Italy,IT,415.41,510.28,32.49,25.5,,false,
2023-01-01 03:00:00,Italy,Italy,IT,404.12,498.67,34.12,26.32,,false,
2023-01-01 04:00:00,Italy,Italy,IT,404.9,499.74,33.91,26.41,,false,
2023-01-01 05:00:00,Italy,Italy,IT,396.18,489.64,35.22,27.58,,false,
2023-01-01 06:00:00,Italy,Italy,IT,394.66,487.64,35.26,27.49,,false,
2023-01-01 07:00:00,Italy,Italy,IT,377.52,466.47,39.12,32.63,,false,
2023-01-01 08:00:00,Italy,Italy,IT,338.86,420.32,46.77,40.8,,false,
2023-01-01 09:00:00,Italy,Italy,IT,334.26,414.05,47.55,42.69,,false,
2023-01-01 10:00:00,Italy,Italy,IT,326.92,405.97,48.06,43.1,,false,
2023-01-01 11:00:00,Italy,Italy,IT,330.93,410.72,46.98,41.48,,false,
2023-01-01 12:00:00,Italy,Italy,IT,339.45,420.58,45.38,40.21,,false,
2023-01-01 13:00:00,Italy,Italy,IT,352.01,435.38,43.33,37.29,,false,
2023-01-01 14:00:00,Italy,Italy,IT,367.34,454.53,38.88,31.25,,false,
2023-01-01 15:00:00,Italy,Italy,IT,390.3,483.6,31.9,24.27,,false,
2023-01-01 16:00:00,Italy,Italy,IT,383.31,474.48,32.56,26.0,,false,
2023-01-01 17:00:00,Italy,Italy,IT,378.8,469.33,33.06,26.9,,false,
2023-01-01 18:00:00,Italy,Italy,IT,379.15,468.22,34.22,28.11,,false,
2023-01-01 19:00:00,Italy,Italy,IT,380.25,471.14,32.97,26.02,,false,
2023-01-01 20:00:00,Italy,Italy,IT,392.7,486.92,30.24,22.69,,false,
2023-01-01 21:00:00,Italy,Italy,IT,398.94,493.24,30.56,22.88,,false,
2023-01-01 22:00:00,Italy,Italy,IT,399.73,493.06,31.97,23.58,,false,
2023-01-01 23:00:00,Italy,Italy,IT,410.55,503.24,32.67,23.44,,false,
2023-01-02 00:00:00,Italy,Italy,IT,427.65,523.23,30.33,23.12,,false,
2023-01-02 01:00:00,Italy,Italy,IT,435.63,532.68,29.1,22.65,,false,
2023-01-02 02:00:00,Italy,Italy,IT,440.27,538.01,28.28,22.27,,false,
2023-01-02 03:00:00,Italy,Italy,IT,434.32,530.99,29.2,23.04,,false,
2023-01-02 04:00:00,Italy,Italy,IT,422.54,517.95,29.82,22.51,,false,
2023-01-02 05:00:00,Italy,Italy,IT,404.1,498.74,29.89,21.54,,false,
2023-01-02 06:00:00,Italy,Italy,IT,395.2,489.61,29.29,21.75,,false,
2023-01-02 07:00:00,Italy,Italy,IT,376.3,467.19,32.15,25.53,,false,
2023-01-02 08:00:00,Italy,Italy,IT,364.61,453.65,34.11,28.34,,false,
2023-01-02 09:00:00,Italy,Italy,IT,351.08,436.94,37.43,31.11,,false,
2023-01-02 10:00:00,Italy,Italy,IT,340.49,424.42,39.75,33.15,,false,
2023-01-02 11:00:00,Italy,Italy,IT,341.8,425.76,39.79,32.98,,false,
2023-01-02 12:00:00,Italy,Italy,IT,347.31,432.51,38.69,32.0,,false,
2023-01-02 13:00:00,Italy,Italy,IT,350.89,437.45,37.12,29.84,,false,
2023-01-02 14:00:00,Italy,Italy,IT,369.9,460.23,32.85,25.47,,false,
2023-01-02 15:00:00,Italy,Italy,IT,373.01,464.27,31.56,23.16,,false,
2023-01-02 16:00:00,Italy,Italy,IT,375.79,466.57,31.1,24.8,,false,
2023-01-02 17:00:00,Italy,Italy,IT,376.49,467.39,31.24,25.59,,false,
2023-01-02 18:00:00,Italy,Italy,IT,383.79,476.09,29.87,24.95,,false,
2023-01-02 19:00:00,Italy,Italy,IT,388.06,481.27,29.41,23.31,,false,
2023-01-02 20:00:00,Italy,Italy,IT,391.43,485.02,29.67,22.78,,false,
2023-01-02 21:00:00,Italy,Italy,IT,397.97,491.61,29.93,21.88,,false,
2023-01-02 22:00:00,Italy,Italy,IT,404.09,497.27,30.95,23.04,,false,
2023-01-02 23:00:00,Italy,Italy,IT,395.26,486.25,34.08,24.2,,false,
2023-01-03 00:00:00,Italy,Italy,IT,398.21,488.94,34.73,24.54,,false,
2023-01-03 01:00:00,Italy,Italy,IT,397.05,486.65,35.57,24.12,,false,
2023-01-03 02:00:00,Italy,Italy,IT,396.45,485.47,35.93,23.57,,false,
2023-01-03 03:00:00,Italy,Italy,IT,394.54,483.51,35.76,22.57,,false,
2023-01-03 04:00:00,Italy,Italy,IT,391.59,481.32,34.68,21.85,,false,
2023-01-03 05:00:00,Italy,Italy,IT,381.08,470.93,33.82,21.61,,false,
2023-01-03 06:00:00,Italy,Italy,IT,378.26,468.31,32.95,23.43,,false,
2023-01-03 07:00:00,Italy,Italy,IT,350.64,432.47,39.7,29.96,,false,
2023-01-03 08:00:00,Italy,Italy,IT,338.29,418.88,41.09,31.64,,false,
2023-01-03 09:00:00,Italy,Italy,IT,339.13,421.75,39.62,30.14,,false,
2023-01-03 10:00:00,Italy,Italy,IT,333.51,414.49,41.62,31.8,,false,
2023-01-03 11:00:00,Italy,Italy,IT,337.85,419.75,40.79,31.14,,false,
2023-01-03 12:00:00,Italy,Italy,IT,333.99,415.11,41.64,30.95,,false,
2023-01-03 13:00:00,Italy,Italy,IT,335.03,416.81,40.58,29.05,,false,
2023-01-03 14:00:00,Italy,Italy,IT,344.87,428.66,38.27,26.98,,false,
2023-01-03 15:00:00,Italy,Italy,IT,346.4,429.36,38.37,27.09,,false,
2023-01-03 16:00:00,Italy,Italy,IT,341.62,420.45,41.55,31.25,,false,
2023-01-03 17:00:00,Italy,Italy,IT,340.95,419.85,41.48,31.41,,false,
2023-01-03 18:00:00,Italy,Italy,IT,345.09,425.24,40.56,30.62,,false,
2023-01-03 19:00:00,Italy,Italy,IT,355.58,440.49,36.9,26.16,,false,
2023-01-03 20:00:00,Italy,Italy,IT,354.85,439.53,37.52,24.11,,false,
2023-01-03 21:00:00,Italy,Italy,IT,360.0,444.59,38.34,24.81,,false,
2023-01-03 22:00:00,Italy,Italy,IT,357.45,440.24,40.64,26.08,,false,
2023-01-03 23:00:00,Italy,Italy,IT,345.15,423.51,45.14,27.96,,false,
2023-01-04 00:00:00,Italy,Italy,IT,360.06,440.39,43.12,26.48,,false,
2023-01-04 01:00:00,Italy,Italy,IT,370.17,452.38,41.4,25.76,,false,
2023-01-04 02:00:00,Italy,Italy,IT,376.29,460.02,40.12,25.14,,false,
2023-01-04 03:00:00,Italy,Italy,IT,368.65,451.72,40.87,26.07,,false,
2023-01-04 04:00:00,Italy,Italy,IT,364.63,447.25,41.02,26.79,,false,
2023-01-04 05:00:00,Italy,Italy,IT,344.83,425.11,43.39,30.81,,false,
2023-01-04 06:00:00,Italy,Italy,IT,344.18,426.35,41.07,30.71,,false,
2023-01-04 07:00:00,Italy,Italy,IT,316.93,394.35,45.38,36.75,,false,
2023-01-04 08:00:00,Italy,Italy,IT,303.11,376.42,48.59,38.33,,false,
2023-01-04 09:00:00,Italy,Italy,IT,294.96,367.7,49.51,38.77,,false,
2023-01-04 10:00:00,Italy,Italy,IT,284.41,355.48,51.89,41.11,,false,
2023-01-04 11:00:00,Italy,Italy,IT,283.41,354.12,52.6,41.64,,false,
2023-01-04 12:00:00,Italy,Italy,IT,290.74,363.26,50.8,39.27,,false,
2023-01-04 13:00:00,Italy,Italy,IT,302.02,377.78,47.45,36.02,,false,
2023-01-04 14:00:00,Italy,Italy,IT,308.48,383.83,46.85,35.98,,false,
2023-01-04 15:00:00,Italy,Italy,IT,311.68,385.56,47.29,36.8,,false,
2023-01-04 16:00:00,Italy,Italy,IT,302.26,373.01,49.53,39.11,,false,
2023-01-04 17:00:00,Italy,Italy,IT,302.27,373.17,49.41,39.41,,false,
2023-01-04 18:00:00,Italy,Italy,IT,313.09,386.52,47.08,36.95,,false,
2023-01-04 19:00:00,Italy,Italy,IT,320.8,396.74,45.14,35.31,,false,
2023-01-04 20:00:00,Italy,Italy,IT,329.9,408.45,43.16,30.62,,false,
2023-01-04 21:00:00,Italy,Italy,IT,339.8,417.93,43.75,30.35,,false,
2023-01-04 22:00:00,Italy,Italy,IT,342.96,420.41,44.78,30.07,,false,
2023-01-04 23:00:00,Italy,Italy,IT,366.17,447.48,41.72,28.4,,false,
2023-01-05 00:00:00,Italy,Italy,IT,369.22,451.33,41.65,28.28,,false,
2023-01-05 01:00:00,Italy,Italy,IT,374.38,456.58,41.37,27.81,,false,
2023-01-05 02:00:00,Italy,Italy,IT,377.5,460.49,40.65,26.96,,false,
2023-01-05 03:00:00,Italy,Italy,IT,370.35,453.01,41.25,27.23,,false,
2023-01-05 04:00:00,Italy,Italy,IT,366.87,450.0,40.39,26.65,,false,
2023-01-05 05:00:00,Italy,Italy,IT,366.8,451.47,37.84,25.31,,false,
2023-01-05 06:00:00,Italy,Italy,IT,359.16,444.15,37.26,26.4,,false,
2023-01-05 07:00:00,Italy,Italy,IT,336.43,415.43,42.48,33.52,,false,
2023-01-05 08:00:00,Italy,Italy,IT,317.08,394.5,44.46,36.41,,false,
2023-01-05 09:00:00,Italy,Italy,IT,308.3,383.94,46.6,37.42,,false,
2023-01-05 10:00:00,Italy,Italy,IT,302.07,375.88,48.54,38.86,,false,
2023-01-05 11:00:00,Italy,Italy,IT,293.81,366.0,50.63,40.48,,false,
2023-01-05 12:00:00,Italy,Italy,IT,292.77,364.62,50.88,40.16,,false,
2023-01-05 13:00:00,Italy,Italy,IT,301.83,375.94,48.24,37.34,,false,
