Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Japan,Japan,JP,374.95,450.21,31.66,28.31,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Japan,Japan,JP,350.76,424.07,36.09,32.19,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Japan,Japan,JP,338.72,410.86,38.32,34.7,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Japan,Japan,JP,334.15,405.25,39.26,34.97,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Japan,Japan,JP,346.31,418.63,36.95,33.17,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Japan,Japan,JP,364.59,438.29,33.56,29.07,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Japan,Japan,JP,391.31,467.16,28.64,24.61,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Japan,Japan,JP,432.66,512.44,21.05,17.62,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Japan,Japan,JP,454.9,536.69,16.98,13.51,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Japan,Japan,JP,441.23,520.63,19.49,12.87,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Japan,Japan,JP,441.26,520.7,19.49,12.82,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Japan,Japan,JP,452.19,533.83,17.47,13.7,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Japan,Japan,JP,450.23,531.37,17.84,13.59,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Japan,Japan,JP,448.85,529.78,18.11,13.55,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Japan,Japan,JP,452.28,533.63,17.56,13.75,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Japan,Japan,JP,433.9,511.53,21.13,12.91,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Japan,Japan,JP,451.68,532.37,18.06,13.89,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Japan,Japan,JP,453.56,534.61,17.64,13.84,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Japan,Japan,JP,451.37,532.03,17.93,13.55,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Japan,Japan,JP,452.82,533.83,17.66,13.63,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,Japan,Japan,JP,453.06,534.2,17.67,13.59,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,Japan,Japan,JP,450.8,532.37,18.07,14.21,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,Japan,Japan,JP,445.61,527.39,18.91,14.98,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,Japan,Japan,JP,415.87,495.09,24.23,20.51,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,Japan,Japan,JP,385.8,462.79,29.67,26.4,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,Japan,Japan,JP,359.07,433.75,34.56,30.75,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,Japan,Japan,JP,347.12,420.32,36.78,32.95,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,Japan,Japan,JP,345.22,418.02,37.23,33.39,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,Japan,Japan,JP,357.43,431.19,35.21,31.36,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,Japan,Japan,JP,370.02,444.6,33.02,28.48,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,Japan,Japan,JP,398.05,474.99,27.63,23.49,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,Japan,Japan,JP,432.14,511.87,21.21,17.67,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,Japan,Japan,JP,452.78,534.46,17.38,13.52,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,Japan,Japan,JP,441.07,520.78,19.52,13.02,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,Japan,Japan,JP,441.26,521.13,19.48,12.88,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,Japan,Japan,JP,454.89,537.14,16.98,13.31,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,Japan,Japan,JP,452.54,534.39,17.41,13.21,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,Japan,Japan,JP,450.43,532.15,17.81,13.22,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,Japan,Japan,JP,453.2,535.33,17.4,13.53,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,Japan,Japan,JP,436.4,514.99,20.76,12.56,,true,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,Japan,Japan,JP,455.21,536.63,17.56,13.6,,true,ESTIMATED_MODE_BREAKDOWN
