Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Taiwan,Taiwan,TW,450.62,531.92,17.58,4.55,taipower.com.tw,false,
2022-01-01 01:00:00,Taiwan,Taiwan,TW,430.99,510.72,21.05,8.42,taipower.com.tw,false,
2022-01-01 02:00:00,Taiwan,Taiwan,TW,409.47,486.9,25.32,13.08,taipower.com.tw,false,
2022-01-01 03:00:00,Taiwan,Taiwan,TW,394.66,471.2,27.71,15.61,taipower.com.tw,false,
2022-01-01 04:00:00,Taiwan,Taiwan,TW,392.23,468.23,28.49,16.34,taipower.com.tw,false,
2022-01-01 05:00:00,Taiwan,Taiwan,TW,393.89,470.14,28.15,15.98,taipower.com.tw,false,
2022-01-01 06:00:00,Taiwan,Taiwan,TW,403.08,480.91,25.91,13.67,taipower.com.tw,false,
2022-01-01 07:00:00,Taiwan,Taiwan,TW,411.48,490.71,23.69,11.38,taipower.com.tw,false,
2022-01-01 08:00:00,Taiwan,Taiwan,TW,434.64,515.97,19.78,7.55,taipower.com.tw,false,
2022-01-01 09:00:00,Taiwan,Taiwan,TW,447.63,527.34,19.89,8.17,taipower.com.tw,false,
2022-01-01 10:00:00,Taiwan,Taiwan,TW,446.97,526.66,20.19,8.81,taipower.com.tw,false,
2022-01-01 11:00:00,Taiwan,Taiwan,TW,447.65,527.68,19.72,8.23,taipower.com.tw,false,
2022-01-01 12:00:00,Taiwan,Taiwan,TW,449.85,529.79,19.79,8.32,taipower.com.tw,false,
2022-01-01 13:00:00,Taiwan,Taiwan,TW,451.37,531.78,19.3,7.76,taipower.com.tw,false,
2022-01-01 14:00:00,Taiwan,Taiwan,TW,453.35,535.06,17.77,5.98,taipower.com.tw,false,
2022-01-01 15:00:00,Taiwan,Taiwan,TW,456.13,538.04,17.08,4.82,taipower.com.tw,false,
2022-01-01 16:00:00,Taiwan,Taiwan,TW,454.18,535.8,17.58,4.75,taipower.com.tw,false,
2022-01-01 17:00:00,Taiwan,Taiwan,TW,451.3,535.11,15.8,2.52,taipower.com.tw,false,
2022-01-01 18:00:00,Taiwan,Taiwan,TW,447.58,531.5,15.72,2.14,taipower.com.tw,false,
2022-01-01 19:00:00,Taiwan,Taiwan,TW,444.75,528.93,15.84,2.11,taipower.com.tw,false,
2022-01-01 20:00:00,Taiwan,Taiwan,TW,444.28,528.57,15.87,2.05,taipower.com.tw,false,
2022-01-01 21:00:00,Taiwan,Taiwan,TW,442.48,526.84,15.93,2.13,taipower.com.tw,false,
2022-01-01 22:00:00,Taiwan,Taiwan,TW,441.55,526.49,15.69,2.11,taipower.com.tw,false,
2022-01-01 23:00:00,Taiwan,Taiwan,TW,444.36,527.37,16.76,3.29,taipower.com.tw,false,
2022-01-02 00:00:00,Taiwan,Taiwan,TW,422.97,504.04,20.57,7.2,taipower.com.tw,false,
2022-01-02 01:00:00,Taiwan,Taiwan,TW,396.48,474.84,25.62,12.7,taipower.com.tw,false,
2022-01-02 02:00:00,Taiwan,Taiwan,TW,378.93,455.25,29.32,16.9,taipower.com.tw,false,
2022-01-02 03:00:00,Taiwan,Taiwan,TW,372.34,448.15,30.56,18.42,taipower.com.tw,false,
2022-01-02 04:00:00,Taiwan,Taiwan,TW,369.58,444.71,31.35,19.15,taipower.com.tw,false,
2022-01-02 05:00:00,Taiwan,Taiwan,TW,372.3,446.61,31.58,19.05,taipower.com.tw,false,
2022-01-02 06:00:00,Taiwan,Taiwan,TW,379.12,453.82,30.56,17.93,taipower.com.tw,false,
2022-01-02 07:00:00,Taiwan,Taiwan,TW,405.08,481.9,26.16,13.61,taipower.com.tw,false,
2022-01-02 08:00:00,Taiwan,Taiwan,TW,430.27,509.18,21.93,9.64,taipower.com.tw,false,
2022-01-02 09:00:00,Taiwan,Taiwan,TW,443.0,523.28,19.72,8.02,taipower.com.tw,false,
2022-01-02 10:00:00,Taiwan,Taiwan,TW,445.12,524.9,20.01,8.61,taipower.com.tw,false,
2022-01-02 11:00:00,Taiwan,Taiwan,TW,444.84,525.34,19.65,8.33,taipower.com.tw,false,
2022-01-02 12:00:00,Taiwan,Taiwan,TW,444.55,525.17,19.74,8.5,taipower.com.tw,false,
2022-01-02 13:00:00,Taiwan,Taiwan,TW,449.74,530.42,19.17,7.86,taipower.com.tw,false,
2022-01-02 14:00:00,Taiwan,Taiwan,TW,455.27,537.81,16.75,5.07,taipower.com.tw,false,
2022-01-02 15:00:00,Taiwan,Taiwan,TW,455.1,537.86,16.17,3.84,taipower.com.tw,false,
2022-01-02 16:00:00,Taiwan,Taiwan,TW,450.67,534.15,15.8,3.03,taipower.com.tw,false,
2022-01-02 17:00:00,Taiwan,Taiwan,TW,449.69,533.19,15.95,3.14,taipower.com.tw,false,
2022-01-02 18:00:00,Taiwan,Taiwan,TW,451.75,534.26,16.33,2.96,taipower.com.tw,false,
2022-01-02 19:00:00,Taiwan,Taiwan,TW,452.55,535.78,16.07,2.66,taipower.com.tw,false,
2022-01-02 20:00:00,Taiwan,Taiwan,TW,452.79,536.61,15.79,2.38,taipower.com.tw,false,
2022-01-02 21:00:00,Taiwan,Taiwan,TW,451.65,536.16,15.44,2.24,taipower.com.tw,false,
2022-01-02 22:00:00,Taiwan,Taiwan,TW,447.34,532.5,15.33,2.55,taipower.com.tw,false,
2022-01-02 23:00:00,Taiwan,Taiwan,TW,445.64,531.04,15.64,3.38,taipower.com.tw,false,
2022-01-03 00:00:00,Taiwan,Taiwan,TW,437.01,520.71,18.29,6.88,taipower.com.tw,false,
2022-01-03 01:00:00,Taiwan,Taiwan,TW,414.72,496.93,22.29,11.58,taipower.com.tw,false,
2022-01-03 02:00:00,Taiwan,Taiwan,TW,398.93,480.23,24.9,14.48,taipower.com.tw,false,
2022-01-03 03:00:00,Taiwan,Taiwan,TW,387.19,467.89,26.63,16.35,taipower.com.tw,false,
2022-01-03 04:00:00,Taiwan,Taiwan,TW,380.16,460.57,27.35,16.8,taipower.com.tw,false,
2022-01-03 05:00:00,Taiwan,Taiwan,TW,380.27,461.88,26.28,15.94,taipower.com.tw,false,
2022-01-03 06:00:00,Taiwan,Taiwan,TW,392.43,474.06,25.17,14.94,taipower.com.tw,false,
2022-01-03 07:00:00,Taiwan,Taiwan,TW,417.15,500.32,21.3,11.15,taipower.com.tw,false,
2022-01-03 08:00:00,Taiwan,Taiwan,TW,436.03,520.97,17.82,7.84,taipower.com.tw,false,
2022-01-03 09:00:00,Taiwan,Taiwan,TW,447.58,533.56,15.72,5.78,taipower.com.tw,false,
2022-01-03 10:00:00,Taiwan,Taiwan,TW,448.65,534.41,16.01,6.25,taipower.com.tw,false,
2022-01-03 11:00:00,Taiwan,Taiwan,TW,446.15,532.8,15.46,5.51,taipower.com.tw,false,
2022-01-03 12:00:00,Taiwan,Taiwan,TW,448.68,535.74,15.08,5.04,taipower.com.tw,false,
2022-01-03 13:00:00,Taiwan,Taiwan,TW,448.81,536.4,14.75,4.43,taipower.com.tw,false,
2022-01-03 14:00:00,Taiwan,Taiwan,TW,448.5,535.9,14.75,4.01,taipower.com.tw,false,
2022-01-03 15:00:00,Taiwan,Taiwan,TW,443.9,531.79,14.69,3.43,taipower.com.tw,false,
2022-01-03 16:00:00,Taiwan,Taiwan,TW,441.39,529.66,14.35,2.39,taipower.com.tw,false,
2022-01-03 17:00:00,Taiwan,Taiwan,TW,442.35,531.05,13.69,1.64,taipower.com.tw,false,
2022-01-03 18:00:00,Taiwan,Taiwan,TW,443.87,532.28,13.69,1.63,taipower.com.tw,false,
2022-01-03 19:00:00,Taiwan,Taiwan,TW,442.45,530.64,13.96,1.81,taipower.com.tw,false,
2022-01-03 20:00:00,Taiwan,Taiwan,TW,443.05,530.93,14.1,1.85,taipower.com.tw,false,
2022-01-03 21:00:00,Taiwan,Taiwan,TW,441.48,529.28,14.28,2.11,taipower.com.tw,false,
2022-01-03 22:00:00,Taiwan,Taiwan,TW,443.44,531.39,13.96,2.12,taipower.com.tw,false,
2022-01-03 23:00:00,Taiwan,Taiwan,TW,441.47,529.19,14.46,2.9,taipower.com.tw,false,
2022-01-04 00:00:00,Taiwan,Taiwan,TW,428.1,514.22,17.66,6.84,taipower.com.tw,false,
2022-01-04 01:00:00,Taiwan,Taiwan,TW,414.2,498.15,21.11,10.77,taipower.com.tw,false,
2022-01-04 02:00:00,Taiwan,Taiwan,TW,399.38,482.47,23.55,13.33,taipower.com.tw,false,
2022-01-04 03:00:00,Taiwan,Taiwan,TW,385.86,468.53,25.45,15.42,taipower.com.tw,false,
2022-01-04 04:00:00,Taiwan,Taiwan,TW,378.78,460.54,26.45,16.11,taipower.com.tw,false,
2022-01-04 05:00:00,Taiwan,Taiwan,TW,383.04,465.89,25.11,15.08,taipower.com.tw,false,
2022-01-04 06:00:00,Taiwan,Taiwan,TW,390.44,473.69,24.09,14.09,taipower.com.tw,false,
2022-01-04 07:00:00,Taiwan,Taiwan,TW,401.53,485.14,22.73,12.73,taipower.com.tw,false,
2022-01-04 08:00:00,Taiwan,Taiwan,TW,433.83,518.87,18.22,8.37,taipower.com.tw,false,
2022-01-04 09:00:00,Taiwan,Taiwan,TW,445.69,531.88,16.41,6.6,taipower.com.tw,false,
2022-01-04 10:00:00,Taiwan,Taiwan,TW,448.91,535.75,16.06,6.43,taipower.com.tw,false,
2022-01-04 11:00:00,Taiwan,Taiwan,TW,450.76,537.1,15.83,6.11,taipower.com.tw,false,
2022-01-04 12:00:00,Taiwan,Taiwan,TW,454.1,540.81,15.1,5.24,taipower.com.tw,false,
2022-01-04 13:00:00,Taiwan,Taiwan,TW,454.08,540.68,14.88,4.72,taipower.com.tw,false,
2022-01-04 14:00:00,Taiwan,Taiwan,TW,450.14,537.03,14.86,4.25,taipower.com.tw,false,
2022-01-04 15:00:00,Taiwan,Taiwan,TW,447.55,534.83,14.65,3.52,taipower.com.tw,false,
2022-01-04 16:00:00,Taiwan,Taiwan,TW,447.13,535.93,13.18,1.6,taipower.com.tw,false,
2022-01-04 17:00:00,Taiwan,Taiwan,TW,448.85,537.77,12.9,1.2,taipower.com.tw,false,
2022-01-04 18:00:00,Taiwan,Taiwan,TW,451.18,539.75,12.92,1.06,taipower.com.tw,false,
2022-01-04 19:00:00,Taiwan,Taiwan,TW,448.81,537.55,13.02,0.98,taipower.com.tw,false,
2022-01-04 20:00:00,Taiwan,Taiwan,TW,450.43,539.17,12.88,0.82,taipower.com.tw,false,
2022-01-04 21:00:00,Taiwan,Taiwan,TW,455.35,543.55,12.73,0.8,taipower.com.tw,false,
2022-01-04 22:00:00,Taiwan,Taiwan,TW,458.57,546.56,12.51,0.9,taipower.com.tw,false,
2022-01-04 23:00:00,Taiwan,Taiwan,TW,458.8,546.88,12.55,1.12,taipower.com.tw,false,
2022-01-05 00:00:00,Taiwan,Taiwan,TW,456.97,544.66,13.2,2.03,taipower.com.tw,false,
2022-01-05 01:00:00,Taiwan,Taiwan,TW,445.82,532.55,15.83,5.77,taipower.com.tw,false,
2022-01-05 02:00:00,Taiwan,Taiwan,TW,437.97,524.77,16.31,6.38,taipower.com.tw,false,
2022-01-05 03:00:00,Taiwan,Taiwan,TW,430.57,516.87,17.39,7.57,taipower.com.tw,false,
2022-01-05 04:00:00,Taiwan,Taiwan,TW,427.97,513.56,18.18,8.17,taipower.com.tw,false,
2022-01-05 05:00:00,Taiwan,Taiwan,TW,425.08,510.17,18.86,8.76,taipower.com.tw,false,
2022-01-05 06:00:00,Taiwan,Taiwan,TW,427.7,513.21,18.34,8.33,taipower.com.tw,false,
2022-01-05 07:00:00,Taiwan,Taiwan,TW,443.11,530.6,15.92,6.09,taipower.com.tw,false,
