Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,USA,USA,US,331.26,390.09,46.51,25.34,,false,
2022-01-01 01:00:00,USA,USA,US,328.24,386.69,47.02,25.5,,false,
2022-01-01 02:00:00,USA,USA,US,331.81,389.92,46.96,24.8,,false,
2022-01-01 03:00:00,USA,USA,US,331.66,388.98,47.46,24.61,,false,
2022-01-01 04:00:00,USA,USA,US,331.68,388.24,47.85,24.28,,false,
2022-01-01 05:00:00,USA,USA,US,330.25,385.9,48.5,24.06,,false,
2022-01-01 06:00:00,USA,USA,US,325.31,379.84,49.58,24.35,,false,
2022-01-01 07:00:00,USA,USA,US,320.74,374.52,50.43,24.71,,false,
2022-01-01 08:00:00,USA,USA,US,314.05,366.62,51.72,25.59,,false,
2022-01-01 09:00:00,USA,USA,US,308.37,360.26,52.61,26.26,,false,
2022-01-01 10:00:00,USA,USA,US,303.9,355.44,53.18,26.64,,false,
2022-01-01 11:00:00,USA,USA,US,307.99,360.08,52.55,26.27,,false,
2022-01-01 12:00:00,USA,USA,US,309.11,361.42,52.33,26.39,,false,
2022-01-01 13:00:00,USA,USA,US,310.97,363.85,51.95,26.72,,false,
2022-01-01 14:00:00,USA,USA,US,309.22,362.67,51.91,27.55,,false,
2022-01-01 15:00:00,USA,USA,US,309.09,363.36,51.45,28.08,,false,
2022-01-01 16:00:00,USA,USA,US,307.48,361.5,51.82,29.24,,false,
2022-01-01 17:00:00,USA,USA,US,312.45,366.6,51.42,29.28,,false,
2022-01-01 18:00:00,USA,USA,US,315.26,369.69,51.05,29.07,,false,
2022-01-01 19:00:00,USA,USA,US,314.79,369.28,51.02,28.99,,false,
2022-01-01 20:00:00,USA,USA,US,316.2,371.19,50.61,28.63,,false,
2022-01-01 21:00:00,USA,USA,US,317.96,373.52,50.06,28.13,,false,
2022-01-01 22:00:00,USA,USA,US,319.72,376.17,49.36,27.87,,false,
2022-01-01 23:00:00,USA,USA,US,326.5,384.21,48.1,26.93,,false,
2022-01-02 00:00:00,USA,USA,US,331.01,389.45,47.37,26.26,,false,
2022-01-02 01:00:00,USA,USA,US,331.47,390.12,47.17,25.98,,false,
2022-01-02 02:00:00,USA,USA,US,332.42,390.93,47.12,25.59,,false,
2022-01-02 03:00:00,USA,USA,US,330.26,388.13,47.73,25.65,,false,
2022-01-02 04:00:00,USA,USA,US,328.22,385.47,48.33,25.44,,false,
2022-01-02 05:00:00,USA,USA,US,328.53,385.36,48.57,24.9,,false,
2022-01-02 06:00:00,USA,USA,US,327.78,384.59,48.73,24.46,,false,
2022-01-02 07:00:00,USA,USA,US,326.49,383.12,48.91,24.26,,false,
2022-01-02 08:00:00,USA,USA,US,326.42,382.93,49.02,24.09,,false,
2022-01-02 09:00:00,USA,USA,US,327.82,384.41,48.83,23.8,,false,
2022-01-02 10:00:00,USA,USA,US,332.42,389.35,48.24,23.34,,false,
2022-01-02 11:00:00,USA,USA,US,337.55,395.54,47.12,22.77,,false,
2022-01-02 12:00:00,USA,USA,US,344.54,403.38,46.01,22.23,,false,
2022-01-02 13:00:00,USA,USA,US,349.78,409.8,44.87,21.97,,false,
2022-01-02 14:00:00,USA,USA,US,351.36,412.3,44.2,22.17,,false,
2022-01-02 15:00:00,USA,USA,US,351.42,412.93,43.97,22.55,,false,
2022-01-02 16:00:00,USA,USA,US,353.11,414.86,43.86,22.76,,false,
2022-01-02 17:00:00,USA,USA,US,359.4,421.95,42.93,21.95,,false,
2022-01-02 18:00:00,USA,USA,US,363.47,426.49,42.34,21.27,,false,
2022-01-02 19:00:00,USA,USA,US,363.91,427.39,42.0,20.76,,false,
2022-01-02 20:00:00,USA,USA,US,365.35,429.42,41.48,20.16,,false,
2022-01-02 21:00:00,USA,USA,US,368.25,432.98,40.83,19.63,,false,
2022-01-02 22:00:00,USA,USA,US,375.22,441.24,39.48,18.8,,false,
2022-01-02 23:00:00,USA,USA,US,386.16,453.85,37.42,17.36,,false,
2022-01-03 00:00:00,USA,USA,US,389.45,457.88,36.59,16.82,,false,
2022-01-03 01:00:00,USA,USA,US,388.14,456.3,36.76,17.0,,false,
2022-01-03 02:00:00,USA,USA,US,383.18,450.51,37.64,17.55,,false,
2022-01-03 03:00:00,USA,USA,US,376.93,443.37,38.62,18.02,,false,
2022-01-03 04:00:00,USA,USA,US,369.86,435.25,39.79,18.49,,false,
2022-01-03 05:00:00,USA,USA,US,368.66,433.66,40.12,18.35,,false,
2022-01-03 06:00:00,USA,USA,US,369.08,433.98,40.18,17.98,,false,
2022-01-03 07:00:00,USA,USA,US,370.05,435.09,40.08,17.57,,false,
2022-01-03 08:00:00,USA,USA,US,372.91,438.28,39.67,17.03,,false,
2022-01-03 09:00:00,USA,USA,US,375.59,441.55,39.1,16.6,,false,
2022-01-03 10:00:00,USA,USA,US,378.21,445.43,38.09,16.18,,false,
2022-01-03 11:00:00,USA,USA,US,378.76,447.18,37.3,16.38,,false,
2022-01-03 12:00:00,USA,USA,US,381.88,451.32,36.49,16.66,,false,
2022-01-03 13:00:00,USA,USA,US,387.09,457.21,35.72,16.72,,false,
2022-01-03 14:00:00,USA,USA,US,385.58,455.21,36.23,17.63,,false,
2022-01-03 15:00:00,USA,USA,US,379.9,448.72,37.35,18.75,,false,
2022-01-03 16:00:00,USA,USA,US,379.85,447.9,38.11,19.34,,false,
2022-01-03 17:00:00,USA,USA,US,379.09,445.91,39.13,20.05,,false,
2022-01-03 18:00:00,USA,USA,US,375.36,441.35,40.0,20.73,,false,
2022-01-03 19:00:00,USA,USA,US,365.08,429.99,41.52,21.94,,false,
2022-01-03 20:00:00,USA,USA,US,356.32,420.44,42.58,22.78,,false,
2022-01-03 21:00:00,USA,USA,US,352.71,416.79,42.73,23.03,,false,
2022-01-03 22:00:00,USA,USA,US,354.71,419.63,41.86,22.72,,false,
2022-01-03 23:00:00,USA,USA,US,359.91,425.65,40.82,22.34,,false,
2022-01-04 00:00:00,USA,USA,US,359.29,424.79,40.89,22.78,,false,
2022-01-04 01:00:00,USA,USA,US,354.18,418.8,41.87,23.82,,false,
2022-01-04 02:00:00,USA,USA,US,350.53,414.36,42.69,24.36,,false,
2022-01-04 03:00:00,USA,USA,US,345.05,407.98,43.77,24.87,,false,
2022-01-04 04:00:00,USA,USA,US,339.89,402.22,44.56,25.0,,false,
2022-01-04 05:00:00,USA,USA,US,336.01,397.52,45.17,24.89,,false,
2022-01-04 06:00:00,USA,USA,US,333.67,394.49,45.88,25.11,,false,
2022-01-04 07:00:00,USA,USA,US,333.0,393.77,45.94,24.9,,false,
2022-01-04 08:00:00,USA,USA,US,335.51,396.46,45.62,24.48,,false,
